,QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by J. Crowder),,2,0
1,1,11:30.0,,L. Aldridge misses 2-pt jump shot from 5 ft,2,0
2,1,11:29.0,Defensive rebound by I. Thomas,,2,0
3,1,11:20.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by I. Thomas),,4,0
4,1,10:58.0,,T. Parker misses 2-pt jump shot from 9 ft,4,0
5,1,10:57.0,,Offensive rebound by T. Duncan,4,0
6,1,10:44.0,,D. Green misses 2-pt jump shot from 9 ft,4,0
7,1,10:43.0,Defensive rebound by A. Johnson,,4,0
8,1,10:32.0,A. Bradley misses 2-pt jump shot from 19 ft (block by T. Duncan),,4,0
9,1,10:30.0,,Defensive rebound by K. Leonard,4,0
10,1,10:14.0,,Personal foul by A. Johnson (drawn by L. Aldridge),4,0
11,1,10:07.0,,D. Green makes 2-pt jump shot from 22 ft (assist by T. Parker),4,2
12,1,9:52.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Sullinger),,7,2
13,1,9:35.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),7,4
14,1,9:20.0,J. Sullinger misses 3-pt jump shot from 26 ft,,7,4
15,1,9:18.0,Offensive rebound by A. Johnson,,7,4
16,1,9:16.0,A. Johnson misses 2-pt layup from 2 ft,,7,4
17,1,9:15.0,,Defensive rebound by T. Duncan,7,4
18,1,9:05.0,,T. Parker misses 2-pt layup from 2 ft (block by J. Sullinger),7,4
19,1,9:02.0,Defensive rebound by A. Bradley,,7,4
20,1,8:53.0,A. Johnson makes 3-pt jump shot from 24 ft (assist by I. Thomas),,10,4
21,1,8:39.0,,K. Leonard misses 2-pt jump shot from 11 ft,10,4
22,1,8:38.0,Defensive rebound by J. Crowder,,10,4
23,1,8:22.0,A. Johnson misses 3-pt jump shot from 24 ft,,10,4
24,1,8:21.0,,Defensive rebound by T. Parker,10,4
25,1,8:09.0,,Turnover by T. Duncan (bad pass; steal by I. Thomas),10,4
26,1,8:05.0,Turnover by J. Crowder (bad pass; steal by K. Leonard),,10,4
27,1,7:56.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by T. Parker),10,6
28,1,7:39.0,I. Thomas makes 2-pt jump shot from 18 ft (assist by J. Sullinger),,12,6
29,1,7:38.0,,San Antonio full timeout,12,6
30,1,7:20.0,,D. Green makes 2-pt jump shot from 12 ft (assist by K. Leonard),12,8
31,1,7:06.0,I. Thomas misses 2-pt jump shot from 11 ft,,12,8
32,1,7:05.0,,Defensive rebound by L. Aldridge,12,8
33,1,6:52.0,,T. Duncan misses 2-pt jump shot from 6 ft,12,8
