,QUARTER,TIME_REMAINING,BOSTON_ACTION,DENVER_ACTION,BOSTON_SCORE,DENVER_SCORE
0,1,11:38.0,A. Bradley misses 2-pt jump shot from 17 ft,,0,0
1,1,11:37.0,Offensive rebound by A. Johnson,,0,0
2,1,11:30.0,J. Crowder misses 3-pt jump shot from 24 ft,,0,0
3,1,11:29.0,,Defensive rebound by N. Jokić,0,0
4,1,11:09.0,,E. Mudiay makes 3-pt jump shot from 28 ft (assist by N. Jokić),0,3
5,1,10:47.0,J. Sullinger makes 2-pt jump shot from 15 ft (assist by J. Crowder),,2,3
6,1,10:34.0,,G. Harris misses 2-pt jump shot from 12 ft,2,3
7,1,10:33.0,Defensive rebound by J. Crowder,,2,3
8,1,10:23.0,J. Sullinger misses 2-pt jump shot from 16 ft,,2,3
9,1,10:22.0,,Defensive rebound by D. Gallinari,2,3
10,1,10:12.0,,D. Gallinari makes 2-pt jump shot from 14 ft,2,5
11,1,9:53.0,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),,4,5
12,1,9:44.0,,D. Gallinari misses 2-pt layup from 2 ft,4,5
13,1,9:43.0,Defensive rebound by A. Johnson,,4,5
14,1,9:39.0,I. Thomas misses 3-pt jump shot from 25 ft,,4,5
15,1,9:38.0,,Defensive rebound by Team,4,5
16,1,9:12.0,,N. Jokić makes 2-pt hook shot from 4 ft (assist by D. Gallinari),4,7
17,1,8:48.0,J. Sullinger misses 2-pt jump shot from 17 ft,,4,7
18,1,8:48.0,,Defensive rebound by N. Jokić,4,7
19,1,8:37.0,,N. Jokić misses 3-pt jump shot from 25 ft,4,7
20,1,8:35.0,Defensive rebound by J. Crowder,,4,7
21,1,8:31.0,I. Thomas makes 2-pt layup from 2 ft,,6,7
22,1,8:31.0,Shooting foul by K. Faried (drawn by I. Thomas),,6,7
23,1,8:31.0,I. Thomas makes free throw 1 of 1,,7,7
24,1,8:11.0,,D. Gallinari makes 2-pt jump shot from 15 ft,7,9
25,1,8:00.0,I. Thomas misses 2-pt layup from 2 ft,,7,9
26,1,7:59.0,,Defensive rebound by N. Jokić,7,9
27,1,7:47.0,,Turnover by N. Jokić (lost ball; steal by J. Crowder),7,9
28,1,7:39.0,J. Crowder makes 2-pt layup at rim (assist by I. Thomas),,9,9
29,1,7:28.0,,Turnover by G. Harris (bad pass; steal by J. Crowder),9,9
30,1,7:22.0,I. Thomas makes 3-pt jump shot from 22 ft (assist by J. Crowder),,12,9
31,1,7:21.0,,Denver full timeout,12,9
32,1,7:00.0,,N. Jokić misses 2-pt jump shot from 6 ft,12,9
33,1,6:59.0,Defensive rebound by J. Sullinger,,12,9
34,1,6:44.0,A. Bradley misses 3-pt jump shot from 23 ft,,12,9
35,1,6:43.0,,Defensive rebound by G. Harris,12,9
36,1,6:26.0,,E. Mudiay misses 2-pt jump shot from 16 ft,12,9
37,1,6:25.0,Defensive rebound by J. Sullinger,,12,9
38,1,6:14.0,J. Sullinger makes 2-pt jump shot from 12 ft (assist by I. Thomas),,14,9
39,1,6:03.0,,G. Harris misses 3-pt jump shot from 24 ft,14,9
40,1,6:02.0,,Offensive rebound by N. Jokić,14,9
41,1,5:57.0,,G. Harris misses 3-pt jump shot from 24 ft,14,9
42,1,5:56.0,Defensive rebound by I. Thomas,,14,9
43,1,5:44.0,A. Bradley makes 3-pt jump shot from 22 ft (assist by I. Thomas),,17,9
44,1,5:26.0,,E. Mudiay makes 2-pt layup at rim,17,11
45,1,5:10.0,Shooting foul by D. Gallinari (drawn by J. Crowder),,17,11
46,1,5:10.0,J. Crowder makes free throw 1 of 2,,18,11
47,1,5:10.0,E. Turner enters the game for A. Bradley,,18,11
48,1,5:10.0,M. Smart enters the game for J. Sullinger,,18,11
49,1,5:10.0,J. Crowder makes free throw 2 of 2,,19,11
50,1,4:55.0,,D. Gallinari misses 2-pt jump shot from 19 ft,19,11
51,1,4:54.0,Defensive rebound by I. Thomas,,19,11
52,1,4:48.0,I. Thomas makes 3-pt jump shot from 26 ft,,22,11
53,1,4:48.0,,Denver full timeout,22,11
54,1,4:48.0,,W. Barton enters the game for N. Jokić,22,11
55,1,4:29.0,,G. Harris misses 2-pt layup from 3 ft,22,11
56,1,4:28.0,Defensive rebound by A. Johnson,,22,11
57,1,4:16.0,Personal foul by K. Faried (drawn by A. Johnson),,22,11
58,1,4:16.0,,D. Arthur enters the game for K. Faried,22,11
59,1,4:03.0,E. Turner makes 2-pt jump shot from 15 ft,,24,11
60,1,3:53.0,,Shooting block foul by E. Turner (drawn by D. Gallinari),24,11
61,1,3:53.0,,D. Gallinari makes free throw 1 of 2,24,12
62,1,3:53.0,,D. Gallinari misses free throw 2 of 2,24,12
63,1,3:52.0,Defensive rebound by J. Crowder,,24,12
64,1,3:52.0,,Loose ball foul by W. Barton (drawn by J. Crowder),24,12
65,1,3:39.0,M. Smart misses 2-pt jump shot from 8 ft,,24,12
66,1,3:38.0,Offensive rebound by A. Johnson,,24,12
67,1,3:35.0,A. Johnson misses 2-pt layup from 2 ft (block by D. Arthur),,24,12
68,1,3:34.0,,Defensive rebound by E. Mudiay,24,12
69,1,3:29.0,,W. Barton misses 3-pt jump shot from 23 ft,24,12
70,1,3:27.0,Defensive rebound by A. Johnson,,24,12
71,1,3:11.0,M. Smart makes 3-pt jump shot from 27 ft (assist by I. Thomas),,27,12
72,1,2:55.0,,Turnover by G. Harris (lost ball; steal by I. Thomas),27,12
73,1,2:49.0,I. Thomas misses 2-pt layup at rim,,27,12
74,1,2:48.0,,Defensive rebound by E. Mudiay,27,12
75,1,2:43.0,,G. Harris makes 2-pt dunk at rim (assist by E. Mudiay),27,14
76,1,2:43.0,Boston full timeout,,27,14
77,1,2:43.0,,D. Augustin enters the game for E. Mudiay,27,14
78,1,2:28.0,M. Smart misses 3-pt jump shot from 24 ft,,27,14
79,1,2:28.0,Offensive rebound by E. Turner,,27,14
80,1,2:21.0,J. Crowder misses 2-pt jump shot from 13 ft,,27,14
81,1,2:20.0,,Defensive rebound by D. Arthur,27,14
82,1,2:09.0,,Turnover by D. Augustin (bad pass),27,14
83,1,2:09.0,J. Jerebko enters the game for I. Thomas,,27,14
84,1,1:52.0,A. Johnson makes 2-pt hook shot from 7 ft,,29,14
85,1,1:44.0,,Offensive foul by D. Gallinari (drawn by M. Smart),29,14
86,1,1:44.0,,Turnover by D. Gallinari (offensive foul),29,14
87,1,1:44.0,,M. Miller enters the game for D. Gallinari,29,14
88,1,1:30.0,A. Johnson makes 2-pt layup from 1 ft (assist by E. Turner),,31,14
89,1,1:17.0,,Turnover by D. Arthur (offensive foul),31,14
90,1,1:17.0,,Offensive foul by D. Arthur (drawn by J. Crowder),31,14
91,1,1:17.0,T. Zeller enters the game for A. Johnson,,31,14
92,1,1:17.0,,J. Nurkić enters the game for G. Harris,31,14
93,1,1:07.0,Shooting foul by J. Nurkić (drawn by E. Turner),,31,14
94,1,1:07.0,E. Turner makes free throw 1 of 2,,32,14
95,1,1:07.0,E. Turner makes free throw 2 of 2,,33,14
96,1,0:57.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Augustin),33,16
97,1,0:51.0,Turnover by M. Smart (lost ball),,33,16
98,1,0:51.0,A. Bradley enters the game for J. Crowder,,33,16
99,1,0:43.0,,Personal foul by M. Smart (drawn by D. Arthur),33,16
100,1,0:35.0,,M. Miller misses 2-pt jump shot from 20 ft,33,16
101,1,0:35.0,Defensive rebound by T. Zeller,,33,16
102,1,0:24.0,E. Turner makes 2-pt jump shot from 7 ft,,35,16
103,1,0:10.0,,Personal block foul by M. Smart (drawn by D. Augustin),35,16
104,1,0:10.0,,D. Augustin misses free throw 1 of 2,35,16
105,1,0:10.0,,Offensive rebound by Team,35,16
106,1,0:10.0,,D. Augustin makes free throw 2 of 2,35,17
107,1,0:01.0,M. Smart misses 3-pt jump shot from 24 ft,,35,17
108,1,0:00.0,Offensive rebound by J. Jerebko,,35,17
109,2,11:51.0,,Offensive foul by M. Miller (drawn by T. Zeller),35,17
110,2,11:51.0,,Turnover by M. Miller (offensive foul),35,17
111,2,11:36.0,T. Zeller misses 2-pt jump shot from 20 ft,,35,17
112,2,11:36.0,,Defensive rebound by W. Barton,35,17
113,2,11:20.0,,D. Arthur misses 2-pt layup from 1 ft,35,17
114,2,11:19.0,Defensive rebound by E. Turner,,35,17
115,2,11:08.0,Turnover by J. Jerebko (lost ball),,35,17
116,2,10:56.0,,D. Augustin misses 3-pt jump shot from 26 ft,35,17
117,2,10:54.0,Defensive rebound by E. Turner,,35,17
118,2,10:46.0,E. Turner misses 2-pt jump shot from 12 ft,,35,17
119,2,10:45.0,,Defensive rebound by M. Miller,35,17
120,2,10:41.0,,W. Barton misses 2-pt jump shot from 6 ft,35,17
121,2,10:40.0,,Offensive rebound by J. Nurkić,35,17
122,2,10:38.0,,Shooting foul by T. Zeller (drawn by J. Nurkić),35,17
123,2,10:38.0,,J. Nurkić makes free throw 1 of 2,35,18
124,2,10:38.0,,J. Nurkić makes free throw 2 of 2,35,19
125,2,10:27.0,A. Bradley misses 3-pt jump shot from 24 ft,,35,19
126,2,10:27.0,Offensive rebound by J. Jerebko,,35,19
127,2,10:18.0,A. Bradley misses 2-pt layup from 1 ft (block by J. Nurkić),,35,19
128,2,10:17.0,Offensive rebound by T. Zeller,,35,19
129,2,10:14.0,T. Zeller misses 2-pt layup from 1 ft (block by D. Arthur),,35,19
130,2,10:11.0,Offensive rebound by T. Zeller,,35,19
131,2,10:11.0,T. Zeller makes 2-pt layup from 1 ft,,37,19
132,2,10:00.0,,Turnover by J. Nurkić (lost ball; steal by T. Zeller),37,19
133,2,9:58.0,M. Smart misses 2-pt layup from 2 ft (block by M. Miller),,37,19
134,2,9:57.0,Offensive rebound by J. Jerebko,,37,19
135,2,9:56.0,J. Jerebko misses 2-pt layup at rim (block by W. Barton),,37,19
136,2,9:55.0,Offensive rebound by J. Jerebko,,37,19
137,2,9:54.0,J. Jerebko makes 2-pt layup from 2 ft,,39,19
138,2,9:54.0,,Denver full timeout,39,19
139,2,9:54.0,,G. Harris enters the game for D. Arthur,39,19
140,2,9:54.0,,N. Jokić enters the game for J. Nurkić,39,19
141,2,9:41.0,,W. Barton misses 2-pt jump shot from 17 ft,39,19
142,2,9:40.0,Defensive rebound by T. Zeller,,39,19
143,2,9:27.0,Offensive foul by T. Zeller (drawn by D. Augustin),,39,19
144,2,9:27.0,Turnover by T. Zeller (offensive foul),,39,19
145,2,9:11.0,,W. Barton makes 2-pt jump shot from 5 ft,39,21
146,2,9:01.0,T. Zeller misses 2-pt layup from 1 ft,,39,21
147,2,9:01.0,,Defensive rebound by N. Jokić,39,21
148,2,8:55.0,,Turnover by W. Barton (lost ball; steal by M. Smart),39,21
149,2,8:53.0,,Loose ball foul by N. Jokić (drawn by M. Smart),39,21
150,2,8:45.0,Shooting block foul by M. Miller (drawn by T. Zeller),,39,21
151,2,8:45.0,T. Zeller misses free throw 1 of 2,,39,21
152,2,8:45.0,Offensive rebound by Team,,39,21
153,2,8:45.0,T. Zeller makes free throw 2 of 2,,40,21
154,2,8:33.0,,N. Jokić makes 2-pt jump shot from 3 ft (assist by D. Augustin),40,23
155,2,8:15.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),,43,23
156,2,8:01.0,,D. Augustin misses 2-pt layup from 2 ft,43,23
157,2,7:59.0,,Offensive rebound by N. Jokić,43,23
158,2,7:59.0,,N. Jokić makes 2-pt layup from 1 ft,43,25
159,2,7:46.0,T. Zeller makes 2-pt layup from 2 ft,,45,25
160,2,7:33.0,,W. Barton misses 2-pt jump shot from 3 ft,45,25
161,2,7:31.0,Defensive rebound by E. Turner,,45,25
162,2,7:25.0,,D. Gallinari enters the game for M. Miller,45,25
163,2,7:17.0,T. Zeller makes 2-pt jump shot from 3 ft (assist by E. Turner),,47,25
