,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
0,1,11:47.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Garnett),0,2
1,1,11:33.0,Def 3 sec tech foul by A. Wiggins,,0,2
2,1,11:33.0,K. Middleton misses technical free throw,,0,2
3,1,11:33.0,Offensive rebound by Team,,0,2
4,1,11:24.0,M. Carter-Williams misses 2-pt jump shot from 11 ft,,0,2
5,1,11:23.0,,Defensive rebound by K. Garnett,0,2
6,1,11:13.0,,K. Towns misses 2-pt jump shot from 17 ft,0,2
7,1,11:12.0,,Offensive rebound by A. Wiggins,0,2
8,1,11:11.0,,A. Wiggins misses 2-pt layup from 2 ft,0,2
9,1,11:09.0,,Offensive rebound by K. Towns,0,2
10,1,11:01.0,,A. Wiggins makes 2-pt dunk at rim (assist by K. Garnett),0,4
11,1,10:42.0,K. Middleton misses 3-pt jump shot from 23 ft,,0,4
12,1,10:41.0,,Defensive rebound by R. Rubio,0,4
13,1,10:27.0,,A. Wiggins misses 3-pt jump shot from 23 ft,0,4
14,1,10:26.0,Defensive rebound by G. Monroe,,0,4
15,1,10:16.0,Personal block foul by A. Wiggins (drawn by G. Antetokounmpo),,0,4
16,1,10:04.0,Turnover by J. Parker (lost ball; steal by T. Prince),,0,4
17,1,10:00.0,,A. Wiggins misses 2-pt layup from 1 ft (block by M. Carter-Williams),0,4
18,1,9:59.0,,Offensive rebound by Team,0,4
19,1,9:51.0,,R. Rubio misses 2-pt jump shot from 19 ft,0,4
20,1,9:50.0,Defensive rebound by K. Middleton,,0,4
21,1,9:39.0,G. Antetokounmpo misses 2-pt layup at rim,,0,4
22,1,9:37.0,,Defensive rebound by K. Garnett,0,4
23,1,9:23.0,,K. Garnett makes 2-pt jump shot from 5 ft (assist by K. Towns),0,6
24,1,9:00.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,0,6
25,1,8:59.0,,Defensive rebound by K. Garnett,0,6
26,1,8:45.0,,K. Towns misses 2-pt layup from 1 ft,0,6
27,1,8:43.0,Defensive rebound by Team,,0,6
28,1,8:34.0,Shooting foul by A. Wiggins (drawn by J. Parker),,0,6
29,1,8:34.0,J. Parker makes free throw 1 of 2,,1,6
30,1,8:34.0,,S. Muhammad enters the game for A. Wiggins,1,6
31,1,8:34.0,J. Parker makes free throw 2 of 2,,2,6
32,1,8:22.0,,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),2,8
33,1,8:11.0,Turnover by G. Antetokounmpo (bad pass; steal by R. Rubio),,2,8
34,1,7:57.0,,K. Garnett makes 2-pt jump shot from 10 ft (assist by R. Rubio),2,10
35,1,7:48.0,Milwaukee full timeout,,2,10
36,1,7:38.0,J. Parker misses 2-pt jump shot from 19 ft,,2,10
37,1,7:37.0,,Defensive rebound by K. Garnett,2,10
38,1,7:24.0,,Def 3 sec tech foul by G. Antetokounmpo,2,10
39,1,7:24.0,,R. Rubio makes technical free throw,2,11
40,1,7:10.0,,K. Towns misses 2-pt jump shot from 10 ft,2,11
41,1,7:09.0,Defensive rebound by G. Antetokounmpo,,2,11
42,1,7:00.0,M. Carter-Williams misses 2-pt layup from 1 ft,,2,11
43,1,6:59.0,,Defensive rebound by K. Towns,2,11
