,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,K. Durant makes 2-pt jump shot from 14 ft,,2,0
1,1,11:18.0,,I. Smith misses 2-pt layup from 1 ft,2,0
2,1,11:16.0,Defensive rebound by N. Collison,,2,0
3,1,11:06.0,A. Roberson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,5,0
4,1,10:53.0,,Shooting foul by K. Durant (drawn by H. Thompson),5,0
5,1,10:53.0,,H. Thompson makes free throw 1 of 3,5,1
6,1,10:53.0,,H. Thompson misses free throw 2 of 3,5,1
7,1,10:53.0,,Offensive rebound by Team,5,1
8,1,10:53.0,,H. Thompson makes free throw 3 of 3,5,2
9,1,10:49.0,Personal foul by H. Thompson,,5,2
10,1,10:44.0,Turnover by N. Collison (bad pass; steal by I. Canaan),,5,2
11,1,10:37.0,,H. Thompson makes 3-pt jump shot from 24 ft (assist by I. Smith),5,5
12,1,10:24.0,Turnover by N. Collison (3 sec),,5,5
13,1,10:14.0,,I. Canaan makes 3-pt jump shot from 23 ft (assist by H. Thompson),5,8
14,1,9:57.0,R. Westbrook misses 2-pt jump shot from 3 ft,,5,8
15,1,9:56.0,Offensive rebound by S. Adams,,5,8
16,1,9:56.0,S. Adams misses 2-pt layup at rim,,5,8
17,1,9:54.0,Offensive rebound by K. Durant,,5,8
18,1,9:50.0,Personal foul by N. Noel,,5,8
19,1,9:45.0,R. Westbrook misses 2-pt layup from 2 ft,,5,8
20,1,9:43.0,,Defensive rebound by I. Canaan,5,8
21,1,9:31.0,,H. Thompson misses 3-pt jump shot from 22 ft,5,8
22,1,9:30.0,Defensive rebound by A. Roberson,,5,8
23,1,9:21.0,N. Collison misses 2-pt jump shot from 6 ft (block by J. Grant),,5,8
24,1,9:19.0,,Defensive rebound by I. Canaan,5,8
25,1,9:11.0,,N. Noel misses 2-pt layup from 1 ft,5,8
26,1,9:08.0,Defensive rebound by N. Collison,,5,8
27,1,9:04.0,R. Westbrook misses 2-pt jump shot from 5 ft,,5,8
28,1,9:01.0,Offensive rebound by R. Westbrook,,5,8
29,1,9:01.0,R. Westbrook misses 2-pt layup from 1 ft,,5,8
30,1,8:58.0,Offensive rebound by S. Adams,,5,8
31,1,8:58.0,S. Adams makes 2-pt layup at rim,,7,8
32,1,8:49.0,,I. Canaan misses 3-pt jump shot from 26 ft,7,8
33,1,8:47.0,Defensive rebound by K. Durant,,7,8
34,1,8:26.0,K. Durant makes 2-pt dunk at rim (assist by N. Collison),,9,8
35,1,8:25.0,,Philadelphia full timeout,9,8
36,1,8:06.0,,N. Noel misses 2-pt jump shot from 7 ft,9,8
37,1,8:05.0,Defensive rebound by R. Westbrook,,9,8
38,1,7:50.0,S. Adams misses 2-pt layup from 2 ft (block by J. Grant),,9,8
39,1,7:50.0,,Defensive rebound by N. Noel,9,8
40,1,7:50.0,,Personal foul by R. Westbrook,9,8
41,1,7:36.0,,J. Grant misses 2-pt layup from 1 ft,9,8
42,1,7:34.0,Defensive rebound by S. Adams,,9,8
43,1,7:14.0,N. Collison misses 2-pt jump shot from 4 ft,,9,8
44,1,7:12.0,Offensive rebound by S. Adams,,9,8
45,1,7:12.0,S. Adams misses 2-pt layup from 1 ft,,9,8
46,1,7:08.0,,Defensive rebound by I. Canaan,9,8
47,1,6:54.0,,N. Noel misses 2-pt hook shot from 5 ft,9,8
48,1,6:51.0,Defensive rebound by A. Roberson,,9,8
49,1,6:34.0,N. Collison makes 2-pt jump shot from 8 ft (assist by K. Durant),,11,8
