,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:50.0,,G. Dieng misses 2-pt jump shot from 3 ft (block by D. West),0,0
1,1,11:49.0,,Offensive rebound by Team,0,0
2,1,11:33.0,,A. Wiggins misses 3-pt jump shot from 25 ft,0,0
3,1,11:32.0,,Offensive rebound by K. Towns,0,0
4,1,11:31.0,,K. Towns makes 2-pt layup at rim,0,2
5,1,11:03.0,K. Leonard misses 2-pt jump shot from 10 ft,,0,2
6,1,11:03.0,,Defensive rebound by G. Dieng,0,2
7,1,10:55.0,,A. Wiggins makes 2-pt jump shot from 3 ft (assist by R. Rubio),0,4
8,1,10:42.0,D. Green makes 3-pt jump shot from 26 ft (assist by D. West),,3,4
9,1,10:23.0,,K. Towns misses 3-pt jump shot from 25 ft,3,4
10,1,10:22.0,Defensive rebound by K. Leonard,,3,4
11,1,10:15.0,K. Leonard makes 2-pt jump shot from 11 ft,,5,4
12,1,9:59.0,,Turnover by R. Rubio (lost ball; steal by A. Miller),5,4
13,1,9:52.0,D. Green makes 2-pt layup from 1 ft (assist by A. Miller),,7,4
14,1,9:39.0,,G. Dieng misses 2-pt layup at rim (block by L. Aldridge),7,4
15,1,9:37.0,,Offensive rebound by R. Rubio,7,4
16,1,9:34.0,,Shooting foul by D. Green (drawn by G. Dieng),7,4
17,1,9:34.0,,G. Dieng makes free throw 1 of 2,7,5
18,1,9:34.0,,G. Dieng makes free throw 2 of 2,7,6
19,1,9:17.0,L. Aldridge misses 2-pt hook shot from 11 ft,,7,6
20,1,9:15.0,,Defensive rebound by A. Wiggins,7,6
21,1,9:11.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by A. Wiggins),7,8
22,1,9:04.0,Shooting foul by G. Dieng (drawn by L. Aldridge),,7,8
23,1,9:04.0,L. Aldridge makes free throw 1 of 2,,8,8
24,1,9:04.0,L. Aldridge makes free throw 2 of 2,,9,8
25,1,8:47.0,,R. Rubio misses 2-pt jump shot from 17 ft,9,8
26,1,8:46.0,Defensive rebound by L. Aldridge,,9,8
27,1,8:25.0,D. Green misses 2-pt layup from 1 ft,,9,8
28,1,8:24.0,,Defensive rebound by K. Towns,9,8
29,1,8:15.0,,K. Towns makes 2-pt layup from 1 ft (assist by Z. LaVine),9,10
30,1,8:01.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by K. Leonard),,11,10
31,1,7:45.0,,Shooting foul by D. West (drawn by K. Towns),11,10
32,1,7:45.0,,K. Towns makes free throw 1 of 2,11,11
33,1,7:45.0,,K. Towns misses free throw 2 of 2,11,11
34,1,7:44.0,Defensive rebound by L. Aldridge,,11,11
35,1,7:23.0,A. Miller misses 2-pt jump shot from 11 ft,,11,11
36,1,7:20.0,Offensive rebound by D. Green,,11,11
37,1,7:13.0,D. Green misses 3-pt jump shot from 24 ft,,11,11
38,1,7:12.0,,Defensive rebound by G. Dieng,11,11
39,1,6:57.0,,A. Wiggins misses 2-pt jump shot from 20 ft,11,11
40,1,6:55.0,Defensive rebound by L. Aldridge,,11,11
41,1,6:44.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by A. Miller),,13,11
42,1,6:33.0,,Personal foul by A. Miller,13,11
43,1,6:16.0,,A. Wiggins misses 3-pt jump shot from 25 ft,13,11
44,1,6:15.0,Defensive rebound by D. West,,13,11
45,1,6:04.0,K. Leonard makes 2-pt jump shot from 4 ft,,15,11
46,1,5:52.0,,R. Rubio makes 2-pt jump shot from 19 ft (assist by Z. LaVine),15,13
47,1,5:39.0,L. Aldridge makes 2-pt dunk at rim,,17,13
48,1,5:38.0,,Minnesota full timeout,17,13
49,1,5:38.0,P. Mills enters the game for A. Miller,,17,13
50,1,5:21.0,,Shooting foul by D. West (drawn by A. Wiggins),17,13
51,1,5:21.0,,A. Wiggins makes free throw 1 of 2,17,14
52,1,5:21.0,B. Diaw enters the game for D. West,,17,14
53,1,5:21.0,,A. Wiggins makes free throw 2 of 2,17,15
54,1,5:05.0,K. Leonard misses 2-pt jump shot from 14 ft,,17,15
55,1,5:04.0,,Defensive rebound by R. Rubio,17,15
56,1,4:56.0,,G. Dieng misses 2-pt jump shot from 15 ft,17,15
57,1,4:55.0,Defensive rebound by L. Aldridge,,17,15
58,1,4:46.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by P. Mills),,19,15
59,1,4:25.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by G. Dieng),19,18
60,1,4:10.0,L. Aldridge misses 2-pt jump shot from 16 ft,,19,18
61,1,4:09.0,Offensive rebound by P. Mills,,19,18
62,1,4:08.0,P. Mills makes 2-pt layup from 1 ft,,21,18
63,1,3:51.0,,Z. LaVine misses 3-pt jump shot from 25 ft,21,18
64,1,3:50.0,Defensive rebound by B. Diaw,,21,18
65,1,3:44.0,D. Green makes 2-pt jump shot from 13 ft (assist by B. Diaw),,23,18
66,1,3:31.0,,T. Jones enters the game for R. Rubio,23,18
67,1,3:31.0,K. Anderson enters the game for K. Leonard,,23,18
68,1,3:17.0,,Turnover by A. Wiggins (lost ball; steal by D. Green),23,18
69,1,3:10.0,P. Mills misses 3-pt jump shot from 25 ft,,23,18
70,1,3:09.0,Offensive rebound by K. Anderson,,23,18
71,1,2:53.0,L. Aldridge makes 2-pt hook shot from 8 ft (assist by P. Mills),,25,18
72,1,2:30.0,,K. Towns makes 2-pt jump shot from 12 ft,25,20
73,1,2:09.0,D. Green misses 2-pt jump shot from 21 ft,,25,20
74,1,2:08.0,,Defensive rebound by A. Wiggins,25,20
75,1,1:58.0,,Turnover by A. Wiggins (lost ball; steal by K. Anderson),25,20
76,1,1:52.0,D. Green makes 2-pt dunk at rim (assist by P. Mills),,27,20
77,1,1:52.0,,Minnesota full timeout,27,20
78,1,1:52.0,San Antonio full timeout,,27,20
79,1,1:52.0,,A. Payne enters the game for G. Dieng,27,20
80,1,1:52.0,,S. Muhammad enters the game for Z. LaVine,27,20
81,1,1:52.0,J. Simmons enters the game for D. Green,,27,20
82,1,1:39.0,,K. Towns makes 2-pt jump shot from 10 ft (assist by T. Jones),27,22
83,1,1:29.0,Personal foul by T. Jones,,27,22
84,1,1:19.0,P. Mills misses 3-pt jump shot from 25 ft,,27,22
85,1,1:17.0,,Defensive rebound by A. Payne,27,22
86,1,1:01.0,,K. Towns misses 2-pt jump shot from 9 ft,27,22
87,1,1:00.0,,Offensive rebound by K. Towns,27,22
88,1,0:59.0,,K. Towns misses 2-pt layup from 1 ft,27,22
89,1,0:58.0,,Offensive rebound by K. Towns,27,22
90,1,0:57.0,,K. Towns misses 2-pt layup at rim (block by L. Aldridge),27,22
91,1,0:56.0,Defensive rebound by Team,,27,22
92,1,0:56.0,D. West enters the game for L. Aldridge,,27,22
93,1,0:32.0,P. Mills misses 2-pt jump shot from 22 ft,,27,22
94,1,0:32.0,,Defensive rebound by A. Wiggins,27,22
95,1,0:24.0,,T. Jones makes 2-pt jump shot from 6 ft,27,24
96,1,0:02.0,P. Mills misses 3-pt jump shot from 25 ft,,27,24
97,1,0:00.0,,Defensive rebound by A. Wiggins,27,24
98,2,11:45.0,B. Diaw makes 2-pt layup at rim (assist by P. Mills),,29,24
99,2,11:29.0,,Shooting foul by K. Anderson (drawn by S. Muhammad),29,24
100,2,11:29.0,,S. Muhammad makes free throw 1 of 2,29,25
101,2,11:29.0,,S. Muhammad makes free throw 2 of 2,29,26
102,2,11:11.0,K. Anderson makes 2-pt jump shot from 20 ft (assist by D. West),,31,26
103,2,10:51.0,,S. Muhammad misses 2-pt jump shot from 3 ft,31,26
104,2,10:50.0,,Offensive rebound by S. Muhammad,31,26
105,2,10:49.0,,S. Muhammad makes 2-pt jump shot from 5 ft,31,28
106,2,10:27.0,J. Simmons misses 2-pt layup from 2 ft (block by G. Dieng),,31,28
107,2,10:24.0,,Defensive rebound by Z. LaVine,31,28
108,2,10:19.0,,Z. LaVine makes 2-pt layup from 1 ft,31,30
109,2,10:05.0,P. Mills misses 3-pt jump shot from 24 ft,,31,30
110,2,10:04.0,,Defensive rebound by A. Payne,31,30
111,2,9:53.0,,A. Payne makes 2-pt layup from 1 ft,31,32
112,2,9:53.0,San Antonio full timeout,,31,32
113,2,9:53.0,A. Miller enters the game for J. Simmons,,31,32
114,2,9:53.0,K. Leonard enters the game for P. Mills,,31,32
115,2,9:35.0,D. West makes 2-pt layup from 1 ft (assist by B. Diaw),,33,32
116,2,9:12.0,,S. Muhammad misses 2-pt jump shot from 20 ft,33,32
117,2,9:11.0,Defensive rebound by K. Anderson,,33,32
118,2,9:02.0,Shooting foul by G. Dieng (drawn by D. West),,33,32
119,2,9:02.0,D. West makes free throw 1 of 2,,34,32
120,2,9:02.0,D. West makes free throw 2 of 2,,35,32
121,2,8:45.0,,T. Jones makes 3-pt jump shot from 24 ft (assist by Z. LaVine),35,35
122,2,8:22.0,Turnover by B. Diaw (lost ball; steal by S. Muhammad),,35,35
123,2,8:16.0,,S. Muhammad makes 2-pt layup at rim,35,37
124,2,8:07.0,,G. Smith enters the game for G. Dieng,35,37
125,2,8:07.0,D. Green enters the game for K. Anderson,,35,37
126,2,8:07.0,L. Aldridge enters the game for B. Diaw,,35,37
127,2,7:51.0,D. West misses 2-pt jump shot from 17 ft,,35,37
128,2,7:50.0,,Defensive rebound by A. Payne,35,37
129,2,7:38.0,,A. Payne misses 2-pt jump shot from 20 ft,35,37
130,2,7:37.0,Defensive rebound by L. Aldridge,,35,37
131,2,7:32.0,Shooting foul by A. Payne (drawn by D. West),,35,37
132,2,7:32.0,D. West makes free throw 1 of 2,,36,37
133,2,7:32.0,D. West makes free throw 2 of 2,,37,37
