,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,B. Jennings makes 3-pt jump shot from 23 ft (assist by V. Oladipo),,3,0
1,1,11:23.0,,C. Zeller misses 2-pt layup from 1 ft (block by D. Dedmon),3,0
2,1,11:21.0,Defensive rebound by B. Jennings,,3,0
3,1,11:18.0,Turnover by B. Jennings (bad pass; steal by M. Williams),,3,0
4,1,11:14.0,,C. Zeller makes 2-pt layup at rim (assist by N. Batum),3,2
5,1,10:47.0,Turnover by Team (shot clock),,3,2
6,1,10:38.0,,Personal foul by A. Gordon,3,2
7,1,10:33.0,,Turnover by C. Lee (traveling),3,2
8,1,10:17.0,E. Fournier makes 2-pt layup from 1 ft (assist by V. Oladipo),,5,2
9,1,10:06.0,,Shooting foul by A. Gordon (drawn by M. Williams),5,2
10,1,10:06.0,,M. Williams makes free throw 1 of 2,5,3
11,1,10:06.0,A. Nicholson enters the game for A. Gordon,,5,3
12,1,10:06.0,,M. Williams makes free throw 2 of 2,5,4
13,1,9:46.0,V. Oladipo makes 2-pt jump shot from 6 ft,,7,4
14,1,9:46.0,Shooting foul by C. Lee (drawn by V. Oladipo),,7,4
15,1,9:46.0,V. Oladipo makes free throw 1 of 1,,8,4
16,1,9:35.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by N. Batum),8,7
17,1,9:19.0,A. Nicholson misses 2-pt jump shot from 17 ft,,8,7
18,1,9:18.0,,Defensive rebound by C. Zeller,8,7
19,1,9:09.0,,M. Williams misses 3-pt jump shot from 25 ft,8,7
20,1,9:08.0,Defensive rebound by V. Oladipo,,8,7
21,1,8:54.0,Offensive foul by A. Nicholson (drawn by M. Williams),,8,7
22,1,8:54.0,Turnover by A. Nicholson (offensive foul),,8,7
23,1,8:42.0,,C. Zeller misses 2-pt jump shot from 5 ft,8,7
24,1,8:41.0,Defensive rebound by A. Nicholson,,8,7
25,1,8:30.0,B. Jennings makes 3-pt jump shot from 23 ft (assist by A. Nicholson),,11,7
26,1,8:16.0,,Shooting foul by D. Dedmon (drawn by C. Zeller),11,7
27,1,8:16.0,,C. Zeller makes free throw 1 of 2,11,8
28,1,8:16.0,,C. Zeller misses free throw 2 of 2,11,8
29,1,8:15.0,Defensive rebound by A. Nicholson,,11,8
30,1,7:57.0,E. Fournier misses 3-pt jump shot from 24 ft,,11,8
31,1,7:55.0,,Defensive rebound by M. Williams,11,8
