,QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
0,1,11:40.0,,A. Drummond makes 2-pt hook shot from 5 ft,0,2
1,1,11:25.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by J. Anderson),,3,2
2,1,11:15.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by R. Jackson),3,5
3,1,10:53.0,Shooting foul by A. Drummond (drawn by Z. Pachulia),,3,5
4,1,10:53.0,Z. Pachulia misses free throw 1 of 2,,3,5
5,1,10:53.0,Offensive rebound by Team,,3,5
6,1,10:53.0,Z. Pachulia makes free throw 2 of 2,,4,5
7,1,10:31.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Jackson),4,8
8,1,10:15.0,W. Matthews misses 3-pt jump shot from 25 ft,,4,8
9,1,10:15.0,,Defensive rebound by A. Drummond,4,8
10,1,10:05.0,,R. Jackson misses 3-pt jump shot from 26 ft,4,8
11,1,10:05.0,Defensive rebound by J. Anderson,,4,8
12,1,9:55.0,Z. Pachulia makes 2-pt jump shot from 17 ft (assist by J. Barea),,6,8
13,1,9:38.0,,A. Drummond misses 2-pt hook shot from 6 ft,6,8
14,1,9:35.0,Defensive rebound by D. Nowitzki,,6,8
15,1,9:28.0,J. Barea makes 2-pt jump shot from 17 ft,,8,8
16,1,9:11.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,8,8
17,1,9:10.0,Defensive rebound by Z. Pachulia,,8,8
18,1,9:03.0,Turnover by J. Barea (step out of bounds),,8,8
19,1,8:43.0,,A. Drummond misses 2-pt hook shot from 10 ft,8,8
20,1,8:42.0,Defensive rebound by D. Nowitzki,,8,8
21,1,8:21.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,8,8
22,1,8:19.0,Offensive rebound by Z. Pachulia,,8,8
23,1,8:17.0,Turnover by Z. Pachulia (lost ball; steal by R. Jackson),,8,8
24,1,8:11.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by R. Jackson),8,11
25,1,7:53.0,D. Nowitzki misses 2-pt jump shot from 11 ft (block by T. Harris),,8,11
26,1,7:52.0,,Defensive rebound by M. Morris,8,11
27,1,7:50.0,,Turnover by R. Jackson (bad pass),8,11
28,1,7:37.0,J. Barea makes 2-pt jump shot from 15 ft,,10,11
29,1,7:13.0,,R. Jackson misses 3-pt jump shot from 27 ft,10,11
30,1,7:13.0,Defensive rebound by J. Anderson,,10,11
31,1,7:09.0,Offensive foul by D. Nowitzki (drawn by R. Jackson),,10,11
32,1,7:09.0,Turnover by D. Nowitzki (offensive foul),,10,11
33,1,6:58.0,,Turnover by R. Jackson (bad pass),10,11
34,1,6:44.0,J. Barea makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),,12,11
35,1,6:25.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by R. Jackson),12,14
36,1,6:01.0,D. Nowitzki makes 2-pt jump shot from 11 ft,,14,14
37,1,6:01.0,Shooting foul by T. Harris (drawn by D. Nowitzki),,14,14
38,1,6:01.0,D. Nowitzki makes free throw 1 of 1,,15,14
39,1,5:44.0,,M. Morris misses 3-pt jump shot from 24 ft,15,14
40,1,5:44.0,Defensive rebound by Z. Pachulia,,15,14
41,1,5:22.0,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by W. Matthews),,17,14
42,1,5:17.0,,Detroit full timeout,17,14
43,1,5:17.0,D. Harris enters the game for D. Nowitzki,,17,14
44,1,5:17.0,D. Lee enters the game for J. Barea,,17,14
45,1,5:06.0,,Shooting foul by D. Lee (drawn by A. Drummond),17,14
46,1,5:06.0,,A. Drummond makes free throw 1 of 2,17,15
47,1,5:06.0,,A. Drummond misses free throw 2 of 2,17,15
48,1,5:06.0,Defensive rebound by J. Anderson,,17,15
49,1,4:46.0,W. Matthews misses 3-pt jump shot from 27 ft,,17,15
50,1,4:46.0,,Defensive rebound by M. Morris,17,15
51,1,4:31.0,,A. Drummond misses 2-pt jump shot from 4 ft,17,15
52,1,4:30.0,Defensive rebound by Z. Pachulia,,17,15
53,1,4:14.0,D. Harris makes 2-pt layup at rim (assist by Z. Pachulia),,19,15
