,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
0,1,11:40.0,,A. Horford misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,Defensive rebound by R. Gobert,,0,0
2,1,11:18.0,Turnover by D. Favors (bad pass),,0,0
3,1,11:07.0,,A. Horford misses 3-pt jump shot from 24 ft,0,0
4,1,11:05.0,,Offensive rebound by K. Korver,0,0
5,1,10:49.0,,D. Schröder misses 2-pt layup at rim (block by D. Favors),0,0
6,1,10:46.0,Defensive rebound by G. Hayward,,0,0
7,1,10:31.0,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Neto),,2,0
8,1,10:16.0,,P. Millsap misses 3-pt jump shot from 24 ft,2,0
9,1,10:15.0,,Offensive rebound by A. Horford,2,0
10,1,10:14.0,,Shooting foul by D. Favors (drawn by P. Millsap),2,0
11,1,10:14.0,,P. Millsap makes free throw 1 of 2,2,1
12,1,10:14.0,,P. Millsap makes free throw 2 of 2,2,2
13,1,9:59.0,D. Favors makes 2-pt layup at rim,,4,2
14,1,9:38.0,,P. Millsap makes 2-pt jump shot from 10 ft (assist by K. Bazemore),4,4
15,1,9:21.0,D. Favors misses 2-pt jump shot from 18 ft,,4,4
16,1,9:20.0,,Defensive rebound by K. Korver,4,4
17,1,9:10.0,,P. Millsap misses 2-pt jump shot from 17 ft,4,4
18,1,9:09.0,Defensive rebound by R. Gobert,,4,4
19,1,8:59.0,R. Gobert makes 2-pt layup at rim,,6,4
20,1,8:59.0,Shooting foul by P. Millsap (drawn by R. Gobert),,6,4
21,1,8:59.0,R. Gobert makes free throw 1 of 1,,7,4
22,1,8:46.0,,K. Korver makes 2-pt jump shot from 14 ft (assist by D. Schröder),7,6
23,1,8:27.0,G. Hayward misses 2-pt jump shot from 14 ft,,7,6
24,1,8:25.0,Offensive rebound by R. Gobert,,7,6
25,1,8:24.0,R. Gobert misses 2-pt layup from 1 ft,,7,6
26,1,8:22.0,Offensive rebound by D. Favors,,7,6
27,1,8:21.0,D. Favors makes 2-pt layup at rim,,9,6
28,1,8:08.0,,A. Horford misses 2-pt jump shot from 5 ft,9,6
29,1,8:07.0,,Offensive rebound by A. Horford,9,6
30,1,8:04.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by A. Horford),9,9
31,1,7:44.0,Turnover by D. Favors (bad pass; steal by A. Horford),,9,9
32,1,7:27.0,,A. Horford misses 3-pt jump shot from 22 ft,9,9
33,1,7:25.0,Defensive rebound by D. Favors,,9,9
34,1,7:13.0,R. Gobert makes 2-pt layup at rim (assist by G. Hayward),,11,9
35,1,7:02.0,,Turnover by K. Korver (bad pass; steal by R. Gobert),11,9
36,1,6:56.0,R. Hood makes 2-pt jump shot at rim (assist by R. Gobert),,13,9
37,1,6:56.0,,Atlanta full timeout,13,9
38,1,6:48.0,,Shooting foul by D. Favors (drawn by D. Schröder),13,9
39,1,6:48.0,,D. Schröder makes free throw 1 of 2,13,10
40,1,6:48.0,T. Booker enters the game for D. Favors,,13,10
41,1,6:48.0,,D. Schröder misses free throw 2 of 2,13,10
42,1,6:47.0,Defensive rebound by T. Booker,,13,10
43,1,6:24.0,Turnover by Team (shot clock),,13,10
44,1,6:24.0,,T. Splitter enters the game for A. Horford,13,10
45,1,6:06.0,,K. Bazemore makes 3-pt jump shot from 22 ft (assist by K. Korver),13,13
46,1,5:53.0,R. Neto makes 2-pt jump shot from 13 ft,,15,13
47,1,5:36.0,,P. Millsap makes 2-pt jump shot from 15 ft (assist by D. Schröder),15,15
48,1,5:16.0,Turnover by G. Hayward (lost ball),,15,15
49,1,5:16.0,T. Burke enters the game for R. Neto,,15,15
50,1,5:00.0,,T. Splitter misses 2-pt hook shot from 3 ft,15,15
51,1,4:59.0,Defensive rebound by T. Booker,,15,15
52,1,4:47.0,R. Hood makes 3-pt jump shot from 24 ft (assist by T. Booker),,18,15
53,1,4:33.0,,K. Bazemore makes 2-pt jump shot from 17 ft (assist by D. Schröder),18,17
54,1,4:18.0,Turnover by G. Hayward (bad pass),,18,17
55,1,4:18.0,,S. Mack enters the game for K. Bazemore,18,17
56,1,4:18.0,,T. Sefolosha enters the game for K. Korver,18,17
57,1,4:18.0,,J. Holiday enters the game for D. Schröder,18,17
58,1,4:18.0,A. Burks enters the game for R. Hood,,18,17
59,1,4:06.0,,P. Millsap misses 2-pt jump shot from 14 ft,18,17
60,1,4:04.0,Defensive rebound by R. Gobert,,18,17
61,1,3:53.0,G. Hayward misses 3-pt jump shot from 23 ft (block by T. Sefolosha),,18,17
