,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:45.0,Turnover by I. Thomas (bad pass; steal by C. Frye),,0,0
1,1,11:39.0,,E. Fournier makes 2-pt layup from 1 ft (assist by C. Frye),0,2
2,1,11:39.0,,Shooting foul by A. Bradley (drawn by E. Fournier),0,2
3,1,11:39.0,,E. Fournier makes free throw 1 of 1,0,3
4,1,11:24.0,J. Crowder makes 2-pt layup from 2 ft (assist by I. Thomas),,2,3
5,1,11:14.0,,Offensive foul by C. Frye (drawn by A. Bradley),2,3
6,1,11:14.0,,Turnover by C. Frye (offensive foul),2,3
7,1,11:01.0,A. Johnson misses 2-pt hook shot from 11 ft,,2,3
8,1,11:00.0,,Defensive rebound by N. Vučević,2,3
9,1,10:50.0,,T. Harris misses 3-pt jump shot from 25 ft,2,3
10,1,10:49.0,Defensive rebound by A. Johnson,,2,3
11,1,10:33.0,Turnover by A. Bradley (bad pass; steal by E. Fournier),,2,3
12,1,10:28.0,,T. Harris makes 2-pt layup from 1 ft,2,5
13,1,10:09.0,I. Thomas misses 2-pt jump shot from 11 ft,,2,5
14,1,10:07.0,,Defensive rebound by T. Harris,2,5
15,1,9:53.0,,N. Vučević misses 2-pt hook shot from 8 ft,2,5
16,1,9:51.0,,Offensive rebound by T. Harris,2,5
17,1,9:51.0,,T. Harris makes 2-pt layup from 1 ft,2,7
18,1,9:33.0,A. Johnson makes 2-pt dunk at rim (assist by J. Crowder),,4,7
19,1,9:10.0,,N. Vučević makes 2-pt hook shot from 10 ft,4,9
20,1,8:58.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by A. Johnson),,6,9
21,1,8:46.0,,Turnover by E. Fournier (bad pass; steal by I. Thomas),6,9
22,1,8:42.0,I. Thomas makes 2-pt layup from 1 ft,,8,9
23,1,8:28.0,,E. Fournier misses 3-pt jump shot from 25 ft,8,9
24,1,8:27.0,,Offensive rebound by N. Vučević,8,9
25,1,8:16.0,,N. Vučević misses 2-pt jump shot from 10 ft,8,9
26,1,8:15.0,Defensive rebound by J. Crowder,,8,9
27,1,8:08.0,I. Thomas misses 3-pt jump shot from 25 ft,,8,9
28,1,8:06.0,,Defensive rebound by T. Harris,8,9
29,1,7:49.0,,E. Fournier misses 2-pt layup from 2 ft,8,9
