,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
0,1,11:46.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by J. Butler),,2,0
1,1,11:24.0,,K. Bryant misses 3-pt jump shot from 23 ft,2,0
2,1,11:22.0,Defensive rebound by D. Rose,,2,0
3,1,11:08.0,P. Gasol misses 2-pt jump shot from 5 ft,,2,0
4,1,11:08.0,Offensive rebound by Team,,2,0
5,1,11:03.0,J. Butler misses 3-pt jump shot from 22 ft,,2,0
6,1,11:01.0,Offensive rebound by T. Gibson,,2,0
7,1,10:38.0,P. Gasol makes 2-pt hook shot from 1 ft,,4,0
8,1,10:23.0,,R. Hibbert makes 2-pt jump shot from 11 ft,4,2
9,1,10:04.0,J. Butler makes 2-pt layup at rim,,6,2
10,1,9:46.0,,J. Clarkson misses 3-pt jump shot from 24 ft,6,2
11,1,9:45.0,Defensive rebound by P. Gasol,,6,2
12,1,9:42.0,Personal foul by J. Randle (drawn by T. Gibson),,6,2
13,1,9:36.0,J. Butler misses 2-pt jump shot from 18 ft,,6,2
14,1,9:36.0,,Defensive rebound by Team,6,2
15,1,9:24.0,,J. Randle misses 2-pt jump shot from 17 ft,6,2
16,1,9:22.0,Defensive rebound by P. Gasol,,6,2
17,1,9:07.0,T. Gibson misses 2-pt layup from 1 ft,,6,2
18,1,9:03.0,Offensive rebound by E. Moore,,6,2
19,1,9:03.0,E. Moore makes 2-pt layup at rim,,8,2
20,1,8:51.0,,R. Hibbert makes 2-pt jump shot from 14 ft (assist by J. Clarkson),8,4
21,1,8:42.0,D. Rose makes 2-pt jump shot from 11 ft,,10,4
22,1,8:27.0,,J. Clarkson makes 2-pt jump shot from 9 ft,10,6
23,1,8:13.0,Turnover by P. Gasol (bad pass; steal by K. Bryant),,10,6
24,1,8:07.0,,A. Brown makes 2-pt dunk at rim (assist by K. Bryant),10,8
25,1,7:46.0,P. Gasol makes 2-pt jump shot from 14 ft (assist by J. Butler),,12,8
26,1,7:26.0,,Turnover by R. Hibbert (lost ball; steal by P. Gasol),12,8
27,1,7:17.0,E. Moore misses 3-pt jump shot from 23 ft,,12,8
28,1,7:16.0,,Defensive rebound by K. Bryant,12,8
29,1,6:53.0,,K. Bryant misses 2-pt jump shot from 11 ft,12,8
30,1,6:49.0,Defensive rebound by J. Butler,,12,8
31,1,6:43.0,D. Rose makes 2-pt layup from 1 ft (assist by J. Butler),,14,8
32,1,6:28.0,,Personal block foul by D. Rose (drawn by J. Clarkson),14,8
33,1,6:17.0,,R. Hibbert misses 2-pt layup from 2 ft (block by P. Gasol),14,8
34,1,6:15.0,Defensive rebound by J. Butler,,14,8
35,1,6:07.0,Turnover by P. Gasol (bad pass; steal by A. Brown),,14,8
36,1,6:02.0,,Turnover by J. Clarkson (bad pass; steal by T. Gibson),14,8
37,1,5:53.0,E. Moore misses 3-pt jump shot from 24 ft,,14,8
38,1,5:52.0,,Defensive rebound by J. Clarkson,14,8
39,1,5:44.0,,J. Clarkson misses 2-pt layup at rim,14,8
40,1,5:42.0,Defensive rebound by T. Gibson,,14,8
41,1,5:31.0,P. Gasol misses 2-pt jump shot from 12 ft,,14,8
42,1,5:28.0,Offensive rebound by T. Gibson,,14,8
43,1,5:28.0,T. Gibson makes 2-pt dunk at rim,,16,8
44,1,5:28.0,,LA Lakers full timeout,16,8
45,1,5:28.0,,D. Russell enters the game for A. Brown,16,8
46,1,5:28.0,A. Brooks enters the game for T. Gibson,,16,8
47,1,5:28.0,B. Portis enters the game for D. Rose,,16,8
48,1,5:06.0,,Turnover by J. Randle (lost ball; steal by E. Moore),16,8
49,1,5:00.0,E. Moore misses 2-pt layup from 1 ft (block by R. Hibbert),,16,8
50,1,5:00.0,Offensive rebound by B. Portis,,16,8
51,1,5:00.0,Shooting foul by D. Russell (drawn by B. Portis),,16,8
52,1,5:00.0,B. Portis makes free throw 1 of 2,,17,8
53,1,5:00.0,B. Portis makes free throw 2 of 2,,18,8
54,1,4:50.0,,Shooting foul by A. Brooks (drawn by J. Clarkson),18,8
55,1,4:50.0,,J. Clarkson makes free throw 1 of 2,18,9
56,1,4:50.0,,J. Clarkson makes free throw 2 of 2,18,10
57,1,4:30.0,E. Moore misses 3-pt jump shot from 22 ft,,18,10
58,1,4:28.0,,Defensive rebound by K. Bryant,18,10
59,1,4:18.0,,Turnover by K. Bryant (bad pass; steal by J. Butler),18,10
60,1,4:07.0,P. Gasol misses 2-pt jump shot from 18 ft,,18,10
61,1,4:05.0,,Defensive rebound by J. Randle,18,10
62,1,3:56.0,,K. Bryant misses 2-pt jump shot from 7 ft,18,10
63,1,3:54.0,Defensive rebound by P. Gasol,,18,10
64,1,3:49.0,B. Portis misses 2-pt jump shot from 7 ft,,18,10
65,1,3:46.0,,Defensive rebound by J. Randle,18,10
66,1,3:38.0,,J. Randle misses 2-pt jump shot from 19 ft,18,10
67,1,3:37.0,Defensive rebound by P. Gasol,,18,10
68,1,3:35.0,Turnover by P. Gasol (bad pass; steal by D. Russell),,18,10
69,1,3:20.0,,J. Randle misses 2-pt layup from 1 ft (block by A. Brooks),18,10
70,1,3:20.0,,Offensive rebound by Team,18,10
71,1,3:20.0,,L. Nance enters the game for J. Randle,18,10
72,1,3:20.0,,B. Bass enters the game for R. Hibbert,18,10
73,1,3:20.0,,N. Young enters the game for K. Bryant,18,10
74,1,3:17.0,,J. Clarkson misses 2-pt jump shot from 17 ft,18,10
75,1,3:16.0,Defensive rebound by P. Gasol,,18,10
76,1,2:58.0,A. Brooks makes 3-pt jump shot from 24 ft (assist by P. Gasol),,21,10
77,1,2:41.0,,Shooting foul by A. Brooks (drawn by J. Clarkson),21,10
78,1,2:41.0,Chicago full timeout,,21,10
79,1,2:41.0,D. McDermott enters the game for E. Moore,,21,10
80,1,2:41.0,,J. Clarkson makes free throw 1 of 2,21,11
81,1,2:41.0,,J. Clarkson makes free throw 2 of 2,21,12
82,1,2:27.0,Personal foul by N. Young (drawn by J. Butler),,21,12
83,1,2:17.0,A. Brooks makes 3-pt jump shot from 24 ft (assist by P. Gasol),,24,12
84,1,2:00.0,,B. Bass misses 2-pt jump shot from 11 ft,24,12
85,1,1:59.0,Defensive rebound by Team,,24,12
86,1,1:41.0,J. Butler makes 2-pt layup from 2 ft (assist by P. Gasol),,26,12
87,1,1:31.0,,Turnover by D. Russell (lost ball; steal by J. Butler),26,12
88,1,1:27.0,J. Butler makes 2-pt layup from 1 ft,,28,12
89,1,1:17.0,,Turnover by D. Russell (bad pass; steal by J. Butler),28,12
90,1,1:13.0,J. Butler makes 2-pt layup from 1 ft,,30,12
91,1,1:13.0,,LA Lakers full timeout,30,12
92,1,0:55.0,,L. Nance misses 2-pt layup at rim,30,12
93,1,0:51.0,Defensive rebound by P. Gasol,,30,12
94,1,0:38.0,J. Butler misses 2-pt jump shot from 13 ft,,30,12
95,1,0:35.0,,Defensive rebound by N. Young,30,12
96,1,0:31.0,,J. Clarkson makes 3-pt jump shot from 25 ft,30,15
97,1,0:14.0,D. McDermott makes 2-pt jump shot from 14 ft (assist by A. Brooks),,32,15
98,1,0:10.0,,Personal foul by J. Butler (drawn by D. Russell),32,15
99,1,0:01.0,,J. Clarkson misses 2-pt jump shot from 18 ft,32,15
100,1,0:00.0,Defensive rebound by Team,,32,15
101,2,11:47.0,,Turnover by D. Russell (traveling),32,15
102,2,11:35.0,D. McDermott makes 3-pt jump shot from 24 ft (assist by D. Rose),,35,15
103,2,11:12.0,,D. Russell misses 3-pt jump shot from 25 ft,35,15
104,2,11:11.0,Defensive rebound by B. Portis,,35,15
105,2,10:56.0,D. Rose makes 2-pt jump shot from 4 ft,,37,15
106,2,10:42.0,,N. Young makes 3-pt jump shot from 24 ft (assist by D. Russell),37,18
107,2,10:29.0,D. Rose makes 2-pt jump shot from 15 ft,,39,18
108,2,10:07.0,,L. Nance makes 2-pt jump shot from 10 ft (assist by B. Bass),39,20
109,2,9:53.0,A. Brooks misses 3-pt jump shot from 24 ft,,39,20
110,2,9:51.0,,Defensive rebound by L. Nance,39,20
111,2,9:47.0,,Personal foul by D. McDermott (drawn by N. Young),39,20
112,2,9:47.0,,K. Bryant enters the game for A. Brown,39,20
113,2,9:47.0,E. Moore enters the game for A. Brooks,,39,20
114,2,9:35.0,,N. Young makes 2-pt jump shot from 11 ft,39,22
115,2,9:15.0,B. Portis misses 2-pt jump shot from 17 ft,,39,22
116,2,9:14.0,,Defensive rebound by D. Russell,39,22
117,2,9:06.0,,B. Bass misses 2-pt jump shot from 17 ft,39,22
118,2,9:04.0,Defensive rebound by Team,,39,22
