,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:47.0,L. Deng misses 2-pt layup from 1 ft,,0,0
1,1,11:46.0,,Defensive rebound by P. Gasol,0,0
2,1,11:40.0,,D. Rose misses 2-pt jump shot from 7 ft,0,0
3,1,11:39.0,Defensive rebound by A. Stoudemire,,0,0
4,1,11:26.0,Turnover by D. Wade (bad pass),,0,0
5,1,11:11.0,,P. Gasol makes 2-pt jump shot from 12 ft,0,2
6,1,10:55.0,Personal foul by T. Gibson (drawn by C. Bosh),,0,2
7,1,10:55.0,C. Bosh misses free throw 1 of 2,,0,2
8,1,10:55.0,Offensive rebound by Team,,0,2
9,1,10:55.0,C. Bosh makes free throw 2 of 2,,1,2
10,1,10:32.0,,J. Butler misses 2-pt jump shot from 17 ft,1,2
11,1,10:31.0,Defensive rebound by C. Bosh,,1,2
12,1,10:23.0,A. Stoudemire misses 2-pt layup from 1 ft (block by P. Gasol),,1,2
13,1,10:21.0,Offensive rebound by A. Stoudemire,,1,2
14,1,10:19.0,D. Wade makes 2-pt jump shot from 7 ft (assist by A. Stoudemire),,3,2
15,1,10:05.0,,P. Gasol misses 2-pt jump shot from 21 ft,3,2
16,1,10:04.0,Defensive rebound by L. Deng,,3,2
17,1,9:55.0,B. Udrih makes 3-pt jump shot from 24 ft (assist by A. Stoudemire),,6,2
18,1,9:44.0,,T. Snell misses 3-pt jump shot from 24 ft,6,2
19,1,9:42.0,,Offensive rebound by P. Gasol,6,2
20,1,9:38.0,,T. Snell misses 3-pt jump shot from 24 ft,6,2
21,1,9:35.0,Defensive rebound by C. Bosh,,6,2
22,1,9:22.0,D. Wade misses 2-pt layup from 1 ft,,6,2
23,1,9:21.0,,Defensive rebound by P. Gasol,6,2
24,1,9:08.0,,T. Gibson misses 2-pt jump shot from 16 ft,6,2
25,1,9:06.0,Defensive rebound by A. Stoudemire,,6,2
26,1,8:45.0,C. Bosh misses 3-pt jump shot from 25 ft,,6,2
27,1,8:44.0,Offensive rebound by L. Deng,,6,2
28,1,8:43.0,L. Deng misses 2-pt layup from 1 ft,,6,2
29,1,8:41.0,,Defensive rebound by P. Gasol,6,2
30,1,8:35.0,,D. Rose misses 2-pt layup at rim,6,2
31,1,8:33.0,Defensive rebound by D. Wade,,6,2
32,1,8:29.0,L. Deng misses 2-pt layup at rim,,6,2
33,1,8:27.0,Offensive rebound by D. Wade,,6,2
34,1,8:27.0,D. Wade misses 2-pt layup from 1 ft,,6,2
35,1,8:26.0,,Defensive rebound by T. Snell,6,2
36,1,8:18.0,,P. Gasol makes 2-pt layup from 3 ft (assist by J. Butler),6,4
37,1,7:53.0,D. Wade makes 2-pt jump shot from 8 ft,,8,4
38,1,7:37.0,,P. Gasol makes 2-pt jump shot from 11 ft (assist by T. Snell),8,6
39,1,7:12.0,L. Deng misses 2-pt hook shot from 7 ft,,8,6
40,1,7:11.0,,Defensive rebound by P. Gasol,8,6
41,1,6:59.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by J. Butler),8,8
42,1,6:37.0,B. Udrih misses 2-pt jump shot from 20 ft,,8,8
43,1,6:36.0,,Defensive rebound by T. Gibson,8,8
44,1,6:25.0,,Turnover by T. Gibson (lost ball; steal by A. Stoudemire),8,8
45,1,6:25.0,,Loose ball foul by T. Gibson (drawn by A. Stoudemire),8,8
46,1,6:25.0,,N. Mirotić enters the game for T. Gibson,8,8
47,1,6:07.0,Personal foul by T. Snell (drawn by L. Deng),,8,8
48,1,6:07.0,G. Green enters the game for C. Bosh,,8,8
49,1,5:58.0,D. Wade misses 2-pt jump shot from 16 ft,,8,8
50,1,5:57.0,,Defensive rebound by J. Butler,8,8
51,1,5:40.0,,T. Snell misses 3-pt jump shot from 23 ft,8,8
52,1,5:39.0,Defensive rebound by A. Stoudemire,,8,8
53,1,5:34.0,L. Deng makes 2-pt dunk at rim,,10,8
54,1,5:16.0,,Shooting foul by G. Green (drawn by P. Gasol),10,8
55,1,5:16.0,,Chicago full timeout,10,8
56,1,5:16.0,,D. McDermott enters the game for T. Snell,10,8
57,1,5:16.0,,P. Gasol misses free throw 1 of 2,10,8
58,1,5:16.0,,Offensive rebound by Team,10,8
59,1,5:16.0,,P. Gasol makes free throw 2 of 2,10,9
60,1,5:00.0,L. Deng misses 2-pt jump shot from 4 ft,,10,9
61,1,4:59.0,,Defensive rebound by P. Gasol,10,9
62,1,4:54.0,,D. Rose makes 2-pt layup from 1 ft,10,11
63,1,4:37.0,G. Green misses 2-pt jump shot from 17 ft,,10,11
64,1,4:36.0,,Defensive rebound by P. Gasol,10,11
65,1,4:27.0,,N. Mirotić makes 2-pt layup from 3 ft (assist by J. Butler),10,13
66,1,4:19.0,Miami full timeout,,10,13
67,1,4:19.0,,A. Brooks enters the game for D. Rose,10,13
68,1,4:19.0,T. Johnson enters the game for B. Udrih,,10,13
69,1,4:11.0,Turnover by T. Johnson (bad pass; steal by N. Mirotić),,10,13
70,1,4:07.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by A. Brooks),10,15
71,1,4:07.0,,Shooting foul by T. Johnson (drawn by N. Mirotić),10,15
72,1,4:07.0,C. Bosh enters the game for A. Stoudemire,,10,15
73,1,4:07.0,U. Haslem enters the game for L. Deng,,10,15
74,1,4:07.0,J. Winslow enters the game for D. Wade,,10,15
75,1,4:07.0,,N. Mirotić misses free throw 1 of 1,10,15
76,1,4:05.0,Defensive rebound by U. Haslem,,10,15
77,1,3:51.0,G. Green misses 2-pt jump shot from 7 ft (block by N. Mirotić),,10,15
78,1,3:49.0,,Defensive rebound by P. Gasol,10,15
79,1,3:40.0,,P. Gasol makes 2-pt layup at rim (assist by D. McDermott),10,17
80,1,3:25.0,G. Green makes 2-pt jump shot from 12 ft (assist by U. Haslem),,12,17
81,1,3:08.0,,J. Butler makes 2-pt jump shot from 7 ft,12,19
82,1,2:39.0,G. Green misses 3-pt jump shot from 26 ft,,12,19
83,1,2:39.0,Offensive rebound by Team,,12,19
84,1,2:39.0,Turnover by Team (shot clock),,12,19
85,1,2:25.0,,J. Butler misses 2-pt jump shot from 18 ft,12,19
86,1,2:24.0,Defensive rebound by C. Bosh,,12,19
87,1,2:15.0,C. Bosh misses 3-pt jump shot from 25 ft,,12,19
88,1,2:14.0,,Defensive rebound by P. Gasol,12,19
89,1,2:00.0,,D. McDermott misses 3-pt jump shot from 26 ft,12,19
90,1,1:58.0,,Offensive rebound by P. Gasol,12,19
91,1,1:55.0,,P. Gasol misses 2-pt jump shot from 20 ft,12,19
92,1,1:54.0,Defensive rebound by C. Bosh,,12,19
93,1,1:48.0,G. Green makes 2-pt jump shot from 15 ft,,14,19
94,1,1:37.0,,N. Mirotić makes 2-pt dunk at rim (assist by A. Brooks),14,21
95,1,1:03.0,J. Winslow makes 2-pt jump shot from 16 ft (assist by G. Green),,16,21
96,1,0:39.0,,N. Mirotić misses 2-pt layup at rim,16,21
97,1,0:38.0,,Offensive rebound by N. Mirotić,16,21
98,1,0:37.0,,P. Gasol makes 2-pt layup from 1 ft (assist by N. Mirotić),16,23
99,1,0:20.0,C. Bosh makes 2-pt layup from 1 ft (assist by G. Green),,18,23
100,1,0:07.0,,Personal take foul by J. Winslow (drawn by J. Butler),18,23
101,1,0:03.0,,Turnover by N. Mirotić (lost ball),18,23
102,1,0:00.0,G. Green misses 3-pt jump shot from 41 ft,,18,23
103,1,0:00.0,Offensive rebound by Team,,18,23
104,2,11:41.0,,D. McDermott makes 3-pt jump shot from 22 ft (assist by A. Brooks),18,26
105,2,11:30.0,T. Johnson makes 2-pt layup from 2 ft,,20,26
106,2,11:17.0,,A. Brooks makes 3-pt jump shot from 22 ft (assist by N. Mirotić),20,29
107,2,11:00.0,C. Bosh makes 3-pt jump shot from 23 ft (assist by J. Winslow),,23,29
108,2,10:46.0,,B. Portis misses 2-pt jump shot from 21 ft,23,29
109,2,10:45.0,Defensive rebound by G. Green,,23,29
110,2,10:37.0,G. Green misses 3-pt jump shot from 26 ft,,23,29
111,2,10:36.0,,Defensive rebound by N. Mirotić,23,29
112,2,10:28.0,,N. Mirotić misses 3-pt jump shot from 25 ft,23,29
113,2,10:28.0,Defensive rebound by Team,,23,29
114,2,10:28.0,,Loose ball foul by B. Portis (drawn by U. Haslem),23,29
115,2,10:28.0,D. Wade enters the game for U. Haslem,,23,29
116,2,10:11.0,D. Wade makes 2-pt jump shot from 19 ft,,25,29
117,2,10:00.0,,Turnover by A. Brooks (traveling),25,29
118,2,9:51.0,T. Johnson makes 2-pt dunk at rim,,27,29
119,2,9:50.0,,Chicago full timeout,27,29
120,2,9:50.0,,D. Rose enters the game for A. Brooks,27,29
121,2,9:37.0,,D. McDermott makes 2-pt jump shot from 16 ft (assist by D. Rose),27,31
122,2,9:25.0,Shooting foul by B. Portis (drawn by D. Wade),,27,31
123,2,9:25.0,D. Wade makes free throw 1 of 2,,28,31
124,2,9:25.0,,T. Gibson enters the game for B. Portis,28,31
125,2,9:25.0,D. Wade makes free throw 2 of 2,,29,31
126,2,9:08.0,,D. McDermott misses 2-pt jump shot from 16 ft,29,31
127,2,9:06.0,Defensive rebound by C. Bosh,,29,31
128,2,8:59.0,T. Johnson misses 2-pt jump shot from 20 ft,,29,31
129,2,8:58.0,,Defensive rebound by T. Gibson,29,31
