,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
0,1,11:47.0,K. Leonard misses 2-pt layup from 2 ft,,0,0
1,1,11:46.0,,Defensive rebound by T. Snell,0,0
2,1,11:31.0,,P. Gasol makes 2-pt hook shot from 6 ft (assist by J. Butler),0,2
3,1,11:06.0,L. Aldridge misses 2-pt jump shot from 11 ft,,0,2
4,1,11:03.0,Offensive rebound by K. Leonard,,0,2
5,1,11:03.0,K. Leonard makes 2-pt layup at rim,,2,2
6,1,10:50.0,,P. Gasol makes 2-pt jump shot from 14 ft (assist by N. Mirotić),2,4
7,1,10:33.0,D. Green makes 2-pt jump shot from 8 ft (assist by T. Parker),,4,4
8,1,10:25.0,,N. Mirotić misses 2-pt layup from 2 ft,4,4
9,1,10:21.0,Defensive rebound by L. Aldridge,,4,4
10,1,10:07.0,T. Duncan makes 2-pt dunk at rim (assist by K. Leonard),,6,4
11,1,9:50.0,,P. Gasol misses 2-pt jump shot from 17 ft,6,4
12,1,9:49.0,Defensive rebound by D. Green,,6,4
13,1,9:38.0,T. Duncan misses 2-pt layup from 1 ft (block by P. Gasol),,6,4
14,1,9:36.0,,Defensive rebound by P. Gasol,6,4
15,1,9:25.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by D. Rose),6,7
16,1,9:06.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),,8,7
17,1,8:51.0,,N. Mirotić misses 2-pt jump shot from 21 ft,8,7
18,1,8:50.0,Defensive rebound by T. Duncan,,8,7
19,1,8:41.0,T. Duncan misses 2-pt jump shot from 20 ft,,8,7
20,1,8:40.0,,Defensive rebound by D. Rose,8,7
21,1,8:28.0,,N. Mirotić misses 3-pt jump shot from 25 ft,8,7
22,1,8:27.0,Defensive rebound by T. Duncan,,8,7
23,1,8:12.0,T. Parker makes 2-pt layup from 2 ft,,10,7
24,1,8:01.0,,P. Gasol misses 2-pt jump shot from 17 ft,10,7
25,1,8:00.0,Defensive rebound by L. Aldridge,,10,7
26,1,7:44.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Green),,12,7
27,1,7:32.0,,Personal foul by K. Leonard (drawn by J. Butler),12,7
28,1,7:25.0,,P. Gasol makes 2-pt layup from 1 ft (assist by N. Mirotić),12,9
29,1,7:11.0,T. Parker misses 2-pt jump shot from 15 ft,,12,9
