,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,A. Wiggins misses 2-pt jump shot from 18 ft,0,0
1,1,11:44.0,,Offensive rebound by Z. LaVine,0,0
2,1,11:30.0,,A. Wiggins makes 2-pt jump shot from 21 ft (assist by G. Dieng),0,2
3,1,11:10.0,A. Bradley misses 3-pt jump shot from 22 ft,,0,2
4,1,11:08.0,,Defensive rebound by R. Rubio,0,2
5,1,10:54.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by R. Rubio),0,4
6,1,10:37.0,J. Sullinger makes 2-pt jump shot from 21 ft (assist by I. Thomas),,2,4
7,1,10:18.0,,K. Towns misses 2-pt layup from 1 ft (block by A. Johnson),2,4
8,1,10:16.0,Defensive rebound by A. Bradley,,2,4
9,1,10:12.0,A. Bradley misses 2-pt jump shot from 20 ft,,2,4
10,1,10:11.0,,Defensive rebound by R. Rubio,2,4
11,1,10:08.0,,Turnover by Z. LaVine (bad pass),2,4
12,1,9:50.0,J. Sullinger makes 2-pt jump shot from 17 ft (assist by I. Thomas),,4,4
13,1,9:32.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by R. Rubio),4,6
14,1,9:23.0,Personal foul by R. Rubio,,4,6
15,1,9:17.0,I. Thomas misses 2-pt jump shot from 20 ft,,4,6
16,1,9:16.0,,Defensive rebound by K. Towns,4,6
17,1,9:10.0,,Personal foul by I. Thomas,4,6
18,1,9:06.0,,A. Wiggins misses 2-pt jump shot from 21 ft,4,6
19,1,9:04.0,,Offensive rebound by G. Dieng,4,6
20,1,8:57.0,Violation by I. Thomas (kicked ball),,4,6
21,1,8:47.0,,A. Wiggins makes 2-pt jump shot from 7 ft,4,8
22,1,8:38.0,Shooting foul by A. Wiggins (drawn by J. Crowder),,4,8
23,1,8:38.0,J. Crowder makes free throw 1 of 2,,5,8
24,1,8:38.0,J. Crowder makes free throw 2 of 2,,6,8
25,1,8:26.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),6,10
26,1,8:08.0,Shooting foul by K. Towns (drawn by J. Sullinger),,6,10
27,1,8:08.0,J. Sullinger misses free throw 1 of 2,,6,10
28,1,8:08.0,Offensive rebound by Team,,6,10
29,1,8:08.0,J. Sullinger misses free throw 2 of 2,,6,10
30,1,8:08.0,,Defensive rebound by G. Dieng,6,10
31,1,7:55.0,,R. Rubio makes 2-pt jump shot from 13 ft,6,12
32,1,7:40.0,A. Johnson misses 2-pt jump shot from 5 ft,,6,12
33,1,7:38.0,Offensive rebound by Team,,6,12
34,1,7:26.0,I. Thomas misses 3-pt jump shot from 24 ft,,6,12
35,1,7:23.0,Offensive rebound by A. Johnson,,6,12
36,1,7:19.0,J. Crowder misses 3-pt jump shot from 24 ft,,6,12
37,1,7:18.0,,Defensive rebound by Z. LaVine,6,12
38,1,7:08.0,,G. Dieng misses 2-pt layup at rim,6,12
39,1,7:07.0,Defensive rebound by J. Crowder,,6,12
40,1,7:04.0,,Violation by Z. LaVine (def goaltending),6,12
41,1,7:04.0,A. Bradley makes 2-pt layup from 1 ft (assist by J. Crowder),,8,12
42,1,6:49.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by A. Wiggins),8,15
43,1,6:35.0,A. Bradley misses 2-pt jump shot from 12 ft,,8,15
44,1,6:34.0,,Defensive rebound by R. Rubio,8,15
45,1,6:24.0,,K. Towns makes 2-pt jump shot from 4 ft (assist by R. Rubio),8,17
46,1,6:22.0,Boston full timeout,,8,17
47,1,6:12.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by I. Thomas),,11,17
48,1,5:59.0,,Personal foul by A. Johnson,11,17
49,1,5:50.0,,A. Wiggins misses 2-pt jump shot from 16 ft,11,17
50,1,5:48.0,,Offensive rebound by K. Towns,11,17
51,1,5:45.0,,Z. LaVine makes 3-pt jump shot from 22 ft (assist by K. Towns),11,20
52,1,5:22.0,I. Thomas misses 3-pt jump shot from 22 ft,,11,20
53,1,5:21.0,,Defensive rebound by G. Dieng,11,20
54,1,5:07.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by R. Rubio),11,22
55,1,4:56.0,J. Sullinger makes 2-pt jump shot from 20 ft (assist by I. Thomas),,13,22
56,1,4:34.0,,K. Towns makes 2-pt jump shot from 21 ft,13,24
57,1,4:23.0,I. Thomas misses 2-pt layup from 1 ft (block by G. Dieng),,13,24
58,1,4:22.0,,Defensive rebound by K. Towns,13,24
59,1,4:19.0,M. Smart enters the game for A. Bradley,,13,24
60,1,4:19.0,E. Turner enters the game for A. Johnson,,13,24
61,1,4:10.0,,A. Wiggins misses 2-pt jump shot from 6 ft,13,24
62,1,4:09.0,Defensive rebound by E. Turner,,13,24
63,1,4:01.0,J. Crowder misses 3-pt jump shot from 23 ft,,13,24
64,1,4:00.0,,Defensive rebound by Z. LaVine,13,24
65,1,3:56.0,,Turnover by Z. LaVine (bad pass; steal by M. Smart),13,24
66,1,3:50.0,M. Smart makes 2-pt layup from 2 ft,,15,24
67,1,3:40.0,,Minnesota full timeout,15,24
68,1,3:40.0,,T. Prince enters the game for G. Dieng,15,24
69,1,3:27.0,,K. Towns makes 2-pt hook shot from 10 ft (assist by A. Wiggins),15,26
70,1,3:12.0,M. Smart misses 3-pt jump shot from 24 ft,,15,26
71,1,3:11.0,,Defensive rebound by K. Towns,15,26
72,1,3:07.0,,Turnover by R. Rubio (bad pass; steal by M. Smart),15,26
73,1,3:01.0,I. Thomas misses 2-pt jump shot from 21 ft,,15,26
74,1,3:00.0,,Defensive rebound by K. Towns,15,26
75,1,2:43.0,,Shooting foul by J. Sullinger (drawn by K. Towns),15,26
76,1,2:43.0,,K. Towns makes free throw 1 of 2,15,27
77,1,2:43.0,J. Jerebko enters the game for J. Sullinger,,15,27
78,1,2:43.0,T. Zeller enters the game for I. Thomas,,15,27
79,1,2:43.0,,T. Jones enters the game for R. Rubio,15,27
80,1,2:43.0,,K. Towns misses free throw 2 of 2,15,27
81,1,2:43.0,Defensive rebound by J. Jerebko,,15,27
82,1,2:24.0,T. Zeller misses 2-pt layup at rim,,15,27
83,1,2:23.0,Offensive rebound by T. Zeller,,15,27
84,1,2:21.0,T. Zeller misses 2-pt hook shot from 3 ft,,15,27
85,1,2:20.0,,Defensive rebound by K. Towns,15,27
86,1,2:13.0,,Z. LaVine misses 2-pt jump shot from 20 ft,15,27
87,1,2:12.0,Defensive rebound by E. Turner,,15,27
88,1,2:03.0,Turnover by E. Turner (bad pass),,15,27
89,1,1:52.0,,K. Towns misses 2-pt jump shot from 7 ft,15,27
90,1,1:51.0,,Offensive rebound by K. Towns,15,27
91,1,1:48.0,,K. Towns makes 2-pt jump shot from 5 ft,15,29
92,1,1:32.0,J. Jerebko misses 2-pt jump shot from 7 ft,,15,29
93,1,1:31.0,,Defensive rebound by T. Jones,15,29
94,1,1:16.0,,K. Towns makes 2-pt layup at rim (assist by T. Prince),15,31
95,1,0:58.0,E. Turner makes 2-pt jump shot from 12 ft (assist by M. Smart),,17,31
96,1,0:46.0,,K. Towns misses 2-pt jump shot from 18 ft,17,31
97,1,0:45.0,Defensive rebound by J. Jerebko,,17,31
98,1,0:37.0,E. Turner makes 2-pt jump shot from 14 ft,,19,31
