,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,J. Wall misses 2-pt jump shot from 17 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Parker,0,0
2,1,11:26.0,,Turnover by J. Parker (bad pass; steal by O. Porter),0,0
3,1,11:03.0,M. Gortat misses 2-pt jump shot from 15 ft,,0,0
4,1,11:01.0,,Defensive rebound by M. Plumlee,0,0
5,1,10:47.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,0,0
6,1,10:46.0,,Offensive rebound by G. Antetokounmpo,0,0
7,1,10:37.0,,M. Plumlee makes 2-pt hook shot from 2 ft (assist by G. Antetokounmpo),0,2
8,1,10:32.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,2,2
9,1,10:20.0,,K. Middleton misses 2-pt jump shot from 19 ft (block by B. Beal),2,2
10,1,10:20.0,,Offensive rebound by Team,2,2
11,1,10:11.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,2,2
12,1,10:10.0,Defensive rebound by J. Wall,,2,2
13,1,10:03.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,5,2
14,1,9:44.0,,Shooting foul by M. Gortat (drawn by J. Parker),5,2
15,1,9:44.0,,J. Parker makes free throw 1 of 2,5,3
16,1,9:44.0,,J. Parker misses free throw 2 of 2,5,3
17,1,9:43.0,Defensive rebound by J. Dudley,,5,3
18,1,9:36.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,7,3
19,1,9:17.0,,J. Parker misses 2-pt jump shot from 7 ft,7,3
20,1,9:16.0,Defensive rebound by J. Dudley,,7,3
21,1,9:13.0,Personal foul by O. Mayo (drawn by J. Wall),,7,3
22,1,9:02.0,M. Gortat misses 2-pt hook shot from 6 ft,,7,3
23,1,9:00.0,,Defensive rebound by M. Plumlee,7,3
24,1,8:44.0,,G. Antetokounmpo makes 3-pt jump shot from 22 ft (assist by K. Middleton),7,6
25,1,8:30.0,J. Wall makes 3-pt jump shot from 23 ft (assist by B. Beal),,10,6
