,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,K. Korver makes 2-pt jump shot from 17 ft (assist by A. Horford),,2,0
1,1,11:18.0,,M. Carter-Williams makes 2-pt jump shot from 20 ft (assist by G. Monroe),2,2
2,1,11:02.0,P. Millsap makes 2-pt jump shot from 5 ft (assist by A. Horford),,4,2
3,1,10:53.0,,Personal block foul by K. Bazemore (drawn by G. Antetokounmpo),4,2
4,1,10:48.0,,Turnover by J. Parker (bad pass),4,2
5,1,10:36.0,K. Bazemore misses 2-pt jump shot from 3 ft (block by J. Parker),,4,2
6,1,10:33.0,,Defensive rebound by G. Antetokounmpo,4,2
7,1,10:29.0,,G. Antetokounmpo makes 2-pt layup at rim,4,4
8,1,10:13.0,P. Millsap makes 2-pt layup at rim (assist by K. Korver),,6,4
9,1,10:01.0,,K. Middleton misses 2-pt jump shot from 13 ft,6,4
10,1,10:00.0,Defensive rebound by A. Horford,,6,4
11,1,9:47.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by J. Teague),,9,4
12,1,9:29.0,,J. Parker makes 2-pt layup from 2 ft,9,6
13,1,9:02.0,Turnover by Team (shot clock),,9,6
14,1,8:52.0,,G. Antetokounmpo misses 2-pt layup at rim (block by P. Millsap),9,6
15,1,8:50.0,,Offensive rebound by G. Monroe,9,6
16,1,8:49.0,,G. Monroe makes 2-pt layup at rim,9,8
17,1,8:32.0,Turnover by A. Horford (step out of bounds),,9,8
18,1,8:20.0,,J. Parker misses 2-pt jump shot from 14 ft,9,8
19,1,8:19.0,Defensive rebound by K. Korver,,9,8
20,1,8:14.0,K. Korver makes 2-pt jump shot from 19 ft (assist by J. Teague),,11,8
21,1,8:00.0,,G. Monroe misses 2-pt layup from 2 ft (block by P. Millsap),11,8
22,1,7:57.0,,Offensive rebound by J. Parker,11,8
23,1,7:56.0,,J. Parker makes 2-pt layup from 1 ft,11,10
24,1,7:47.0,Personal block foul by M. Carter-Williams (drawn by J. Teague),,11,10
25,1,7:39.0,Turnover by A. Horford (step out of bounds),,11,10
26,1,7:39.0,T. Sefolosha enters the game for K. Bazemore,,11,10
27,1,7:23.0,,G. Antetokounmpo misses 2-pt jump shot from 4 ft,11,10
28,1,7:22.0,Defensive rebound by J. Teague,,11,10
29,1,7:16.0,A. Horford makes 2-pt layup from 1 ft (assist by K. Korver),,13,10
30,1,6:58.0,,G. Monroe misses 2-pt layup from 2 ft (block by A. Horford),13,10
31,1,6:57.0,,Offensive rebound by J. Parker,13,10
32,1,6:54.0,,Shooting foul by K. Korver (drawn by G. Monroe),13,10
33,1,6:54.0,,G. Monroe makes free throw 1 of 2,13,11
34,1,6:54.0,T. Splitter enters the game for A. Horford,,13,11
35,1,6:54.0,,G. Monroe misses free throw 2 of 2,13,11
36,1,6:53.0,Defensive rebound by P. Millsap,,13,11
37,1,6:43.0,J. Teague misses 2-pt jump shot from 18 ft,,13,11
38,1,6:42.0,,Defensive rebound by M. Carter-Williams,13,11
39,1,6:35.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,13,11
40,1,6:34.0,Defensive rebound by P. Millsap,,13,11
41,1,6:27.0,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),,16,11
42,1,6:26.0,,Milwaukee full timeout,16,11
43,1,6:26.0,,J. Henson enters the game for G. Monroe,16,11
44,1,6:02.0,,J. Parker misses 2-pt jump shot from 6 ft,16,11
45,1,6:02.0,,Offensive rebound by Team,16,11
46,1,6:02.0,,Turnover by Team (shot clock),16,11
47,1,5:55.0,,Violation by M. Carter-Williams (kicked ball),16,11
48,1,5:49.0,P. Millsap misses 2-pt layup at rim,,16,11
49,1,5:46.0,,Defensive rebound by J. Parker,16,11
50,1,5:38.0,,K. Middleton makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),16,13
51,1,5:31.0,T. Sefolosha misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,16,13
52,1,5:29.0,Offensive rebound by T. Splitter,,16,13
53,1,5:27.0,T. Splitter misses 2-pt layup at rim (block by J. Henson),,16,13
54,1,5:24.0,,Defensive rebound by M. Carter-Williams,16,13
55,1,5:22.0,,J. Parker misses 2-pt dunk at rim,16,13
56,1,5:18.0,Defensive rebound by P. Millsap,,16,13
57,1,4:58.0,P. Millsap misses 3-pt jump shot from 23 ft,,16,13
58,1,4:57.0,,Defensive rebound by M. Carter-Williams,16,13
59,1,4:49.0,,K. Middleton misses 3-pt jump shot from 27 ft,16,13
60,1,4:48.0,,Offensive rebound by G. Antetokounmpo,16,13
61,1,4:45.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by T. Sefolosha),16,13
62,1,4:43.0,Defensive rebound by K. Korver,,16,13
63,1,4:30.0,T. Splitter misses 2-pt layup from 1 ft,,16,13
64,1,4:28.0,,Defensive rebound by J. Henson,16,13
65,1,4:18.0,,Turnover by M. Carter-Williams (bad pass),16,13
66,1,4:18.0,,J. O'Bryant enters the game for G. Antetokounmpo,16,13
67,1,4:18.0,D. Schröder enters the game for K. Korver,,16,13
68,1,4:18.0,K. Bazemore enters the game for J. Teague,,16,13
69,1,4:07.0,Shooting block foul by J. O'Bryant (drawn by P. Millsap),,16,13
70,1,4:07.0,P. Millsap makes free throw 1 of 2,,17,13
71,1,4:07.0,P. Millsap makes free throw 2 of 2,,18,13
72,1,4:03.0,,Turnover by M. Carter-Williams (lost ball),18,13
73,1,3:49.0,P. Millsap makes 2-pt dunk at rim,,20,13
74,1,3:27.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by J. O'Bryant),20,15
75,1,3:18.0,P. Millsap misses 2-pt jump shot from 17 ft,,20,15
76,1,3:17.0,,Defensive rebound by J. Parker,20,15
77,1,3:13.0,,Shooting foul by P. Millsap (drawn by J. Henson),20,15
78,1,3:13.0,,J. Henson misses free throw 1 of 2,20,15
79,1,3:13.0,,Offensive rebound by Team,20,15
80,1,3:13.0,,T. Ennis enters the game for M. Carter-Williams,20,15
81,1,3:13.0,Atlanta full timeout,,20,15
82,1,3:13.0,A. Horford enters the game for P. Millsap,,20,15
83,1,3:13.0,,J. Henson makes free throw 2 of 2,20,16
84,1,2:52.0,Offensive foul by K. Bazemore (drawn by J. O'Bryant),,20,16
85,1,2:52.0,Turnover by K. Bazemore (offensive foul),,20,16
86,1,2:52.0,K. Korver enters the game for K. Bazemore,,20,16
87,1,2:37.0,,Shooting foul by K. Korver (drawn by K. Middleton),20,16
88,1,2:37.0,,K. Middleton makes 2-pt jump shot from 20 ft,20,18
89,1,2:37.0,M. Scott enters the game for T. Splitter,,20,18
90,1,2:37.0,,K. Middleton misses free throw 1 of 1,20,18
91,1,2:32.0,Defensive rebound by T. Sefolosha,,20,18
92,1,2:26.0,Turnover by A. Horford (lost ball; steal by K. Middleton),,20,18
93,1,2:22.0,,K. Middleton makes 2-pt layup at rim (assist by J. Parker),20,20
94,1,1:54.0,A. Horford misses 2-pt jump shot from 17 ft,,20,20
95,1,1:53.0,Offensive rebound by T. Sefolosha,,20,20
96,1,1:49.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),,23,20
97,1,1:36.0,,K. Middleton makes 2-pt layup from 5 ft,23,22
98,1,1:21.0,A. Horford misses 2-pt jump shot from 3 ft,,23,22
99,1,1:21.0,Offensive rebound by Team,,23,22
100,1,1:21.0,,Loose ball foul by J. O'Bryant (drawn by T. Sefolosha),23,22
101,1,1:21.0,T. Hardaway enters the game for K. Korver,,23,22
102,1,1:21.0,,G. Antetokounmpo enters the game for J. Parker,23,22
103,1,1:13.0,D. Schröder misses 2-pt layup from 1 ft,,23,22
104,1,1:11.0,,Defensive rebound by J. Henson,23,22
105,1,0:57.0,,K. Middleton misses 2-pt jump shot from 21 ft,23,22
106,1,0:56.0,,Offensive rebound by G. Antetokounmpo,23,22
107,1,0:49.0,,K. Middleton misses 3-pt jump shot from 27 ft,23,22
108,1,0:48.0,Defensive rebound by D. Schröder,,23,22
109,1,0:41.0,M. Scott makes 3-pt jump shot from 28 ft (assist by D. Schröder),,26,22
110,1,0:20.0,,J. Henson misses 2-pt hook shot from 7 ft,26,22
111,1,0:19.0,Defensive rebound by D. Schröder,,26,22
112,1,0:02.0,D. Schröder makes 2-pt jump shot from 4 ft,,28,22
113,1,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 69 ft,28,22
114,1,0:00.0,,Offensive rebound by Team,28,22
115,2,11:42.0,,G. Monroe misses 2-pt layup from 1 ft (block by T. Sefolosha),28,22
116,2,11:42.0,,Offensive rebound by G. Monroe,28,22
117,2,11:42.0,,Shooting foul by T. Sefolosha (drawn by G. Monroe),28,22
118,2,11:42.0,,G. Monroe misses free throw 1 of 2,28,22
119,2,11:42.0,,Offensive rebound by Team,28,22
120,2,11:42.0,,G. Monroe makes free throw 2 of 2,28,23
121,2,11:26.0,D. Schröder misses 2-pt layup from 2 ft,,28,23
122,2,11:25.0,,Defensive rebound by G. Antetokounmpo,28,23
123,2,11:07.0,,G. Monroe misses 2-pt layup at rim (block by A. Horford),28,23
124,2,11:03.0,,Offensive rebound by G. Monroe,28,23
125,2,11:02.0,,G. Monroe makes 2-pt layup from 1 ft,28,25
126,2,10:56.0,D. Schröder makes 2-pt layup at rim,,30,25
127,2,10:31.0,,Turnover by G. Monroe (lost ball; steal by T. Hardaway),30,25
128,2,10:24.0,A. Horford misses 2-pt jump shot from 17 ft,,30,25
129,2,10:22.0,,Defensive rebound by G. Antetokounmpo,30,25
130,2,10:10.0,,G. Monroe makes 2-pt layup at rim (assist by T. Ennis),30,27
131,2,9:52.0,A. Horford makes 2-pt layup from 1 ft,,32,27
132,2,9:29.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),32,29
133,2,9:16.0,Personal foul by T. Ennis (drawn by D. Schröder),,32,29
134,2,9:16.0,,M. Carter-Williams enters the game for T. Ennis,32,29
135,2,9:16.0,K. Bazemore enters the game for T. Sefolosha,,32,29
136,2,9:09.0,Turnover by D. Schröder (traveling),,32,29
137,2,8:52.0,,J. Henson makes 2-pt dunk at rim (assist by G. Monroe),32,31
138,2,8:33.0,T. Hardaway misses 3-pt jump shot from 27 ft,,32,31
139,2,8:32.0,,Defensive rebound by G. Monroe,32,31
140,2,8:18.0,,Turnover by J. Henson (3 sec),32,31
141,2,8:18.0,Official timeout,,32,31
142,2,8:18.0,J. Teague enters the game for A. Horford,,32,31
143,2,8:18.0,P. Millsap enters the game for D. Schröder,,32,31
144,2,8:18.0,T. Splitter enters the game for M. Scott,,32,31
145,2,8:18.0,K. Korver enters the game for T. Hardaway,,32,31
146,2,8:08.0,P. Millsap misses 2-pt hook shot from 6 ft,,32,31
147,2,8:08.0,Offensive rebound by Team,,32,31
148,2,8:08.0,,Loose ball foul by M. Carter-Williams (drawn by T. Splitter),32,31
149,2,8:04.0,Personal block foul by J. Henson (drawn by K. Bazemore),,32,31
150,2,7:57.0,K. Bazemore misses 3-pt jump shot from 23 ft,,32,31
151,2,7:56.0,Offensive rebound by T. Splitter,,32,31
152,2,7:55.0,T. Splitter makes 2-pt layup at rim,,34,31
153,2,7:39.0,,Turnover by J. Henson (traveling),34,31
154,2,7:24.0,J. Teague misses 2-pt layup from 1 ft (block by J. Henson),,34,31
155,2,7:23.0,,Defensive rebound by Team,34,31
156,2,7:11.0,,M. Carter-Williams makes 2-pt jump shot from 17 ft,34,33
157,2,7:11.0,,Shooting foul by J. Teague (drawn by M. Carter-Williams),34,33
158,2,7:11.0,,M. Carter-Williams makes free throw 1 of 1,34,34
159,2,6:56.0,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Teague),,37,34
160,2,6:46.0,,M. Carter-Williams misses 2-pt jump shot from 16 ft,37,34
161,2,6:45.0,Defensive rebound by P. Millsap,,37,34
162,2,6:36.0,K. Korver makes 2-pt jump shot from 22 ft (assist by P. Millsap),,39,34
163,2,6:29.0,,Milwaukee full timeout,39,34
164,2,6:29.0,,J. Parker enters the game for J. Henson,39,34
165,2,6:29.0,,K. Middleton enters the game for R. Vaughn,39,34
166,2,6:10.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Carter-Williams),39,36
167,2,5:55.0,Turnover by J. Teague (bad pass; steal by M. Carter-Williams),,39,36
168,2,5:51.0,,J. Parker makes 2-pt layup at rim,39,38
169,2,5:37.0,T. Splitter makes 2-pt layup at rim (assist by P. Millsap),,41,38
170,2,5:27.0,,Shooting block foul by K. Bazemore (drawn by G. Monroe),41,38
171,2,5:27.0,,G. Monroe misses free throw 1 of 2,41,38
172,2,5:27.0,,Offensive rebound by Team,41,38
173,2,5:27.0,T. Sefolosha enters the game for K. Bazemore,,41,38
174,2,5:27.0,,G. Monroe misses free throw 2 of 2,41,38
175,2,5:26.0,Defensive rebound by P. Millsap,,41,38
176,2,5:14.0,J. Teague makes 3-pt jump shot from 25 ft,,44,38
177,2,4:58.0,,Shooting foul by T. Splitter (drawn by G. Monroe),44,38
178,2,4:58.0,,G. Monroe makes free throw 1 of 2,44,39
179,2,4:58.0,,G. Monroe makes free throw 2 of 2,44,40
180,2,4:34.0,P. Millsap misses 2-pt layup from 3 ft,,44,40
181,2,4:32.0,,Defensive rebound by M. Carter-Williams,44,40
182,2,4:25.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,44,40
