,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:43.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,0,2
1,1,11:31.0,Personal foul by J. Leuer (drawn by K. Faried),,0,2
2,1,11:16.0,D. Gallinari misses 3-pt jump shot from 22 ft,,0,2
3,1,11:13.0,Offensive rebound by K. Faried,,0,2
4,1,11:13.0,K. Faried makes 2-pt dunk at rim,,2,2
5,1,10:59.0,,E. Bledsoe misses 2-pt jump shot from 3 ft,2,2
6,1,10:59.0,Defensive rebound by J. Hickson,,2,2
7,1,10:51.0,E. Mudiay makes 2-pt jump shot from 18 ft,,4,2
8,1,10:42.0,,T. Chandler misses 2-pt dunk at rim,4,2
9,1,10:42.0,Defensive rebound by E. Mudiay,,4,2
10,1,10:19.0,E. Mudiay misses 3-pt jump shot from 24 ft,,4,2
11,1,10:18.0,,Defensive rebound by T. Chandler,4,2
12,1,10:12.0,,P. Tucker misses 2-pt layup from 1 ft,4,2
13,1,10:10.0,Defensive rebound by K. Faried,,4,2
14,1,9:59.0,D. Gallinari misses 2-pt jump shot from 21 ft,,4,2
15,1,9:59.0,Offensive rebound by Team,,4,2
16,1,9:47.0,G. Harris misses 3-pt jump shot from 24 ft,,4,2
17,1,9:46.0,,Defensive rebound by E. Bledsoe,4,2
18,1,9:40.0,,J. Leuer misses 3-pt jump shot from 24 ft,4,2
19,1,9:39.0,Defensive rebound by J. Hickson,,4,2
20,1,9:30.0,E. Mudiay makes 3-pt jump shot from 24 ft,,7,2
21,1,9:14.0,,B. Knight misses 2-pt jump shot from 9 ft,7,2
22,1,9:14.0,Defensive rebound by E. Mudiay,,7,2
23,1,9:02.0,E. Mudiay misses 3-pt jump shot from 24 ft,,7,2
24,1,9:02.0,,Defensive rebound by T. Chandler,7,2
25,1,8:50.0,,B. Knight misses 2-pt layup at rim,7,2
26,1,8:49.0,Defensive rebound by E. Mudiay,,7,2
27,1,8:46.0,Turnover by E. Mudiay (bad pass),,7,2
28,1,8:33.0,,Shooting block foul by K. Faried (drawn by T. Chandler),7,2
29,1,8:33.0,,T. Chandler makes 2-pt layup at rim (assist by J. Leuer),7,4
30,1,8:33.0,,T. Chandler makes free throw 1 of 1,7,5
31,1,8:17.0,E. Mudiay misses 2-pt jump shot from 20 ft,,7,5
32,1,8:14.0,Offensive rebound by K. Faried,,7,5
33,1,8:11.0,Turnover by K. Faried (bad pass; steal by E. Bledsoe),,7,5
34,1,8:04.0,,Turnover by E. Bledsoe (bad pass; steal by G. Harris),7,5
35,1,7:59.0,G. Harris makes 2-pt layup at rim,,9,5
36,1,7:59.0,,Phoenix full timeout,9,5
37,1,7:45.0,,B. Knight misses 2-pt jump shot from 3 ft (block by E. Mudiay),9,5
38,1,7:43.0,Defensive rebound by E. Mudiay,,9,5
39,1,7:35.0,G. Harris misses 3-pt jump shot from 23 ft,,9,5
40,1,7:35.0,,Defensive rebound by P. Tucker,9,5
41,1,7:28.0,,J. Leuer misses 2-pt jump shot from 18 ft,9,5
42,1,7:28.0,Defensive rebound by K. Faried,,9,5
43,1,7:03.0,Turnover by Team (shot clock),,9,5
44,1,6:54.0,,B. Knight misses 2-pt jump shot from 20 ft,9,5
45,1,6:53.0,Defensive rebound by J. Hickson,,9,5
46,1,6:42.0,Turnover by E. Mudiay (traveling),,9,5
47,1,6:24.0,,E. Bledsoe makes 2-pt jump shot from 7 ft (assist by T. Chandler),9,7
48,1,6:13.0,K. Faried misses 2-pt dunk at rim,,9,7
49,1,6:12.0,,Defensive rebound by J. Leuer,9,7
50,1,5:52.0,,J. Leuer makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),9,10
51,1,5:36.0,Turnover by K. Faried (lost ball),,9,10
52,1,5:36.0,,A. Goodwin enters the game for B. Knight,9,10
53,1,5:36.0,W. Barton enters the game for J. Hickson,,9,10
54,1,5:14.0,,J. Leuer misses 2-pt hook shot from 3 ft,9,10
55,1,5:11.0,,Offensive rebound by T. Chandler,9,10
56,1,5:11.0,,T. Chandler makes 2-pt dunk at rim,9,12
57,1,5:08.0,Denver full timeout,,9,12
58,1,5:08.0,J. Nelson enters the game for E. Mudiay,,9,12
59,1,5:00.0,G. Harris misses 3-pt jump shot from 24 ft,,9,12
60,1,4:59.0,,Defensive rebound by J. Leuer,9,12
61,1,4:55.0,,Turnover by J. Leuer (bad pass; steal by K. Faried),9,12
62,1,4:55.0,Denver full timeout,,9,12
63,1,4:48.0,D. Gallinari misses 2-pt jump shot from 20 ft,,9,12
64,1,4:48.0,,Defensive rebound by J. Leuer,9,12
65,1,4:29.0,,E. Bledsoe makes 2-pt jump shot from 10 ft,9,14
66,1,4:11.0,W. Barton misses 3-pt jump shot from 25 ft,,9,14
67,1,4:11.0,,Defensive rebound by E. Bledsoe,9,14
68,1,3:55.0,,P. Tucker makes 2-pt hook shot from 4 ft,9,16
69,1,3:43.0,W. Barton misses 2-pt hook shot from 3 ft,,9,16
70,1,3:41.0,,Defensive rebound by P. Tucker,9,16
71,1,3:39.0,,Shooting foul by J. Nelson (drawn by A. Goodwin),9,16
72,1,3:39.0,,A. Goodwin makes free throw 1 of 2,9,17
73,1,3:39.0,,T. Warren enters the game for T. Chandler,9,17
74,1,3:39.0,N. Jokić enters the game for K. Faried,,9,17
75,1,3:39.0,R. Foye enters the game for G. Harris,,9,17
76,1,3:39.0,,A. Goodwin makes free throw 2 of 2,9,18
77,1,3:32.0,Turnover by J. Nelson (bad pass; steal by E. Bledsoe),,9,18
78,1,3:27.0,,J. Leuer makes 2-pt layup from 1 ft (assist by A. Goodwin),9,20
79,1,3:13.0,D. Gallinari misses 2-pt jump shot from 11 ft,,9,20
80,1,3:12.0,,Defensive rebound by J. Leuer,9,20
81,1,3:03.0,Violation by N. Jokić (kicked ball),,9,20
82,1,2:53.0,,Turnover by E. Bledsoe (step out of bounds),9,20
83,1,2:40.0,D. Gallinari misses 3-pt jump shot from 23 ft,,9,20
84,1,2:39.0,,Defensive rebound by A. Goodwin,9,20
85,1,2:30.0,,A. Goodwin makes 2-pt layup from 1 ft (assist by J. Leuer),9,22
86,1,2:30.0,,Shooting foul by R. Foye (drawn by A. Goodwin),9,22
87,1,2:30.0,,A. Goodwin misses free throw 1 of 1,9,22
88,1,2:30.0,Defensive rebound by W. Barton,,9,22
89,1,2:17.0,Personal foul by A. Goodwin (drawn by D. Gallinari),,9,22
90,1,2:17.0,D. Arthur enters the game for D. Gallinari,,9,22
91,1,2:17.0,,A. Len enters the game for J. Leuer,9,22
92,1,2:17.0,,M. Teletović enters the game for P. Tucker,9,22
93,1,2:14.0,Shooting foul by A. Len (drawn by J. Nelson),,9,22
94,1,2:14.0,J. Nelson makes free throw 1 of 2,,10,22
95,1,2:14.0,J. Nelson makes free throw 2 of 2,,11,22
96,1,2:00.0,,A. Goodwin makes 2-pt layup from 2 ft,11,24
97,1,1:42.0,R. Foye misses 3-pt jump shot from 23 ft,,11,24
98,1,1:42.0,Offensive rebound by N. Jokić,,11,24
99,1,1:33.0,J. Nelson misses 2-pt jump shot from 15 ft,,11,24
100,1,1:33.0,,Defensive rebound by A. Len,11,24
