,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:41.0,,P. Gasol misses 2-pt jump shot from 14 ft,0,0
1,1,11:40.0,Defensive rebound by L. Scola,,0,0
2,1,11:22.0,D. DeRozan misses 2-pt jump shot from 17 ft,,0,0
3,1,11:21.0,,Defensive rebound by P. Gasol,0,0
4,1,11:11.0,,Shooting foul by L. Scola (drawn by T. Gibson),0,0
5,1,11:11.0,,T. Gibson misses free throw 1 of 2,0,0
6,1,11:11.0,,Offensive rebound by Team,0,0
7,1,11:11.0,,T. Gibson misses free throw 2 of 2,0,0
8,1,11:10.0,Defensive rebound by J. Valančiūnas,,0,0
9,1,10:53.0,J. Valančiūnas makes 2-pt hook shot from 2 ft,,2,0
10,1,10:39.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by E. Moore),2,2
11,1,10:21.0,K. Lowry makes 2-pt layup from 1 ft (assist by D. DeRozan),,4,2
12,1,10:10.0,,D. Rose misses 2-pt jump shot from 14 ft,4,2
13,1,10:09.0,,Offensive rebound by D. Rose,4,2
14,1,10:04.0,,D. Rose makes 2-pt jump shot from 7 ft,4,4
15,1,9:49.0,Shooting foul by M. Dunleavy (drawn by J. Valančiūnas),,4,4
16,1,9:49.0,J. Valančiūnas misses free throw 1 of 2,,4,4
17,1,9:49.0,Offensive rebound by Team,,4,4
18,1,9:49.0,J. Valančiūnas makes free throw 2 of 2,,5,4
19,1,9:33.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by E. Moore),5,7
20,1,9:19.0,D. DeRozan makes 2-pt jump shot from 17 ft,,7,7
21,1,9:09.0,,Shooting foul by L. Scola (drawn by E. Moore),7,7
22,1,9:09.0,,E. Moore makes free throw 1 of 2,7,8
23,1,9:09.0,P. Patterson enters the game for L. Scola,,7,8
24,1,9:09.0,,E. Moore makes free throw 2 of 2,7,9
25,1,8:49.0,D. DeRozan misses 2-pt jump shot from 15 ft,,7,9
26,1,8:48.0,Offensive rebound by J. Valančiūnas,,7,9
27,1,8:48.0,Shooting foul by P. Gasol (drawn by J. Valančiūnas),,7,9
28,1,8:48.0,J. Valančiūnas makes free throw 1 of 2,,8,9
29,1,8:48.0,J. Valančiūnas makes free throw 2 of 2,,9,9
30,1,8:39.0,,Turnover by D. Rose (traveling),9,9
31,1,8:26.0,D. DeRozan makes 2-pt layup from 2 ft,,11,9
32,1,8:16.0,,P. Gasol makes 2-pt layup from 1 ft,11,11
33,1,8:16.0,,Shooting foul by P. Patterson (drawn by P. Gasol),11,11
34,1,8:16.0,,P. Gasol makes free throw 1 of 1,11,12
35,1,8:02.0,D. DeRozan misses 2-pt layup from 2 ft,,11,12
36,1,8:01.0,Offensive rebound by J. Valančiūnas,,11,12
37,1,7:52.0,J. Valančiūnas misses 2-pt jump shot from 11 ft (block by M. Dunleavy),,11,12
38,1,7:49.0,Offensive rebound by J. Valančiūnas,,11,12
39,1,7:49.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,11,12
40,1,7:47.0,,Defensive rebound by T. Gibson,11,12
41,1,7:31.0,,E. Moore misses 2-pt jump shot from 20 ft,11,12
42,1,7:30.0,Defensive rebound by J. Valančiūnas,,11,12
43,1,7:18.0,D. DeRozan misses 2-pt jump shot from 12 ft,,11,12
44,1,7:17.0,,Defensive rebound by D. Rose,11,12
45,1,7:12.0,,D. Rose makes 2-pt layup from 2 ft,11,14
46,1,6:57.0,D. DeRozan makes 3-pt jump shot from 22 ft (assist by P. Patterson),,14,14
47,1,6:38.0,,Turnover by P. Gasol (bad pass; steal by P. Patterson),14,14
48,1,6:31.0,K. Lowry makes 3-pt jump shot from 23 ft,,17,14
49,1,6:31.0,,Chicago full timeout,17,14
50,1,6:31.0,,T. Snell enters the game for M. Dunleavy,17,14
51,1,6:31.0,T. Ross enters the game for J. Johnson,,17,14
52,1,6:21.0,,P. Gasol misses 2-pt jump shot from 21 ft,17,14
53,1,6:20.0,Defensive rebound by P. Patterson,,17,14
54,1,6:07.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,20,14
55,1,5:49.0,,D. Rose makes 2-pt layup at rim,20,16
56,1,5:40.0,K. Lowry makes 2-pt layup from 1 ft,,22,16
57,1,5:28.0,,P. Gasol misses 2-pt jump shot from 19 ft,22,16
58,1,5:27.0,Defensive rebound by P. Patterson,,22,16
59,1,5:20.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,24,16
60,1,5:06.0,,T. Gibson makes 2-pt dunk at rim (assist by P. Gasol),24,18
61,1,4:57.0,Personal foul by E. Moore,,24,18
62,1,4:57.0,C. Joseph enters the game for K. Lowry,,24,18
63,1,4:57.0,,B. Portis enters the game for T. Gibson,24,18
64,1,4:48.0,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by C. Joseph),,26,18
65,1,4:27.0,,D. Rose misses 2-pt jump shot from 12 ft,26,18
66,1,4:26.0,Defensive rebound by T. Ross,,26,18
67,1,4:19.0,Personal foul by P. Gasol,,26,18
68,1,4:19.0,,T. Gibson enters the game for P. Gasol,26,18
69,1,4:12.0,T. Ross misses 2-pt jump shot from 17 ft,,26,18
70,1,4:11.0,,Defensive rebound by T. Snell,26,18
71,1,3:50.0,,T. Gibson makes 2-pt dunk at rim (assist by T. Snell),26,20
72,1,3:25.0,P. Patterson misses 2-pt jump shot from 3 ft,,26,20
73,1,3:24.0,Offensive rebound by J. Valančiūnas,,26,20
74,1,3:24.0,Shooting foul by T. Gibson (drawn by J. Valančiūnas),,26,20
75,1,3:24.0,J. Valančiūnas makes free throw 1 of 2,,27,20
76,1,3:24.0,,A. Brooks enters the game for D. Rose,27,20
77,1,3:24.0,J. Valančiūnas makes free throw 2 of 2,,28,20
78,1,3:04.0,,A. Brooks misses 2-pt layup from 2 ft (block by J. Valančiūnas),28,20
79,1,3:01.0,Defensive rebound by T. Ross,,28,20
80,1,2:52.0,Shooting foul by A. Brooks (drawn by C. Joseph),,28,20
81,1,2:52.0,C. Joseph makes 2-pt jump shot from 13 ft,,30,20
82,1,2:52.0,Toronto full timeout,,30,20
83,1,2:52.0,,D. McDermott enters the game for T. Gibson,30,20
84,1,2:52.0,,C. Felício enters the game for E. Moore,30,20
85,1,2:52.0,B. Biyombo enters the game for J. Valančiūnas,,30,20
86,1,2:52.0,C. Joseph makes free throw 1 of 1,,31,20
87,1,2:38.0,,A. Brooks misses 2-pt jump shot from 21 ft,31,20
88,1,2:37.0,,Offensive rebound by C. Felício,31,20
89,1,2:30.0,,T. Snell misses 3-pt jump shot from 24 ft,31,20
90,1,2:30.0,Defensive rebound by Team,,31,20
91,1,2:30.0,,Loose ball foul by C. Felício,31,20
92,1,2:30.0,B. Biyombo makes free throw 1 of 2,,32,20
93,1,2:30.0,,Violation by B. Portis (lane),32,20
94,1,2:30.0,B. Biyombo misses free throw 2 of 2,,32,20
95,1,2:29.0,,Defensive rebound by B. Portis,32,20
96,1,2:11.0,,B. Portis misses 2-pt jump shot from 8 ft,32,20
97,1,2:09.0,Defensive rebound by P. Patterson,,32,20
98,1,1:46.0,P. Patterson misses 2-pt jump shot from 10 ft,,32,20
99,1,1:44.0,Offensive rebound by P. Patterson,,32,20
100,1,1:40.0,P. Patterson misses 2-pt jump shot from 9 ft,,32,20
101,1,1:39.0,,Defensive rebound by D. McDermott,32,20
102,1,1:31.0,,B. Portis misses 2-pt jump shot from 13 ft,32,20
103,1,1:30.0,Defensive rebound by C. Joseph,,32,20
104,1,1:20.0,C. Joseph misses 2-pt jump shot from 19 ft,,32,20
105,1,1:19.0,,Defensive rebound by B. Portis,32,20
106,1,1:12.0,,C. Felício makes 2-pt jump shot from 3 ft (assist by A. Brooks),32,22
107,1,1:12.0,,Shooting foul by B. Biyombo (drawn by C. Felício),32,22
108,1,1:12.0,,C. Felício misses free throw 1 of 1,32,22
109,1,1:11.0,Defensive rebound by B. Biyombo,,32,22
110,1,0:52.0,D. DeRozan misses 2-pt jump shot from 5 ft (block by T. Snell),,32,22
111,1,0:50.0,,Defensive rebound by A. Brooks,32,22
112,1,0:45.0,,A. Brooks misses 2-pt layup from 2 ft,32,22
113,1,0:43.0,,Offensive rebound by B. Portis,32,22
114,1,0:43.0,,B. Portis misses 2-pt layup at rim (block by P. Patterson),32,22
115,1,0:42.0,Defensive rebound by P. Patterson,,32,22
116,1,0:38.0,Shooting foul by T. Snell (drawn by D. DeRozan),,32,22
117,1,0:38.0,D. DeRozan makes free throw 1 of 2,,33,22
118,1,0:38.0,D. DeRozan makes free throw 2 of 2,,34,22
119,1,0:24.0,,D. McDermott makes 2-pt jump shot from 5 ft (assist by A. Brooks),34,24
120,1,0:09.0,Shooting foul by C. Felício (drawn by D. DeRozan),,34,24
121,1,0:09.0,D. DeRozan misses free throw 1 of 2,,34,24
122,1,0:09.0,Offensive rebound by Team,,34,24
123,1,0:09.0,,M. Dunleavy enters the game for C. Felício,34,24
124,1,0:09.0,J. Johnson enters the game for B. Biyombo,,34,24
125,1,0:09.0,D. DeRozan makes free throw 2 of 2,,35,24
126,1,0:02.0,,A. Brooks misses 2-pt layup from 1 ft (block by J. Johnson),35,24
127,1,0:00.0,Defensive rebound by C. Joseph,,35,24
128,2,11:45.0,T. Ross misses 2-pt jump shot from 11 ft,,35,24
129,2,11:44.0,,Defensive rebound by C. Felício,35,24
130,2,11:27.0,,D. McDermott makes 3-pt jump shot from 22 ft (assist by A. Brooks),35,27
131,2,11:04.0,A. Bennett makes 2-pt layup from 1 ft (assist by C. Joseph),,37,27
132,2,10:47.0,,B. Portis makes 2-pt jump shot from 17 ft (assist by D. McDermott),37,29
133,2,10:36.0,Personal foul by A. Brooks,,37,29
134,2,10:36.0,,D. Rose enters the game for A. Brooks,37,29
135,2,10:26.0,K. Lowry misses 2-pt jump shot from 22 ft,,37,29
136,2,10:25.0,,Defensive rebound by B. Portis,37,29
137,2,10:16.0,,B. Portis misses 2-pt layup from 2 ft (block by B. Biyombo),37,29
138,2,10:15.0,Defensive rebound by A. Bennett,,37,29
139,2,10:07.0,C. Joseph misses 2-pt layup from 2 ft,,37,29
140,2,10:06.0,,Defensive rebound by E. Moore,37,29
141,2,9:54.0,,D. Rose misses 2-pt jump shot from 18 ft,37,29
142,2,9:52.0,Defensive rebound by K. Lowry,,37,29
143,2,9:48.0,A. Bennett misses 2-pt layup from 1 ft (block by B. Portis),,37,29
144,2,9:46.0,,Defensive rebound by B. Portis,37,29
145,2,9:39.0,,P. Gasol enters the game for C. Felício,37,29
146,2,9:34.0,,D. McDermott makes 2-pt layup from 1 ft (assist by P. Gasol),37,31
147,2,9:09.0,T. Ross misses 2-pt layup from 1 ft,,37,31
148,2,9:07.0,,Defensive rebound by P. Gasol,37,31
149,2,9:02.0,,Turnover by D. Rose (bad pass; steal by A. Bennett),37,31
150,2,8:50.0,C. Joseph makes 2-pt layup from 2 ft (assist by K. Lowry),,39,31
151,2,8:37.0,,D. McDermott misses 2-pt jump shot from 15 ft,39,31
152,2,8:37.0,,Offensive rebound by Team,39,31
153,2,8:37.0,,Chicago full timeout,39,31
154,2,8:37.0,,T. Gibson enters the game for B. Portis,39,31
155,2,8:37.0,J. Valančiūnas enters the game for B. Biyombo,,39,31
156,2,8:34.0,,P. Gasol misses 2-pt jump shot from 17 ft,39,31
157,2,8:33.0,Defensive rebound by J. Valančiūnas,,39,31
158,2,8:24.0,K. Lowry makes 2-pt jump shot from 19 ft,,41,31
159,2,8:09.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by D. Rose),41,34
160,2,7:51.0,T. Ross misses 2-pt jump shot from 9 ft,,41,34
161,2,7:50.0,,Defensive rebound by P. Gasol,41,34
162,2,7:43.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by D. Rose),41,36
163,2,7:27.0,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by K. Lowry),,43,36
164,2,7:22.0,,Shooting foul by K. Lowry (drawn by D. Rose),43,36
165,2,7:22.0,,D. Rose misses free throw 1 of 2,43,36
166,2,7:22.0,,Offensive rebound by Team,43,36
167,2,7:22.0,L. Scola enters the game for T. Ross,,43,36
