,QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
0,1,11:45.0,,D. Howard makes 2-pt dunk at rim (assist by C. Capela),0,2
1,1,11:26.0,I. Mahinmi misses 2-pt jump shot from 9 ft,,0,2
2,1,11:25.0,,Defensive rebound by C. Capela,0,2
3,1,11:19.0,,P. Beverley makes 3-pt jump shot from 25 ft,0,5
4,1,11:03.0,L. Allen misses 2-pt hook shot from 10 ft,,0,5
5,1,11:02.0,,Defensive rebound by C. Capela,0,5
6,1,10:56.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),0,8
7,1,10:42.0,I. Mahinmi makes 2-pt dunk at rim (assist by M. Ellis),,2,8
8,1,10:42.0,Shooting foul by C. Capela (drawn by I. Mahinmi),,2,8
9,1,10:42.0,I. Mahinmi makes free throw 1 of 1,,3,8
10,1,10:28.0,,J. Harden makes 2-pt jump shot from 18 ft,3,10
11,1,10:16.0,Personal foul by P. Beverley (drawn by M. Ellis),,3,10
12,1,10:12.0,L. Allen makes 2-pt layup at rim (assist by P. George),,5,10
13,1,9:51.0,,T. Ariza misses 2-pt hook shot from 7 ft,5,10
14,1,9:50.0,Defensive rebound by I. Mahinmi,,5,10
15,1,9:39.0,P. George makes 2-pt jump shot from 10 ft,,7,10
16,1,9:27.0,,D. Howard makes 2-pt hook shot from 7 ft (assist by C. Capela),7,12
17,1,9:18.0,Turnover by P. George (bad pass),,7,12
18,1,9:06.0,,Turnover by D. Howard (offensive goaltending),7,12
19,1,8:58.0,Turnover by M. Ellis (bad pass; steal by P. Beverley),,7,12
20,1,8:54.0,,T. Ariza makes 2-pt layup from 2 ft (assist by P. Beverley),7,14
21,1,8:46.0,P. George misses 3-pt jump shot from 25 ft,,7,14
22,1,8:45.0,,Defensive rebound by D. Howard,7,14
23,1,8:36.0,,T. Ariza misses 3-pt jump shot from 23 ft,7,14
24,1,8:35.0,Defensive rebound by I. Mahinmi,,7,14
25,1,8:27.0,Turnover by P. George (bad pass; steal by D. Howard),,7,14
26,1,8:21.0,,P. Beverley misses 3-pt jump shot from 25 ft,7,14
27,1,8:20.0,,Offensive rebound by C. Capela,7,14
28,1,8:01.0,,C. Capela misses 2-pt layup from 2 ft,7,14
29,1,8:00.0,Defensive rebound by P. George,,7,14
30,1,7:50.0,L. Allen misses 2-pt jump shot from 14 ft,,7,14
31,1,7:49.0,,Defensive rebound by J. Harden,7,14
32,1,7:33.0,,D. Howard makes 2-pt hook shot from 6 ft,7,16
33,1,7:11.0,M. Ellis misses 3-pt jump shot from 23 ft,,7,16
34,1,7:10.0,Offensive rebound by I. Mahinmi,,7,16
35,1,7:06.0,P. George misses 3-pt jump shot from 25 ft,,7,16
36,1,7:05.0,Offensive rebound by L. Allen,,7,16
37,1,7:03.0,Shooting foul by D. Howard (drawn by P. George),,7,16
38,1,7:03.0,P. George makes free throw 1 of 2,,8,16
39,1,7:03.0,,T. Jones enters the game for C. Capela,8,16
40,1,7:03.0,P. George makes free throw 2 of 2,,9,16
41,1,6:44.0,,J. Harden makes 2-pt jump shot from 11 ft,9,18
42,1,6:34.0,G. Hill makes 2-pt jump shot from 10 ft,,11,18
43,1,6:29.0,,Personal block foul by M. Ellis (drawn by P. Beverley),11,18
44,1,6:26.0,,J. Harden misses 3-pt jump shot from 24 ft,11,18
45,1,6:25.0,Defensive rebound by I. Mahinmi,,11,18
