,QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
0,1,11:39.0,,O. Porter misses 2-pt jump shot from 17 ft,0,0
1,1,11:38.0,Defensive rebound by Team,,0,0
2,1,11:14.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,3,0
3,1,11:08.0,,G. Temple misses 2-pt layup from 1 ft (block by N. Jokić),3,0
4,1,11:05.0,,Offensive rebound by G. Temple,3,0
5,1,10:54.0,,G. Temple misses 3-pt jump shot from 25 ft,3,0
6,1,10:53.0,Defensive rebound by K. Faried,,3,0
7,1,10:38.0,K. Faried makes 2-pt jump shot from 5 ft (assist by D. Gallinari),,5,0
8,1,10:23.0,,N. Hilário misses 2-pt jump shot from 15 ft,5,0
9,1,10:22.0,Defensive rebound by N. Jokić,,5,0
10,1,10:10.0,Shooting foul by O. Porter (drawn by D. Gallinari),,5,0
11,1,10:10.0,D. Gallinari makes free throw 1 of 2,,6,0
12,1,10:10.0,D. Gallinari misses free throw 2 of 2,,6,0
13,1,10:09.0,,Defensive rebound by N. Hilário,6,0
14,1,9:56.0,,N. Hilário makes 2-pt layup at rim (assist by J. Wall),6,2
15,1,9:32.0,E. Mudiay makes 2-pt layup at rim,,8,2
16,1,9:27.0,,M. Gortat misses 2-pt jump shot from 12 ft,8,2
17,1,9:26.0,Defensive rebound by D. Gallinari,,8,2
18,1,9:16.0,K. Faried misses 2-pt jump shot from 3 ft,,8,2
19,1,9:15.0,Offensive rebound by N. Jokić,,8,2
20,1,9:03.0,D. Gallinari makes 2-pt jump shot from 18 ft,,10,2
21,1,8:58.0,,Washington full timeout,10,2
22,1,8:48.0,,N. Hilário makes 2-pt layup from 2 ft,10,4
23,1,8:27.0,E. Mudiay makes 2-pt jump shot from 13 ft,,12,4
24,1,8:16.0,,Shooting foul by K. Faried (drawn by M. Gortat),12,4
25,1,8:16.0,,M. Gortat makes free throw 1 of 2,12,5
26,1,8:16.0,,M. Gortat makes free throw 2 of 2,12,6
27,1,8:03.0,D. Gallinari misses 2-pt layup from 2 ft (block by M. Gortat),,12,6
28,1,8:01.0,,Defensive rebound by O. Porter,12,6
29,1,7:58.0,,J. Wall misses 2-pt layup from 1 ft,12,6
30,1,7:56.0,,Offensive rebound by N. Hilário,12,6
31,1,7:48.0,,Turnover by J. Wall (bad pass; steal by G. Harris),12,6
32,1,7:45.0,Turnover by G. Harris (lost ball; steal by O. Porter),,12,6
33,1,7:44.0,,Personal foul by G. Harris (drawn by O. Porter),12,6
34,1,7:33.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Wall),12,9
35,1,7:14.0,N. Jokić misses 3-pt jump shot from 26 ft,,12,9
36,1,7:13.0,,Defensive rebound by N. Hilário,12,9
37,1,6:55.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by J. Wall),12,12
38,1,6:41.0,Shooting foul by N. Hilário (drawn by K. Faried),,12,12
39,1,6:41.0,K. Faried makes free throw 1 of 2,,13,12
40,1,6:41.0,K. Faried makes free throw 2 of 2,,14,12
41,1,6:30.0,,J. Wall misses 2-pt jump shot from 16 ft,14,12
42,1,6:29.0,,Offensive rebound by M. Gortat,14,12
43,1,6:21.0,,Shooting foul by K. Faried (drawn by N. Hilário),14,12
44,1,6:21.0,,N. Hilário makes free throw 1 of 2,14,13
45,1,6:21.0,D. Arthur enters the game for K. Faried,,14,13
46,1,6:21.0,,N. Hilário makes free throw 2 of 2,14,14
47,1,6:08.0,Personal foul by J. Wall (drawn by E. Mudiay),,14,14
48,1,6:08.0,,J. Dudley enters the game for N. Hilário,14,14
49,1,6:02.0,E. Mudiay misses 2-pt jump shot from 20 ft,,14,14
50,1,6:00.0,Offensive rebound by D. Arthur,,14,14
51,1,5:56.0,Personal foul by O. Porter (drawn by D. Gallinari),,14,14
52,1,5:56.0,,K. Oubre enters the game for O. Porter,14,14
53,1,5:42.0,D. Gallinari misses 2-pt jump shot from 7 ft,,14,14
54,1,5:40.0,Offensive rebound by N. Jokić,,14,14
55,1,5:38.0,N. Jokić makes 2-pt jump shot from 3 ft,,16,14
56,1,5:33.0,,J. Wall misses 2-pt layup at rim,16,14
57,1,5:31.0,Defensive rebound by N. Jokić,,16,14
58,1,5:17.0,E. Mudiay misses 2-pt jump shot from 13 ft,,16,14
59,1,5:17.0,Offensive rebound by N. Jokić,,16,14
60,1,5:17.0,Personal foul by G. Temple (drawn by N. Jokić),,16,14
61,1,5:17.0,N. Jokić misses free throw 1 of 2,,16,14
62,1,5:17.0,Offensive rebound by Team,,16,14
63,1,5:17.0,,B. Beal enters the game for G. Temple,16,14
64,1,5:17.0,N. Jokić misses free throw 2 of 2,,16,14
65,1,5:16.0,,Defensive rebound by M. Gortat,16,14
66,1,4:55.0,,B. Beal makes 2-pt jump shot from 7 ft,16,16
67,1,4:47.0,Personal foul by K. Oubre (drawn by D. Gallinari),,16,16
68,1,4:47.0,D. Gallinari makes free throw 1 of 2,,17,16
69,1,4:47.0,D. Gallinari makes free throw 2 of 2,,18,16
70,1,4:31.0,,B. Beal misses 2-pt jump shot from 21 ft,18,16
71,1,4:30.0,Defensive rebound by D. Gallinari,,18,16
72,1,4:22.0,E. Mudiay misses 2-pt layup from 2 ft (block by M. Gortat),,18,16
73,1,4:20.0,,Defensive rebound by M. Gortat,18,16
74,1,4:15.0,,J. Wall makes 2-pt dunk at rim (assist by B. Beal),18,18
75,1,4:04.0,Turnover by E. Mudiay (lost ball; steal by J. Wall),,18,18
76,1,4:00.0,,J. Dudley makes 2-pt layup from 1 ft (assist by B. Beal),18,20
77,1,3:59.0,Denver full timeout,,18,20
78,1,3:59.0,J. Nurkić enters the game for N. Jokić,,18,20
79,1,3:46.0,D. Gallinari misses 2-pt jump shot from 15 ft,,18,20
80,1,3:44.0,,Defensive rebound by B. Beal,18,20
