,QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
0,1,11:54.0,C. Miles makes 2-pt layup at rim,,2,0
1,1,11:41.0,,C. McCollum misses 2-pt jump shot from 18 ft,2,0
2,1,11:39.0,Defensive rebound by C. Miles,,2,0
3,1,11:30.0,I. Mahinmi makes 2-pt layup at rim (assist by P. George),,4,0
4,1,11:11.0,,Turnover by A. Aminu (lost ball),4,0
5,1,10:48.0,G. Hill makes 2-pt jump shot from 9 ft,,6,0
6,1,10:48.0,Shooting foul by D. Lillard (drawn by G. Hill),,6,0
7,1,10:48.0,G. Hill makes free throw 1 of 1,,7,0
8,1,10:35.0,,Turnover by D. Lillard (bad pass; steal by C. Miles),7,0
9,1,10:30.0,C. Miles misses 2-pt layup from 2 ft,,7,0
10,1,10:29.0,Offensive rebound by I. Mahinmi,,7,0
11,1,10:25.0,C. Miles makes 3-pt jump shot from 23 ft (assist by I. Mahinmi),,10,0
12,1,10:04.0,,C. McCollum makes 2-pt layup from 2 ft,10,2
13,1,9:43.0,G. Hill makes 2-pt jump shot from 4 ft,,12,2
14,1,9:28.0,,A. Aminu misses 3-pt jump shot from 22 ft,12,2
15,1,9:27.0,,Offensive rebound by N. Vonleh,12,2
16,1,9:24.0,,N. Vonleh makes 2-pt layup at rim,12,4
17,1,9:06.0,P. George misses 3-pt jump shot from 25 ft,,12,4
18,1,9:05.0,,Defensive rebound by M. Plumlee,12,4
19,1,8:55.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),12,7
20,1,8:41.0,G. Hill makes 2-pt jump shot from 11 ft,,14,7
21,1,8:19.0,,A. Aminu misses 3-pt jump shot from 24 ft,14,7
22,1,8:18.0,Defensive rebound by I. Mahinmi,,14,7
23,1,8:02.0,I. Mahinmi makes 2-pt hook shot from 4 ft (assist by P. George),,16,7
24,1,7:44.0,,C. McCollum misses 3-pt jump shot from 24 ft,16,7
25,1,7:43.0,Defensive rebound by I. Mahinmi,,16,7
26,1,7:30.0,P. George misses 3-pt jump shot from 24 ft,,16,7
27,1,7:29.0,,Defensive rebound by M. Plumlee,16,7
28,1,7:24.0,,Personal foul by G. Hill (drawn by M. Plumlee),16,7
29,1,7:17.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by M. Plumlee),16,10
30,1,7:02.0,C. Miles makes 3-pt jump shot from 23 ft (assist by M. Ellis),,19,10
31,1,6:40.0,,Shooting foul by M. Ellis (drawn by M. Plumlee),19,10
32,1,6:40.0,,M. Plumlee makes free throw 1 of 2,19,11
33,1,6:40.0,,M. Plumlee makes free throw 2 of 2,19,12
34,1,6:25.0,G. Hill misses 2-pt jump shot from 3 ft,,19,12
35,1,6:24.0,Offensive rebound by I. Mahinmi,,19,12
36,1,6:23.0,I. Mahinmi makes 2-pt layup from 1 ft,,21,12
37,1,6:12.0,,A. Aminu makes 2-pt dunk at rim (assist by C. McCollum),21,14
38,1,6:02.0,P. George makes 2-pt jump shot from 20 ft,,23,14
39,1,6:02.0,,Portland full timeout,23,14
40,1,5:49.0,,D. Lillard misses 3-pt jump shot from 24 ft,23,14
41,1,5:48.0,,Offensive rebound by M. Plumlee,23,14
42,1,5:46.0,,M. Plumlee makes 2-pt dunk at rim,23,16
43,1,5:37.0,,A. Crabbe enters the game for C. McCollum,23,16
44,1,5:22.0,C. Miles misses 2-pt jump shot from 7 ft,,23,16
45,1,5:21.0,,Defensive rebound by N. Vonleh,23,16
46,1,5:09.0,,A. Crabbe misses 2-pt jump shot from 19 ft,23,16
47,1,5:08.0,Defensive rebound by P. George,,23,16
48,1,4:59.0,Turnover by P. George (bad pass),,23,16
49,1,4:42.0,,Turnover by N. Vonleh (traveling),23,16
50,1,4:42.0,R. Stuckey enters the game for I. Mahinmi,,23,16
51,1,4:42.0,J. Hill enters the game for G. Hill,,23,16
52,1,4:42.0,,E. Davis enters the game for M. Plumlee,23,16
53,1,4:30.0,C. Miles makes 3-pt jump shot from 22 ft (assist by M. Ellis),,26,16
54,1,4:04.0,,A. Aminu misses 2-pt jump shot from 21 ft,26,16
55,1,4:04.0,Defensive rebound by C. Miles,,26,16
56,1,3:50.0,J. Hill makes 2-pt jump shot from 5 ft,,28,16
57,1,3:32.0,,D. Lillard misses 2-pt jump shot from 19 ft,28,16
58,1,3:30.0,Defensive rebound by C. Miles,,28,16
59,1,3:18.0,J. Hill misses 2-pt hook shot from 3 ft,,28,16
60,1,3:18.0,,Defensive rebound by E. Davis,28,16
61,1,3:06.0,,A. Crabbe makes 2-pt jump shot from 20 ft (assist by E. Davis),28,18
62,1,3:06.0,Indiana full timeout,,28,18
63,1,3:06.0,,M. Harkless enters the game for N. Vonleh,28,18
64,1,3:06.0,,M. Leonard enters the game for A. Aminu,28,18
65,1,3:06.0,L. Allen enters the game for C. Miles,,28,18
66,1,2:52.0,J. Hill misses 2-pt hook shot from 5 ft,,28,18
67,1,2:51.0,,Defensive rebound by M. Leonard,28,18
68,1,2:41.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),28,21
69,1,2:27.0,Turnover by L. Allen (bad pass; steal by M. Harkless),,28,21
70,1,2:03.0,,M. Leonard misses 2-pt jump shot from 11 ft,28,21
71,1,2:02.0,,Offensive rebound by E. Davis,28,21
72,1,1:58.0,,M. Harkless misses 3-pt jump shot from 24 ft,28,21
73,1,1:57.0,Defensive rebound by R. Stuckey,,28,21
