,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:34.0,,L. Williams misses 2-pt jump shot from 12 ft (block by D. Green),0,0
1,1,11:30.0,Defensive rebound by T. Duncan,,0,0
2,1,11:22.0,T. Duncan makes 2-pt hook shot from 6 ft (assist by T. Parker),,2,0
3,1,11:06.0,,K. Bryant makes 2-pt jump shot from 14 ft,2,2
4,1,10:49.0,L. Aldridge misses 2-pt jump shot from 20 ft,,2,2
5,1,10:48.0,,Defensive rebound by K. Bryant,2,2
6,1,10:34.0,,J. Clarkson makes 3-pt jump shot from 25 ft,2,5
7,1,10:21.0,T. Duncan misses 2-pt layup from 1 ft,,2,5
8,1,10:20.0,Offensive rebound by T. Duncan,,2,5
9,1,10:15.0,T. Duncan misses 2-pt jump shot from 5 ft,,2,5
10,1,10:11.0,,Defensive rebound by R. Hibbert,2,5
11,1,10:09.0,,Turnover by K. Bryant (lost ball; steal by K. Anderson),2,5
12,1,10:01.0,K. Anderson makes 2-pt dunk at rim,,4,5
13,1,9:53.0,,K. Bryant misses 3-pt jump shot from 24 ft,4,5
14,1,9:52.0,Defensive rebound by L. Aldridge,,4,5
15,1,9:46.0,T. Parker makes 2-pt jump shot from 12 ft,,6,5
16,1,9:43.0,,Turnover by K. Bryant (bad pass),6,5
17,1,9:29.0,T. Parker makes 2-pt jump shot from 17 ft,,8,5
18,1,9:11.0,,J. Randle misses 2-pt jump shot from 15 ft,8,5
19,1,9:10.0,Defensive rebound by L. Aldridge,,8,5
20,1,9:00.0,T. Parker misses 2-pt jump shot from 16 ft,,8,5
21,1,8:59.0,,Defensive rebound by R. Hibbert,8,5
22,1,8:54.0,,Personal foul by D. Green,8,5
23,1,8:47.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by K. Bryant),8,8
24,1,8:33.0,Shooting foul by R. Hibbert (drawn by T. Duncan),,8,8
25,1,8:33.0,T. Duncan makes free throw 1 of 2,,9,8
26,1,8:33.0,T. Duncan makes free throw 2 of 2,,10,8
27,1,8:16.0,,K. Bryant misses 2-pt layup at rim,10,8
28,1,8:14.0,Defensive rebound by L. Aldridge,,10,8
29,1,8:05.0,T. Duncan misses 2-pt jump shot from 17 ft,,10,8
30,1,8:04.0,,Defensive rebound by J. Randle,10,8
31,1,7:53.0,,J. Randle misses 2-pt jump shot from 18 ft,10,8
32,1,7:52.0,Defensive rebound by D. Green,,10,8
33,1,7:44.0,T. Parker makes 2-pt layup at rim,,12,8
34,1,7:44.0,Shooting foul by R. Hibbert (drawn by T. Parker),,12,8
35,1,7:44.0,,Violation by J. Randle (lane),12,8
36,1,7:44.0,T. Parker makes free throw 1 of 1,,13,8
37,1,7:29.0,,K. Bryant makes 2-pt jump shot from 14 ft,13,10
38,1,7:15.0,T. Parker misses 2-pt jump shot from 17 ft,,13,10
39,1,7:13.0,,Defensive rebound by L. Williams,13,10
40,1,7:06.0,,L. Williams makes 2-pt jump shot from 16 ft (assist by J. Clarkson),13,12
41,1,6:48.0,K. Anderson misses 2-pt jump shot from 15 ft,,13,12
42,1,6:44.0,Offensive rebound by D. Green,,13,12
43,1,6:44.0,D. Green makes 2-pt layup from 1 ft,,15,12
