,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,A. Drummond makes 2-pt layup at rim (assist by K. Caldwell-Pope),,2,0
1,1,11:35.0,,C. Landry misses 2-pt jump shot from 17 ft,2,0
2,1,11:33.0,Defensive rebound by M. Morris,,2,0
3,1,11:25.0,Turnover by R. Jackson (bad pass; steal by N. Noel),,2,0
4,1,11:15.0,,C. Landry misses 2-pt layup from 2 ft,2,0
5,1,11:14.0,Defensive rebound by A. Drummond,,2,0
6,1,11:04.0,T. Harris misses 2-pt hook shot from 7 ft,,2,0
7,1,11:03.0,,Defensive rebound by I. Smith,2,0
8,1,10:51.0,,I. Canaan misses 2-pt jump shot from 16 ft,2,0
9,1,10:50.0,Defensive rebound by T. Harris,,2,0
10,1,10:41.0,M. Morris misses 2-pt jump shot from 17 ft,,2,0
11,1,10:39.0,,Defensive rebound by I. Smith,2,0
12,1,10:30.0,,N. Noel misses 2-pt jump shot from 10 ft,2,0
13,1,10:29.0,Defensive rebound by T. Harris,,2,0
14,1,10:20.0,R. Jackson makes 2-pt jump shot from 7 ft,,4,0
15,1,9:55.0,,I. Smith makes 3-pt jump shot from 27 ft,4,3
16,1,9:39.0,Turnover by R. Jackson (bad pass; steal by I. Canaan),,4,3
17,1,9:32.0,,I. Smith misses 3-pt jump shot from 23 ft,4,3
18,1,9:30.0,,Offensive rebound by C. Landry,4,3
19,1,9:27.0,,C. Landry makes 2-pt layup at rim,4,5
20,1,9:13.0,T. Harris makes 3-pt jump shot from 27 ft (assist by R. Jackson),,7,5
21,1,8:53.0,,C. Landry misses 2-pt jump shot from 13 ft,7,5
22,1,8:52.0,Defensive rebound by T. Harris,,7,5
23,1,8:46.0,K. Caldwell-Pope makes 2-pt jump shot from 12 ft (assist by R. Jackson),,9,5
24,1,8:21.0,,Shooting foul by M. Morris (drawn by N. Noel),9,5
25,1,8:21.0,,N. Noel makes free throw 1 of 2,9,6
26,1,8:21.0,,N. Noel makes free throw 2 of 2,9,7
27,1,8:07.0,M. Morris misses 2-pt jump shot from 11 ft,,9,7
28,1,8:06.0,,Defensive rebound by N. Noel,9,7
29,1,8:01.0,,I. Smith misses 2-pt layup at rim,9,7
30,1,8:00.0,,Offensive rebound by C. Landry,9,7
31,1,7:58.0,,C. Landry makes 2-pt layup from 1 ft,9,9
32,1,7:47.0,R. Jackson makes 2-pt jump shot from 8 ft,,11,9
33,1,7:40.0,,C. Landry makes 2-pt layup from 1 ft (assist by I. Smith),11,11
34,1,7:29.0,Shooting foul by I. Smith (drawn by R. Jackson),,11,11
35,1,7:29.0,R. Jackson makes free throw 1 of 2,,12,11
36,1,7:29.0,,E. Brand enters the game for C. Landry,12,11
37,1,7:29.0,,N. Stauskas enters the game for H. Thompson,12,11
38,1,7:29.0,R. Jackson misses free throw 2 of 2,,12,11
39,1,7:28.0,,Defensive rebound by N. Stauskas,12,11
40,1,7:25.0,,Turnover by I. Smith (traveling),12,11
41,1,7:14.0,T. Harris makes 2-pt jump shot from 12 ft (assist by R. Jackson),,14,11
42,1,6:51.0,,I. Smith makes 3-pt jump shot from 26 ft (assist by N. Noel),14,14
43,1,6:32.0,M. Morris misses 2-pt jump shot from 11 ft,,14,14
44,1,6:31.0,,Defensive rebound by N. Noel,14,14
45,1,6:17.0,,N. Stauskas misses 3-pt jump shot from 25 ft,14,14
46,1,6:16.0,Defensive rebound by A. Drummond,,14,14
47,1,6:10.0,R. Jackson makes 3-pt jump shot from 25 ft,,17,14
48,1,6:10.0,,Philadelphia full timeout,17,14
49,1,6:10.0,,K. Marshall enters the game for I. Canaan,17,14
50,1,5:52.0,,Shooting foul by T. Harris (drawn by N. Noel),17,14
51,1,5:52.0,,N. Noel makes free throw 1 of 2,17,15
52,1,5:52.0,,N. Noel misses free throw 2 of 2,17,15
53,1,5:51.0,Defensive rebound by A. Drummond,,17,15
54,1,5:41.0,Turnover by T. Harris (bad pass; steal by N. Stauskas),,17,15
55,1,5:35.0,,N. Stauskas makes 2-pt layup from 1 ft,17,17
56,1,5:23.0,T. Harris misses 3-pt jump shot from 26 ft,,17,17
57,1,5:21.0,,Defensive rebound by I. Smith,17,17
58,1,4:58.0,,K. Marshall makes 2-pt jump shot from 15 ft (assist by E. Brand),17,19
59,1,4:47.0,R. Jackson makes 2-pt jump shot from 11 ft,,19,19
60,1,4:33.0,,K. Marshall misses 3-pt jump shot from 24 ft,19,19
61,1,4:31.0,Defensive rebound by A. Drummond,,19,19
62,1,4:25.0,M. Morris makes 2-pt jump shot from 17 ft,,21,19
63,1,4:13.0,,E. Brand misses 2-pt jump shot from 11 ft,21,19
64,1,4:12.0,Defensive rebound by R. Jackson,,21,19
