,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:35.0,,D. Rose misses 2-pt layup from 1 ft,0,0
1,1,11:34.0,Defensive rebound by T. Young,,0,0
2,1,11:17.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by T. Young),,2,0
3,1,10:57.0,,M. Dunleavy misses 2-pt jump shot from 20 ft,2,0
4,1,10:55.0,Defensive rebound by B. Lopez,,2,0
5,1,10:35.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,0
6,1,10:33.0,,Defensive rebound by M. Dunleavy,2,0
7,1,10:13.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Butler),2,2
8,1,9:57.0,B. Lopez misses 2-pt hook shot from 6 ft,,2,2
9,1,9:56.0,,Defensive rebound by T. Gibson,2,2
10,1,9:50.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by D. Rose),2,5
11,1,9:31.0,S. Karasev misses 3-pt jump shot from 23 ft,,2,5
12,1,9:30.0,,Defensive rebound by M. Dunleavy,2,5
13,1,9:22.0,,D. Rose misses 2-pt layup from 2 ft,2,5
14,1,9:21.0,Defensive rebound by S. Karasev,,2,5
15,1,9:01.0,T. Young makes 2-pt layup from 1 ft (assist by S. Karasev),,4,5
16,1,8:38.0,,J. Butler misses 2-pt jump shot from 5 ft,4,5
17,1,8:37.0,Defensive rebound by T. Young,,4,5
18,1,8:25.0,B. Bogdanović makes 2-pt layup from 1 ft,,6,5
19,1,8:05.0,Violation by B. Bogdanović (kicked ball),,6,5
20,1,7:52.0,,J. Butler makes 2-pt jump shot from 18 ft,6,7
21,1,7:39.0,D. Sloan misses 2-pt jump shot from 20 ft,,6,7
22,1,7:38.0,,Defensive rebound by J. Butler,6,7
23,1,7:29.0,,Turnover by T. Gibson (lost ball),6,7
24,1,7:12.0,T. Young misses 2-pt jump shot from 20 ft,,6,7
25,1,7:11.0,,Defensive rebound by N. Mirotić,6,7
26,1,6:54.0,,D. Rose misses 2-pt jump shot from 18 ft,6,7
27,1,6:53.0,Defensive rebound by T. Young,,6,7
28,1,6:43.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,6,7
29,1,6:42.0,,Defensive rebound by D. Rose,6,7
30,1,6:34.0,,Personal foul by S. Karasev,6,7
31,1,6:26.0,,J. Butler makes 2-pt layup from 1 ft (assist by D. Rose),6,9
32,1,6:03.0,Turnover by B. Bogdanović (bad pass; steal by M. Dunleavy),,6,9
33,1,5:59.0,,Personal foul by T. Young,6,9
34,1,5:59.0,,Chicago full timeout,6,9
35,1,5:59.0,,J. Holiday enters the game for J. Butler,6,9
36,1,5:55.0,,D. Rose misses 2-pt layup from 1 ft,6,9
37,1,5:54.0,,Offensive rebound by T. Gibson,6,9
38,1,5:41.0,,Turnover by M. Dunleavy (bad pass; steal by T. Young),6,9
39,1,5:28.0,T. Young makes 2-pt layup from 1 ft,,8,9
40,1,5:12.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,8,9
41,1,5:11.0,Defensive rebound by T. Young,,8,9
42,1,5:06.0,T. Young misses 2-pt jump shot from 5 ft (block by N. Mirotić),,8,9
43,1,5:04.0,,Defensive rebound by J. Holiday,8,9
44,1,5:00.0,,J. Holiday makes 2-pt layup from 2 ft,8,11
45,1,4:42.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by S. Karasev),,10,11
46,1,4:29.0,,Turnover by D. Rose (bad pass; steal by D. Sloan),10,11
47,1,4:25.0,B. Bogdanović makes 2-pt layup at rim (assist by S. Karasev),,12,11
48,1,4:07.0,,N. Mirotić makes 2-pt jump shot from 17 ft,12,13
49,1,3:43.0,T. Young makes 2-pt layup from 1 ft,,14,13
50,1,3:26.0,,D. Rose makes 2-pt jump shot from 14 ft,14,15
51,1,3:07.0,T. Young misses 2-pt layup from 1 ft,,14,15
52,1,3:06.0,,Defensive rebound by J. Holiday,14,15
53,1,3:04.0,,Personal foul by B. Bogdanović,14,15
54,1,3:04.0,,D. McDermott enters the game for M. Dunleavy,14,15
55,1,3:04.0,,E. Moore enters the game for T. Gibson,14,15
56,1,3:04.0,,B. Portis enters the game for N. Mirotić,14,15
57,1,3:04.0,,C. Felício enters the game for D. Rose,14,15
58,1,3:04.0,C. McCullough enters the game for T. Young,,14,15
59,1,2:50.0,,B. Portis misses 2-pt jump shot from 19 ft,14,15
60,1,2:49.0,Defensive rebound by Team,,14,15
61,1,2:49.0,Brooklyn full timeout,,14,15
62,1,2:49.0,S. Larkin enters the game for B. Bogdanović,,14,15
63,1,2:49.0,S. Kilpatrick enters the game for S. Karasev,,14,15
64,1,2:49.0,M. Brown enters the game for D. Sloan,,14,15
65,1,2:32.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,14,15
66,1,2:31.0,,Defensive rebound by J. Holiday,14,15
67,1,2:19.0,,J. Holiday misses 2-pt jump shot from 20 ft,14,15
