,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
0,1,11:47.0,,L. Deng misses 2-pt jump shot from 19 ft,0,0
1,1,11:46.0,Defensive rebound by A. Davis,,0,0
2,1,11:28.0,A. Davis misses 2-pt jump shot from 16 ft,,0,0
3,1,11:27.0,,Defensive rebound by H. Whiteside,0,0
4,1,11:14.0,,C. Bosh makes 2-pt jump shot from 19 ft (assist by G. Dragić),0,2
5,1,11:00.0,T. Evans misses 2-pt layup from 1 ft,,0,2
6,1,10:59.0,Offensive rebound by A. Davis,,0,2
7,1,10:40.0,A. Gee misses 3-pt jump shot from 24 ft,,0,2
8,1,10:39.0,,Defensive rebound by L. Deng,0,2
9,1,10:32.0,,C. Bosh misses 3-pt jump shot from 24 ft,0,2
10,1,10:31.0,Defensive rebound by Ö. Aşık,,0,2
11,1,10:19.0,T. Evans misses 2-pt jump shot from 22 ft,,0,2
12,1,10:18.0,,Defensive rebound by H. Whiteside,0,2
13,1,10:07.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by D. Wade),0,5
14,1,9:43.0,A. Davis misses 2-pt jump shot from 13 ft,,0,5
15,1,9:42.0,,Defensive rebound by H. Whiteside,0,5
16,1,9:36.0,,D. Wade makes 2-pt dunk at rim (assist by G. Dragić),0,7
17,1,9:31.0,New Orleans full timeout,,0,7
18,1,9:22.0,A. Davis makes 2-pt jump shot from 16 ft (assist by A. Gee),,2,7
19,1,9:07.0,,Shooting foul by A. Davis (drawn by C. Bosh),2,7
20,1,9:07.0,,C. Bosh makes free throw 1 of 2,2,8
21,1,9:07.0,,C. Bosh makes free throw 2 of 2,2,9
22,1,8:56.0,A. Davis makes 2-pt dunk at rim,,4,9
23,1,8:38.0,,C. Bosh misses 3-pt jump shot from 24 ft,4,9
24,1,8:37.0,Defensive rebound by Ö. Aşık,,4,9
25,1,8:29.0,Turnover by E. Gordon (traveling),,4,9
26,1,8:12.0,,D. Wade makes 2-pt layup from 1 ft (assist by C. Bosh),4,11
27,1,7:58.0,Turnover by E. Gordon (dbl dribble),,4,11
28,1,7:44.0,,C. Bosh misses 2-pt jump shot from 17 ft,4,11
29,1,7:43.0,Defensive rebound by Team,,4,11
30,1,7:43.0,,Loose ball foul by H. Whiteside (drawn by Ö. Aşık),4,11
31,1,7:28.0,A. Davis makes 3-pt jump shot from 24 ft (assist by T. Evans),,7,11
32,1,7:09.0,,C. Bosh misses 3-pt jump shot from 24 ft,7,11
33,1,7:08.0,Defensive rebound by Ö. Aşık,,7,11
34,1,7:00.0,A. Davis misses 2-pt jump shot from 11 ft,,7,11
35,1,6:59.0,,Defensive rebound by L. Deng,7,11
36,1,6:52.0,,G. Dragić makes 2-pt jump shot from 17 ft,7,13
37,1,6:38.0,E. Gordon misses 2-pt jump shot from 19 ft,,7,13
38,1,6:37.0,,Defensive rebound by C. Bosh,7,13
39,1,6:29.0,,G. Dragić misses 2-pt layup from 2 ft,7,13
40,1,6:28.0,Defensive rebound by A. Gee,,7,13
41,1,6:26.0,Personal foul by C. Bosh (drawn by Ö. Aşık),,7,13
42,1,6:18.0,Ö. Aşık makes 2-pt layup from 1 ft (assist by A. Davis),,9,13
43,1,6:00.0,,D. Wade makes 2-pt jump shot from 17 ft (assist by C. Bosh),9,15
44,1,5:48.0,E. Gordon makes 2-pt layup from 1 ft (assist by A. Davis),,11,15
45,1,5:48.0,,Miami full timeout,11,15
46,1,5:48.0,R. Anderson enters the game for Ö. Aşık,,11,15
47,1,5:24.0,,D. Wade misses 2-pt jump shot from 16 ft,11,15
48,1,5:23.0,Defensive rebound by E. Gordon,,11,15
49,1,5:03.0,E. Gordon misses 2-pt jump shot from 16 ft,,11,15
50,1,5:02.0,,Defensive rebound by D. Wade,11,15
51,1,4:56.0,,C. Bosh misses 2-pt layup from 2 ft (block by A. Davis),11,15
52,1,4:54.0,Defensive rebound by Team,,11,15
53,1,4:54.0,,Loose ball foul by L. Deng (drawn by A. Davis),11,15
54,1,4:54.0,,J. Winslow enters the game for C. Bosh,11,15
55,1,4:42.0,A. Gee misses 3-pt jump shot from 23 ft,,11,15
56,1,4:41.0,Offensive rebound by A. Davis,,11,15
57,1,4:40.0,A. Davis makes 2-pt dunk at rim,,13,15
58,1,4:27.0,,Shooting foul by A. Gee (drawn by H. Whiteside),13,15
59,1,4:27.0,,H. Whiteside makes free throw 1 of 2,13,16
60,1,4:27.0,J. Holiday enters the game for T. Evans,,13,16
61,1,4:27.0,,H. Whiteside makes free throw 2 of 2,13,17
62,1,4:14.0,E. Gordon misses 3-pt jump shot from 24 ft,,13,17
63,1,4:13.0,,Defensive rebound by H. Whiteside,13,17
64,1,4:06.0,,D. Wade misses 2-pt jump shot from 8 ft,13,17
65,1,4:05.0,,Offensive rebound by H. Whiteside,13,17
66,1,4:05.0,,Turnover by H. Whiteside (bad pass),13,17
67,1,4:05.0,N. Cole enters the game for E. Gordon,,13,17
68,1,3:51.0,Turnover by A. Davis (bad pass; steal by L. Deng),,13,17
69,1,3:41.0,,L. Deng misses 3-pt jump shot from 25 ft,13,17
70,1,3:40.0,Defensive rebound by A. Gee,,13,17
71,1,3:29.0,A. Davis misses 2-pt layup from 2 ft,,13,17
72,1,3:28.0,,Defensive rebound by H. Whiteside,13,17
73,1,3:24.0,,Turnover by G. Dragić (traveling),13,17
74,1,3:24.0,,G. Green enters the game for D. Wade,13,17
75,1,3:15.0,Turnover by J. Holiday (bad pass; steal by J. Winslow),,13,17
76,1,3:12.0,,Shooting foul by R. Anderson (drawn by G. Dragić),13,17
77,1,3:12.0,,G. Dragić makes free throw 1 of 2,13,18
78,1,3:12.0,,G. Dragić misses free throw 2 of 2,13,18
79,1,3:11.0,,Offensive rebound by H. Whiteside,13,18
80,1,3:07.0,,H. Whiteside misses 2-pt jump shot from 5 ft (block by A. Davis),13,18
81,1,3:06.0,,Offensive rebound by G. Dragić,13,18
82,1,2:57.0,,Turnover by H. Whiteside (lost ball; steal by N. Cole),13,18
83,1,2:49.0,Turnover by N. Cole (lost ball; steal by G. Green),,13,18
84,1,2:46.0,,Shooting foul by J. Holiday (drawn by J. Winslow),13,18
85,1,2:46.0,,J. Winslow makes free throw 1 of 2,13,19
86,1,2:46.0,,J. Winslow makes free throw 2 of 2,13,20
87,1,2:28.0,A. Davis makes 2-pt jump shot from 12 ft (assist by J. Holiday),,15,20
88,1,2:12.0,,H. Whiteside misses 2-pt hook shot from 4 ft,15,20
89,1,2:11.0,,Offensive rebound by H. Whiteside,15,20
90,1,2:10.0,,H. Whiteside makes 2-pt layup from 1 ft,15,22
91,1,1:59.0,J. Holiday misses 2-pt layup from 1 ft,,15,22
92,1,1:58.0,,Defensive rebound by H. Whiteside,15,22
93,1,1:53.0,,G. Green misses 3-pt jump shot from 25 ft,15,22
94,1,1:52.0,Defensive rebound by N. Cole,,15,22
95,1,1:42.0,A. Davis misses 2-pt jump shot from 14 ft,,15,22
96,1,1:41.0,,Defensive rebound by J. Winslow,15,22
97,1,1:24.0,,G. Dragić misses 2-pt layup from 2 ft,15,22
98,1,1:23.0,,Offensive rebound by H. Whiteside,15,22
99,1,1:22.0,,H. Whiteside misses 2-pt layup at rim,15,22
100,1,1:21.0,,Offensive rebound by H. Whiteside,15,22
101,1,1:20.0,,H. Whiteside makes 2-pt layup at rim,15,24
102,1,1:03.0,A. Davis misses 3-pt jump shot from 24 ft,,15,24
103,1,1:01.0,,Defensive rebound by L. Deng,15,24
104,1,0:46.0,,Turnover by G. Green (traveling),15,24
105,1,0:46.0,,B. Udrih enters the game for G. Dragić,15,24
106,1,0:46.0,,C. Bosh enters the game for H. Whiteside,15,24
107,1,0:35.0,N. Cole misses 2-pt jump shot from 17 ft,,15,24
108,1,0:34.0,,Defensive rebound by C. Bosh,15,24
109,1,0:26.0,,J. Winslow misses 3-pt jump shot from 23 ft,15,24
110,1,0:25.0,,Offensive rebound by C. Bosh,15,24
