,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),0,3
1,1,11:26.0,Shooting block foul by K. Thompson (drawn by B. Beal),,0,3
2,1,11:26.0,B. Beal makes free throw 1 of 2,,1,3
3,1,11:26.0,B. Beal makes free throw 2 of 2,,2,3
4,1,11:03.0,,D. Green misses 3-pt jump shot from 27 ft,2,3
5,1,11:03.0,Defensive rebound by M. Gortat,,2,3
6,1,10:48.0,Turnover by M. Morris (bad pass; steal by D. Green),,2,3
7,1,10:37.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),2,5
8,1,10:28.0,B. Beal misses 2-pt jump shot from 7 ft (block by K. Thompson),,2,5
9,1,10:26.0,Offensive rebound by M. Gortat,,2,5
10,1,10:21.0,J. Wall makes 2-pt jump shot from 13 ft,,4,5
11,1,10:14.0,,Personal foul by M. Morris,4,5
12,1,10:02.0,,K. Thompson misses 3-pt jump shot from 25 ft,4,5
13,1,10:02.0,Defensive rebound by B. Beal,,4,5
14,1,9:52.0,B. Beal misses 2-pt jump shot from 15 ft,,4,5
15,1,9:51.0,,Defensive rebound by H. Barnes,4,5
16,1,9:41.0,,S. Curry misses 2-pt jump shot from 14 ft,4,5
17,1,9:40.0,Defensive rebound by J. Wall,,4,5
18,1,9:31.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,6,5
19,1,9:15.0,,Shooting foul by B. Beal (drawn by S. Curry),6,5
20,1,9:15.0,,S. Curry makes free throw 1 of 2,6,6
21,1,9:15.0,,S. Curry makes free throw 2 of 2,6,7
22,1,9:00.0,M. Morris misses 2-pt jump shot from 18 ft,,6,7
23,1,8:59.0,,Defensive rebound by H. Barnes,6,7
24,1,8:50.0,,Turnover by K. Thompson (lost ball; steal by O. Porter),6,7
25,1,8:43.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,8,7
26,1,8:36.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),8,10
27,1,8:17.0,M. Gortat misses 2-pt hook shot from 12 ft,,8,10
28,1,8:16.0,,Defensive rebound by D. Green,8,10
29,1,8:08.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),8,12
30,1,7:49.0,M. Morris misses 2-pt jump shot from 14 ft,,8,12
31,1,7:49.0,,Defensive rebound by D. Green,8,12
32,1,7:31.0,,K. Thompson makes 2-pt jump shot from 22 ft,8,14
33,1,7:22.0,M. Morris makes 2-pt jump shot from 17 ft (assist by J. Wall),,10,14
34,1,7:04.0,,D. Green misses 2-pt layup from 1 ft,10,14
35,1,7:03.0,Defensive rebound by M. Gortat,,10,14
36,1,6:56.0,J. Wall misses 2-pt layup from 1 ft,,10,14
37,1,6:56.0,,Defensive rebound by K. Thompson,10,14
38,1,6:48.0,,S. Curry misses 3-pt jump shot from 23 ft,10,14
39,1,6:47.0,Defensive rebound by O. Porter,,10,14
40,1,6:37.0,O. Porter misses 2-pt jump shot from 19 ft,,10,14
41,1,6:36.0,,Defensive rebound by S. Curry,10,14
42,1,6:31.0,,Shooting foul by M. Gortat (drawn by D. Green),10,14
43,1,6:31.0,,D. Green makes free throw 1 of 2,10,15
44,1,6:31.0,,D. Green makes free throw 2 of 2,10,16
45,1,6:22.0,Turnover by M. Morris (bad pass; steal by S. Curry),,10,16
46,1,6:18.0,,S. Curry misses 2-pt layup from 2 ft (block by J. Wall),10,16
47,1,6:16.0,Defensive rebound by M. Morris,,10,16
48,1,6:12.0,Offensive foul by M. Morris (drawn by A. Bogut),,10,16
49,1,6:12.0,Turnover by M. Morris (offensive foul),,10,16
50,1,6:12.0,N. Hilário enters the game for M. Morris,,10,16
51,1,5:55.0,,H. Barnes makes 2-pt jump shot from 20 ft (assist by D. Green),10,18
52,1,5:51.0,Washington full timeout,,10,18
53,1,5:38.0,N. Hilário misses 2-pt jump shot from 6 ft,,10,18
54,1,5:36.0,Offensive rebound by M. Gortat,,10,18
55,1,5:36.0,Shooting foul by K. Thompson (drawn by O. Porter),,10,18
56,1,5:36.0,O. Porter makes free throw 1 of 3,,11,18
57,1,5:36.0,O. Porter makes free throw 2 of 3,,12,18
58,1,5:36.0,,L. Barbosa enters the game for K. Thompson,12,18
59,1,5:36.0,O. Porter misses free throw 3 of 3,,12,18
60,1,5:35.0,,Defensive rebound by D. Green,12,18
61,1,5:14.0,,S. Curry misses 2-pt jump shot from 13 ft,12,18
62,1,5:14.0,Defensive rebound by O. Porter,,12,18
63,1,5:08.0,Turnover by J. Wall (bad pass; steal by S. Curry),,12,18
64,1,4:53.0,,H. Barnes misses 3-pt jump shot from 22 ft,12,18
65,1,4:53.0,Defensive rebound by J. Wall,,12,18
66,1,4:43.0,J. Wall misses 2-pt layup from 2 ft,,12,18
67,1,4:42.0,,Defensive rebound by A. Bogut,12,18
68,1,4:37.0,,D. Green makes 2-pt layup from 2 ft (assist by L. Barbosa),12,20
69,1,4:24.0,Shooting foul by L. Barbosa (drawn by M. Gortat),,12,20
70,1,4:24.0,M. Gortat makes 2-pt layup from 2 ft (assist by B. Beal),,14,20
71,1,4:24.0,,A. Varejão enters the game for A. Bogut,14,20
72,1,4:24.0,M. Gortat makes free throw 1 of 1,,15,20
73,1,4:15.0,,Turnover by H. Barnes (bad pass),15,20
74,1,4:15.0,J. Dudley enters the game for M. Gortat,,15,20
75,1,4:02.0,N. Hilário makes 2-pt layup at rim (assist by B. Beal),,17,20
76,1,3:46.0,,S. Curry misses 2-pt jump shot from 20 ft,17,20
77,1,3:46.0,,Offensive rebound by H. Barnes,17,20
78,1,3:43.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by H. Barnes),17,23
79,1,3:27.0,N. Hilário misses 2-pt layup from 2 ft,,17,23
80,1,3:26.0,,Defensive rebound by D. Green,17,23
81,1,3:25.0,Violation by J. Dudley (kicked ball),,17,23
82,1,3:25.0,,Golden State full timeout,17,23
83,1,3:25.0,G. Temple enters the game for B. Beal,,17,23
