,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:43.0,,J. Sullinger misses 2-pt jump shot from 15 ft,0,0
1,1,11:41.0,,Offensive rebound by A. Johnson,0,0
2,1,11:39.0,,A. Johnson misses 2-pt layup from 1 ft,0,0
3,1,11:37.0,,Offensive rebound by I. Thomas,0,0
4,1,11:31.0,,Turnover by E. Turner (bad pass; steal by D. Dedmon),0,0
5,1,11:25.0,D. Dedmon makes 2-pt dunk at rim (assist by B. Jennings),,2,0
6,1,11:05.0,,I. Thomas misses 2-pt jump shot from 4 ft,2,0
7,1,11:04.0,Defensive rebound by V. Oladipo,,2,0
8,1,10:39.0,A. Gordon misses 3-pt jump shot from 25 ft,,2,0
9,1,10:38.0,,Defensive rebound by I. Thomas,2,0
10,1,10:32.0,,Shooting foul by A. Gordon (drawn by I. Thomas),2,0
11,1,10:32.0,,I. Thomas makes free throw 1 of 2,2,1
12,1,10:32.0,,I. Thomas makes free throw 2 of 2,2,2
13,1,10:17.0,E. Fournier misses 2-pt layup from 1 ft,,2,2
14,1,10:16.0,,Defensive rebound by E. Turner,2,2
15,1,10:06.0,,A. Bradley misses 3-pt jump shot from 24 ft,2,2
16,1,10:03.0,Defensive rebound by A. Gordon,,2,2
17,1,9:56.0,E. Fournier misses 3-pt jump shot from 24 ft,,2,2
18,1,9:55.0,,Defensive rebound by I. Thomas,2,2
19,1,9:44.0,Offensive charge foul by A. Johnson (drawn by D. Dedmon),,2,2
20,1,9:44.0,,Turnover by A. Johnson (offensive foul),2,2
21,1,9:34.0,V. Oladipo misses 2-pt jump shot from 11 ft,,2,2
22,1,9:33.0,,Defensive rebound by A. Johnson,2,2
23,1,9:23.0,,J. Sullinger misses 3-pt jump shot from 24 ft,2,2
24,1,9:22.0,Defensive rebound by A. Gordon,,2,2
25,1,9:08.0,D. Dedmon makes 2-pt layup at rim (assist by B. Jennings),,4,2
26,1,8:52.0,,I. Thomas misses 2-pt jump shot from 21 ft,4,2
27,1,8:51.0,Defensive rebound by A. Gordon,,4,2
28,1,8:36.0,B. Jennings misses 2-pt jump shot from 20 ft,,4,2
29,1,8:35.0,,Defensive rebound by I. Thomas,4,2
30,1,8:20.0,,A. Bradley misses 3-pt jump shot from 24 ft,4,2
31,1,8:19.0,Defensive rebound by D. Dedmon,,4,2
32,1,8:10.0,E. Fournier misses 2-pt jump shot from 4 ft,,4,2
33,1,8:09.0,,Defensive rebound by A. Johnson,4,2
34,1,8:05.0,,I. Thomas makes 2-pt layup from 1 ft (assist by A. Johnson),4,4
35,1,8:05.0,,Shooting foul by V. Oladipo (drawn by I. Thomas),4,4
36,1,8:05.0,,I. Thomas makes free throw 1 of 1,4,5
37,1,7:52.0,A. Gordon misses 2-pt layup from 2 ft (block by A. Johnson),,4,5
38,1,7:51.0,,Defensive rebound by A. Bradley,4,5
39,1,7:46.0,,E. Turner makes 2-pt jump shot from 12 ft (assist by A. Bradley),4,7
40,1,7:27.0,D. Dedmon misses 2-pt jump shot from 14 ft,,4,7
41,1,7:25.0,,Defensive rebound by A. Johnson,4,7
42,1,7:19.0,,Turnover by I. Thomas (lost ball; steal by E. Fournier),4,7
43,1,7:13.0,D. Dedmon misses 2-pt layup from 1 ft,,4,7
44,1,7:12.0,Offensive rebound by D. Dedmon,,4,7
45,1,7:12.0,D. Dedmon misses 2-pt layup from 1 ft (block by E. Turner),,4,7
