,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:45.0,K. Korver makes 2-pt jump shot from 19 ft (assist by A. Horford),,2,0
1,1,11:27.0,,V. Oladipo makes 2-pt layup at rim (assist by E. Payton),2,2
2,1,11:16.0,J. Teague makes 2-pt jump shot from 6 ft,,4,2
3,1,10:55.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),4,5
4,1,10:30.0,K. Bazemore misses 2-pt layup from 1 ft,,4,5
5,1,10:29.0,Offensive rebound by K. Bazemore,,4,5
6,1,10:29.0,K. Bazemore misses 2-pt layup from 1 ft,,4,5
7,1,10:27.0,Offensive rebound by K. Bazemore,,4,5
8,1,10:26.0,K. Bazemore misses 2-pt layup from 1 ft,,4,5
9,1,10:25.0,,Defensive rebound by N. Vučević,4,5
10,1,10:08.0,,N. Vučević misses 2-pt jump shot from 15 ft,4,5
11,1,10:07.0,,Offensive rebound by A. Gordon,4,5
12,1,10:07.0,,A. Gordon misses 2-pt layup from 1 ft,4,5
13,1,10:04.0,,Offensive rebound by N. Vučević,4,5
14,1,10:04.0,,N. Vučević makes 2-pt layup from 1 ft,4,7
15,1,9:56.0,A. Horford makes 2-pt dunk at rim (assist by J. Teague),,6,7
16,1,9:42.0,,V. Oladipo misses 3-pt jump shot from 22 ft,6,7
17,1,9:41.0,Defensive rebound by P. Millsap,,6,7
18,1,9:33.0,A. Horford misses 3-pt jump shot from 27 ft,,6,7
19,1,9:32.0,,Defensive rebound by E. Fournier,6,7
20,1,9:22.0,,A. Gordon misses 3-pt jump shot from 25 ft,6,7
21,1,9:20.0,Defensive rebound by P. Millsap,,6,7
22,1,8:59.0,Turnover by K. Korver (bad pass; steal by E. Payton),,6,7
23,1,8:54.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),6,9
24,1,8:39.0,K. Korver misses 2-pt layup at rim,,6,9
25,1,8:37.0,,Defensive rebound by A. Gordon,6,9
26,1,8:32.0,,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),6,11
27,1,8:32.0,Atlanta full timeout,,6,11
28,1,8:22.0,Offensive foul by K. Korver (drawn by E. Payton),,6,11
29,1,8:22.0,Turnover by K. Korver (offensive foul),,6,11
30,1,8:06.0,,N. Vučević misses 2-pt jump shot from 18 ft,6,11
31,1,8:04.0,,Offensive rebound by Team,6,11
32,1,7:54.0,,Turnover by V. Oladipo (bad pass; steal by K. Bazemore),6,11
33,1,7:53.0,Turnover by K. Bazemore (lost ball),,6,11
34,1,7:53.0,Loose ball foul by K. Bazemore (drawn by E. Fournier),,6,11
35,1,7:46.0,,Shooting foul by P. Millsap (drawn by A. Gordon),6,11
36,1,7:46.0,,A. Gordon makes free throw 1 of 2,6,12
37,1,7:46.0,,A. Gordon makes free throw 2 of 2,6,13
38,1,7:38.0,P. Millsap misses 2-pt layup at rim (block by A. Gordon),,6,13
39,1,7:35.0,,Defensive rebound by V. Oladipo,6,13
40,1,7:28.0,,Turnover by V. Oladipo (bad pass; steal by K. Korver),6,13
41,1,7:23.0,K. Bazemore makes 2-pt layup from 1 ft (assist by K. Korver),,8,13
42,1,7:16.0,Violation by A. Horford (def goaltending),,8,13
43,1,7:16.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),8,15
44,1,7:07.0,Turnover by J. Teague (bad pass; steal by E. Fournier),,8,15
45,1,7:03.0,,E. Fournier makes 2-pt layup at rim,8,17
46,1,6:52.0,A. Horford misses 3-pt jump shot from 24 ft,,8,17
47,1,6:50.0,Offensive rebound by P. Millsap,,8,17
48,1,6:44.0,Personal foul by A. Gordon (drawn by P. Millsap),,8,17
49,1,6:44.0,M. Muscala enters the game for A. Horford,,8,17
50,1,6:44.0,T. Sefolosha enters the game for K. Bazemore,,8,17
51,1,6:30.0,J. Teague makes 2-pt jump shot from 10 ft,,10,17
52,1,6:22.0,,N. Vučević makes 2-pt hook shot from 3 ft (assist by E. Payton),10,19
53,1,6:06.0,J. Teague makes 2-pt layup at rim,,12,19
54,1,5:51.0,,N. Vučević misses 2-pt hook shot from 5 ft,12,19
55,1,5:50.0,Defensive rebound by K. Korver,,12,19
56,1,5:43.0,Turnover by T. Sefolosha (bad pass; steal by N. Vučević),,12,19
57,1,5:34.0,,Personal foul by P. Millsap (drawn by A. Gordon),12,19
58,1,5:34.0,,A. Gordon makes free throw 1 of 2,12,20
59,1,5:34.0,A. Horford enters the game for P. Millsap,,12,20
60,1,5:34.0,,A. Gordon makes free throw 2 of 2,12,21
61,1,5:20.0,J. Teague misses 2-pt jump shot from 13 ft (block by E. Payton),,12,21
62,1,5:20.0,Offensive rebound by Team,,12,21
63,1,5:14.0,Turnover by J. Teague (lost ball; steal by A. Gordon),,12,21
64,1,5:09.0,,E. Fournier misses 2-pt layup from 1 ft,12,21
65,1,5:08.0,,Offensive rebound by A. Gordon,12,21
66,1,5:08.0,,A. Gordon makes 2-pt layup from 1 ft,12,23
67,1,5:08.0,Atlanta full timeout,,12,23
68,1,5:08.0,D. Schröder enters the game for J. Teague,,12,23
