,QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
0,1,11:36.0,,R. Hood misses 2-pt jump shot from 8 ft,0,0
1,1,11:36.0,,Offensive rebound by R. Neto,0,0
2,1,11:28.0,,T. Lyles makes 2-pt jump shot from 7 ft,0,2
3,1,11:10.0,Turnover by C. McCollum (bad pass; steal by J. Withey),,0,2
4,1,10:56.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by R. Neto),0,5
5,1,10:39.0,C. McCollum makes 2-pt jump shot from 14 ft,,2,5
6,1,10:22.0,,R. Neto makes 2-pt jump shot from 19 ft,2,7
7,1,10:04.0,M. Plumlee makes 2-pt hook shot from 8 ft,,4,7
8,1,9:40.0,,J. Withey misses 2-pt layup from 2 ft,4,7
9,1,9:39.0,Defensive rebound by N. Vonleh,,4,7
10,1,9:33.0,C. McCollum makes 2-pt layup from 2 ft,,6,7
11,1,9:11.0,,T. Lyles misses 2-pt jump shot from 21 ft,6,7
12,1,9:10.0,Defensive rebound by M. Plumlee,,6,7
13,1,8:58.0,C. McCollum misses 3-pt jump shot from 24 ft,,6,7
14,1,8:57.0,,Defensive rebound by G. Hayward,6,7
15,1,8:43.0,,G. Hayward misses 3-pt jump shot from 24 ft,6,7
16,1,8:43.0,Defensive rebound by A. Aminu,,6,7
17,1,8:33.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by N. Vonleh),,9,7
18,1,8:08.0,,R. Hood makes 2-pt jump shot from 7 ft,9,9
19,1,7:50.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,12,9
20,1,7:28.0,,T. Lyles misses 2-pt jump shot from 22 ft,12,9
21,1,7:28.0,Defensive rebound by M. Plumlee,,12,9
22,1,7:18.0,A. Crabbe misses 2-pt jump shot from 3 ft,,12,9
23,1,7:17.0,,Defensive rebound by R. Hood,12,9
24,1,6:57.0,,R. Hood makes 3-pt jump shot from 24 ft,12,12
25,1,6:41.0,Shooting foul by R. Hood (drawn by A. Crabbe),,12,12
26,1,6:41.0,A. Crabbe misses free throw 1 of 2,,12,12
27,1,6:41.0,Offensive rebound by Team,,12,12
28,1,6:41.0,,T. Booker enters the game for J. Withey,12,12
29,1,6:41.0,A. Crabbe makes free throw 2 of 2,,13,12
30,1,6:27.0,,T. Booker misses 2-pt jump shot from 18 ft,13,12
31,1,6:26.0,,Offensive rebound by R. Hood,13,12
32,1,6:22.0,,R. Hood misses 3-pt jump shot from 25 ft,13,12
33,1,6:21.0,Defensive rebound by A. Aminu,,13,12
34,1,6:12.0,A. Aminu misses 2-pt jump shot from 4 ft,,13,12
35,1,6:11.0,,Defensive rebound by R. Neto,13,12
36,1,6:03.0,,G. Hayward misses 2-pt jump shot from 16 ft,13,12
37,1,6:01.0,Defensive rebound by C. McCollum,,13,12
38,1,5:53.0,Shooting foul by T. Lyles (drawn by N. Vonleh),,13,12
39,1,5:53.0,,Utah full timeout,13,12
40,1,5:53.0,,T. Burke enters the game for R. Neto,13,12
41,1,5:53.0,,C. Johnson enters the game for R. Hood,13,12
42,1,5:53.0,N. Vonleh makes free throw 1 of 2,,14,12
43,1,5:53.0,N. Vonleh makes free throw 2 of 2,,15,12
44,1,5:40.0,,G. Hayward misses 3-pt jump shot from 25 ft,15,12
45,1,5:39.0,Defensive rebound by C. McCollum,,15,12
46,1,5:29.0,C. McCollum misses 3-pt jump shot from 24 ft,,15,12
47,1,5:28.0,,Defensive rebound by Team,15,12
48,1,5:27.0,G. Henderson enters the game for A. Crabbe,,15,12
49,1,5:07.0,,T. Burke makes 2-pt jump shot from 17 ft,15,14
50,1,4:50.0,Def 3 sec tech foul by T. Lyles,,15,14
51,1,4:50.0,C. McCollum misses technical free throw,,15,14
52,1,4:50.0,Offensive rebound by Team,,15,14
53,1,4:50.0,M. Leonard enters the game for N. Vonleh,,15,14
54,1,4:50.0,E. Davis enters the game for M. Plumlee,,15,14
55,1,4:41.0,C. McCollum misses 2-pt jump shot from 14 ft,,15,14
56,1,4:41.0,Offensive rebound by M. Leonard,,15,14
57,1,4:33.0,C. McCollum makes 2-pt jump shot from 7 ft,,17,14
58,1,4:12.0,,T. Booker misses 2-pt jump shot from 19 ft,17,14
59,1,4:12.0,Defensive rebound by M. Leonard,,17,14
60,1,3:56.0,G. Henderson misses 2-pt jump shot from 12 ft,,17,14
61,1,3:55.0,,Defensive rebound by C. Johnson,17,14
62,1,3:38.0,,G. Hayward makes 2-pt jump shot from 17 ft,17,16
63,1,3:15.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by C. McCollum),,20,16
64,1,2:53.0,,T. Burke makes 2-pt jump shot from 21 ft,20,18
65,1,2:41.0,Turnover by M. Leonard (bad pass),,20,18
66,1,2:41.0,Portland full timeout,,20,18
67,1,2:41.0,,J. Withey enters the game for T. Lyles,20,18
68,1,2:41.0,,J. Ingles enters the game for C. Johnson,20,18
69,1,2:41.0,M. Harkless enters the game for A. Aminu,,20,18
70,1,2:21.0,,T. Burke misses 2-pt jump shot from 21 ft,20,18
71,1,2:19.0,,Offensive rebound by J. Withey,20,18
72,1,2:19.0,,J. Withey misses 2-pt layup from 1 ft,20,18
73,1,2:19.0,,Offensive rebound by Team,20,18
74,1,2:08.0,,G. Hayward makes 3-pt jump shot from 24 ft,20,21
75,1,1:48.0,E. Davis misses 2-pt layup from 2 ft,,20,21
76,1,1:47.0,,Defensive rebound by T. Booker,20,21
77,1,1:29.0,,G. Hayward makes 2-pt jump shot from 20 ft,20,23
78,1,1:12.0,M. Harkless misses 3-pt jump shot from 24 ft,,20,23
79,1,1:11.0,,Defensive rebound by T. Booker,20,23
80,1,0:59.0,,G. Hayward misses 3-pt jump shot from 25 ft,20,23
81,1,0:59.0,Defensive rebound by G. Henderson,,20,23
82,1,0:58.0,Personal foul by T. Booker (drawn by M. Leonard),,20,23
83,1,0:43.0,G. Henderson makes 2-pt jump shot from 18 ft (assist by M. Leonard),,22,23
84,1,0:20.0,,T. Burke makes 2-pt jump shot from 10 ft,22,25
85,1,0:01.0,E. Davis makes 2-pt layup from 2 ft (assist by C. McCollum),,24,25
86,1,0:01.0,Shooting foul by J. Ingles (drawn by E. Davis),,24,25
87,1,0:01.0,E. Davis makes free throw 1 of 1,,25,25
88,2,11:43.0,M. Harkless makes 2-pt layup from 3 ft,,27,25
89,2,11:31.0,,Shooting foul by M. Harkless (drawn by J. Withey),27,25
90,2,11:31.0,,J. Withey makes free throw 1 of 2,27,26
91,2,11:31.0,,J. Withey misses free throw 2 of 2,27,26
92,2,11:31.0,,Offensive rebound by J. Ingles,27,26
93,2,11:20.0,,R. Hood misses 2-pt jump shot from 9 ft,27,26
94,2,11:20.0,Defensive rebound by E. Davis,,27,26
95,2,11:10.0,Turnover by G. Henderson (bad pass),,27,26
96,2,10:51.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by T. Booker),27,29
97,2,10:24.0,T. Frazier misses 2-pt jump shot from 5 ft (block by J. Withey),,27,29
98,2,10:24.0,Offensive rebound by Team,,27,29
99,2,10:24.0,Turnover by Team (shot clock),,27,29
100,2,10:03.0,,T. Burke makes 2-pt jump shot from 20 ft,27,31
101,2,10:01.0,,Violation by Team (delay of game),27,31
102,2,9:36.0,M. Leonard makes 3-pt jump shot from 23 ft (assist by M. Harkless),,30,31
103,2,9:20.0,,Personal foul by G. Henderson (drawn by J. Withey),30,31
104,2,9:20.0,A. Crabbe enters the game for G. Henderson,,30,31
105,2,9:07.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by R. Hood),30,34
106,2,8:58.0,Turnover by M. Leonard (bad pass; steal by R. Hood),,30,34
107,2,8:52.0,,T. Burke misses 3-pt jump shot from 24 ft,30,34
108,2,8:48.0,Defensive rebound by A. Crabbe,,30,34
109,2,8:25.0,M. Harkless misses 3-pt jump shot from 22 ft,,30,34
110,2,8:24.0,Offensive rebound by M. Harkless,,30,34
111,2,8:21.0,M. Harkless misses 3-pt jump shot from 23 ft,,30,34
112,2,8:19.0,,Defensive rebound by R. Hood,30,34
113,2,8:09.0,,J. Withey makes 2-pt hook shot from 4 ft (assist by T. Booker),30,36
114,2,8:08.0,Portland full timeout,,30,36
115,2,8:08.0,,T. Lyles enters the game for T. Booker,30,36
116,2,7:52.0,A. Crabbe misses 3-pt jump shot from 24 ft,,30,36
117,2,7:51.0,,Defensive rebound by T. Lyles,30,36
118,2,7:28.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Hood),30,39
119,2,7:15.0,Offensive foul by E. Davis (drawn by J. Withey),,30,39
120,2,7:15.0,Turnover by E. Davis (offensive foul),,30,39
121,2,7:15.0,M. Plumlee enters the game for E. Davis,,30,39
122,2,7:15.0,C. McCollum enters the game for T. Frazier,,30,39
123,2,7:15.0,A. Aminu enters the game for M. Leonard,,30,39
124,2,6:55.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by T. Burke),30,42
125,2,6:44.0,Personal foul by J. Ingles (drawn by A. Crabbe),,30,42
126,2,6:44.0,,C. Johnson enters the game for J. Ingles,30,42
127,2,6:36.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,33,42
128,2,6:16.0,,J. Withey makes 2-pt dunk at rim (assist by R. Hood),33,44
129,2,5:55.0,M. Harkless misses 2-pt dunk at rim,,33,44
130,2,5:55.0,,Defensive rebound by C. Johnson,33,44
131,2,5:44.0,,R. Hood misses 2-pt jump shot from 14 ft,33,44
132,2,5:43.0,Defensive rebound by A. Aminu,,33,44
133,2,5:39.0,Turnover by A. Aminu (lost ball; steal by T. Burke),,33,44
134,2,5:35.0,,T. Burke makes 2-pt layup from 1 ft,33,46
135,2,5:35.0,Portland full timeout,,33,46
136,2,5:35.0,Portland full timeout,,33,46
137,2,5:35.0,,G. Hayward enters the game for C. Johnson,33,46
138,2,5:35.0,,R. Neto enters the game for T. Burke,33,46
139,2,5:21.0,Turnover by A. Crabbe (bad pass; steal by G. Hayward),,33,46
140,2,5:19.0,,G. Hayward makes 2-pt layup from 1 ft,33,48
141,2,5:19.0,,Shooting foul by A. Crabbe (drawn by G. Hayward),33,48
142,2,5:19.0,M. Leonard enters the game for M. Harkless,,33,48
143,2,5:19.0,,G. Hayward makes free throw 1 of 1,33,49
144,2,5:00.0,A. Aminu misses 3-pt jump shot from 23 ft,,33,49
145,2,5:00.0,,Defensive rebound by R. Neto,33,49
146,2,4:36.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by R. Hood),33,52
147,2,4:23.0,A. Crabbe misses 2-pt layup from 2 ft,,33,52
148,2,4:22.0,,Defensive rebound by G. Hayward,33,52
149,2,4:14.0,,G. Hayward misses 2-pt jump shot from 9 ft,33,52
150,2,4:14.0,Defensive rebound by A. Aminu,,33,52
151,2,3:59.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by M. Leonard),,36,52
152,2,3:49.0,,Personal foul by C. McCollum (drawn by R. Neto),36,52
153,2,3:49.0,,C. Johnson enters the game for R. Hood,36,52
154,2,3:38.0,,T. Lyles misses 2-pt hook shot from 2 ft,36,52
155,2,3:37.0,Defensive rebound by M. Plumlee,,36,52
156,2,3:36.0,Personal foul by C. Johnson (drawn by M. Plumlee),,36,52
157,2,3:21.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,39,52
158,2,3:00.0,,G. Hayward misses 3-pt jump shot from 24 ft,39,52
159,2,2:59.0,Defensive rebound by M. Plumlee,,39,52
160,2,2:52.0,A. Crabbe misses 2-pt jump shot from 9 ft,,39,52
161,2,2:52.0,Offensive rebound by A. Aminu,,39,52
162,2,2:52.0,A. Aminu misses 2-pt layup from 1 ft,,39,52
163,2,2:51.0,,Defensive rebound by G. Hayward,39,52
164,2,2:30.0,,G. Hayward misses 3-pt jump shot from 25 ft,39,52
165,2,2:30.0,Defensive rebound by C. McCollum,,39,52
166,2,2:21.0,C. McCollum misses 2-pt layup from 1 ft,,39,52
167,2,2:21.0,Offensive rebound by M. Plumlee,,39,52
168,2,2:18.0,Turnover by M. Plumlee (lost ball; steal by C. Johnson),,39,52
169,2,2:11.0,,Utah full timeout,39,52
170,2,2:11.0,,T. Booker enters the game for J. Withey,39,52
171,2,2:11.0,,R. Hood enters the game for C. Johnson,39,52
172,2,2:11.0,,T. Burke enters the game for R. Neto,39,52
173,2,2:03.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by G. Hayward),39,55
174,2,1:47.0,Turnover by M. Plumlee (bad pass; steal by T. Lyles),,39,55
175,2,1:34.0,,R. Hood misses 2-pt jump shot from 11 ft,39,55
176,2,1:34.0,,Offensive rebound by R. Hood,39,55
177,2,1:30.0,,R. Hood makes 2-pt layup from 1 ft,39,57
178,2,1:15.0,M. Leonard misses 3-pt jump shot from 24 ft,,39,57
179,2,1:14.0,,Defensive rebound by G. Hayward,39,57
180,2,0:59.0,,T. Burke misses 2-pt jump shot from 19 ft,39,57
181,2,0:58.0,Defensive rebound by C. McCollum,,39,57
182,2,0:51.0,A. Crabbe misses 3-pt jump shot from 24 ft,,39,57
183,2,0:51.0,Offensive rebound by M. Plumlee,,39,57
184,2,0:50.0,Personal foul by T. Lyles (drawn by M. Plumlee),,39,57
185,2,0:32.0,M. Plumlee misses 2-pt layup from 2 ft,,39,57
186,2,0:31.0,Offensive rebound by M. Plumlee,,39,57
187,2,0:29.0,M. Plumlee misses 2-pt hook shot from 4 ft,,39,57
188,2,0:28.0,,Defensive rebound by G. Hayward,39,57
189,2,0:05.0,,Turnover by T. Booker (3 sec),39,57
190,2,0:05.0,,J. Withey enters the game for T. Lyles,39,57
191,2,0:01.0,C. McCollum misses 2-pt dunk at rim (block by J. Withey),,39,57
192,2,0:00.0,Offensive rebound by Team,,39,57
193,3,11:47.0,C. McCollum misses 3-pt jump shot from 24 ft,,39,57
194,3,11:47.0,,Defensive rebound by R. Hood,39,57
195,3,11:28.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by R. Hood),39,60
196,3,11:12.0,A. Aminu misses 3-pt jump shot from 24 ft,,39,60
197,3,11:11.0,,Defensive rebound by T. Lyles,39,60
198,3,10:54.0,,Offensive foul by J. Withey (drawn by A. Aminu),39,60
199,3,10:54.0,,Turnover by J. Withey (offensive foul),39,60
200,3,10:33.0,Shooting foul by T. Lyles (drawn by N. Vonleh),,39,60
201,3,10:33.0,N. Vonleh makes free throw 1 of 2,,40,60
202,3,10:33.0,N. Vonleh makes free throw 2 of 2,,41,60
203,3,10:20.0,,T. Lyles misses 3-pt jump shot from 22 ft,41,60
204,3,10:18.0,Defensive rebound by A. Aminu,,41,60
205,3,10:12.0,A. Crabbe misses 3-pt jump shot from 24 ft,,41,60
206,3,10:11.0,,Defensive rebound by G. Hayward,41,60
207,3,9:57.0,,R. Hood makes 2-pt layup from 3 ft,41,62
208,3,9:44.0,Shooting foul by J. Withey (drawn by M. Plumlee),,41,62
209,3,9:44.0,M. Plumlee misses free throw 1 of 2,,41,62
210,3,9:44.0,Offensive rebound by Team,,41,62
211,3,9:44.0,M. Plumlee makes free throw 2 of 2,,42,62
212,3,9:24.0,,R. Hood makes 3-pt jump shot from 24 ft,42,65
213,3,9:07.0,C. McCollum misses 3-pt jump shot from 24 ft,,42,65
214,3,9:07.0,,Defensive rebound by T. Lyles,42,65
215,3,9:00.0,,Personal foul by A. Aminu (drawn by G. Hayward),42,65
216,3,8:43.0,,G. Hayward misses 3-pt jump shot from 24 ft,42,65
217,3,8:42.0,,Offensive rebound by T. Lyles,42,65
218,3,8:37.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Lyles),42,68
219,3,8:26.0,Def 3 sec tech foul by T. Lyles,,42,68
220,3,8:26.0,C. McCollum misses technical free throw,,42,68
221,3,8:26.0,Offensive rebound by Team,,42,68
222,3,8:20.0,Personal foul by R. Neto (drawn by N. Vonleh),,42,68
223,3,8:11.0,A. Aminu makes 2-pt jump shot from 18 ft (assist by C. McCollum),,44,68
224,3,7:52.0,,G. Hayward misses 2-pt jump shot from 22 ft,44,68
225,3,7:51.0,Defensive rebound by C. McCollum,,44,68
226,3,7:43.0,C. McCollum misses 2-pt jump shot from 19 ft,,44,68
227,3,7:42.0,Offensive rebound by M. Plumlee,,44,68
228,3,7:39.0,A. Aminu misses 3-pt jump shot from 24 ft,,44,68
229,3,7:38.0,,Defensive rebound by G. Hayward,44,68
230,3,7:18.0,,R. Hood misses 3-pt jump shot from 22 ft,44,68
231,3,7:17.0,Defensive rebound by M. Plumlee,,44,68
232,3,7:12.0,A. Crabbe makes 2-pt jump shot from 3 ft,,46,68
233,3,6:54.0,,R. Neto makes 2-pt layup from 2 ft (assist by T. Lyles),46,70
234,3,6:44.0,M. Plumlee misses 2-pt jump shot from 3 ft (block by R. Hood),,46,70
235,3,6:42.0,,Defensive rebound by T. Lyles,46,70
236,3,6:34.0,,Turnover by T. Lyles (bad pass),46,70
237,3,6:34.0,,T. Booker enters the game for T. Lyles,46,70
238,3,6:34.0,,C. Johnson enters the game for R. Hood,46,70
239,3,6:27.0,Personal foul by J. Withey (drawn by M. Plumlee),,46,70
240,3,6:27.0,T. Frazier enters the game for A. Aminu,,46,70
241,3,6:19.0,M. Plumlee misses 2-pt layup from 1 ft (block by J. Withey),,46,70
242,3,6:18.0,,Defensive rebound by G. Hayward,46,70
243,3,6:16.0,,C. Johnson makes 2-pt layup from 1 ft,46,72
244,3,6:16.0,,Shooting foul by C. McCollum (drawn by C. Johnson),46,72
245,3,6:16.0,M. Leonard enters the game for M. Plumlee,,46,72
246,3,6:16.0,,C. Johnson makes free throw 1 of 1,46,73
247,3,6:01.0,C. McCollum misses 3-pt jump shot from 24 ft,,46,73
248,3,6:00.0,,Defensive rebound by G. Hayward,46,73
249,3,5:44.0,,C. Johnson makes 2-pt jump shot from 17 ft (assist by J. Withey),46,75
250,3,5:44.0,Portland full timeout,,46,75
251,3,5:26.0,A. Crabbe makes 2-pt jump shot from 16 ft,,48,75
252,3,5:11.0,,R. Neto misses 3-pt jump shot from 24 ft,48,75
253,3,5:11.0,Defensive rebound by N. Vonleh,,48,75
254,3,5:02.0,C. McCollum misses 2-pt jump shot from 14 ft,,48,75
255,3,5:02.0,,Defensive rebound by G. Hayward,48,75
256,3,4:56.0,,Personal foul by A. Crabbe (drawn by G. Hayward),48,75
257,3,4:56.0,,T. Burke enters the game for R. Neto,48,75
258,3,4:44.0,,J. Withey misses 2-pt layup from 2 ft,48,75
259,3,4:43.0,Defensive rebound by N. Vonleh,,48,75
260,3,4:36.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by T. Frazier),,51,75
261,3,4:11.0,,T. Booker misses 2-pt jump shot from 12 ft,51,75
262,3,4:09.0,Defensive rebound by A. Crabbe,,51,75
263,3,4:03.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by C. McCollum),,54,75
264,3,4:03.0,Shooting foul by C. Johnson (drawn by A. Crabbe),,54,75
