,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
0,1,11:48.0,,K. Bryant misses 2-pt jump shot from 16 ft,0,0
1,1,11:48.0,Defensive rebound by A. Drummond,,0,0
2,1,11:40.0,R. Jackson misses 2-pt layup from 1 ft,,0,0
3,1,11:39.0,,Defensive rebound by R. Hibbert,0,0
4,1,11:33.0,,Turnover by D. Russell (lost ball),0,0
5,1,11:03.0,K. Caldwell-Pope makes 2-pt hook shot from 2 ft,,2,0
6,1,10:47.0,,K. Bryant makes 2-pt jump shot from 10 ft (assist by J. Clarkson),2,2
7,1,10:28.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,2,2
8,1,10:26.0,,Defensive rebound by R. Hibbert,2,2
9,1,10:19.0,,R. Hibbert makes 2-pt hook shot from 1 ft (assist by J. Clarkson),2,4
10,1,10:02.0,A. Drummond misses 2-pt jump shot from 6 ft,,2,4
11,1,10:02.0,,Defensive rebound by J. Clarkson,2,4
12,1,9:51.0,,Turnover by R. Hibbert (bad pass; steal by M. Morris),2,4
13,1,9:44.0,R. Jackson misses 3-pt jump shot from 23 ft,,2,4
14,1,9:44.0,,Defensive rebound by J. Randle,2,4
15,1,9:25.0,,K. Bryant misses 2-pt jump shot from 14 ft,2,4
16,1,9:24.0,Defensive rebound by R. Jackson,,2,4
17,1,9:12.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,2,4
18,1,9:11.0,,Defensive rebound by K. Bryant,2,4
19,1,9:04.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by K. Bryant),2,7
20,1,8:37.0,M. Morris makes 2-pt jump shot from 19 ft,,4,7
21,1,8:26.0,,R. Hibbert misses 2-pt jump shot from 12 ft,4,7
22,1,8:26.0,Defensive rebound by A. Drummond,,4,7
23,1,8:16.0,R. Jackson makes 2-pt layup at rim,,6,7
24,1,8:07.0,,R. Hibbert misses 2-pt hook shot from 4 ft,6,7
25,1,8:06.0,,Offensive rebound by J. Randle,6,7
26,1,7:41.0,,Turnover by J. Clarkson (lost ball),6,7
27,1,7:41.0,,Violation by J. Clarkson (kicked ball),6,7
28,1,7:41.0,R. Jackson makes 2-pt jump shot from 6 ft,,8,7
29,1,7:33.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by D. Russell),8,10
30,1,7:08.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,8,10
31,1,7:08.0,,Defensive rebound by D. Russell,8,10
32,1,7:00.0,,Turnover by J. Randle (traveling),8,10
33,1,6:44.0,K. Caldwell-Pope misses 2-pt jump shot from 14 ft (block by R. Hibbert),,8,10
34,1,6:43.0,,Defensive rebound by D. Russell,8,10
35,1,6:36.0,,D. Russell misses 3-pt jump shot from 26 ft,8,10
36,1,6:35.0,Defensive rebound by M. Morris,,8,10
37,1,6:25.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Jackson),,11,10
38,1,6:05.0,,J. Randle misses 2-pt jump shot from 22 ft,11,10
39,1,6:05.0,Defensive rebound by E. İlyasova,,11,10
40,1,5:55.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,11,10
41,1,5:54.0,,Defensive rebound by J. Clarkson,11,10
42,1,5:51.0,,Personal foul by R. Jackson (drawn by K. Bryant),11,10
43,1,5:51.0,,LA Lakers full timeout,11,10
44,1,5:51.0,S. Dinwiddie enters the game for R. Jackson,,11,10
45,1,5:40.0,,K. Bryant misses 2-pt jump shot from 21 ft,11,10
46,1,5:39.0,Defensive rebound by K. Caldwell-Pope,,11,10
47,1,5:28.0,Turnover by Team (back court),,11,10
48,1,5:13.0,,D. Russell makes 2-pt jump shot from 14 ft (assist by K. Bryant),11,12
49,1,4:57.0,M. Morris misses 2-pt jump shot from 15 ft,,11,12
50,1,4:56.0,,Defensive rebound by R. Hibbert,11,12
51,1,4:47.0,,Shooting foul by M. Morris (drawn by J. Randle),11,12
52,1,4:47.0,,J. Randle misses free throw 1 of 2,11,12
53,1,4:47.0,,Offensive rebound by Team,11,12
54,1,4:47.0,A. Tolliver enters the game for E. İlyasova,,11,12
55,1,4:47.0,,J. Randle makes free throw 2 of 2,11,13
56,1,4:35.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,14,13
57,1,4:23.0,,J. Randle misses 2-pt jump shot from 19 ft,14,13
58,1,4:22.0,Defensive rebound by Team,,14,13
59,1,4:20.0,,M. World Peace enters the game for K. Bryant,14,13
60,1,4:20.0,,L. Williams enters the game for D. Russell,14,13
61,1,4:10.0,A. Tolliver misses 3-pt jump shot from 25 ft,,14,13
62,1,4:10.0,,Defensive rebound by L. Williams,14,13
63,1,3:53.0,,J. Randle misses 2-pt layup from 1 ft,14,13
64,1,3:51.0,Defensive rebound by M. Morris,,14,13
65,1,3:45.0,A. Drummond misses 2-pt layup at rim,,14,13
66,1,3:45.0,,Defensive rebound by J. Clarkson,14,13
67,1,3:37.0,,Shooting foul by S. Dinwiddie (drawn by J. Clarkson),14,13
68,1,3:37.0,,J. Clarkson misses free throw 1 of 2,14,13
69,1,3:37.0,,Offensive rebound by Team,14,13
70,1,3:37.0,R. Bullock enters the game for K. Caldwell-Pope,,14,13
71,1,3:37.0,A. Baynes enters the game for A. Drummond,,14,13
72,1,3:37.0,,J. Clarkson makes free throw 2 of 2,14,14
73,1,3:25.0,Personal foul by M. World Peace (drawn by M. Morris),,14,14
74,1,3:25.0,,N. Young enters the game for J. Clarkson,14,14
75,1,3:25.0,,B. Bass enters the game for R. Hibbert,14,14
76,1,3:16.0,A. Baynes makes 2-pt hook shot from 3 ft (assist by A. Tolliver),,16,14
77,1,3:02.0,,J. Randle makes 2-pt layup from 2 ft (assist by L. Williams),16,16
78,1,2:50.0,Personal foul by L. Williams,,16,16
79,1,2:50.0,Detroit full timeout,,16,16
80,1,2:50.0,S. Johnson enters the game for M. Morris,,16,16
81,1,2:39.0,A. Baynes misses 2-pt jump shot from 17 ft,,16,16
82,1,2:39.0,,Defensive rebound by B. Bass,16,16
83,1,2:28.0,,B. Bass makes 2-pt jump shot from 16 ft (assist by M. World Peace),16,18
84,1,1:59.0,A. Tolliver misses 3-pt jump shot from 26 ft,,16,18
85,1,1:59.0,Offensive rebound by Team,,16,18
86,1,1:59.0,,Loose ball foul by M. World Peace (drawn by A. Baynes),16,18
87,1,1:59.0,,L. Nance enters the game for J. Randle,16,18
88,1,1:42.0,A. Baynes makes 2-pt jump shot from 9 ft (assist by S. Johnson),,18,18
89,1,1:28.0,,L. Williams misses 2-pt jump shot from 16 ft,18,18
90,1,1:27.0,Defensive rebound by R. Bullock,,18,18
91,1,1:13.0,S. Johnson misses 3-pt jump shot from 27 ft,,18,18
92,1,1:12.0,,Defensive rebound by L. Nance,18,18
93,1,1:03.0,,Shooting foul by A. Tolliver (drawn by M. World Peace),18,18
94,1,1:03.0,,M. World Peace makes free throw 1 of 2,18,19
95,1,1:03.0,R. Jackson enters the game for S. Dinwiddie,,18,19
96,1,1:03.0,,M. World Peace misses free throw 2 of 2,18,19
97,1,1:03.0,Defensive rebound by S. Johnson,,18,19
98,1,0:48.0,R. Bullock misses 2-pt jump shot from 15 ft,,18,19
99,1,0:48.0,Offensive rebound by A. Tolliver,,18,19
100,1,0:41.0,A. Tolliver misses 3-pt jump shot from 26 ft,,18,19
101,1,0:41.0,Offensive rebound by R. Bullock,,18,19
102,1,0:37.0,R. Bullock misses 2-pt layup from 2 ft (block by B. Bass),,18,19
103,1,0:35.0,,Defensive rebound by L. Williams,18,19
104,1,0:11.0,,B. Bass misses 2-pt jump shot from 13 ft,18,19
105,1,0:11.0,,Offensive rebound by M. World Peace,18,19
106,1,0:06.0,,Shooting foul by S. Johnson (drawn by M. World Peace),18,19
107,1,0:06.0,,M. World Peace misses free throw 1 of 3,18,19
108,1,0:06.0,,Offensive rebound by Team,18,19
109,1,0:06.0,,M. World Peace makes free throw 2 of 3,18,20
110,1,0:06.0,,M. World Peace makes free throw 3 of 3,18,21
111,1,0:01.0,R. Jackson misses 2-pt jump shot from 21 ft,,18,21
112,1,0:00.0,Offensive rebound by Team,,18,21
113,2,11:48.0,Turnover by R. Jackson (bad pass),,18,21
114,2,11:34.0,,N. Young misses 2-pt jump shot from 19 ft,18,21
115,2,11:33.0,Defensive rebound by S. Johnson,,18,21
116,2,11:23.0,Turnover by R. Jackson (bad pass; steal by L. Nance),,18,21
117,2,11:07.0,,K. Bryant misses 3-pt jump shot from 25 ft,18,21
118,2,11:06.0,Defensive rebound by S. Johnson,,18,21
119,2,10:49.0,A. Tolliver misses 2-pt jump shot from 3 ft (block by B. Bass),,18,21
120,2,10:48.0,,Defensive rebound by K. Bryant,18,21
121,2,10:40.0,,L. Nance makes 2-pt layup from 3 ft (assist by K. Bryant),18,23
122,2,10:21.0,Turnover by S. Johnson (traveling),,18,23
123,2,9:55.0,,L. Nance makes 2-pt jump shot at rim (assist by L. Williams),18,25
124,2,9:50.0,Detroit full timeout,,18,25
125,2,9:44.0,A. Drummond misses 2-pt hook shot from 5 ft,,18,25
126,2,9:42.0,,Defensive rebound by K. Bryant,18,25
127,2,9:33.0,,L. Nance makes 2-pt layup from 3 ft (assist by K. Bryant),18,27
128,2,9:16.0,A. Drummond misses 2-pt jump shot from 7 ft,,18,27
129,2,9:14.0,,Defensive rebound by K. Bryant,18,27
130,2,8:56.0,,K. Bryant makes 2-pt jump shot from 6 ft,18,29
131,2,8:43.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Jackson),,21,29
132,2,8:33.0,,Turnover by L. Williams (bad pass; steal by S. Johnson),21,29
133,2,8:28.0,S. Johnson makes 2-pt layup at rim,,23,29
134,2,8:07.0,,K. Bryant misses 2-pt jump shot from 17 ft,23,29
135,2,8:06.0,Defensive rebound by A. Drummond,,23,29
136,2,7:47.0,A. Drummond makes 2-pt hook shot from 2 ft,,25,29
137,2,7:22.0,,K. Bryant makes 2-pt layup from 2 ft (assist by B. Bass),25,31
138,2,7:22.0,,Shooting foul by A. Tolliver (drawn by K. Bryant),25,31
139,2,7:22.0,S. Dinwiddie enters the game for R. Jackson,,25,31
140,2,7:22.0,K. Caldwell-Pope enters the game for R. Bullock,,25,31
141,2,7:22.0,E. İlyasova enters the game for A. Tolliver,,25,31
142,2,7:22.0,,K. Bryant makes free throw 1 of 1,25,32
143,2,6:57.0,S. Johnson misses 2-pt jump shot from 3 ft,,25,32
144,2,6:57.0,Offensive rebound by A. Drummond,,25,32
145,2,6:50.0,A. Drummond makes 2-pt layup from 1 ft,,27,32
146,2,6:47.0,,Shooting foul by S. Johnson (drawn by L. Williams),27,32
147,2,6:47.0,,L. Williams makes free throw 1 of 2,27,33
148,2,6:47.0,,M. World Peace enters the game for K. Bryant,27,33
149,2,6:47.0,,L. Williams misses free throw 2 of 2,27,33
150,2,6:46.0,Defensive rebound by A. Drummond,,27,33
151,2,6:27.0,Turnover by E. İlyasova (lost ball; steal by N. Young),,27,33
152,2,6:21.0,,N. Young makes 3-pt jump shot from 25 ft,27,36
153,2,6:00.0,S. Johnson misses 3-pt jump shot from 23 ft,,27,36
154,2,5:59.0,,Defensive rebound by L. Nance,27,36
155,2,5:48.0,,B. Bass misses 2-pt jump shot from 17 ft,27,36
156,2,5:47.0,Defensive rebound by E. İlyasova,,27,36
157,2,5:42.0,Personal foul by L. Williams,,27,36
158,2,5:42.0,Official timeout,,27,36
159,2,5:42.0,,J. Randle enters the game for L. Williams,27,36
160,2,5:42.0,,D. Russell enters the game for B. Bass,27,36
161,2,5:42.0,,R. Hibbert enters the game for L. Nance,27,36
162,2,5:33.0,S. Dinwiddie makes 2-pt jump shot from 11 ft,,29,36
163,2,5:18.0,,Shooting foul by K. Caldwell-Pope (drawn by N. Young),29,36
164,2,5:18.0,,N. Young makes free throw 1 of 3,29,37
165,2,5:18.0,,N. Young makes free throw 2 of 3,29,38
166,2,5:18.0,,N. Young makes free throw 3 of 3,29,39
167,2,5:10.0,Personal foul by M. World Peace (drawn by E. İlyasova),,29,39
168,2,5:10.0,,J. Clarkson enters the game for N. Young,29,39
169,2,5:10.0,M. Morris enters the game for S. Johnson,,29,39
170,2,5:01.0,S. Dinwiddie makes 2-pt layup at rim,,31,39
171,2,4:43.0,,J. Clarkson misses 3-pt jump shot from 25 ft,31,39
172,2,4:43.0,Defensive rebound by A. Drummond,,31,39
173,2,4:28.0,E. İlyasova misses 3-pt jump shot from 26 ft,,31,39
174,2,4:28.0,Offensive rebound by M. Morris,,31,39
175,2,4:23.0,M. Morris misses 2-pt jump shot from 14 ft,,31,39
176,2,4:22.0,,Defensive rebound by J. Randle,31,39
177,2,4:14.0,,M. World Peace misses 3-pt jump shot from 22 ft,31,39
178,2,4:13.0,Defensive rebound by M. Morris,,31,39
179,2,3:59.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by A. Drummond),,34,39
180,2,3:32.0,,J. Randle misses 2-pt jump shot from 14 ft,34,39
181,2,3:30.0,Defensive rebound by S. Dinwiddie,,34,39
182,2,3:26.0,K. Caldwell-Pope makes 2-pt jump shot from 4 ft (assist by S. Dinwiddie),,36,39
183,2,3:26.0,Shooting foul by J. Clarkson (drawn by K. Caldwell-Pope),,36,39
184,2,3:26.0,,K. Bryant enters the game for M. World Peace,36,39
185,2,3:26.0,K. Caldwell-Pope misses free throw 1 of 1,,36,39
186,2,3:25.0,,Defensive rebound by J. Clarkson,36,39
187,2,3:21.0,,LA Lakers full timeout,36,39
188,2,3:05.0,,J. Randle makes 2-pt jump shot from 3 ft (assist by K. Bryant),36,41
189,2,3:05.0,,Shooting block foul by E. İlyasova (drawn by J. Randle),36,41
190,2,3:05.0,,J. Randle makes free throw 1 of 1,36,42
191,2,2:50.0,S. Dinwiddie makes 2-pt jump shot from 18 ft,,38,42
192,2,2:28.0,,J. Clarkson makes 2-pt layup from 3 ft (assist by D. Russell),38,44
193,2,2:13.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,38,44
194,2,2:12.0,,Defensive rebound by J. Randle,38,44
195,2,1:53.0,,D. Russell makes 3-pt jump shot from 26 ft (assist by K. Bryant),38,47
196,2,1:42.0,Shooting block foul by R. Hibbert (drawn by S. Dinwiddie),,38,47
197,2,1:42.0,S. Dinwiddie makes free throw 1 of 2,,39,47
198,2,1:42.0,S. Dinwiddie makes free throw 2 of 2,,40,47
199,2,1:31.0,,Turnover by K. Bryant (bad pass; steal by K. Caldwell-Pope),40,47
200,2,1:25.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,42,47
201,2,1:05.0,,D. Russell misses 3-pt jump shot from 25 ft,42,47
202,2,1:05.0,,Offensive rebound by Team,42,47
203,2,1:05.0,Loose ball foul by M. Morris (drawn by R. Hibbert),,42,47
204,2,1:05.0,Violation by Team (delay of game),,42,47
205,2,1:05.0,,R. Hibbert misses free throw 1 of 2,42,47
206,2,1:05.0,,Offensive rebound by Team,42,47
207,2,1:05.0,,R. Hibbert makes free throw 2 of 2,42,48
208,2,1:05.0,,Violation by Team (delay of game),42,48
