,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,2,0
1,1,11:32.0,,K. Thompson misses 3-pt jump shot from 25 ft,2,0
2,1,11:30.0,Defensive rebound by D. Waiters,,2,0
3,1,11:06.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by D. Waiters),,5,0
4,1,10:58.0,,H. Barnes misses 3-pt jump shot from 25 ft,5,0
5,1,10:56.0,Defensive rebound by D. Waiters,,5,0
6,1,10:50.0,K. Durant makes 2-pt jump shot from 15 ft,,7,0
7,1,10:34.0,,S. Curry misses 3-pt jump shot from 25 ft,7,0
8,1,10:33.0,Defensive rebound by S. Adams,,7,0
9,1,10:24.0,K. Durant makes 2-pt layup from 2 ft,,9,0
10,1,10:06.0,,H. Barnes makes 2-pt jump shot from 8 ft,9,2
11,1,9:49.0,Turnover by S. Adams (lost ball),,9,2
12,1,9:37.0,,H. Barnes makes 2-pt layup from 2 ft (assist by D. Green),9,4
13,1,9:20.0,Turnover by K. Durant (lost ball),,9,4
14,1,9:12.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),9,6
15,1,8:58.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,12,6
16,1,8:50.0,Violation by K. Durant (kicked ball),,12,6
17,1,8:46.0,,K. Thompson misses 2-pt jump shot from 5 ft (block by S. Adams),12,6
18,1,8:46.0,,Offensive rebound by Team,12,6
19,1,8:44.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),12,8
20,1,8:31.0,Shooting foul by S. Curry (drawn by K. Durant),,12,8
21,1,8:31.0,K. Durant makes free throw 1 of 2,,13,8
22,1,8:31.0,K. Durant makes free throw 2 of 2,,14,8
23,1,8:17.0,,S. Curry misses 2-pt jump shot from 17 ft,14,8
24,1,8:16.0,Defensive rebound by S. Adams,,14,8
25,1,8:04.0,R. Westbrook makes 2-pt jump shot from 5 ft,,16,8
26,1,7:52.0,,K. Thompson makes 2-pt jump shot from 3 ft,16,10
27,1,7:38.0,R. Westbrook misses 2-pt layup at rim,,16,10
