,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:39.0,,Turnover by D. DeRozan (bad pass),0,0
1,1,11:23.0,M. Gortat misses 2-pt hook shot from 6 ft,,0,0
2,1,11:23.0,,Defensive rebound by L. Scola,0,0
3,1,11:14.0,,D. DeRozan misses 2-pt jump shot from 3 ft,0,0
4,1,11:13.0,,Offensive rebound by J. Valančiūnas,0,0
5,1,11:05.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by J. Valančiūnas),0,3
6,1,10:47.0,O. Porter misses 2-pt jump shot from 17 ft,,0,3
7,1,10:46.0,,Defensive rebound by K. Lowry,0,3
8,1,10:33.0,,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by D. DeRozan),0,5
9,1,10:17.0,M. Gortat makes 2-pt hook shot from 5 ft (assist by J. Dudley),,2,5
10,1,9:58.0,,L. Scola makes 2-pt jump shot from 10 ft (assist by K. Lowry),2,7
11,1,9:48.0,J. Wall makes 2-pt jump shot from 18 ft (assist by J. Dudley),,4,7
12,1,9:33.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by D. DeRozan),4,10
13,1,9:23.0,M. Gortat makes 2-pt jump shot from 8 ft (assist by J. Wall),,6,10
14,1,8:58.0,,L. Scola misses 2-pt jump shot from 10 ft,6,10
15,1,8:57.0,Defensive rebound by J. Dudley,,6,10
16,1,8:42.0,O. Porter makes 2-pt jump shot from 14 ft (assist by M. Gortat),,8,10
17,1,8:30.0,,Personal foul by O. Porter (drawn by D. DeRozan),8,10
18,1,8:14.0,,L. Scola misses 2-pt jump shot from 19 ft,8,10
19,1,8:13.0,Defensive rebound by O. Porter,,8,10
20,1,8:04.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),,11,10
21,1,7:46.0,,Turnover by K. Lowry (bad pass; steal by J. Wall),11,10
22,1,7:41.0,J. Wall makes 2-pt layup from 2 ft,,13,10
23,1,7:24.0,,K. Lowry misses 2-pt jump shot from 11 ft,13,10
24,1,7:23.0,Defensive rebound by M. Gortat,,13,10
