,QUARTER,TIME_REMAINING,DENVER_ACTION,BROOKLYN_ACTION,DENVER_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),0,2
1,1,11:23.0,N. Jokić makes 2-pt layup at rim (assist by D. Gallinari),,2,2
2,1,11:07.0,,T. Young makes 2-pt layup from 2 ft,2,4
3,1,10:47.0,G. Harris makes 2-pt jump shot from 8 ft (assist by D. Gallinari),,4,4
4,1,10:23.0,,Turnover by B. Lopez (lost ball; steal by E. Mudiay),4,4
5,1,10:11.0,G. Harris misses 3-pt jump shot from 23 ft,,4,4
6,1,10:10.0,,Defensive rebound by T. Young,4,4
7,1,9:51.0,,W. Ellington misses 2-pt jump shot from 19 ft,4,4
8,1,9:50.0,Defensive rebound by K. Faried,,4,4
9,1,9:44.0,G. Harris misses 2-pt layup from 1 ft,,4,4
10,1,9:43.0,,Defensive rebound by B. Lopez,4,4
11,1,9:37.0,,T. Young makes 2-pt layup at rim (assist by W. Ellington),4,6
12,1,9:17.0,D. Gallinari misses 2-pt jump shot from 22 ft,,4,6
13,1,9:16.0,,Defensive rebound by D. Sloan,4,6
14,1,9:09.0,,T. Young makes 2-pt hook shot from 6 ft (assist by D. Sloan),4,8
15,1,9:09.0,Denver full timeout,,4,8
16,1,8:57.0,K. Faried misses 2-pt layup from 1 ft,,4,8
17,1,8:56.0,Offensive rebound by K. Faried,,4,8
18,1,8:55.0,K. Faried misses 2-pt layup from 3 ft,,4,8
19,1,8:54.0,,Defensive rebound by D. Sloan,4,8
20,1,8:38.0,,T. Young makes 2-pt jump shot from 6 ft (assist by J. Johnson),4,10
21,1,8:27.0,G. Harris makes 2-pt jump shot from 18 ft (assist by E. Mudiay),,6,10
22,1,7:59.0,,T. Young misses 2-pt jump shot from 17 ft,6,10
23,1,7:58.0,Defensive rebound by E. Mudiay,,6,10
24,1,7:50.0,E. Mudiay misses 2-pt jump shot from 18 ft,,6,10
25,1,7:49.0,,Defensive rebound by J. Johnson,6,10
26,1,7:25.0,,T. Young makes 2-pt jump shot from 17 ft (assist by W. Ellington),6,12
27,1,7:05.0,G. Harris makes 2-pt jump shot from 16 ft,,8,12
28,1,6:49.0,,B. Lopez makes 2-pt jump shot from 20 ft (assist by D. Sloan),8,14
29,1,6:32.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by K. Faried),,11,14
30,1,6:18.0,,D. Sloan makes 3-pt jump shot from 25 ft,11,17
31,1,6:05.0,Offensive foul by N. Jokić (drawn by D. Sloan),,11,17
32,1,6:05.0,Turnover by N. Jokić (offensive foul),,11,17
33,1,6:05.0,R. Foye enters the game for N. Jokić,,11,17
34,1,6:05.0,W. Barton enters the game for K. Faried,,11,17
35,1,6:05.0,J. Nurkić enters the game for E. Mudiay,,11,17
36,1,5:51.0,,J. Johnson makes 2-pt hook shot from 5 ft,11,19
37,1,5:51.0,Denver full timeout,,11,19
38,1,5:40.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by W. Barton),,14,19
39,1,5:15.0,,D. Sloan misses 3-pt jump shot from 22 ft,14,19
40,1,5:14.0,Defensive rebound by J. Nurkić,,14,19
41,1,5:06.0,W. Barton misses 3-pt jump shot from 24 ft,,14,19
42,1,5:05.0,,Defensive rebound by D. Sloan,14,19
43,1,4:56.0,,T. Young makes 2-pt layup from 2 ft,14,21
44,1,4:39.0,Shooting foul by B. Lopez (drawn by J. Nurkić),,14,21
45,1,4:39.0,J. Nurkić makes free throw 1 of 2,,15,21
46,1,4:39.0,J. Nurkić makes free throw 2 of 2,,16,21
47,1,4:24.0,,B. Lopez misses 2-pt jump shot from 5 ft,16,21
48,1,4:23.0,Defensive rebound by Team,,16,21
