,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
0,1,11:38.0,,T. Thompson misses 2-pt jump shot from 7 ft,0,0
1,1,11:38.0,Defensive rebound by A. Horford,,0,0
2,1,11:22.0,Turnover by A. Horford (bad pass),,0,0
3,1,11:09.0,,K. Love makes 2-pt jump shot from 5 ft (assist by L. James),0,2
4,1,10:57.0,P. Millsap makes 2-pt jump shot from 12 ft (assist by T. Sefolosha),,2,2
5,1,10:51.0,,Personal foul by D. Schröder (drawn by T. Thompson),2,2
6,1,10:33.0,,Turnover by L. James (bad pass; steal by P. Millsap),2,2
7,1,10:23.0,T. Sefolosha misses 3-pt jump shot from 25 ft,,2,2
8,1,10:23.0,,Defensive rebound by M. Dellavedova,2,2
9,1,10:12.0,,Shooting foul by D. Schröder (drawn by K. Love),2,2
10,1,10:12.0,,K. Love misses free throw 1 of 2,2,2
11,1,10:12.0,,Offensive rebound by Team,2,2
12,1,10:12.0,J. Teague enters the game for D. Schröder,,2,2
13,1,10:12.0,,K. Love makes free throw 2 of 2,2,3
14,1,9:55.0,P. Millsap misses 2-pt jump shot from 11 ft,,2,3
15,1,9:55.0,,Defensive rebound by T. Thompson,2,3
16,1,9:42.0,,K. Love misses 3-pt jump shot from 25 ft,2,3
17,1,9:40.0,,Offensive rebound by K. Love,2,3
18,1,9:24.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Love),2,6
19,1,9:10.0,Personal foul by L. James (drawn by A. Horford),,2,6
20,1,8:59.0,T. Sefolosha makes 2-pt jump shot from 20 ft (assist by J. Teague),,4,6
21,1,8:40.0,,K. Love makes 2-pt jump shot at rim (assist by T. Thompson),4,8
22,1,8:26.0,A. Horford misses 2-pt jump shot from 18 ft,,4,8
23,1,8:25.0,Offensive rebound by P. Millsap,,4,8
24,1,8:22.0,P. Millsap misses 2-pt layup from 2 ft (block by L. James),,4,8
25,1,8:21.0,,Defensive rebound by L. James,4,8
26,1,8:18.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by T. Thompson),4,11
27,1,7:52.0,T. Sefolosha makes 2-pt jump shot from 17 ft (assist by A. Horford),,6,11
28,1,7:36.0,,J. Smith misses 3-pt jump shot from 24 ft,6,11
29,1,7:35.0,Defensive rebound by A. Horford,,6,11
