,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:44.0,,D. Williams misses 2-pt jump shot from 20 ft,0,0
1,1,11:41.0,,Offensive rebound by Z. Pachulia,0,0
2,1,11:38.0,,Turnover by Z. Pachulia (bad pass; steal by D. Green),0,0
3,1,11:35.0,D. Green makes 2-pt layup at rim,,2,0
4,1,11:26.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,2,0
5,1,11:25.0,Defensive rebound by B. Marjanović,,2,0
6,1,11:11.0,B. Marjanović makes 2-pt jump shot from 9 ft (assist by K. Anderson),,4,0
7,1,10:50.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by J. Anderson),4,3
8,1,10:34.0,D. Green misses 2-pt jump shot from 22 ft,,4,3
9,1,10:33.0,,Defensive rebound by Z. Pachulia,4,3
10,1,10:33.0,Loose ball foul by B. Marjanović,,4,3
11,1,10:12.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),4,6
12,1,9:52.0,A. Miller makes 2-pt jump shot from 13 ft,,6,6
13,1,9:35.0,,Turnover by D. Williams (bad pass; steal by K. Anderson),6,6
14,1,9:18.0,K. Anderson misses 2-pt jump shot from 9 ft,,6,6
15,1,9:17.0,,Defensive rebound by J. Anderson,6,6
16,1,8:53.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,6
17,1,8:52.0,Defensive rebound by A. Miller,,6,6
18,1,8:37.0,M. Bonner misses 3-pt jump shot from 24 ft,,6,6
19,1,8:36.0,,Defensive rebound by Z. Pachulia,6,6
20,1,8:26.0,,Z. Pachulia makes 2-pt dunk at rim (assist by D. Williams),6,8
21,1,8:02.0,D. Green makes 3-pt jump shot from 25 ft (assist by A. Miller),,9,8
22,1,7:44.0,,Turnover by D. Williams (bad pass; steal by K. Anderson),9,8
23,1,7:34.0,D. Green misses 3-pt jump shot from 25 ft,,9,8
24,1,7:33.0,,Defensive rebound by Z. Pachulia,9,8
25,1,7:15.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,9,8
26,1,7:13.0,Defensive rebound by B. Marjanović,,9,8
27,1,7:00.0,B. Marjanović makes 2-pt layup at rim (assist by D. Green),,11,8
28,1,6:35.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,11,8
29,1,6:34.0,,Offensive rebound by Z. Pachulia,11,8
30,1,6:31.0,,D. Williams misses 3-pt jump shot from 24 ft,11,8
31,1,6:30.0,Defensive rebound by B. Marjanović,,11,8
32,1,6:16.0,A. Miller misses 2-pt jump shot from 10 ft,,11,8
33,1,6:16.0,,Defensive rebound by Z. Pachulia,11,8
34,1,6:06.0,,W. Matthews misses 3-pt jump shot from 24 ft,11,8
35,1,6:05.0,Defensive rebound by A. Miller,,11,8
36,1,6:02.0,D. Green makes 2-pt layup at rim (assist by A. Miller),,13,8
37,1,6:00.0,,Dallas full timeout,13,8
38,1,6:00.0,,R. Felton enters the game for D. Nowitzki,13,8
39,1,6:00.0,,D. Lee enters the game for J. Anderson,13,8
40,1,6:00.0,K. Martin enters the game for K. Anderson,,13,8
41,1,6:00.0,J. Simmons enters the game for D. Green,,13,8
42,1,5:47.0,,D. Williams makes 2-pt jump shot from 15 ft (assist by Z. Pachulia),13,10
43,1,5:24.0,B. Marjanović makes 2-pt dunk at rim (assist by J. Simmons),,15,10
44,1,5:00.0,,D. Williams misses 2-pt jump shot from 18 ft,15,10
45,1,4:59.0,,Offensive rebound by Z. Pachulia,15,10
46,1,4:56.0,,R. Felton misses 3-pt jump shot from 23 ft,15,10
47,1,4:55.0,Defensive rebound by J. Simmons,,15,10
48,1,4:48.0,Turnover by A. Miller (bad pass),,15,10
49,1,4:32.0,,Turnover by D. Williams (step out of bounds),15,10
50,1,4:14.0,A. Miller misses 3-pt jump shot from 24 ft,,15,10
51,1,4:13.0,,Defensive rebound by D. Lee,15,10
