,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,L. Deng makes 2-pt jump shot from 18 ft (assist by G. Dragić),,2,0
1,1,11:25.0,,K. Walker makes 2-pt layup from 1 ft,2,2
2,1,11:11.0,G. Dragić misses 2-pt layup from 1 ft,,2,2
3,1,11:10.0,,Defensive rebound by F. Kaminsky,2,2
4,1,10:50.0,,A. Jefferson misses 2-pt layup from 2 ft (block by H. Whiteside),2,2
5,1,10:48.0,Defensive rebound by G. Dragić,,2,2
6,1,10:43.0,L. Deng misses 2-pt jump shot from 17 ft,,2,2
7,1,10:41.0,,Defensive rebound by A. Jefferson,2,2
8,1,10:24.0,,A. Jefferson misses 2-pt jump shot from 17 ft,2,2
9,1,10:23.0,Defensive rebound by J. Johnson,,2,2
10,1,10:14.0,D. Wade makes 2-pt jump shot from 18 ft,,4,2
11,1,9:56.0,,K. Walker misses 2-pt jump shot from 17 ft,4,2
12,1,9:54.0,Defensive rebound by J. Johnson,,4,2
13,1,9:45.0,Offensive foul by H. Whiteside (drawn by F. Kaminsky),,4,2
14,1,9:45.0,Turnover by H. Whiteside (offensive foul),,4,2
15,1,9:28.0,,A. Jefferson makes 2-pt layup from 2 ft,4,4
16,1,9:11.0,Turnover by H. Whiteside (lost ball; steal by K. Walker),,4,4
17,1,9:03.0,,F. Kaminsky makes 2-pt jump shot from 7 ft (assist by K. Walker),4,6
18,1,8:37.0,D. Wade misses 2-pt jump shot from 7 ft,,4,6
19,1,8:36.0,,Defensive rebound by F. Kaminsky,4,6
20,1,8:28.0,,M. Williams misses 2-pt jump shot from 22 ft,4,6
21,1,8:27.0,Defensive rebound by G. Dragić,,4,6
22,1,8:22.0,L. Deng makes 2-pt layup from 1 ft (assist by D. Wade),,6,6
23,1,8:10.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,6,6
24,1,8:09.0,Defensive rebound by H. Whiteside,,6,6
25,1,8:00.0,Personal foul by C. Lee,,6,6
26,1,7:45.0,L. Deng misses 2-pt jump shot from 19 ft,,6,6
27,1,7:43.0,Offensive rebound by H. Whiteside,,6,6
28,1,7:43.0,H. Whiteside makes 2-pt jump shot from 9 ft,,8,6
29,1,7:25.0,,M. Williams misses 2-pt jump shot from 19 ft,8,6
30,1,7:24.0,Defensive rebound by H. Whiteside,,8,6
31,1,7:17.0,Offensive foul by G. Dragić (drawn by F. Kaminsky),,8,6
32,1,7:17.0,Turnover by G. Dragić (offensive foul),,8,6
33,1,7:00.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by K. Walker),8,9
34,1,6:39.0,Shooting foul by F. Kaminsky (drawn by D. Wade),,8,9
35,1,6:39.0,D. Wade misses free throw 1 of 2,,8,9
36,1,6:39.0,Offensive rebound by Team,,8,9
37,1,6:39.0,D. Wade makes free throw 2 of 2,,9,9
38,1,6:22.0,,Shooting foul by L. Deng (drawn by F. Kaminsky),9,9
39,1,6:22.0,,F. Kaminsky makes free throw 1 of 2,9,10
40,1,6:22.0,,F. Kaminsky makes free throw 2 of 2,9,11
41,1,6:12.0,J. Johnson makes 2-pt jump shot from 8 ft,,11,11
42,1,5:59.0,,K. Walker makes 2-pt layup at rim,11,13
43,1,5:44.0,Turnover by J. Johnson (bad pass; steal by A. Jefferson),,11,13
44,1,5:39.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by F. Kaminsky),11,16
45,1,5:21.0,H. Whiteside misses 2-pt jump shot from 18 ft,,11,16
46,1,5:19.0,,Defensive rebound by F. Kaminsky,11,16
47,1,5:07.0,,K. Walker makes 2-pt layup from 2 ft,11,18
48,1,5:04.0,Miami full timeout,,11,18
