,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DALLAS_ACTION,MILWAUKEE_SCORE,DALLAS_SCORE
0,1,11:42.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),0,3
1,1,11:29.0,Turnover by M. Carter-Williams (bad pass; steal by Z. Pachulia),,0,3
2,1,11:17.0,,C. Parsons makes 3-pt jump shot from 23 ft (assist by J. Barea),0,6
3,1,11:09.0,Milwaukee full timeout,,0,6
4,1,11:01.0,K. Middleton makes 2-pt jump shot from 11 ft,,2,6
5,1,10:38.0,,Shooting block foul by G. Monroe (drawn by Z. Pachulia),2,6
6,1,10:38.0,,Z. Pachulia misses free throw 1 of 2,2,6
7,1,10:38.0,,Offensive rebound by Team,2,6
8,1,10:38.0,,Z. Pachulia makes free throw 2 of 2,2,7
9,1,10:20.0,M. Carter-Williams makes 2-pt jump shot from 5 ft (assist by G. Monroe),,4,7
10,1,10:08.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),4,10
11,1,9:50.0,J. Parker misses 2-pt jump shot from 5 ft,,4,10
12,1,9:48.0,,Defensive rebound by J. Barea,4,10
13,1,9:44.0,,C. Parsons makes 2-pt layup at rim (assist by J. Barea),4,12
14,1,9:32.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,6,12
15,1,9:10.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,12
16,1,9:08.0,Defensive rebound by M. Carter-Williams,,6,12
17,1,8:53.0,K. Middleton makes 2-pt jump shot from 18 ft,,8,12
18,1,8:33.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Nowitzki),8,14
19,1,8:13.0,J. Parker misses 2-pt jump shot from 18 ft,,8,14
20,1,8:12.0,Offensive rebound by J. Parker,,8,14
21,1,8:08.0,Shooting foul by C. Parsons (drawn by G. Antetokounmpo),,8,14
22,1,8:08.0,G. Antetokounmpo makes free throw 1 of 2,,9,14
23,1,8:08.0,G. Antetokounmpo makes free throw 2 of 2,,10,14
24,1,7:46.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,10,14
25,1,7:45.0,Defensive rebound by K. Middleton,,10,14
26,1,7:31.0,G. Monroe misses 2-pt jump shot from 16 ft,,10,14
27,1,7:30.0,,Defensive rebound by D. Nowitzki,10,14
28,1,7:20.0,,Z. Pachulia makes 2-pt jump shot from 18 ft (assist by J. Barea),10,16
29,1,7:01.0,Shooting foul by J. Barea (drawn by K. Middleton),,10,16
30,1,7:01.0,K. Middleton makes free throw 1 of 2,,11,16
31,1,7:01.0,,D. Harris enters the game for C. Parsons,11,16
32,1,7:01.0,,D. Powell enters the game for D. Nowitzki,11,16
33,1,7:01.0,K. Middleton makes free throw 2 of 2,,12,16
34,1,6:51.0,,W. Matthews misses 3-pt jump shot from 24 ft,12,16
35,1,6:50.0,Defensive rebound by K. Middleton,,12,16
36,1,6:36.0,M. Carter-Williams misses 3-pt jump shot from 23 ft,,12,16
37,1,6:35.0,,Defensive rebound by D. Powell,12,16
38,1,6:22.0,,J. Barea misses 2-pt jump shot from 3 ft,12,16
39,1,6:21.0,Defensive rebound by G. Monroe,,12,16
40,1,6:15.0,M. Carter-Williams misses 2-pt layup from 1 ft,,12,16
41,1,6:13.0,,Defensive rebound by Z. Pachulia,12,16
