,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:41.0,G. Dieng misses 2-pt jump shot from 20 ft,,0,0
1,1,11:39.0,Offensive rebound by A. Wiggins,,0,0
2,1,11:38.0,A. Wiggins misses 2-pt jump shot from 7 ft,,0,0
3,1,11:36.0,,Defensive rebound by D. Nowitzki,0,0
4,1,11:24.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,0,0
5,1,11:24.0,,Offensive rebound by D. Williams,0,0
6,1,11:15.0,,D. Williams misses 3-pt jump shot from 25 ft,0,0
7,1,11:15.0,,Offensive rebound by Z. Pachulia,0,0
8,1,11:15.0,,Shooting foul by K. Towns (drawn by Z. Pachulia),0,0
9,1,11:15.0,,Z. Pachulia makes free throw 1 of 2,0,1
10,1,11:15.0,,Z. Pachulia makes free throw 2 of 2,0,2
11,1,10:50.0,Z. LaVine misses 3-pt jump shot from 22 ft,,0,2
12,1,10:49.0,,Defensive rebound by Z. Pachulia,0,2
13,1,10:43.0,,C. Parsons misses 2-pt jump shot from 21 ft,0,2
14,1,10:39.0,Defensive rebound by Z. LaVine,,0,2
15,1,10:33.0,R. Rubio misses 3-pt jump shot from 24 ft,,0,2
16,1,10:32.0,Offensive rebound by K. Towns,,0,2
17,1,10:27.0,K. Towns misses 2-pt jump shot from 4 ft,,0,2
18,1,10:26.0,Offensive rebound by Z. LaVine,,0,2
19,1,10:26.0,Z. LaVine misses 2-pt layup from 1 ft,,0,2
20,1,10:26.0,,Defensive rebound by Team,0,2
21,1,10:00.0,,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by Z. Pachulia),0,5
22,1,9:46.0,A. Wiggins misses 2-pt jump shot from 17 ft,,0,5
23,1,9:45.0,Offensive rebound by G. Dieng,,0,5
24,1,9:34.0,G. Dieng misses 2-pt hook shot from 4 ft,,0,5
25,1,9:32.0,,Defensive rebound by D. Nowitzki,0,5
26,1,9:23.0,,W. Matthews misses 3-pt jump shot from 24 ft,0,5
27,1,9:23.0,Defensive rebound by R. Rubio,,0,5
28,1,9:09.0,Turnover by K. Towns (bad pass),,0,5
29,1,9:00.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by W. Matthews),0,8
30,1,8:43.0,R. Rubio makes 3-pt jump shot from 22 ft (assist by K. Towns),,3,8
31,1,8:30.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),3,11
32,1,8:15.0,Shooting foul by D. Nowitzki (drawn by A. Wiggins),,3,11
33,1,8:15.0,A. Wiggins makes free throw 1 of 2,,4,11
34,1,8:15.0,A. Wiggins makes free throw 2 of 2,,5,11
35,1,8:02.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by C. Parsons),5,14
