,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:46.0,Personal foul by R. Gay (drawn by R. Hibbert),,0,0
1,1,11:36.0,Turnover by K. Bryant (lost ball; steal by D. Cousins),,0,0
2,1,11:27.0,,D. Cousins misses 2-pt layup at rim,0,0
3,1,11:26.0,Defensive rebound by R. Hibbert,,0,0
4,1,11:12.0,R. Hibbert misses 2-pt jump shot from 13 ft,,0,0
5,1,11:12.0,,Defensive rebound by B. McLemore,0,0
6,1,10:58.0,,B. McLemore misses 2-pt jump shot from 21 ft,0,0
7,1,10:57.0,Defensive rebound by J. Clarkson,,0,0
8,1,10:48.0,L. Nance makes 2-pt jump shot from 16 ft (assist by K. Bryant),,2,0
9,1,10:36.0,,B. McLemore makes 2-pt layup from 3 ft (assist by D. Cousins),2,2
10,1,10:27.0,Turnover by R. Hibbert (3 sec),,2,2
11,1,10:16.0,,R. Gay makes 2-pt jump shot from 20 ft (assist by D. Cousins),2,4
12,1,10:04.0,L. Williams misses 2-pt layup from 4 ft (block by R. Gay),,2,4
13,1,10:02.0,,Defensive rebound by R. Rondo,2,4
14,1,10:00.0,,B. McLemore makes 2-pt dunk at rim (assist by R. Rondo),2,6
15,1,9:38.0,K. Bryant misses 2-pt jump shot from 22 ft,,2,6
16,1,9:37.0,,Defensive rebound by D. Cousins,2,6
17,1,9:32.0,,Q. Acy makes 2-pt dunk at rim (assist by D. Cousins),2,8
18,1,9:32.0,,Shooting foul by K. Bryant (drawn by Q. Acy),2,8
19,1,9:32.0,,Q. Acy makes free throw 1 of 1,2,9
20,1,9:26.0,Personal foul by B. McLemore (drawn by J. Clarkson),,2,9
21,1,9:17.0,L. Williams makes 2-pt layup from 2 ft (assist by R. Hibbert),,4,9
22,1,9:02.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by R. Rondo),4,12
23,1,8:46.0,J. Clarkson misses 2-pt jump shot from 17 ft,,4,12
24,1,8:45.0,,Defensive rebound by R. Rondo,4,12
25,1,8:42.0,,Clear path foul by R. Hibbert,4,12
26,1,8:42.0,,D. Cousins makes clear path free throw 1 of 2,4,13
27,1,8:42.0,,D. Cousins makes clear path free throw 2 of 2,4,14
28,1,8:35.0,,D. Cousins misses 2-pt layup from 1 ft,4,14
29,1,8:34.0,,Offensive rebound by Q. Acy,4,14
30,1,8:33.0,,Q. Acy makes 2-pt dunk at rim,4,16
31,1,8:12.0,Turnover by L. Nance (lost ball; steal by R. Rondo),,4,16
32,1,8:03.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Rondo),4,19
33,1,7:52.0,LA Lakers full timeout,,4,19
34,1,7:43.0,L. Williams misses 3-pt jump shot from 25 ft,,4,19
35,1,7:42.0,,Defensive rebound by R. Rondo,4,19
36,1,7:38.0,,B. McLemore makes 2-pt jump shot from 10 ft,4,21
37,1,7:38.0,,Shooting foul by J. Clarkson (drawn by B. McLemore),4,21
38,1,7:38.0,,B. McLemore misses free throw 1 of 1,4,21
39,1,7:37.0,Defensive rebound by R. Hibbert,,4,21
40,1,7:25.0,K. Bryant misses 3-pt jump shot from 24 ft,,4,21
41,1,7:24.0,,Defensive rebound by B. McLemore,4,21
42,1,7:17.0,,Q. Acy makes 2-pt dunk at rim (assist by R. Gay),4,23
43,1,7:01.0,L. Nance misses 2-pt jump shot from 19 ft,,4,23
44,1,7:00.0,,Defensive rebound by D. Cousins,4,23
45,1,6:55.0,,Shooting foul by L. Nance (drawn by D. Cousins),4,23
46,1,6:55.0,,D. Cousins makes free throw 1 of 2,4,24
47,1,6:55.0,D. Russell enters the game for L. Nance,,4,24
48,1,6:55.0,J. Randle enters the game for J. Clarkson,,4,24
49,1,6:55.0,,D. Cousins makes free throw 2 of 2,4,25
50,1,6:43.0,Shooting foul by R. Gay (drawn by K. Bryant),,4,25
51,1,6:43.0,K. Bryant misses free throw 1 of 2,,4,25
52,1,6:43.0,Offensive rebound by Team,,4,25
53,1,6:43.0,,J. Anderson enters the game for R. Gay,4,25
54,1,6:43.0,K. Bryant makes free throw 2 of 2,,5,25
55,1,6:28.0,,B. McLemore misses 3-pt jump shot from 24 ft,5,25
56,1,6:27.0,Defensive rebound by J. Randle,,5,25
57,1,6:17.0,D. Russell misses 2-pt layup from 1 ft (block by R. Rondo),,5,25
