,QUARTER,TIME_REMAINING,DALLAS_ACTION,CLEVELAND_ACTION,DALLAS_SCORE,CLEVELAND_SCORE
0,1,11:47.0,,K. Irving makes 2-pt jump shot from 12 ft (assist by I. Shumpert),0,2
1,1,11:28.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,0,2
2,1,11:26.0,,Defensive rebound by I. Shumpert,0,2
3,1,11:16.0,,K. Love makes 2-pt hook shot from 6 ft,0,4
4,1,10:52.0,C. Parsons misses 2-pt jump shot from 5 ft,,0,4
5,1,10:51.0,,Defensive rebound by K. Love,0,4
6,1,10:41.0,,K. Irving misses 2-pt jump shot from 18 ft,0,4
7,1,10:40.0,,Offensive rebound by K. Love,0,4
8,1,10:29.0,,K. Love misses 2-pt jump shot from 13 ft,0,4
9,1,10:29.0,Defensive rebound by W. Matthews,,0,4
10,1,10:20.0,R. Felton makes 2-pt layup at rim,,2,4
11,1,10:08.0,,J. Smith misses 3-pt jump shot from 25 ft,2,4
12,1,10:08.0,Defensive rebound by W. Matthews,,2,4
13,1,9:53.0,R. Felton makes 2-pt layup at rim,,4,4
14,1,9:27.0,,T. Thompson misses 2-pt jump shot from 6 ft,4,4
15,1,9:26.0,Defensive rebound by D. Williams,,4,4
16,1,9:10.0,C. Parsons misses 3-pt jump shot from 28 ft,,4,4
17,1,9:10.0,,Defensive rebound by J. Smith,4,4
18,1,9:00.0,,K. Love misses 2-pt jump shot from 3 ft,4,4
19,1,9:00.0,,Offensive rebound by K. Love,4,4
20,1,8:56.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by I. Shumpert),4,7
21,1,8:42.0,D. Williams misses 3-pt jump shot from 23 ft,,4,7
22,1,8:41.0,,Defensive rebound by T. Thompson,4,7
23,1,8:24.0,,K. Love misses 2-pt jump shot from 12 ft,4,7
24,1,8:23.0,Defensive rebound by D. Nowitzki,,4,7
25,1,8:13.0,R. Felton misses 2-pt jump shot from 9 ft,,4,7
26,1,8:13.0,,Defensive rebound by T. Thompson,4,7
27,1,8:05.0,,K. Irving misses 3-pt jump shot from 25 ft,4,7
28,1,8:04.0,Defensive rebound by C. Parsons,,4,7
