,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:47.0,Turnover by P. Millsap (bad pass; steal by A. Stoudemire),,0,0
1,1,11:35.0,,G. Dragić makes 2-pt layup from 1 ft,0,2
2,1,11:17.0,K. Korver misses 2-pt jump shot from 19 ft,,0,2
3,1,11:16.0,,Defensive rebound by G. Dragić,0,2
4,1,11:09.0,,Personal foul by P. Millsap (drawn by G. Dragić),0,2
5,1,11:01.0,,Turnover by A. Stoudemire (traveling),0,2
6,1,10:49.0,J. Teague misses 2-pt jump shot from 20 ft,,0,2
7,1,10:48.0,,Defensive rebound by A. Stoudemire,0,2
8,1,10:38.0,,Turnover by G. Dragić (lost ball; steal by J. Teague),0,2
9,1,10:32.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),,2,2
10,1,10:10.0,,G. Dragić misses 2-pt jump shot from 14 ft,2,2
11,1,10:09.0,Defensive rebound by K. Bazemore,,2,2
12,1,9:53.0,P. Millsap misses 2-pt layup from 2 ft,,2,2
13,1,9:52.0,,Defensive rebound by C. Bosh,2,2
14,1,9:37.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by L. Deng),2,5
15,1,9:22.0,K. Korver misses 2-pt jump shot from 15 ft,,2,5
16,1,9:21.0,,Defensive rebound by A. Stoudemire,2,5
17,1,9:11.0,,L. Deng misses 2-pt jump shot from 7 ft,2,5
18,1,9:10.0,,Offensive rebound by A. Stoudemire,2,5
19,1,9:07.0,,A. Stoudemire misses 2-pt layup from 2 ft,2,5
20,1,9:06.0,,Offensive rebound by A. Stoudemire,2,5
21,1,9:03.0,,Turnover by A. Stoudemire (lost ball; steal by K. Korver),2,5
22,1,8:55.0,J. Teague misses 3-pt jump shot from 24 ft,,2,5
23,1,8:54.0,,Defensive rebound by C. Bosh,2,5
24,1,8:51.0,,Shooting foul by J. Teague (drawn by D. Wade),2,5
25,1,8:51.0,,D. Wade makes free throw 1 of 2,2,6
26,1,8:51.0,,D. Wade makes free throw 2 of 2,2,7
27,1,8:34.0,A. Horford misses 2-pt jump shot from 19 ft,,2,7
28,1,8:33.0,,Defensive rebound by C. Bosh,2,7
29,1,8:19.0,,C. Bosh misses 2-pt jump shot from 4 ft (block by A. Horford),2,7
30,1,8:18.0,Defensive rebound by K. Korver,,2,7
31,1,8:16.0,Turnover by K. Korver (lost ball; steal by L. Deng),,2,7
32,1,8:12.0,,C. Bosh makes 2-pt dunk at rim (assist by G. Dragić),2,9
33,1,8:12.0,Atlanta full timeout,,2,9
34,1,7:57.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),,5,9
35,1,7:43.0,,L. Deng makes 2-pt jump shot from 18 ft,5,11
36,1,7:34.0,J. Teague makes 2-pt layup from 2 ft,,7,11
37,1,7:11.0,,L. Deng makes 3-pt jump shot from 22 ft (assist by D. Wade),7,14
38,1,6:55.0,K. Korver misses 2-pt jump shot from 17 ft,,7,14
39,1,6:54.0,,Defensive rebound by C. Bosh,7,14
40,1,6:45.0,,G. Dragić misses 3-pt jump shot from 24 ft,7,14
41,1,6:44.0,Defensive rebound by K. Bazemore,,7,14
42,1,6:39.0,Turnover by K. Bazemore (bad pass; steal by D. Wade),,7,14
43,1,6:35.0,,G. Dragić makes 2-pt layup from 2 ft,7,16
44,1,6:19.0,P. Millsap misses 2-pt layup from 1 ft,,7,16
45,1,6:18.0,,Defensive rebound by C. Bosh,7,16
46,1,6:12.0,,Turnover by C. Bosh (bad pass),7,16
47,1,6:12.0,T. Splitter enters the game for P. Millsap,,7,16
48,1,6:12.0,T. Sefolosha enters the game for K. Bazemore,,7,16
49,1,6:12.0,,J. Winslow enters the game for C. Bosh,7,16
50,1,6:00.0,J. Teague misses 2-pt jump shot from 13 ft,,7,16
51,1,5:59.0,,Defensive rebound by A. Stoudemire,7,16
52,1,5:52.0,,D. Wade misses 2-pt jump shot from 10 ft,7,16
53,1,5:51.0,,Offensive rebound by A. Stoudemire,7,16
54,1,5:49.0,,A. Stoudemire misses 2-pt layup from 1 ft,7,16
55,1,5:48.0,Defensive rebound by A. Horford,,7,16
56,1,5:41.0,J. Teague makes 2-pt layup from 3 ft,,9,16
57,1,5:41.0,Shooting foul by G. Dragić (drawn by J. Teague),,9,16
58,1,5:41.0,J. Teague makes free throw 1 of 1,,10,16
59,1,5:38.0,,Miami full timeout,10,16
60,1,5:24.0,,A. Stoudemire makes 2-pt dunk at rim (assist by L. Deng),10,18
61,1,5:10.0,A. Horford misses 2-pt jump shot from 8 ft,,10,18
62,1,5:09.0,,Defensive rebound by D. Wade,10,18
63,1,4:58.0,,L. Deng misses 3-pt jump shot from 24 ft,10,18
64,1,4:57.0,Defensive rebound by A. Horford,,10,18
65,1,4:51.0,T. Sefolosha misses 2-pt layup from 1 ft,,10,18
66,1,4:50.0,,Defensive rebound by J. Winslow,10,18
67,1,4:33.0,,L. Deng makes 2-pt jump shot from 3 ft (assist by D. Wade),10,20
68,1,4:33.0,,Shooting foul by T. Splitter (drawn by L. Deng),10,20
69,1,4:33.0,,J. McRoberts enters the game for A. Stoudemire,10,20
70,1,4:33.0,,L. Deng makes free throw 1 of 1,10,21
71,1,4:26.0,Offensive foul by A. Horford (drawn by G. Dragić),,10,21
72,1,4:26.0,Turnover by A. Horford (offensive foul),,10,21
73,1,4:26.0,,B. Udrih enters the game for G. Dragić,10,21
74,1,4:26.0,P. Millsap enters the game for A. Horford,,10,21
75,1,4:11.0,,Turnover by J. McRoberts (bad pass),10,21
76,1,4:06.0,Personal block foul by B. Udrih (drawn by J. Teague),,10,21
77,1,4:06.0,,G. Green enters the game for D. Wade,10,21
78,1,4:06.0,D. Schröder enters the game for J. Teague,,10,21
79,1,3:44.0,D. Schröder misses 3-pt jump shot from 24 ft,,10,21
80,1,3:43.0,,Defensive rebound by L. Deng,10,21
81,1,3:28.0,,C. Bosh enters the game for L. Deng,10,21
82,1,3:28.0,K. Bazemore enters the game for K. Korver,,10,21
83,1,3:24.0,,B. Udrih misses 2-pt jump shot from 4 ft,10,21
84,1,3:23.0,Defensive rebound by T. Splitter,,10,21
85,1,3:05.0,D. Schröder misses 2-pt jump shot from 19 ft,,10,21
86,1,3:04.0,,Defensive rebound by J. Winslow,10,21
87,1,2:51.0,,C. Bosh misses 2-pt jump shot from 14 ft,10,21
88,1,2:50.0,Defensive rebound by T. Splitter,,10,21
89,1,2:33.0,T. Splitter misses 2-pt layup from 1 ft,,10,21
90,1,2:32.0,,Defensive rebound by J. McRoberts,10,21
91,1,2:23.0,,G. Green makes 2-pt jump shot from 18 ft,10,23
92,1,2:12.0,Shooting foul by J. McRoberts (drawn by T. Splitter),,10,23
93,1,2:12.0,T. Splitter misses free throw 1 of 2,,10,23
94,1,2:12.0,Offensive rebound by Team,,10,23
95,1,2:12.0,T. Splitter makes free throw 2 of 2,,11,23
96,1,2:04.0,,Turnover by B. Udrih (bad pass; steal by T. Splitter),11,23
97,1,1:53.0,K. Bazemore makes 2-pt layup from 1 ft,,13,23
98,1,1:30.0,,B. Udrih makes 2-pt jump shot from 15 ft (assist by C. Bosh),13,25
99,1,1:17.0,M. Scott enters the game for T. Splitter,,13,25
100,1,1:11.0,Personal foul by C. Bosh (drawn by P. Millsap),,13,25
101,1,1:05.0,D. Schröder misses 2-pt jump shot from 19 ft,,13,25
102,1,1:04.0,,Defensive rebound by G. Green,13,25
103,1,0:51.0,,J. Winslow makes 2-pt layup from 1 ft,13,27
