,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,Turnover by J. Dudley (bad pass; steal by A. Johnson),0,0
1,1,11:30.0,A. Bradley misses 2-pt jump shot from 22 ft,,0,0
2,1,11:30.0,,Defensive rebound by Team,0,0
3,1,11:14.0,,Offensive foul by M. Gortat (drawn by J. Sullinger),0,0
4,1,11:14.0,,Turnover by M. Gortat (offensive foul),0,0
5,1,10:57.0,Personal foul by K. Oubre (drawn by I. Thomas),,0,0
6,1,10:50.0,I. Thomas makes 3-pt jump shot from 24 ft,,3,0
7,1,10:34.0,,J. Dudley misses 2-pt jump shot from 18 ft,3,0
8,1,10:33.0,Defensive rebound by J. Sullinger,,3,0
9,1,10:21.0,J. Sullinger makes 2-pt jump shot from 13 ft (assist by J. Crowder),,5,0
10,1,10:17.0,,Personal foul by A. Johnson (drawn by J. Wall),5,0
11,1,9:55.0,,M. Gortat makes 2-pt jump shot from 19 ft (assist by J. Wall),5,2
12,1,9:41.0,Turnover by I. Thomas (bad pass; steal by J. Dudley),,5,2
13,1,9:35.0,,J. Wall misses 2-pt layup at rim,5,2
14,1,9:34.0,,Offensive rebound by K. Oubre,5,2
15,1,9:33.0,,K. Oubre makes 2-pt layup from 1 ft,5,4
16,1,9:23.0,Personal foul by J. Wall (drawn by I. Thomas),,5,4
17,1,9:16.0,I. Thomas makes 3-pt jump shot from 22 ft,,8,4
18,1,9:00.0,,K. Oubre misses 3-pt jump shot from 24 ft,8,4
19,1,8:59.0,,Offensive rebound by Team,8,4
20,1,8:53.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),8,7
21,1,8:35.0,J. Sullinger makes 2-pt layup at rim,,10,7
22,1,8:29.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),10,9
23,1,8:11.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Bradley),,13,9
24,1,8:07.0,,Shooting block foul by A. Bradley (drawn by G. Temple),13,9
25,1,8:07.0,,G. Temple makes free throw 1 of 2,13,10
26,1,8:07.0,,G. Temple makes free throw 2 of 2,13,11
27,1,7:56.0,Shooting foul by G. Temple (drawn by J. Crowder),,13,11
28,1,7:56.0,J. Crowder misses free throw 1 of 3,,13,11
29,1,7:56.0,Offensive rebound by Team,,13,11
30,1,7:56.0,J. Crowder makes free throw 2 of 3,,14,11
31,1,7:56.0,J. Crowder makes free throw 3 of 3,,15,11
32,1,7:44.0,,Turnover by J. Wall (bad pass),15,11
33,1,7:24.0,I. Thomas misses 2-pt jump shot from 15 ft,,15,11
34,1,7:23.0,,Defensive rebound by J. Wall,15,11
35,1,7:18.0,,J. Wall makes 3-pt jump shot from 27 ft,15,14
36,1,7:17.0,Boston full timeout,,15,14
37,1,7:04.0,A. Johnson misses 2-pt jump shot from 5 ft,,15,14
38,1,7:03.0,,Defensive rebound by M. Gortat,15,14
39,1,6:49.0,,J. Dudley makes 2-pt jump shot from 18 ft (assist by J. Wall),15,16
40,1,6:33.0,A. Bradley misses 3-pt jump shot from 24 ft,,15,16
41,1,6:32.0,Offensive rebound by A. Johnson,,15,16
42,1,6:28.0,I. Thomas misses 3-pt jump shot from 29 ft,,15,16
43,1,6:27.0,,Defensive rebound by M. Gortat,15,16
44,1,6:13.0,,J. Wall misses 2-pt jump shot from 19 ft,15,16
45,1,6:12.0,Defensive rebound by J. Sullinger,,15,16
46,1,6:02.0,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),,17,16
47,1,5:48.0,,G. Temple misses 2-pt jump shot from 8 ft,17,16
48,1,5:47.0,,Offensive rebound by M. Gortat,17,16
49,1,5:45.0,,M. Gortat misses 2-pt jump shot from 3 ft,17,16
50,1,5:44.0,,Offensive rebound by K. Oubre,17,16
51,1,5:38.0,,J. Dudley misses 3-pt jump shot from 28 ft,17,16
52,1,5:37.0,Defensive rebound by J. Sullinger,,17,16
53,1,5:32.0,Turnover by I. Thomas (lost ball; steal by J. Wall),,17,16
54,1,5:25.0,,K. Oubre makes 2-pt layup at rim (assist by J. Wall),17,18
55,1,5:25.0,,Shooting foul by J. Sullinger (drawn by K. Oubre),17,18
56,1,5:25.0,M. Smart enters the game for A. Bradley,,17,18
57,1,5:25.0,E. Turner enters the game for J. Sullinger,,17,18
58,1,5:25.0,,K. Oubre makes free throw 1 of 1,17,19
59,1,5:16.0,Turnover by I. Thomas (lost ball),,17,19
60,1,5:00.0,,K. Oubre misses 2-pt layup from 1 ft (block by A. Johnson),17,19
61,1,4:58.0,,Offensive rebound by K. Oubre,17,19
62,1,4:51.0,,G. Temple misses 3-pt jump shot from 24 ft,17,19
63,1,4:50.0,Defensive rebound by A. Johnson,,17,19
64,1,4:41.0,J. Crowder makes 2-pt jump shot from 18 ft (assist by I. Thomas),,19,19
65,1,4:29.0,,J. Wall makes 2-pt jump shot from 22 ft,19,21
66,1,4:20.0,J. Crowder misses 2-pt jump shot from 8 ft,,19,21
67,1,4:18.0,,Defensive rebound by M. Gortat,19,21
68,1,4:14.0,,J. Wall misses 2-pt jump shot from 20 ft,19,21
69,1,4:11.0,,Offensive rebound by J. Dudley,19,21
70,1,4:09.0,,J. Dudley makes 2-pt layup at rim,19,23
71,1,3:57.0,Turnover by I. Thomas (bad pass; steal by K. Oubre),,19,23
72,1,3:47.0,,M. Gortat makes 2-pt jump shot from 7 ft (assist by J. Dudley),19,25
73,1,3:31.0,Personal foul by K. Oubre (drawn by E. Turner),,19,25
74,1,3:31.0,,N. Hilário enters the game for M. Gortat,19,25
75,1,3:31.0,,R. Sessions enters the game for K. Oubre,19,25
76,1,3:31.0,,G. Neal enters the game for J. Dudley,19,25
77,1,3:31.0,K. Olynyk enters the game for J. Crowder,,19,25
78,1,3:19.0,M. Smart misses 3-pt jump shot from 24 ft,,19,25
79,1,3:18.0,,Defensive rebound by Team,19,25
80,1,3:03.0,,G. Neal misses 3-pt jump shot from 26 ft,19,25
81,1,3:02.0,Defensive rebound by A. Johnson,,19,25
82,1,2:54.0,Turnover by E. Turner (bad pass),,19,25
83,1,2:54.0,,Washington full timeout,19,25
84,1,2:38.0,,Shooting foul by M. Smart (drawn by J. Wall),19,25
85,1,2:38.0,,J. Wall makes free throw 1 of 2,19,26
86,1,2:38.0,,J. Wall makes free throw 2 of 2,19,27
87,1,2:22.0,Turnover by I. Thomas (bad pass; steal by J. Wall),,19,27
88,1,2:22.0,,Personal foul by A. Johnson (drawn by J. Wall),19,27
89,1,2:22.0,,J. Wall misses free throw 1 of 2,19,27
90,1,2:22.0,,Offensive rebound by Team,19,27
91,1,2:22.0,T. Zeller enters the game for A. Johnson,,19,27
92,1,2:22.0,,J. Wall makes free throw 2 of 2,19,28
93,1,2:13.0,I. Thomas misses 2-pt jump shot from 3 ft (block by N. Hilário),,19,28
94,1,2:11.0,,Defensive rebound by G. Neal,19,28
95,1,2:05.0,,G. Temple misses 3-pt jump shot from 23 ft,19,28
96,1,2:03.0,Defensive rebound by M. Smart,,19,28
97,1,1:59.0,Shooting foul by R. Sessions (drawn by I. Thomas),,19,28
98,1,1:59.0,I. Thomas makes free throw 1 of 2,,20,28
99,1,1:59.0,,J. Dudley enters the game for J. Wall,20,28
100,1,1:59.0,I. Thomas misses free throw 2 of 2,,20,28
101,1,1:57.0,,Defensive rebound by N. Hilário,20,28
102,1,1:41.0,,N. Hilário misses 2-pt jump shot from 20 ft,20,28
103,1,1:40.0,Defensive rebound by E. Turner,,20,28
104,1,1:36.0,Turnover by E. Turner (bad pass; steal by N. Hilário),,20,28
105,1,1:29.0,,R. Sessions misses 2-pt jump shot from 5 ft,20,28
106,1,1:28.0,Defensive rebound by K. Olynyk,,20,28
107,1,1:24.0,Shooting foul by N. Hilário (drawn by I. Thomas),,20,28
108,1,1:24.0,I. Thomas makes free throw 1 of 2,,21,28
109,1,1:24.0,I. Thomas makes free throw 2 of 2,,22,28
110,1,1:04.0,,N. Hilário misses 2-pt layup from 1 ft (block by K. Olynyk),22,28
111,1,1:02.0,Defensive rebound by T. Zeller,,22,28
112,1,0:54.0,K. Olynyk makes 2-pt jump shot from 16 ft (assist by E. Turner),,24,28
113,1,0:36.0,,G. Neal makes 2-pt jump shot from 17 ft (assist by N. Hilário),24,30
114,1,0:29.0,I. Thomas misses 2-pt jump shot from 14 ft,,24,30
115,1,0:28.0,,Defensive rebound by N. Hilário,24,30
116,1,0:08.0,,Shooting foul by T. Zeller (drawn by N. Hilário),24,30
117,1,0:08.0,,N. Hilário misses free throw 1 of 2,24,30
118,1,0:08.0,,Offensive rebound by Team,24,30
119,1,0:08.0,,N. Hilário makes free throw 2 of 2,24,31
120,1,0:03.0,M. Smart misses 3-pt jump shot from 28 ft,,24,31
121,1,0:01.0,Offensive rebound by T. Zeller,,24,31
122,1,0:01.0,T. Zeller misses 2-pt jump shot from 13 ft,,24,31
123,1,0:00.0,,Defensive rebound by Team,24,31
124,2,11:37.0,Personal block foul by N. Hilário (drawn by T. Zeller),,24,31
125,2,11:32.0,K. Olynyk misses 2-pt layup from 1 ft,,24,31
126,2,11:31.0,,Defensive rebound by J. Dudley,24,31
127,2,11:27.0,,Shooting block foul by E. Turner (drawn by G. Temple),24,31
128,2,11:27.0,,G. Temple makes free throw 1 of 2,24,32
129,2,11:27.0,,G. Temple makes free throw 2 of 2,24,33
130,2,11:19.0,M. Smart makes 2-pt layup at rim,,26,33
131,2,11:02.0,,R. Sessions misses 2-pt jump shot from 3 ft,26,33
132,2,11:02.0,Defensive rebound by Team,,26,33
133,2,10:52.0,E. Turner misses 2-pt jump shot from 6 ft,,26,33
134,2,10:51.0,Offensive rebound by T. Zeller,,26,33
135,2,10:50.0,T. Zeller misses 2-pt jump shot from 3 ft,,26,33
136,2,10:49.0,,Defensive rebound by G. Neal,26,33
137,2,10:37.0,,Shooting foul by T. Zeller (drawn by N. Hilário),26,33
138,2,10:37.0,,N. Hilário makes free throw 1 of 2,26,34
139,2,10:37.0,,J. Wall enters the game for G. Temple,26,34
140,2,10:37.0,,N. Hilário makes free throw 2 of 2,26,35
141,2,10:20.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by E. Turner),,29,35
142,2,10:08.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Dudley),29,37
143,2,9:49.0,A. Bradley misses 3-pt jump shot from 26 ft,,29,37
144,2,9:47.0,Offensive rebound by Team,,29,37
145,2,9:47.0,Shooting foul by G. Neal (drawn by M. Smart),,29,37
146,2,9:47.0,,M. Gortat enters the game for N. Hilário,29,37
147,2,9:47.0,M. Smart makes free throw 1 of 2,,30,37
148,2,9:47.0,J. Sullinger enters the game for T. Zeller,,30,37
