,QUARTER,TIME_REMAINING,DALLAS_ACTION,BROOKLYN_ACTION,DALLAS_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,B. Lopez makes 2-pt jump shot from 16 ft (assist by J. Jack),0,2
1,1,11:16.0,W. Matthews misses 3-pt jump shot from 27 ft,,0,2
2,1,11:15.0,,Defensive rebound by J. Jack,0,2
3,1,11:09.0,,Shooting foul by D. Nowitzki (drawn by T. Young),0,2
4,1,11:09.0,,T. Young misses free throw 1 of 2,0,2
5,1,11:09.0,,Offensive rebound by Team,0,2
6,1,11:09.0,,T. Young misses free throw 2 of 2,0,2
7,1,11:08.0,Defensive rebound by Z. Pachulia,,0,2
8,1,10:45.0,J. Barea makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),,3,2
9,1,10:34.0,,B. Bogdanović misses 2-pt jump shot from 15 ft,3,2
10,1,10:33.0,Defensive rebound by Team,,3,2
11,1,10:16.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,3,2
12,1,10:15.0,Offensive rebound by Z. Pachulia,,3,2
13,1,10:05.0,Turnover by J. Barea (traveling),,3,2
14,1,9:50.0,,B. Lopez misses 2-pt layup from 2 ft,3,2
15,1,9:49.0,Defensive rebound by Z. Pachulia,,3,2
16,1,9:34.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by R. Felton),,5,2
17,1,9:18.0,,Turnover by T. Young (lost ball),5,2
18,1,9:10.0,J. Barea makes 2-pt jump shot from 7 ft,,7,2
19,1,9:02.0,,Brooklyn full timeout,7,2
20,1,8:50.0,,Turnover by B. Bogdanović (lost ball),7,2
21,1,8:36.0,Turnover by W. Matthews (step out of bounds),,7,2
22,1,8:28.0,,Offensive foul by J. Johnson (drawn by W. Matthews),7,2
23,1,8:28.0,,Turnover by J. Johnson (offensive foul),7,2
24,1,8:10.0,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by R. Felton),,10,2
25,1,7:57.0,,J. Jack misses 2-pt jump shot from 9 ft,10,2
26,1,7:55.0,,Offensive rebound by T. Young,10,2
27,1,7:54.0,,T. Young makes 2-pt layup from 1 ft,10,4
28,1,7:43.0,J. Barea makes 3-pt jump shot from 25 ft,,13,4
29,1,7:29.0,,T. Young misses 2-pt jump shot from 6 ft,13,4
30,1,7:27.0,Defensive rebound by Z. Pachulia,,13,4
31,1,7:15.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by R. Felton),,15,4
32,1,6:55.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by B. Lopez),15,7
33,1,6:43.0,Def 3 sec tech foul by B. Lopez,,15,7
34,1,6:43.0,D. Nowitzki makes technical free throw,,16,7
35,1,6:43.0,,A. Bargnani enters the game for T. Young,16,7
36,1,6:43.0,,D. Sloan enters the game for B. Bogdanović,16,7
37,1,6:37.0,R. Felton makes 2-pt layup from 2 ft (assist by Z. Pachulia),,18,7
38,1,6:21.0,,Personal foul by W. Matthews (drawn by J. Johnson),18,7
39,1,6:21.0,C. Parsons enters the game for D. Nowitzki,,18,7
40,1,6:21.0,J. McGee enters the game for Z. Pachulia,,18,7
41,1,6:21.0,C. Villanueva enters the game for J. Barea,,18,7
42,1,6:16.0,,Personal foul by C. Parsons (drawn by D. Sloan),18,7
43,1,6:06.0,,Personal foul by J. McGee (drawn by B. Lopez),18,7
44,1,5:59.0,,J. Jack misses 2-pt jump shot from 8 ft (block by R. Felton),18,7
45,1,5:58.0,,Offensive rebound by J. Jack,18,7
46,1,5:56.0,,Turnover by J. Jack (bad pass),18,7
47,1,5:49.0,Turnover by J. McGee (lost ball),,18,7
48,1,5:35.0,,Turnover by A. Bargnani (traveling),18,7
49,1,5:15.0,W. Matthews misses 2-pt layup from 1 ft,,18,7
50,1,5:13.0,Offensive rebound by J. McGee,,18,7
51,1,5:11.0,J. McGee misses 2-pt layup from 2 ft (block by A. Bargnani),,18,7
52,1,5:10.0,,Defensive rebound by D. Sloan,18,7
53,1,5:04.0,,A. Bargnani makes 2-pt layup from 1 ft (assist by D. Sloan),18,9
54,1,4:43.0,Turnover by J. McGee (traveling),,18,9
55,1,4:23.0,,B. Lopez misses 2-pt jump shot from 19 ft,18,9
56,1,4:22.0,Defensive rebound by C. Parsons,,18,9
57,1,4:14.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by C. Parsons),,21,9
58,1,4:04.0,,J. Jack makes 2-pt layup from 1 ft (assist by D. Sloan),21,11
59,1,3:47.0,C. Villanueva makes 3-pt jump shot from 25 ft (assist by R. Felton),,24,11
60,1,3:35.0,,Personal foul by R. Felton (drawn by J. Jack),24,11
61,1,3:35.0,,J. Jack makes free throw 1 of 2,24,12
62,1,3:35.0,,J. Jack makes free throw 2 of 2,24,13
63,1,3:35.0,Dallas full timeout,,24,13
64,1,3:24.0,J. McGee makes 2-pt dunk at rim (assist by C. Parsons),,26,13
65,1,3:07.0,,Shooting foul by J. McGee (drawn by B. Lopez),26,13
66,1,3:07.0,,B. Lopez makes 2-pt hook shot from 7 ft,26,15
67,1,3:07.0,,B. Bogdanović enters the game for J. Johnson,26,15
68,1,3:07.0,Z. Pachulia enters the game for J. McGee,,26,15
69,1,3:07.0,,B. Lopez misses free throw 1 of 1,26,15
70,1,3:06.0,,Offensive rebound by Team,26,15
71,1,2:56.0,,B. Lopez makes 2-pt hook shot from 8 ft,26,17
72,1,2:43.0,Personal foul by A. Bargnani (drawn by Z. Pachulia),,26,17
73,1,2:43.0,,W. Ellington enters the game for J. Jack,26,17
74,1,2:43.0,,T. Young enters the game for B. Lopez,26,17
75,1,2:33.0,C. Villanueva misses 2-pt jump shot from 19 ft,,26,17
76,1,2:31.0,,Defensive rebound by D. Sloan,26,17
77,1,2:24.0,,A. Bargnani misses 2-pt jump shot from 20 ft,26,17
78,1,2:22.0,,Offensive rebound by Team,26,17
79,1,2:13.0,,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by D. Sloan),26,19
80,1,2:04.0,Turnover by R. Felton (bad pass; steal by D. Sloan),,26,19
81,1,2:00.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Sloan),26,21
82,1,1:59.0,Dallas full timeout,,26,21
83,1,1:59.0,J. Barea enters the game for W. Matthews,,26,21
84,1,1:59.0,J. Jenkins enters the game for Z. Pachulia,,26,21
85,1,1:59.0,D. Nowitzki enters the game for R. Felton,,26,21
86,1,1:49.0,J. Barea makes 2-pt layup from 3 ft,,28,21
87,1,1:29.0,,A. Bargnani makes 2-pt jump shot from 11 ft,28,23
88,1,1:08.0,D. Nowitzki makes 2-pt jump shot from 17 ft,,30,23
89,1,0:55.0,,A. Bargnani misses 2-pt jump shot from 7 ft,30,23
90,1,0:54.0,Defensive rebound by C. Villanueva,,30,23
91,1,0:40.0,C. Parsons makes 2-pt layup from 2 ft (assist by J. Barea),,32,23
92,1,0:33.0,,D. Sloan misses 2-pt layup from 1 ft,32,23
93,1,0:32.0,,Offensive rebound by A. Bargnani,32,23
94,1,0:30.0,,A. Bargnani misses 2-pt layup from 1 ft,32,23
95,1,0:30.0,,Offensive rebound by D. Sloan,32,23
96,1,0:27.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Sloan),32,26
97,1,0:08.0,Personal foul by D. Sloan,,32,26
98,1,0:08.0,J. Evans enters the game for C. Villanueva,,32,26
99,1,0:02.0,Turnover by J. Barea (bad pass; steal by W. Ellington),,32,26
100,2,11:46.0,Turnover by J. Barea (lost ball; steal by T. Young),,32,26
101,2,11:40.0,,D. Sloan makes 2-pt layup from 1 ft,32,28
102,2,11:23.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by J. Barea),,35,28
103,2,11:07.0,,T. Young misses 2-pt jump shot from 8 ft,35,28
104,2,11:06.0,Defensive rebound by C. Parsons,,35,28
105,2,10:55.0,Turnover by J. Jenkins (traveling),,35,28
106,2,10:43.0,,Turnover by A. Bargnani (bad pass),35,28
107,2,10:27.0,J. Barea makes 3-pt jump shot from 26 ft,,38,28
108,2,10:02.0,,D. Sloan misses 2-pt jump shot from 17 ft,38,28
109,2,10:01.0,Defensive rebound by J. Barea,,38,28
110,2,9:51.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Barea),,40,28
111,2,9:35.0,,B. Bogdanović misses 2-pt jump shot from 6 ft (block by C. Parsons),40,28
112,2,9:34.0,,Offensive rebound by Team,40,28
113,2,9:34.0,,Brooklyn full timeout,40,28
114,2,9:30.0,,A. Bargnani makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),40,30
115,2,9:15.0,D. Powell makes 2-pt jump shot from 18 ft (assist by J. Barea),,42,30
116,2,9:01.0,,W. Ellington misses 2-pt jump shot from 19 ft,42,30
117,2,9:00.0,Defensive rebound by D. Powell,,42,30
118,2,8:56.0,J. Barea makes 2-pt layup from 2 ft,,44,30
119,2,8:44.0,,A. Bargnani misses 2-pt jump shot from 18 ft,44,30
120,2,8:43.0,Defensive rebound by C. Parsons,,44,30
121,2,8:35.0,Turnover by J. Barea (bad pass; steal by T. Young),,44,30
122,2,8:30.0,,W. Ellington makes 2-pt layup from 2 ft (assist by D. Sloan),44,32
123,2,8:30.0,,Shooting foul by C. Parsons (drawn by W. Ellington),44,32
124,2,8:30.0,,J. Johnson enters the game for D. Sloan,44,32
125,2,8:30.0,,J. Jack enters the game for B. Bogdanović,44,32
126,2,8:30.0,W. Matthews enters the game for C. Parsons,,44,32
127,2,8:30.0,C. Villanueva enters the game for D. Nowitzki,,44,32
128,2,8:30.0,,W. Ellington makes free throw 1 of 1,44,33
129,2,8:16.0,Def 3 sec tech foul by A. Bargnani,,44,33
130,2,8:16.0,J. Jenkins makes technical free throw,,45,33
131,2,8:16.0,,B. Lopez enters the game for A. Bargnani,45,33
132,2,8:16.0,Z. Pachulia enters the game for D. Powell,,45,33
133,2,8:07.0,J. Barea makes 3-pt jump shot from 25 ft,,48,33
134,2,7:48.0,,B. Lopez misses 2-pt jump shot from 18 ft,48,33
135,2,7:47.0,,Offensive rebound by T. Young,48,33
136,2,7:46.0,,T. Young makes 2-pt jump shot from 4 ft,48,35
137,2,7:30.0,C. Villanueva makes 2-pt jump shot from 6 ft (assist by J. Barea),,50,35
138,2,7:10.0,,J. Johnson misses 2-pt jump shot from 9 ft (block by W. Matthews),50,35
139,2,7:09.0,,Offensive rebound by J. Johnson,50,35
140,2,7:06.0,,W. Ellington makes 2-pt jump shot from 18 ft (assist by J. Johnson),50,37
141,2,6:44.0,J. Barea makes 2-pt jump shot from 6 ft,,52,37
142,2,6:27.0,,W. Ellington makes 2-pt jump shot from 19 ft,52,39
143,2,6:18.0,C. Villanueva misses 3-pt jump shot from 27 ft,,52,39
144,2,6:17.0,,Defensive rebound by J. Jack,52,39
145,2,6:13.0,,T. Young misses 2-pt layup from 3 ft,52,39
146,2,6:12.0,,Offensive rebound by T. Young,52,39
147,2,6:10.0,,T. Young misses 2-pt layup from 1 ft (block by W. Matthews),52,39
148,2,6:08.0,Defensive rebound by C. Villanueva,,52,39
149,2,6:07.0,Personal foul by J. Johnson (drawn by C. Villanueva),,52,39
150,2,6:07.0,C. Villanueva makes free throw 1 of 2,,53,39
151,2,6:07.0,C. Villanueva makes free throw 2 of 2,,54,39
152,2,5:46.0,,J. Johnson misses 2-pt jump shot from 9 ft,54,39
153,2,5:45.0,,Offensive rebound by B. Lopez,54,39
154,2,5:40.0,,Personal foul by C. Villanueva (drawn by B. Lopez),54,39
155,2,5:40.0,Official timeout,,54,39
156,2,5:40.0,R. Felton enters the game for J. Barea,,54,39
157,2,5:31.0,,J. Jack misses 2-pt jump shot from 17 ft,54,39
158,2,5:30.0,Defensive rebound by R. Felton,,54,39
159,2,5:18.0,J. Jenkins misses 2-pt jump shot from 20 ft,,54,39
160,2,5:17.0,Offensive rebound by Z. Pachulia,,54,39
161,2,5:03.0,Turnover by R. Felton (bad pass; steal by B. Lopez),,54,39
162,2,4:58.0,,J. Jack makes 2-pt layup from 1 ft (assist by W. Ellington),54,41
163,2,4:40.0,C. Parsons enters the game for J. Jenkins,,54,41
164,2,4:40.0,D. Nowitzki enters the game for C. Villanueva,,54,41
165,2,4:39.0,Personal foul by J. Johnson (drawn by W. Matthews),,54,41
166,2,4:39.0,,S. Larkin enters the game for J. Johnson,54,41
167,2,4:39.0,,W. Reed enters the game for B. Lopez,54,41
168,2,4:29.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,54,41
169,2,4:28.0,,Defensive rebound by J. Jack,54,41
170,2,4:19.0,,T. Young misses 2-pt hook shot from 4 ft,54,41
171,2,4:18.0,,Offensive rebound by W. Reed,54,41
172,2,4:17.0,,W. Reed makes 2-pt layup at rim,54,43
173,2,4:03.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by C. Parsons),,57,43
