,QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
0,1,11:46.0,T. Harris makes 2-pt jump shot from 20 ft (assist by N. Vučević),,2,0
1,1,11:22.0,,T. Booker makes 2-pt layup from 1 ft (assist by R. Neto),2,2
2,1,11:09.0,E. Payton makes 2-pt layup from 1 ft,,4,2
3,1,10:52.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by D. Favors),4,5
4,1,10:31.0,T. Harris misses 2-pt layup from 1 ft,,4,5
5,1,10:31.0,Offensive rebound by N. Vučević,,4,5
6,1,10:28.0,N. Vučević makes 2-pt layup from 2 ft,,6,5
7,1,10:09.0,,R. Hood misses 2-pt jump shot from 6 ft,6,5
8,1,10:09.0,,Offensive rebound by Team,6,5
9,1,10:03.0,,Turnover by G. Hayward (lost ball; steal by E. Payton),6,5
10,1,9:53.0,C. Frye makes 3-pt jump shot from 24 ft (assist by E. Payton),,9,5
11,1,9:35.0,,R. Neto misses 2-pt jump shot from 21 ft,9,5
12,1,9:34.0,Defensive rebound by C. Frye,,9,5
13,1,9:25.0,N. Vučević makes 2-pt jump shot from 21 ft (assist by E. Payton),,11,5
14,1,9:10.0,,D. Favors misses 2-pt jump shot from 19 ft,11,5
15,1,9:09.0,Defensive rebound by E. Payton,,11,5
16,1,9:01.0,E. Payton misses 2-pt layup from 2 ft,,11,5
17,1,9:01.0,,Defensive rebound by D. Favors,11,5
18,1,8:52.0,,G. Hayward makes 3-pt jump shot from 24 ft,11,8
19,1,8:39.0,Shooting block foul by R. Hood (drawn by T. Harris),,11,8
20,1,8:39.0,T. Harris makes free throw 1 of 2,,12,8
21,1,8:39.0,T. Harris makes free throw 2 of 2,,13,8
22,1,8:19.0,,G. Hayward makes 2-pt jump shot from 3 ft,13,10
23,1,8:00.0,T. Harris makes 3-pt jump shot from 24 ft (assist by E. Payton),,16,10
24,1,7:39.0,,T. Booker misses 3-pt jump shot from 23 ft,16,10
25,1,7:38.0,Defensive rebound by E. Fournier,,16,10
26,1,7:20.0,C. Frye misses 3-pt jump shot from 23 ft,,16,10
27,1,7:19.0,,Defensive rebound by R. Neto,16,10
28,1,7:09.0,,Personal foul by C. Frye (drawn by G. Hayward),16,10
29,1,7:07.0,,Personal foul by E. Payton (drawn by R. Neto),16,10
30,1,6:55.0,,G. Hayward makes 2-pt jump shot from 10 ft,16,12
31,1,6:40.0,Turnover by E. Fournier (bad pass; steal by D. Favors),,16,12
32,1,6:26.0,,Shooting foul by E. Fournier (drawn by D. Favors),16,12
33,1,6:26.0,,D. Favors misses free throw 1 of 2,16,12
34,1,6:26.0,,Offensive rebound by Team,16,12
35,1,6:26.0,A. Gordon enters the game for E. Fournier,,16,12
36,1,6:26.0,V. Oladipo enters the game for T. Harris,,16,12
37,1,6:26.0,,D. Favors misses free throw 2 of 2,16,12
38,1,6:25.0,Defensive rebound by E. Payton,,16,12
39,1,6:13.0,E. Payton makes 2-pt jump shot from 5 ft,,18,12
40,1,6:06.0,,Turnover by G. Hayward (lost ball; steal by A. Gordon),18,12
41,1,6:05.0,Personal foul by R. Neto (drawn by A. Gordon),,18,12
42,1,5:53.0,V. Oladipo misses 3-pt jump shot from 23 ft,,18,12
43,1,5:53.0,,Defensive rebound by R. Neto,18,12
44,1,5:44.0,,Turnover by T. Booker (bad pass; steal by A. Gordon),18,12
45,1,5:38.0,V. Oladipo makes 2-pt layup from 2 ft (assist by C. Frye),,20,12
46,1,5:38.0,,Utah full timeout,20,12
47,1,5:16.0,,R. Hood misses 3-pt jump shot from 24 ft,20,12
48,1,5:15.0,Defensive rebound by A. Gordon,,20,12
49,1,5:09.0,E. Payton misses 2-pt layup from 2 ft (block by T. Booker),,20,12
50,1,5:07.0,Offensive rebound by A. Gordon,,20,12
51,1,5:05.0,A. Gordon makes 2-pt dunk at rim,,22,12
52,1,4:54.0,,G. Hayward makes 2-pt jump shot from 5 ft,22,14
53,1,4:35.0,V. Oladipo misses 3-pt jump shot from 22 ft,,22,14
54,1,4:34.0,,Defensive rebound by R. Neto,22,14
55,1,4:25.0,,Personal foul by A. Gordon (drawn by G. Hayward),22,14
56,1,4:25.0,,T. Burke enters the game for R. Hood,22,14
57,1,4:25.0,,A. Burks enters the game for R. Neto,22,14
58,1,4:22.0,,Personal foul by A. Gordon (drawn by G. Hayward),22,14
59,1,4:22.0,,G. Hayward misses free throw 1 of 2,22,14
60,1,4:22.0,,Offensive rebound by Team,22,14
61,1,4:22.0,A. Nicholson enters the game for C. Frye,,22,14
62,1,4:22.0,,T. Lyles enters the game for T. Booker,22,14
63,1,4:22.0,,G. Hayward makes free throw 2 of 2,22,15
64,1,4:06.0,N. Vučević misses 2-pt jump shot from 21 ft,,22,15
65,1,4:06.0,,Defensive rebound by A. Burks,22,15
66,1,3:47.0,,T. Lyles misses 2-pt jump shot from 14 ft,22,15
67,1,3:46.0,Defensive rebound by V. Oladipo,,22,15
68,1,3:40.0,V. Oladipo makes 2-pt jump shot from 3 ft,,24,15
69,1,3:40.0,Shooting foul by A. Burks (drawn by V. Oladipo),,24,15
70,1,3:40.0,V. Oladipo makes free throw 1 of 1,,25,15
71,1,3:27.0,,D. Favors makes 2-pt dunk at rim (assist by T. Burke),25,17
72,1,3:10.0,A. Gordon misses 3-pt jump shot from 23 ft,,25,17
73,1,3:10.0,,Defensive rebound by D. Favors,25,17
74,1,2:51.0,,A. Burks makes 2-pt jump shot from 11 ft,25,19
75,1,2:43.0,Orlando full timeout,,25,19
76,1,2:43.0,J. Smith enters the game for N. Vučević,,25,19
77,1,2:43.0,,J. Withey enters the game for D. Favors,25,19
78,1,2:34.0,A. Nicholson makes 2-pt hook shot from 6 ft,,27,19
79,1,2:27.0,,Personal foul by A. Nicholson (drawn by T. Lyles),27,19
80,1,2:27.0,,T. Lyles misses free throw 1 of 2,27,19
81,1,2:27.0,,Offensive rebound by Team,27,19
82,1,2:27.0,,T. Lyles makes free throw 2 of 2,27,20
83,1,2:05.0,V. Oladipo misses 2-pt layup from 2 ft,,27,20
84,1,2:05.0,,Defensive rebound by J. Withey,27,20
85,1,1:56.0,,A. Burks misses 3-pt jump shot from 22 ft,27,20
86,1,1:55.0,,Offensive rebound by T. Burke,27,20
87,1,1:48.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Burke),27,23
88,1,1:27.0,A. Nicholson misses 2-pt hook shot from 9 ft,,27,23
89,1,1:27.0,Offensive rebound by A. Nicholson,,27,23
90,1,1:23.0,A. Nicholson makes 2-pt dunk at rim (assist by E. Payton),,29,23
91,1,1:00.0,,T. Lyles makes 2-pt jump shot from 20 ft,29,25
92,1,0:48.0,V. Oladipo misses 2-pt layup from 1 ft,,29,25
93,1,0:43.0,,Defensive rebound by A. Burks,29,25
94,1,0:41.0,,Turnover by A. Burks (dbl dribble),29,25
95,1,0:31.0,E. Payton misses 2-pt jump shot from 4 ft,,29,25
96,1,0:30.0,,Defensive rebound by G. Hayward,29,25
97,1,0:11.0,Offensive charge foul by G. Hayward (drawn by J. Smith),,29,25
98,1,0:11.0,,Turnover by G. Hayward (offensive foul),29,25
99,1,0:11.0,T. Harris enters the game for A. Gordon,,29,25
100,1,0:11.0,E. Fournier enters the game for V. Oladipo,,29,25
101,1,0:02.0,E. Payton misses 2-pt jump shot from 4 ft (block by J. Withey),,29,25
102,1,0:01.0,,Defensive rebound by A. Burks,29,25
103,1,0:00.0,,A. Burks misses 3-pt jump shot from 28 ft,29,25
104,1,0:00.0,,Offensive rebound by Team,29,25
105,2,11:42.0,,Shooting foul by E. Fournier (drawn by A. Burks),29,25
106,2,11:42.0,,A. Burks makes free throw 1 of 2,29,26
107,2,11:42.0,,A. Burks makes free throw 2 of 2,29,27
108,2,11:18.0,A. Nicholson misses 3-pt jump shot from 24 ft,,29,27
109,2,11:18.0,Offensive rebound by Team,,29,27
110,2,11:18.0,,Loose ball foul by T. Burke (drawn by J. Smith),29,27
111,2,11:05.0,J. Smith makes 2-pt jump shot from 20 ft (assist by T. Harris),,31,27
112,2,10:51.0,,Turnover by R. Hood (bad pass; steal by A. Nicholson),31,27
113,2,10:48.0,Personal foul by R. Hood (drawn by E. Fournier),,31,27
114,2,10:48.0,,J. Ingles enters the game for R. Hood,31,27
115,2,10:39.0,A. Nicholson misses 3-pt jump shot from 23 ft,,31,27
116,2,10:39.0,,Defensive rebound by T. Lyles,31,27
117,2,10:30.0,,T. Burke misses 2-pt layup from 2 ft,31,27
118,2,10:27.0,,Offensive rebound by J. Withey,31,27
119,2,10:27.0,,J. Withey makes 2-pt jump shot from 3 ft,31,29
120,2,10:12.0,S. Napier misses 2-pt jump shot from 9 ft,,31,29
121,2,10:11.0,,Defensive rebound by T. Lyles,31,29
122,2,9:57.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by A. Burks),31,32
123,2,9:37.0,A. Nicholson makes 2-pt layup from 2 ft,,33,32
124,2,9:31.0,,J. Withey misses 2-pt layup from 3 ft (block by T. Harris),33,32
125,2,9:31.0,,Offensive rebound by Team,33,32
126,2,9:31.0,V. Oladipo enters the game for E. Fournier,,33,32
127,2,9:31.0,,D. Favors enters the game for T. Lyles,33,32
128,2,9:31.0,,R. Hood enters the game for J. Withey,33,32
129,2,9:20.0,,R. Hood misses 2-pt jump shot from 5 ft (block by J. Smith),33,32
130,2,9:16.0,,Offensive rebound by R. Hood,33,32
131,2,9:15.0,,T. Burke misses 3-pt jump shot from 25 ft,33,32
132,2,9:14.0,,Offensive rebound by Team,33,32
133,2,9:14.0,,Turnover by Team (shot clock),33,32
134,2,8:57.0,J. Smith misses 2-pt jump shot from 14 ft,,33,32
135,2,8:55.0,,Defensive rebound by J. Ingles,33,32
136,2,8:53.0,,Personal foul by J. Smith (drawn by T. Burke),33,32
137,2,8:53.0,Official timeout,,33,32
138,2,8:31.0,,A. Burks makes 2-pt jump shot from 4 ft,33,34
139,2,8:20.0,,C. Johnson enters the game for R. Hood,33,34
140,2,8:19.0,Turnover by T. Harris (bad pass),,33,34
141,2,7:59.0,,J. Ingles makes 2-pt layup from 2 ft,33,36
142,2,7:42.0,A. Nicholson makes 2-pt layup from 2 ft,,35,36
143,2,7:30.0,,C. Johnson misses 3-pt jump shot from 23 ft,35,36
144,2,7:29.0,Defensive rebound by V. Oladipo,,35,36
145,2,7:16.0,V. Oladipo makes 3-pt jump shot from 23 ft,,38,36
146,2,7:00.0,,J. Ingles misses 3-pt jump shot from 24 ft,38,36
147,2,6:59.0,,Offensive rebound by D. Favors,38,36
148,2,6:55.0,,D. Favors makes 2-pt dunk at rim,38,38
149,2,6:39.0,V. Oladipo makes 2-pt jump shot from 22 ft,,40,38
150,2,6:25.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by T. Burke),40,41
151,2,6:10.0,Shooting foul by T. Burke (drawn by V. Oladipo),,40,41
152,2,6:10.0,V. Oladipo makes free throw 1 of 2,,41,41
153,2,6:10.0,,Utah full timeout,41,41
154,2,6:10.0,N. Vučević enters the game for J. Smith,,41,41
155,2,6:10.0,A. Gordon enters the game for A. Nicholson,,41,41
156,2,6:10.0,,G. Hayward enters the game for A. Burks,41,41
157,2,6:10.0,V. Oladipo makes free throw 2 of 2,,42,41
158,2,6:03.0,,Personal foul by A. Gordon (drawn by G. Hayward),42,41
159,2,6:03.0,C. Frye enters the game for A. Gordon,,42,41
160,2,5:51.0,,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),42,43
161,2,5:30.0,N. Vučević makes 2-pt hook shot from 4 ft,,44,43
162,2,5:19.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Favors),44,46
163,2,5:03.0,S. Napier misses 3-pt jump shot from 23 ft,,44,46
164,2,5:02.0,,Defensive rebound by J. Ingles,44,46
165,2,4:49.0,,Turnover by J. Ingles (traveling),44,46
166,2,4:49.0,,R. Hood enters the game for C. Johnson,44,46
167,2,4:49.0,E. Payton enters the game for S. Napier,,44,46
168,2,4:40.0,Turnover by V. Oladipo (bad pass),,44,46
169,2,4:23.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by T. Burke),44,49
170,2,4:06.0,C. Frye misses 3-pt jump shot from 24 ft,,44,49
171,2,4:06.0,,Defensive rebound by R. Hood,44,49
172,2,4:02.0,,Turnover by J. Ingles (step out of bounds),44,49
173,2,4:02.0,E. Fournier enters the game for C. Frye,,44,49
174,2,3:37.0,T. Harris makes 2-pt jump shot from 5 ft (assist by V. Oladipo),,46,49
175,2,3:29.0,,G. Hayward misses 2-pt layup from 2 ft,46,49
176,2,3:29.0,Defensive rebound by V. Oladipo,,46,49
177,2,3:19.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by V. Oladipo),,48,49
178,2,3:10.0,,Utah full timeout,48,49
179,2,3:10.0,,J. Withey enters the game for D. Favors,48,49
180,2,3:02.0,,R. Hood misses 3-pt jump shot from 23 ft,48,49
181,2,3:01.0,Defensive rebound by N. Vučević,,48,49
182,2,2:40.0,N. Vučević misses 2-pt jump shot from 6 ft (block by R. Hood),,48,49
183,2,2:40.0,Offensive rebound by Team,,48,49
184,2,2:40.0,Orlando full timeout,,48,49
185,2,2:40.0,,A. Burks enters the game for J. Withey,48,49
186,2,2:40.0,,D. Favors enters the game for R. Hood,48,49
187,2,2:38.0,E. Fournier makes 2-pt jump shot from 19 ft (assist by E. Payton),,50,49
188,2,2:21.0,,T. Burke misses 2-pt layup from 2 ft (block by V. Oladipo),50,49
189,2,2:20.0,Defensive rebound by E. Payton,,50,49
190,2,2:11.0,N. Vučević misses 2-pt jump shot from 17 ft,,50,49
191,2,2:10.0,,Defensive rebound by G. Hayward,50,49
192,2,2:04.0,,T. Burke misses 3-pt jump shot from 22 ft,50,49
193,2,2:02.0,Defensive rebound by T. Harris,,50,49
194,2,1:54.0,T. Harris misses 2-pt jump shot from 4 ft (block by A. Burks),,50,49
195,2,1:51.0,,Defensive rebound by T. Burke,50,49
196,2,1:47.0,,Shooting foul by E. Fournier (drawn by G. Hayward),50,49
197,2,1:47.0,,G. Hayward makes free throw 1 of 2,50,50
198,2,1:47.0,M. Hezonja enters the game for E. Fournier,,50,50
199,2,1:47.0,,G. Hayward makes free throw 2 of 2,50,51
200,2,1:33.0,N. Vučević makes 2-pt jump shot from 10 ft,,52,51
201,2,1:17.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),52,54
202,2,0:53.0,E. Payton misses 2-pt jump shot from 18 ft,,52,54
203,2,0:51.0,Offensive rebound by N. Vučević,,52,54
204,2,0:51.0,N. Vučević misses 2-pt layup from 1 ft,,52,54
205,2,0:51.0,Offensive rebound by N. Vučević,,52,54
206,2,0:51.0,N. Vučević makes 2-pt layup from 1 ft,,54,54
207,2,0:27.0,,Turnover by T. Burke (lost ball; steal by E. Payton),54,54
208,2,0:27.0,Turnover by E. Payton (bad pass; steal by G. Hayward),,54,54
209,2,0:09.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by G. Hayward),54,57
210,2,0:01.0,N. Vučević misses 3-pt jump shot from 25 ft,,54,57
211,2,0:00.0,Offensive rebound by Team,,54,57
212,3,11:47.0,,Shooting foul by E. Payton (drawn by D. Favors),54,57
213,3,11:47.0,,D. Favors makes free throw 1 of 2,54,58
214,3,11:47.0,,D. Favors makes free throw 2 of 2,54,59
215,3,11:22.0,E. Fournier makes 2-pt jump shot from 21 ft (assist by E. Payton),,56,59
216,3,10:59.0,,R. Hood misses 3-pt jump shot from 22 ft,56,59
217,3,10:58.0,,Offensive rebound by D. Favors,56,59
218,3,10:57.0,,Shooting foul by C. Frye (drawn by D. Favors),56,59
219,3,10:57.0,,D. Favors makes free throw 1 of 2,56,60
220,3,10:57.0,,D. Favors makes free throw 2 of 2,56,61
221,3,10:46.0,Shooting foul by G. Hayward (drawn by C. Frye),,56,61
222,3,10:46.0,C. Frye makes free throw 1 of 2,,57,61
223,3,10:46.0,C. Frye makes free throw 2 of 2,,58,61
224,3,10:28.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by G. Hayward),58,64
225,3,10:28.0,,Shooting foul by E. Payton (drawn by R. Neto),58,64
226,3,10:28.0,,R. Neto makes free throw 1 of 1,58,65
227,3,10:12.0,E. Fournier misses 3-pt jump shot from 25 ft,,58,65
228,3,10:11.0,,Defensive rebound by T. Booker,58,65
229,3,10:01.0,,Turnover by G. Hayward (bad pass; steal by C. Frye),58,65
230,3,9:49.0,E. Fournier misses 3-pt jump shot from 24 ft,,58,65
231,3,9:49.0,,Defensive rebound by D. Favors,58,65
232,3,9:27.0,,Turnover by R. Neto (bad pass; steal by C. Frye),58,65
233,3,9:25.0,Personal foul by R. Neto (drawn by T. Harris),,58,65
234,3,9:15.0,T. Harris misses 2-pt jump shot from 3 ft,,58,65
235,3,9:15.0,,Defensive rebound by D. Favors,58,65
236,3,9:04.0,,Turnover by D. Favors (bad pass; steal by T. Harris),58,65
237,3,9:00.0,T. Harris makes 2-pt dunk at rim,,60,65
238,3,8:36.0,,R. Neto misses 2-pt jump shot from 13 ft,60,65
239,3,8:35.0,Defensive rebound by C. Frye,,60,65
240,3,8:32.0,Shooting foul by G. Hayward (drawn by E. Payton),,60,65
241,3,8:32.0,E. Payton makes free throw 1 of 2,,61,65
242,3,8:32.0,E. Payton makes free throw 2 of 2,,62,65
243,3,8:15.0,,Turnover by R. Neto (bad pass; steal by N. Vučević),62,65
244,3,8:01.0,Turnover by N. Vučević (3 sec),,62,65
245,3,8:01.0,,T. Burke enters the game for R. Neto,62,65
246,3,7:44.0,,R. Hood misses 2-pt jump shot from 6 ft,62,65
247,3,7:43.0,Defensive rebound by E. Fournier,,62,65
248,3,7:34.0,E. Payton misses 2-pt jump shot from 15 ft,,62,65
249,3,7:34.0,,Defensive rebound by T. Booker,62,65
250,3,7:17.0,,Turnover by T. Burke (bad pass; steal by C. Frye),62,65
251,3,7:03.0,Turnover by N. Vučević (bad pass; steal by G. Hayward),,62,65
252,3,6:50.0,,Turnover by G. Hayward (bad pass; steal by N. Vučević),62,65
