,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,,M. Carter-Williams misses 2-pt layup from 2 ft,0,0
1,1,11:33.0,Defensive rebound by V. Oladipo,,0,0
2,1,11:18.0,N. Vučević misses 2-pt jump shot from 18 ft,,0,0
3,1,11:17.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:07.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),0,2
5,1,10:49.0,T. Harris misses 3-pt jump shot from 24 ft,,0,2
6,1,10:47.0,,Defensive rebound by G. Monroe,0,2
7,1,10:37.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),0,4
8,1,10:22.0,Turnover by E. Payton (bad pass; steal by G. Antetokounmpo),,0,4
9,1,10:18.0,,Turnover by J. Parker (step out of bounds),0,4
10,1,10:04.0,T. Harris makes 2-pt layup at rim (assist by E. Payton),,2,4
11,1,9:44.0,,K. Middleton makes 2-pt jump shot from 11 ft (assist by J. Parker),2,6
12,1,9:21.0,E. Payton makes 2-pt layup from 1 ft,,4,6
13,1,9:00.0,,G. Monroe misses 2-pt hook shot from 5 ft,4,6
14,1,8:59.0,Defensive rebound by A. Gordon,,4,6
15,1,8:49.0,A. Gordon misses 2-pt jump shot from 16 ft,,4,6
16,1,8:47.0,,Defensive rebound by G. Monroe,4,6
17,1,8:40.0,,J. Parker misses 2-pt jump shot from 17 ft,4,6
18,1,8:38.0,Defensive rebound by N. Vučević,,4,6
19,1,8:24.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,7,6
20,1,8:03.0,,Turnover by K. Middleton (bad pass),7,6
21,1,7:50.0,Shooting block foul by G. Monroe (drawn by V. Oladipo),,7,6
22,1,7:50.0,V. Oladipo makes free throw 1 of 2,,8,6
23,1,7:50.0,V. Oladipo makes free throw 2 of 2,,9,6
24,1,7:36.0,Violation by N. Vučević (kicked ball),,9,6
25,1,7:30.0,,G. Monroe makes 2-pt layup from 3 ft,9,8
26,1,7:16.0,N. Vučević misses 2-pt jump shot from 18 ft,,9,8
27,1,7:15.0,Offensive rebound by A. Gordon,,9,8
28,1,7:06.0,T. Harris misses 2-pt jump shot from 4 ft (block by J. Parker),,9,8
29,1,7:04.0,,Defensive rebound by G. Monroe,9,8
30,1,6:50.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,9,8
31,1,6:49.0,Defensive rebound by N. Vučević,,9,8
32,1,6:38.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Payton),,11,8
33,1,6:13.0,,J. Parker misses 2-pt jump shot from 9 ft,11,8
34,1,6:12.0,Defensive rebound by V. Oladipo,,11,8
35,1,6:02.0,T. Harris makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,14,8
36,1,6:01.0,,Milwaukee full timeout,14,8
37,1,6:01.0,,J. Henson enters the game for G. Monroe,14,8
38,1,5:48.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft (block by E. Payton),14,8
39,1,5:46.0,Defensive rebound by T. Harris,,14,8
40,1,5:28.0,Turnover by T. Harris (step out of bounds),,14,8
41,1,5:20.0,,Personal foul by E. Payton (drawn by M. Carter-Williams),14,8
42,1,5:15.0,,K. Middleton makes 2-pt layup at rim (assist by J. Henson),14,10
43,1,4:50.0,E. Payton misses 2-pt jump shot from 19 ft,,14,10
44,1,4:49.0,,Defensive rebound by J. Parker,14,10
45,1,4:44.0,,Shooting foul by E. Payton (drawn by K. Middleton),14,10
46,1,4:44.0,,K. Middleton makes free throw 1 of 2,14,11
47,1,4:44.0,S. Napier enters the game for E. Payton,,14,11
48,1,4:44.0,,J. Bayless enters the game for G. Antetokounmpo,14,11
49,1,4:44.0,,K. Middleton makes free throw 2 of 2,14,12
50,1,4:31.0,T. Harris misses 2-pt layup from 2 ft (block by J. Henson),,14,12
51,1,4:29.0,Offensive rebound by N. Vučević,,14,12
52,1,4:29.0,N. Vučević misses 2-pt layup from 1 ft,,14,12
53,1,4:27.0,Offensive rebound by T. Harris,,14,12
54,1,4:25.0,T. Harris misses 2-pt layup at rim,,14,12
55,1,4:24.0,Offensive rebound by T. Harris,,14,12
56,1,4:12.0,N. Vučević misses 2-pt jump shot from 15 ft,,14,12
57,1,4:11.0,Offensive rebound by Team,,14,12
58,1,4:05.0,T. Harris makes 3-pt jump shot from 23 ft (assist by V. Oladipo),,17,12
59,1,3:49.0,,M. Carter-Williams makes 2-pt jump shot from 11 ft,17,14
60,1,3:31.0,N. Vučević makes 2-pt hook shot from 7 ft,,19,14
61,1,3:22.0,,Turnover by M. Carter-Williams (bad pass),19,14
62,1,3:03.0,A. Gordon makes 2-pt dunk at rim (assist by V. Oladipo),,21,14
63,1,2:43.0,,K. Middleton misses 2-pt jump shot from 13 ft,21,14
64,1,2:41.0,Defensive rebound by A. Gordon,,21,14
65,1,2:31.0,Orlando full timeout,,21,14
66,1,2:31.0,E. Fournier enters the game for A. Gordon,,21,14
67,1,2:31.0,C. Frye enters the game for V. Oladipo,,21,14
68,1,2:31.0,,R. Vaughn enters the game for J. Parker,21,14
69,1,2:31.0,,G. Antetokounmpo enters the game for M. Carter-Williams,21,14
70,1,2:31.0,Inbound foul by J. Henson,,21,14
71,1,2:31.0,N. Vučević makes free throw 1 of 2,,22,14
72,1,2:31.0,N. Vučević makes free throw 2 of 2,,23,14
73,1,2:17.0,,J. Henson misses 2-pt layup at rim,23,14
74,1,2:15.0,Defensive rebound by N. Vučević,,23,14
75,1,1:55.0,Offensive foul by C. Frye (drawn by J. Henson),,23,14
76,1,1:55.0,Turnover by C. Frye (offensive foul),,23,14
77,1,1:55.0,J. Smith enters the game for N. Vučević,,23,14
78,1,1:55.0,M. Hezonja enters the game for T. Harris,,23,14
79,1,1:48.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Bayless),23,16
80,1,1:48.0,,Shooting foul by C. Frye (drawn by G. Antetokounmpo),23,16
81,1,1:48.0,,G. Antetokounmpo makes free throw 1 of 1,23,17
82,1,1:33.0,J. Smith makes 2-pt jump shot from 19 ft (assist by S. Napier),,25,17
83,1,1:17.0,,Turnover by G. Antetokounmpo (lost ball; steal by S. Napier),25,17
84,1,1:06.0,C. Frye misses 2-pt layup from 2 ft (block by J. Henson),,25,17
85,1,1:04.0,,Defensive rebound by J. Henson,25,17
86,1,0:53.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by J. Henson),25,20
87,1,0:39.0,S. Napier makes 3-pt jump shot from 26 ft,,28,20
88,1,0:28.0,,J. Bayless makes 3-pt jump shot from 27 ft (assist by K. Middleton),28,23
89,1,0:05.0,E. Fournier makes 2-pt layup from 1 ft,,30,23
90,1,0:00.0,,J. Bayless misses 2-pt jump shot from 4 ft,30,23
91,1,0:00.0,,Offensive rebound by Team,30,23
92,2,11:47.0,S. Napier misses 2-pt jump shot from 14 ft,,30,23
93,2,11:46.0,,Defensive rebound by M. Carter-Williams,30,23
94,2,11:30.0,,M. Carter-Williams misses 2-pt jump shot from 10 ft,30,23
95,2,11:28.0,,Offensive rebound by G. Antetokounmpo,30,23
96,2,11:28.0,,G. Antetokounmpo makes 2-pt layup at rim,30,25
97,2,11:15.0,E. Fournier misses 3-pt jump shot from 26 ft,,30,25
98,2,11:14.0,,Defensive rebound by J. Bayless,30,25
99,2,11:01.0,,Def 3 sec tech foul by M. Hezonja,30,25
100,2,11:01.0,,J. Bayless misses technical free throw,30,25
101,2,11:01.0,,Offensive rebound by Team,30,25
102,2,10:55.0,,R. Vaughn misses 3-pt jump shot from 23 ft,30,25
103,2,10:53.0,,Offensive rebound by G. Antetokounmpo,30,25
104,2,10:53.0,,G. Antetokounmpo makes 2-pt dunk at rim,30,27
105,2,10:30.0,Turnover by S. Napier (lost ball),,30,27
106,2,10:12.0,,J. Bayless misses 2-pt jump shot from 7 ft,30,27
107,2,10:12.0,Defensive rebound by Team,,30,27
108,2,9:55.0,J. Smith makes 2-pt jump shot from 19 ft (assist by E. Fournier),,32,27
109,2,9:35.0,,G. Monroe misses 2-pt hook shot from 4 ft,32,27
110,2,9:34.0,Defensive rebound by C. Frye,,32,27
111,2,9:22.0,C. Frye makes 3-pt jump shot from 24 ft (assist by E. Fournier),,35,27
112,2,9:03.0,,J. Bayless misses 3-pt jump shot from 24 ft,35,27
113,2,9:02.0,Defensive rebound by C. Frye,,35,27
114,2,8:49.0,C. Frye misses 2-pt jump shot from 16 ft,,35,27
115,2,8:47.0,,Defensive rebound by G. Monroe,35,27
116,2,8:30.0,,R. Vaughn misses 3-pt jump shot from 23 ft,35,27
117,2,8:23.0,Defensive rebound by J. Smith,,35,27
118,2,8:21.0,M. Hezonja makes 2-pt jump shot from 19 ft (assist by J. Smith),,37,27
119,2,8:21.0,,Milwaukee full timeout,37,27
120,2,8:21.0,,J. Parker enters the game for R. Vaughn,37,27
121,2,8:01.0,,Shooting foul by S. Napier (drawn by J. Bayless),37,27
122,2,8:01.0,,J. Bayless makes free throw 1 of 2,37,28
123,2,8:01.0,,J. Bayless misses free throw 2 of 2,37,28
124,2,7:59.0,Defensive rebound by J. Smith,,37,28
125,2,7:49.0,M. Hezonja misses 2-pt jump shot from 19 ft,,37,28
126,2,7:45.0,,Defensive rebound by G. Monroe,37,28
127,2,7:41.0,,Shooting foul by C. Frye (drawn by G. Monroe),37,28
128,2,7:41.0,,G. Monroe makes free throw 1 of 2,37,29
129,2,7:41.0,E. Payton enters the game for S. Napier,,37,29
130,2,7:41.0,A. Gordon enters the game for C. Frye,,37,29
131,2,7:41.0,N. Vučević enters the game for J. Smith,,37,29
132,2,7:41.0,V. Oladipo enters the game for M. Hezonja,,37,29
133,2,7:41.0,,G. Monroe makes free throw 2 of 2,37,30
134,2,7:21.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by N. Vučević),,40,30
135,2,7:05.0,,Turnover by G. Antetokounmpo (traveling),40,30
136,2,6:47.0,N. Vučević misses 2-pt jump shot from 16 ft,,40,30
137,2,6:45.0,,Defensive rebound by J. Parker,40,30
138,2,6:39.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),40,32
139,2,6:23.0,Personal foul by J. Bayless (drawn by V. Oladipo),,40,32
140,2,6:23.0,V. Oladipo makes free throw 1 of 3,,41,32
141,2,6:23.0,V. Oladipo makes free throw 2 of 3,,42,32
142,2,6:23.0,,K. Middleton enters the game for J. Bayless,42,32
143,2,6:23.0,V. Oladipo misses free throw 3 of 3,,42,32
144,2,6:21.0,Offensive rebound by N. Vučević,,42,32
145,2,6:00.0,E. Fournier makes 3-pt jump shot from 25 ft,,45,32
146,2,5:43.0,,Turnover by G. Monroe (bad pass; steal by V. Oladipo),45,32
147,2,5:35.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by A. Gordon),,48,32
148,2,5:35.0,,Milwaukee full timeout,48,32
149,2,5:35.0,Official timeout,,48,32
150,2,5:35.0,,J. Henson enters the game for G. Monroe,48,32
151,2,5:22.0,,J. Parker makes 2-pt layup at rim (assist by G. Antetokounmpo),48,34
152,2,5:03.0,E. Fournier misses 3-pt jump shot from 25 ft,,48,34
