,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHOENIX_ACTION,LA LAKERS_SCORE,PHOENIX_SCORE
0,1,11:42.0,,E. Bledsoe misses 2-pt jump shot from 15 ft (block by D. Russell),0,0
1,1,11:40.0,,Offensive rebound by E. Bledsoe,0,0
2,1,11:36.0,,B. Knight misses 3-pt jump shot from 24 ft,0,0
3,1,11:34.0,Defensive rebound by M. World Peace,,0,0
4,1,11:12.0,J. Randle misses 2-pt jump shot from 11 ft,,0,0
5,1,11:10.0,,Defensive rebound by P. Tucker,0,0
6,1,10:57.0,,B. Knight misses 2-pt layup from 1 ft,0,0
7,1,10:54.0,Defensive rebound by M. World Peace,,0,0
8,1,10:47.0,R. Hibbert makes 2-pt hook shot from 4 ft (assist by D. Russell),,2,0
9,1,10:33.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),2,3
10,1,10:10.0,M. World Peace makes 2-pt jump shot from 19 ft,,4,3
11,1,10:01.0,,Turnover by B. Knight (bad pass),4,3
12,1,9:51.0,M. World Peace makes 3-pt jump shot from 25 ft,,7,3
13,1,9:35.0,,Turnover by E. Bledsoe (bad pass; steal by D. Russell),7,3
14,1,9:24.0,Turnover by J. Randle (bad pass; steal by T. Chandler),,7,3
15,1,9:22.0,,E. Bledsoe makes 2-pt layup from 1 ft,7,5
16,1,9:07.0,R. Hibbert makes 2-pt jump shot from 18 ft,,9,5
17,1,8:52.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,9,5
18,1,8:51.0,,Offensive rebound by T. Chandler,9,5
19,1,8:42.0,,B. Knight makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),9,8
20,1,8:29.0,Personal foul by B. Knight (drawn by D. Russell),,9,8
21,1,8:22.0,J. Clarkson misses 2-pt jump shot from 17 ft,,9,8
22,1,8:20.0,,Defensive rebound by J. Leuer,9,8
23,1,8:14.0,,Personal foul by J. Randle (drawn by E. Bledsoe),9,8
24,1,8:12.0,,Shooting foul by J. Clarkson (drawn by E. Bledsoe),9,8
25,1,8:12.0,,E. Bledsoe makes free throw 1 of 2,9,9
26,1,8:12.0,,E. Bledsoe misses free throw 2 of 2,9,9
27,1,8:11.0,Defensive rebound by R. Hibbert,,9,9
28,1,8:02.0,Shooting foul by E. Bledsoe (drawn by D. Russell),,9,9
29,1,8:02.0,D. Russell makes free throw 1 of 2,,10,9
30,1,8:02.0,D. Russell makes free throw 2 of 2,,11,9
31,1,7:52.0,,J. Leuer misses 2-pt jump shot from 7 ft,11,9
32,1,7:52.0,,Offensive rebound by Team,11,9
33,1,7:52.0,Loose ball foul by J. Randle (drawn by T. Chandler),,11,9
34,1,7:40.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,11,9
35,1,7:39.0,Defensive rebound by Team,,11,9
36,1,7:28.0,M. World Peace makes 2-pt jump shot from 3 ft,,13,9
37,1,7:17.0,,B. Knight makes 2-pt jump shot from 8 ft,13,11
38,1,7:05.0,D. Russell misses 2-pt jump shot from 15 ft,,13,11
39,1,7:02.0,,Defensive rebound by B. Knight,13,11
40,1,6:57.0,,B. Knight misses 2-pt layup from 2 ft,13,11
41,1,6:53.0,Defensive rebound by J. Randle,,13,11
