,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
0,1,11:46.0,,G. Hayward misses 3-pt jump shot from 24 ft,0,0
1,1,11:45.0,Defensive rebound by J. Clarkson,,0,0
2,1,11:25.0,K. Bryant misses 2-pt jump shot from 17 ft,,0,0
3,1,11:25.0,,Defensive rebound by R. Gobert,0,0
4,1,11:10.0,,Turnover by D. Favors (bad pass; steal by J. Clarkson),0,0
5,1,11:07.0,J. Clarkson makes 2-pt layup from 2 ft,,2,0
6,1,10:49.0,,Turnover by G. Hayward (bad pass; steal by K. Bryant),2,0
7,1,10:42.0,K. Bryant misses 2-pt jump shot from 23 ft,,2,0
8,1,10:42.0,,Defensive rebound by R. Gobert,2,0
9,1,10:27.0,,R. Gobert misses 2-pt layup at rim,2,0
10,1,10:27.0,,Offensive rebound by R. Gobert,2,0
11,1,10:17.0,,R. Gobert misses 2-pt layup from 1 ft (block by R. Hibbert),2,0
12,1,10:16.0,,Offensive rebound by R. Gobert,2,0
13,1,10:10.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by R. Gobert),2,3
14,1,9:52.0,R. Hibbert misses 2-pt hook shot from 3 ft,,2,3
15,1,9:52.0,,Defensive rebound by D. Favors,2,3
16,1,9:41.0,,S. Mack makes 3-pt jump shot from 23 ft (assist by G. Hayward),2,6
17,1,9:32.0,D. Russell misses 2-pt jump shot from 17 ft,,2,6
18,1,9:32.0,,Defensive rebound by R. Gobert,2,6
19,1,9:18.0,,G. Hayward misses 2-pt jump shot from 19 ft,2,6
20,1,9:18.0,Defensive rebound by J. Clarkson,,2,6
21,1,9:14.0,Personal foul by G. Hayward,,2,6
22,1,9:09.0,K. Bryant misses 2-pt jump shot from 14 ft (block by R. Gobert),,2,6
23,1,9:07.0,,Defensive rebound by R. Gobert,2,6
24,1,9:00.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by R. Gobert),2,9
25,1,8:38.0,J. Randle misses 2-pt jump shot from 21 ft,,2,9
26,1,8:37.0,,Defensive rebound by R. Gobert,2,9
27,1,8:25.0,,D. Favors makes 2-pt hook shot from 3 ft,2,11
28,1,8:17.0,LA Lakers full timeout,,2,11
29,1,8:01.0,D. Russell misses 2-pt jump shot from 11 ft,,2,11
30,1,8:00.0,,Defensive rebound by D. Favors,2,11
31,1,7:43.0,,R. Hood makes 2-pt jump shot from 19 ft,2,13
32,1,7:25.0,Turnover by J. Randle (bad pass; steal by G. Hayward),,2,13
33,1,6:59.0,,D. Favors makes 2-pt layup from 2 ft (assist by S. Mack),2,15
34,1,6:43.0,D. Russell misses 2-pt jump shot from 5 ft,,2,15
35,1,6:43.0,Offensive rebound by R. Hibbert,,2,15
36,1,6:40.0,R. Hibbert misses 2-pt layup from 1 ft (block by R. Hood),,2,15
37,1,6:38.0,,Defensive rebound by D. Favors,2,15
38,1,6:27.0,,S. Mack makes 2-pt layup from 2 ft,2,17
39,1,6:14.0,K. Bryant makes 2-pt jump shot from 12 ft,,4,17
40,1,6:05.0,,Personal foul by J. Clarkson,4,17
41,1,6:05.0,L. Williams enters the game for D. Russell,,4,17
42,1,6:05.0,,T. Booker enters the game for D. Favors,4,17
43,1,5:53.0,,R. Gobert misses 2-pt jump shot from 3 ft (block by R. Hibbert),4,17
44,1,5:53.0,Defensive rebound by Team,,4,17
45,1,5:43.0,J. Clarkson makes 2-pt jump shot from 12 ft (assist by K. Bryant),,6,17
46,1,5:28.0,,S. Mack makes 2-pt jump shot from 16 ft,6,19
47,1,5:11.0,R. Hibbert makes 2-pt hook shot from 4 ft,,8,19
48,1,5:11.0,Shooting foul by R. Gobert (drawn by R. Hibbert),,8,19
49,1,5:11.0,R. Hibbert makes free throw 1 of 1,,9,19
50,1,4:54.0,,R. Gobert misses 2-pt layup from 2 ft (block by R. Hibbert),9,19
51,1,4:53.0,Defensive rebound by J. Clarkson,,9,19
52,1,4:47.0,J. Clarkson misses 2-pt layup from 2 ft (block by G. Hayward),,9,19
53,1,4:46.0,,Defensive rebound by R. Hood,9,19
54,1,4:41.0,,R. Gobert misses 2-pt layup from 2 ft (block by R. Hibbert),9,19
55,1,4:40.0,,Offensive rebound by T. Booker,9,19
56,1,4:38.0,,T. Booker makes 2-pt hook shot from 1 ft,9,21
57,1,4:38.0,,Shooting foul by J. Randle (drawn by T. Booker),9,21
58,1,4:38.0,,J. Ingles enters the game for G. Hayward,9,21
59,1,4:38.0,,T. Booker misses free throw 1 of 1,9,21
60,1,4:37.0,Defensive rebound by R. Hibbert,,9,21
61,1,4:23.0,K. Bryant misses 2-pt jump shot from 14 ft,,9,21
62,1,4:23.0,,Defensive rebound by R. Gobert,9,21
63,1,4:07.0,,R. Hood makes 3-pt jump shot from 24 ft,9,24
64,1,3:51.0,L. Williams makes 3-pt jump shot from 24 ft (assist by J. Clarkson),,12,24
65,1,3:44.0,,Personal foul by J. Randle,12,24
66,1,3:44.0,,R. Gobert makes free throw 1 of 2,12,25
67,1,3:44.0,M. World Peace enters the game for J. Randle,,12,25
68,1,3:44.0,B. Bass enters the game for K. Bryant,,12,25
69,1,3:44.0,R. Kelly enters the game for R. Hibbert,,12,25
70,1,3:44.0,,R. Gobert misses free throw 2 of 2,12,25
71,1,3:43.0,Defensive rebound by R. Kelly,,12,25
72,1,3:23.0,J. Clarkson makes 2-pt hook shot from 7 ft,,14,25
73,1,3:04.0,,S. Mack makes 2-pt jump shot from 10 ft,14,27
74,1,2:53.0,L. Williams misses 3-pt jump shot from 22 ft,,14,27
75,1,2:53.0,,Defensive rebound by J. Ingles,14,27
76,1,2:30.0,,S. Mack misses 3-pt jump shot from 24 ft,14,27
77,1,2:30.0,Defensive rebound by J. Clarkson,,14,27
78,1,2:23.0,J. Clarkson misses 2-pt jump shot from 16 ft,,14,27
79,1,2:22.0,,Defensive rebound by R. Hood,14,27
80,1,2:18.0,,Utah full timeout,14,27
81,1,2:18.0,M. Huertas enters the game for J. Clarkson,,14,27
82,1,2:18.0,,D. Favors enters the game for R. Gobert,14,27
83,1,2:01.0,,R. Hood makes 3-pt jump shot from 24 ft,14,30
84,1,1:44.0,R. Kelly misses 2-pt jump shot from 15 ft (block by T. Booker),,14,30
85,1,1:44.0,Offensive rebound by Team,,14,30
86,1,1:44.0,,C. Johnson enters the game for R. Hood,14,30
87,1,1:39.0,B. Bass misses 2-pt jump shot from 15 ft,,14,30
88,1,1:38.0,,Defensive rebound by T. Booker,14,30
89,1,1:16.0,,D. Favors misses 2-pt jump shot from 4 ft,14,30
90,1,1:16.0,Defensive rebound by M. World Peace,,14,30
91,1,0:56.0,M. World Peace misses 3-pt jump shot from 24 ft,,14,30
92,1,0:55.0,,Defensive rebound by S. Mack,14,30
93,1,0:45.0,,Personal foul by M. World Peace,14,30
94,1,0:45.0,,D. Favors makes free throw 1 of 2,14,31
95,1,0:45.0,,R. Neto enters the game for S. Mack,14,31
96,1,0:45.0,,D. Favors makes free throw 2 of 2,14,32
97,1,0:23.0,B. Bass makes 2-pt layup from 2 ft (assist by L. Williams),,16,32
98,1,0:03.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Neto),16,34
99,1,0:00.0,M. Huertas misses 3-pt jump shot from 50 ft,,16,34
100,1,0:00.0,Offensive rebound by Team,,16,34
101,2,11:49.0,L. Williams makes 2-pt jump shot from 19 ft,,18,34
102,2,11:49.0,Shooting foul by T. Booker (drawn by L. Williams),,18,34
103,2,11:49.0,L. Williams makes free throw 1 of 1,,19,34
104,2,11:31.0,,R. Neto misses 2-pt jump shot from 3 ft (block by R. Kelly),19,34
105,2,11:30.0,Defensive rebound by R. Kelly,,19,34
106,2,11:27.0,M. Huertas misses 2-pt layup from 1 ft,,19,34
107,2,11:27.0,Offensive rebound by Team,,19,34
108,2,11:27.0,,Loose ball foul by T. Booker,19,34
109,2,11:25.0,,T. Lyles enters the game for T. Booker,19,34
110,2,11:22.0,Offensive foul by M. World Peace (drawn by G. Hayward),,19,34
111,2,11:22.0,Turnover by M. World Peace (offensive foul),,19,34
112,2,11:05.0,,T. Lyles misses 3-pt jump shot from 23 ft,19,34
113,2,11:04.0,Defensive rebound by B. Bass,,19,34
114,2,10:52.0,M. World Peace makes 3-pt jump shot from 24 ft (assist by R. Kelly),,22,34
115,2,10:40.0,,Shooting foul by R. Kelly (drawn by G. Hayward),22,34
116,2,10:40.0,,G. Hayward misses free throw 1 of 2,22,34
117,2,10:40.0,,Offensive rebound by Team,22,34
118,2,10:40.0,,G. Hayward makes free throw 2 of 2,22,35
