,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
0,1,11:38.0,J. Harden makes 2-pt jump shot from 14 ft,,2,0
1,1,11:19.0,,N. Vučević makes 2-pt jump shot from 13 ft,2,2
2,1,11:04.0,Shooting foul by T. Harris (drawn by D. Howard),,2,2
3,1,11:04.0,D. Howard misses free throw 1 of 2,,2,2
4,1,11:04.0,Offensive rebound by Team,,2,2
5,1,11:04.0,D. Howard misses free throw 2 of 2,,2,2
6,1,11:02.0,,Defensive rebound by N. Vučević,2,2
7,1,10:42.0,,N. Vučević makes 2-pt hook shot from 4 ft,2,4
8,1,10:31.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,4,4
9,1,10:15.0,,C. Frye makes 3-pt jump shot from 22 ft (assist by E. Payton),4,7
10,1,9:54.0,T. Ariza misses 3-pt jump shot from 23 ft,,4,7
11,1,9:52.0,,Defensive rebound by E. Fournier,4,7
12,1,9:42.0,,E. Payton misses 2-pt layup from 1 ft,4,7
13,1,9:40.0,Defensive rebound by J. Harden,,4,7
14,1,9:27.0,Personal foul by E. Payton (drawn by J. Harden),,4,7
15,1,9:20.0,T. Ariza makes 2-pt jump shot from 17 ft (assist by P. Beverley),,6,7
16,1,9:02.0,Violation by D. Howard (def goaltending),,6,7
17,1,9:02.0,,C. Frye makes 2-pt jump shot from 7 ft (assist by E. Payton),6,9
18,1,8:42.0,D. Howard misses 2-pt layup from 1 ft,,6,9
19,1,8:42.0,Offensive rebound by Team,,6,9
20,1,8:31.0,P. Beverley makes 2-pt jump shot from 12 ft,,8,9
21,1,8:24.0,,Personal foul by C. Capela (drawn by C. Frye),8,9
22,1,8:15.0,,E. Payton makes 2-pt layup from 1 ft,8,11
23,1,8:06.0,Turnover by P. Beverley (bad pass; steal by E. Payton),,8,11
24,1,8:02.0,,E. Payton misses 2-pt layup from 1 ft (block by C. Capela),8,11
25,1,7:59.0,,Offensive rebound by C. Frye,8,11
26,1,7:53.0,,E. Fournier misses 2-pt jump shot from 16 ft,8,11
27,1,7:51.0,Defensive rebound by T. Ariza,,8,11
28,1,7:48.0,Shooting foul by C. Frye (drawn by C. Capela),,8,11
29,1,7:48.0,C. Capela misses free throw 1 of 2,,8,11
30,1,7:48.0,Offensive rebound by Team,,8,11
31,1,7:48.0,C. Capela misses free throw 2 of 2,,8,11
32,1,7:46.0,,Defensive rebound by T. Harris,8,11
33,1,7:26.0,,Shooting foul by D. Howard (drawn by T. Harris),8,11
34,1,7:26.0,,E. Payton makes free throw 1 of 2,8,12
35,1,7:26.0,T. Jones enters the game for C. Capela,,8,12
36,1,7:26.0,,E. Payton makes free throw 2 of 2,8,13
37,1,7:12.0,P. Beverley misses 2-pt layup from 2 ft,,8,13
38,1,7:10.0,,Defensive rebound by E. Payton,8,13
39,1,6:57.0,,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),8,15
40,1,6:57.0,,Shooting block foul by P. Beverley (drawn by E. Fournier),8,15
41,1,6:57.0,,E. Fournier makes free throw 1 of 1,8,16
42,1,6:47.0,Shooting foul by E. Fournier (drawn by J. Harden),,8,16
43,1,6:47.0,J. Harden makes free throw 1 of 2,,9,16
44,1,6:47.0,J. Harden makes free throw 2 of 2,,10,16
45,1,6:35.0,,T. Harris misses 2-pt jump shot from 11 ft,10,16
46,1,6:33.0,,Offensive rebound by N. Vučević,10,16
47,1,6:33.0,,N. Vučević makes 2-pt layup from 1 ft,10,18
48,1,6:18.0,Offensive foul by D. Howard (drawn by C. Frye),,10,18
49,1,6:18.0,Turnover by D. Howard (offensive foul),,10,18
50,1,6:18.0,C. Capela enters the game for D. Howard,,10,18
51,1,5:58.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Payton),10,20
52,1,5:49.0,Houston full timeout,,10,20
53,1,5:42.0,T. Jones makes 3-pt jump shot from 24 ft (assist by P. Beverley),,13,20
54,1,5:21.0,,E. Fournier misses 3-pt jump shot from 24 ft,13,20
55,1,5:20.0,Defensive rebound by T. Ariza,,13,20
56,1,5:13.0,T. Jones makes 2-pt layup from 2 ft (assist by J. Harden),,15,20
