,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:35.0,K. Love misses 2-pt jump shot from 13 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Wall,0,0
2,1,11:13.0,,G. Temple misses 3-pt jump shot from 25 ft,0,0
3,1,11:12.0,,Offensive rebound by J. Dudley,0,0
4,1,11:09.0,,O. Porter misses 3-pt jump shot from 25 ft,0,0
5,1,11:08.0,Defensive rebound by T. Thompson,,0,0
6,1,10:55.0,J. Smith misses 2-pt jump shot from 3 ft,,0,0
7,1,10:54.0,Offensive rebound by K. Love,,0,0
8,1,10:52.0,K. Love makes 2-pt hook shot from 5 ft,,2,0
9,1,10:40.0,,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),2,2
10,1,10:20.0,K. Love misses 2-pt jump shot from 4 ft,,2,2
11,1,10:19.0,,Defensive rebound by J. Dudley,2,2
12,1,10:13.0,,Shooting foul by K. Irving (drawn by J. Wall),2,2
13,1,10:13.0,,J. Wall misses free throw 1 of 2,2,2
14,1,10:13.0,,Offensive rebound by Team,2,2
15,1,10:13.0,,J. Wall makes free throw 2 of 2,2,3
16,1,9:49.0,K. Love makes 2-pt jump shot from 7 ft,,4,3
17,1,9:41.0,,G. Temple misses 2-pt jump shot from 18 ft,4,3
18,1,9:40.0,Defensive rebound by K. Love,,4,3
19,1,9:34.0,K. Irving makes 3-pt jump shot from 27 ft,,7,3
20,1,9:24.0,,J. Wall makes 2-pt jump shot from 18 ft,7,5
21,1,9:08.0,K. Irving makes 2-pt layup at rim,,9,5
22,1,8:59.0,,Shooting foul by R. Jefferson (drawn by M. Gortat),9,5
23,1,8:59.0,,M. Gortat misses free throw 1 of 2,9,5
24,1,8:59.0,,Offensive rebound by Team,9,5
25,1,8:59.0,,M. Gortat makes free throw 2 of 2,9,6
26,1,8:44.0,Shooting block foul by J. Dudley (drawn by K. Love),,9,6
27,1,8:44.0,K. Love makes free throw 1 of 2,,10,6
28,1,8:44.0,K. Love makes free throw 2 of 2,,11,6
29,1,8:20.0,,M. Gortat misses 2-pt jump shot from 10 ft,11,6
30,1,8:19.0,Defensive rebound by K. Irving,,11,6
31,1,8:08.0,T. Thompson makes 2-pt jump shot from 15 ft (assist by K. Irving),,13,6
32,1,8:03.0,,Turnover by J. Wall (bad pass),13,6
33,1,7:49.0,J. Smith misses 2-pt jump shot from 17 ft,,13,6
34,1,7:48.0,,Defensive rebound by O. Porter,13,6
35,1,7:41.0,,J. Wall makes 2-pt layup at rim,13,8
36,1,7:33.0,Shooting foul by G. Temple (drawn by K. Irving),,13,8
37,1,7:33.0,K. Irving makes free throw 1 of 2,,14,8
38,1,7:33.0,K. Irving makes free throw 2 of 2,,15,8
39,1,7:21.0,,O. Porter makes 2-pt layup at rim (assist by J. Wall),15,10
40,1,7:06.0,K. Irving misses 2-pt jump shot from 5 ft,,15,10
41,1,7:05.0,,Defensive rebound by J. Wall,15,10
42,1,7:01.0,,Personal foul by J. Smith (drawn by J. Wall),15,10
43,1,7:01.0,,B. Beal enters the game for G. Temple,15,10
44,1,7:01.0,I. Shumpert enters the game for R. Jefferson,,15,10
45,1,6:55.0,,O. Porter makes 2-pt jump shot from 17 ft,15,12
46,1,6:36.0,Turnover by K. Love (lost ball),,15,12
47,1,6:22.0,,J. Wall misses 3-pt jump shot from 24 ft,15,12
48,1,6:21.0,Defensive rebound by K. Love,,15,12
49,1,6:06.0,T. Thompson misses 2-pt jump shot from 3 ft,,15,12
50,1,6:04.0,Offensive rebound by K. Love,,15,12
51,1,6:03.0,K. Love misses 2-pt layup at rim (block by O. Porter),,15,12
52,1,6:02.0,,Defensive rebound by J. Wall,15,12
53,1,5:56.0,,B. Beal misses 3-pt jump shot from 26 ft,15,12
54,1,5:55.0,Defensive rebound by J. Smith,,15,12
55,1,5:49.0,I. Shumpert makes 3-pt jump shot from 28 ft (assist by J. Smith),,18,12
56,1,5:22.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),18,15
57,1,4:58.0,T. Thompson misses 2-pt jump shot from 11 ft,,18,15
58,1,4:57.0,,Defensive rebound by M. Gortat,18,15
59,1,4:52.0,,Shooting foul by J. Smith (drawn by O. Porter),18,15
60,1,4:52.0,,Washington full timeout,18,15
61,1,4:52.0,,M. Morris enters the game for J. Dudley,18,15
62,1,4:52.0,M. Dellavedova enters the game for J. Smith,,18,15
63,1,4:52.0,,O. Porter makes free throw 1 of 2,18,16
64,1,4:52.0,,O. Porter makes free throw 2 of 2,18,17
65,1,4:40.0,Personal foul by M. Morris (drawn by K. Love),,18,17
66,1,4:30.0,K. Love misses 2-pt jump shot from 15 ft,,18,17
67,1,4:29.0,,Defensive rebound by B. Beal,18,17
68,1,4:11.0,,M. Gortat makes 2-pt jump shot from 12 ft,18,19
69,1,3:58.0,T. Thompson misses 2-pt layup at rim,,18,19
70,1,3:57.0,,Defensive rebound by O. Porter,18,19
71,1,3:53.0,,J. Wall makes 2-pt layup from 1 ft (assist by O. Porter),18,21
72,1,3:48.0,Turnover by K. Love (bad pass; steal by M. Morris),,18,21
73,1,3:43.0,,J. Wall misses 3-pt jump shot from 26 ft,18,21
74,1,3:42.0,Defensive rebound by K. Love,,18,21
75,1,3:31.0,I. Shumpert misses 3-pt jump shot from 23 ft,,18,21
76,1,3:30.0,,Defensive rebound by M. Gortat,18,21
77,1,3:25.0,,B. Beal misses 2-pt layup at rim,18,21
78,1,3:23.0,Defensive rebound by T. Thompson,,18,21
79,1,3:19.0,Personal foul by J. Wall (drawn by M. Dellavedova),,18,21
80,1,3:19.0,C. Frye enters the game for K. Love,,18,21
81,1,3:14.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,18,21
82,1,3:13.0,,Defensive rebound by M. Morris,18,21
83,1,3:04.0,,M. Morris makes 2-pt layup from 1 ft (assist by J. Wall),18,23
84,1,3:04.0,,Shooting foul by T. Thompson (drawn by M. Morris),18,23
85,1,3:04.0,,M. Morris makes free throw 1 of 1,18,24
86,1,2:49.0,K. Irving makes 3-pt jump shot from 25 ft (assist by T. Thompson),,21,24
87,1,2:32.0,,Turnover by M. Morris (bad pass),21,24
88,1,2:32.0,Cleveland full timeout,,21,24
89,1,2:32.0,,A. Anderson enters the game for O. Porter,21,24
90,1,2:19.0,Turnover by K. Irving (lost ball),,21,24
91,1,2:09.0,,M. Morris makes 2-pt dunk at rim (assist by J. Wall),21,26
92,1,1:53.0,I. Shumpert makes 2-pt jump shot from 13 ft,,23,26
93,1,1:35.0,,M. Gortat makes 2-pt layup at rim (assist by A. Anderson),23,28
94,1,1:21.0,K. Irving misses 2-pt jump shot from 6 ft,,23,28
95,1,1:20.0,,Defensive rebound by M. Gortat,23,28
96,1,1:05.0,,Shooting foul by I. Shumpert (drawn by A. Anderson),23,28
97,1,1:05.0,,A. Anderson makes free throw 1 of 3,23,29
98,1,1:05.0,,A. Anderson makes free throw 2 of 3,23,30
99,1,1:05.0,R. Jefferson enters the game for K. Irving,,23,30
100,1,1:05.0,,N. Hilário enters the game for M. Gortat,23,30
101,1,1:05.0,,R. Sessions enters the game for J. Wall,23,30
102,1,1:05.0,,A. Anderson misses free throw 3 of 3,23,30
103,1,1:04.0,Defensive rebound by I. Shumpert,,23,30
104,1,0:50.0,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by T. Thompson),,26,30
105,1,0:40.0,,Personal foul by C. Frye (drawn by B. Beal),26,30
106,1,0:40.0,,B. Beal makes free throw 1 of 2,26,31
107,1,0:40.0,,B. Beal makes free throw 2 of 2,26,32
108,1,0:33.0,Personal foul by A. Anderson (drawn by I. Shumpert),,26,32
109,1,0:33.0,I. Shumpert makes free throw 1 of 2,,27,32
110,1,0:33.0,T. Mozgov enters the game for T. Thompson,,27,32
