,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
0,1,11:38.0,,G. Harris misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,,Offensive rebound by G. Harris,0,0
2,1,11:24.0,,D. Gallinari misses 2-pt jump shot from 16 ft,0,0
3,1,11:23.0,Defensive rebound by N. Batum,,0,0
4,1,11:10.0,C. Zeller makes 2-pt layup at rim (assist by N. Batum),,2,0
5,1,11:00.0,,D. Arthur makes 2-pt dunk at rim (assist by N. Jokić),2,2
6,1,10:48.0,C. Zeller misses 2-pt jump shot from 7 ft,,2,2
7,1,10:47.0,,Defensive rebound by N. Jokić,2,2
8,1,10:42.0,,Shooting foul by K. Walker (drawn by G. Harris),2,2
9,1,10:42.0,,G. Harris misses free throw 1 of 2,2,2
10,1,10:42.0,,Offensive rebound by Team,2,2
11,1,10:42.0,,G. Harris makes free throw 2 of 2,2,3
12,1,10:23.0,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),,4,3
13,1,10:06.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by N. Jokić),4,5
14,1,10:06.0,,Shooting foul by M. Williams (drawn by D. Gallinari),4,5
15,1,10:06.0,,Violation by Team (double lane),4,5
16,1,9:50.0,P. Hairston makes 3-pt jump shot from 26 ft (assist by K. Walker),,7,5
17,1,9:37.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by G. Harris),7,8
18,1,9:15.0,C. Zeller makes 2-pt jump shot from 4 ft (assist by N. Batum),,9,8
19,1,9:11.0,,Personal foul by P. Hairston (drawn by D. Gallinari),9,8
20,1,9:01.0,,E. Mudiay makes 2-pt jump shot from 21 ft (assist by N. Jokić),9,10
21,1,8:39.0,P. Hairston misses 3-pt jump shot from 22 ft,,9,10
22,1,8:37.0,,Defensive rebound by D. Gallinari,9,10
23,1,8:31.0,,Shooting block foul by M. Williams (drawn by D. Gallinari),9,10
24,1,8:31.0,,D. Gallinari makes free throw 1 of 2,9,11
25,1,8:31.0,,D. Gallinari makes free throw 2 of 2,9,12
26,1,8:19.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,12,12
27,1,8:00.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by N. Jokić),12,15
28,1,7:46.0,N. Batum makes 2-pt layup from 2 ft (assist by P. Hairston),,14,15
29,1,7:36.0,,D. Gallinari misses 2-pt layup from 1 ft,14,15
30,1,7:35.0,Defensive rebound by C. Zeller,,14,15
31,1,7:17.0,P. Hairston makes 2-pt dunk at rim (assist by M. Williams),,16,15
32,1,7:16.0,,Denver full timeout,16,15
33,1,7:03.0,,D. Arthur makes 2-pt jump shot from 17 ft (assist by N. Jokić),16,17
