,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,,S. Ibaka misses 2-pt dunk at rim,0,0
1,1,11:38.0,Defensive rebound by G. Monroe,,0,0
2,1,11:24.0,J. Parker misses 2-pt layup at rim (block by S. Adams),,0,0
3,1,11:23.0,Offensive rebound by J. Parker,,0,0
4,1,11:20.0,J. Parker misses 2-pt jump shot from 3 ft,,0,0
5,1,11:20.0,,Defensive rebound by S. Ibaka,0,0
6,1,11:13.0,,R. Westbrook makes 2-pt jump shot from 9 ft,0,2
7,1,11:03.0,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Carter-Williams),,2,2
8,1,10:45.0,,S. Ibaka misses 2-pt jump shot from 16 ft,2,2
9,1,10:44.0,Defensive rebound by G. Monroe,,2,2
10,1,10:29.0,J. Parker makes 2-pt jump shot from 15 ft (assist by K. Middleton),,4,2
11,1,10:11.0,,K. Durant misses 2-pt jump shot from 17 ft,4,2
12,1,10:10.0,Defensive rebound by G. Monroe,,4,2
13,1,10:04.0,G. Antetokounmpo makes 2-pt dunk at rim,,6,2
14,1,9:49.0,,Turnover by K. Durant (lost ball; steal by G. Monroe),6,2
15,1,9:46.0,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Carter-Williams),,8,2
16,1,9:35.0,,R. Westbrook misses 2-pt layup from 1 ft,8,2
17,1,9:34.0,Defensive rebound by G. Monroe,,8,2
18,1,9:28.0,K. Middleton misses 3-pt jump shot from 24 ft,,8,2
19,1,9:27.0,,Defensive rebound by K. Durant,8,2
20,1,9:22.0,,R. Westbrook makes 2-pt jump shot from 11 ft (assist by K. Durant),8,4
21,1,9:07.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,8,4
22,1,9:06.0,,Defensive rebound by R. Westbrook,8,4
23,1,9:01.0,,Turnover by R. Westbrook (lost ball),8,4
24,1,8:45.0,Turnover by K. Middleton (bad pass; steal by R. Westbrook),,8,4
25,1,8:40.0,,K. Durant makes 2-pt layup from 1 ft (assist by R. Westbrook),8,6
26,1,8:28.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,8,6
27,1,8:27.0,Offensive rebound by J. Parker,,8,6
28,1,8:24.0,J. Parker misses 2-pt layup from 1 ft (block by S. Adams),,8,6
29,1,8:23.0,,Defensive rebound by R. Westbrook,8,6
30,1,8:20.0,,R. Westbrook misses 2-pt layup from 1 ft,8,6
31,1,8:19.0,Defensive rebound by G. Antetokounmpo,,8,6
32,1,8:08.0,G. Monroe makes 2-pt layup from 1 ft,,10,6
33,1,7:50.0,,A. Roberson misses 2-pt dunk from 1 ft,10,6
34,1,7:49.0,,Offensive rebound by S. Adams,10,6
35,1,7:49.0,,S. Adams makes 2-pt dunk at rim,10,8
36,1,7:31.0,Turnover by G. Antetokounmpo (bad pass; steal by S. Adams),,10,8
37,1,7:22.0,,K. Durant misses 3-pt jump shot from 24 ft,10,8
38,1,7:21.0,Defensive rebound by M. Carter-Williams,,10,8
39,1,7:07.0,M. Carter-Williams makes 2-pt jump shot from 16 ft,,12,8
40,1,6:48.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),12,10
41,1,6:35.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,15,10
42,1,6:27.0,,Shooting foul by M. Carter-Williams (drawn by R. Westbrook),15,10
43,1,6:27.0,,R. Westbrook makes free throw 1 of 2,15,11
44,1,6:27.0,,R. Westbrook misses free throw 2 of 2,15,11
45,1,6:26.0,,Offensive rebound by S. Adams,15,11
46,1,6:26.0,,S. Adams makes 2-pt layup from 1 ft,15,13
47,1,6:10.0,Shooting foul by A. Roberson (drawn by K. Middleton),,15,13
48,1,6:10.0,K. Middleton makes free throw 1 of 2,,16,13
49,1,6:10.0,K. Middleton makes free throw 2 of 2,,17,13
50,1,5:56.0,,K. Durant misses 3-pt jump shot from 24 ft,17,13
51,1,5:56.0,Defensive rebound by M. Carter-Williams,,17,13
52,1,5:42.0,G. Monroe misses 2-pt jump shot from 1 ft (block by S. Ibaka),,17,13
53,1,5:41.0,,Defensive rebound by A. Roberson,17,13
54,1,5:32.0,,R. Westbrook misses 2-pt jump shot from 13 ft,17,13
55,1,5:31.0,Defensive rebound by G. Monroe,,17,13
56,1,5:24.0,Shooting foul by K. Durant (drawn by J. Parker),,17,13
57,1,5:24.0,,Oklahoma City full timeout,17,13
58,1,5:24.0,J. Parker misses free throw 1 of 2,,17,13
59,1,5:24.0,Offensive rebound by Team,,17,13
60,1,5:24.0,J. Parker makes free throw 2 of 2,,18,13
61,1,5:12.0,,A. Roberson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),18,16
62,1,4:46.0,J. Parker misses 2-pt jump shot from 14 ft,,18,16
63,1,4:46.0,,Defensive rebound by S. Ibaka,18,16
64,1,4:39.0,,Shooting foul by J. Parker (drawn by K. Durant),18,16
65,1,4:39.0,,K. Durant makes free throw 1 of 2,18,17
66,1,4:39.0,,D. Waiters enters the game for A. Roberson,18,17
67,1,4:39.0,O. Mayo enters the game for G. Antetokounmpo,,18,17
68,1,4:39.0,,K. Durant makes free throw 2 of 2,18,18
69,1,4:31.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,21,18
70,1,4:11.0,,K. Durant makes 2-pt jump shot from 5 ft,21,20
71,1,3:52.0,G. Monroe misses 2-pt jump shot from 4 ft,,21,20
72,1,3:51.0,Offensive rebound by M. Carter-Williams,,21,20
73,1,3:51.0,M. Carter-Williams makes 2-pt dunk at rim,,23,20
74,1,3:34.0,,K. Durant misses 3-pt jump shot from 24 ft,23,20
75,1,3:34.0,Defensive rebound by Team,,23,20
76,1,3:20.0,J. Parker misses 2-pt jump shot from 4 ft,,23,20
77,1,3:19.0,,Defensive rebound by S. Ibaka,23,20
78,1,3:09.0,,R. Westbrook misses 2-pt jump shot from 13 ft,23,20
79,1,3:09.0,Defensive rebound by O. Mayo,,23,20
80,1,2:57.0,G. Monroe makes 2-pt hook shot from 8 ft,,25,20
81,1,2:42.0,,R. Westbrook makes 2-pt layup from 1 ft,25,22
82,1,2:36.0,Personal foul by D. Waiters (drawn by M. Carter-Williams),,25,22
83,1,2:36.0,Milwaukee full timeout,,25,22
84,1,2:36.0,,C. Payne enters the game for R. Westbrook,25,22
85,1,2:36.0,J. O'Bryant enters the game for J. Parker,,25,22
86,1,2:36.0,J. Henson enters the game for G. Monroe,,25,22
87,1,2:31.0,Shooting foul by C. Payne (drawn by M. Carter-Williams),,25,22
88,1,2:31.0,M. Carter-Williams makes free throw 1 of 2,,26,22
89,1,2:31.0,,N. Collison enters the game for S. Ibaka,26,22
90,1,2:31.0,,E. Freedom enters the game for S. Adams,26,22
91,1,2:31.0,M. Carter-Williams makes free throw 2 of 2,,27,22
92,1,2:18.0,,K. Durant misses 2-pt jump shot from 18 ft,27,22
93,1,2:17.0,Defensive rebound by J. Henson,,27,22
94,1,2:05.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by K. Middleton),,29,22
95,1,1:53.0,,Offensive foul by E. Freedom (drawn by M. Carter-Williams),29,22
96,1,1:53.0,,Turnover by E. Freedom (offensive foul),29,22
97,1,1:43.0,Shooting foul by C. Payne (drawn by M. Carter-Williams),,29,22
98,1,1:43.0,M. Carter-Williams misses free throw 1 of 2,,29,22
99,1,1:43.0,Offensive rebound by Team,,29,22
100,1,1:43.0,M. Carter-Williams misses free throw 2 of 2,,29,22
101,1,1:42.0,,Defensive rebound by K. Durant,29,22
102,1,1:25.0,,Shooting foul by J. Henson (drawn by E. Freedom),29,22
103,1,1:25.0,,E. Freedom misses free throw 1 of 2,29,22
104,1,1:25.0,,Offensive rebound by Team,29,22
105,1,1:25.0,J. Bayless enters the game for M. Carter-Williams,,29,22
106,1,1:25.0,,E. Freedom makes free throw 2 of 2,29,23
107,1,1:09.0,K. Middleton misses 2-pt jump shot from 13 ft,,29,23
108,1,1:07.0,Offensive rebound by J. Henson,,29,23
109,1,1:07.0,J. Henson makes 2-pt dunk at rim,,31,23
110,1,1:00.0,,Personal foul by J. O'Bryant (drawn by K. Durant),31,23
111,1,1:00.0,,K. Durant makes free throw 1 of 2,31,24
112,1,1:00.0,,K. Durant makes free throw 2 of 2,31,25
113,1,0:50.0,K. Middleton misses 2-pt jump shot from 15 ft,,31,25
114,1,0:49.0,,Defensive rebound by D. Waiters,31,25
115,1,0:39.0,,N. Collison makes 2-pt layup from 2 ft,31,27
116,1,0:24.0,O. Mayo misses 2-pt jump shot from 7 ft,,31,27
117,1,0:24.0,,Defensive rebound by E. Freedom,31,27
118,1,0:00.0,,C. Payne makes 3-pt jump shot from 22 ft (assist by K. Durant),31,30
119,2,11:45.0,O. Mayo misses 2-pt jump shot from 16 ft,,31,30
120,2,11:45.0,Offensive rebound by Team,,31,30
121,2,11:45.0,,Loose ball foul by N. Collison (drawn by J. O'Bryant),31,30
122,2,11:40.0,O. Mayo makes 2-pt layup at rim (assist by J. Henson),,33,30
123,2,11:26.0,,D. Waiters misses 2-pt layup from 1 ft,33,30
124,2,11:23.0,,Offensive rebound by E. Freedom,33,30
125,2,11:23.0,,E. Freedom makes 2-pt layup from 1 ft,33,32
126,2,11:06.0,Turnover by G. Antetokounmpo (bad pass; steal by E. Freedom),,33,32
127,2,10:58.0,,Turnover by D. Waiters (bad pass; steal by O. Mayo),33,32
128,2,10:55.0,Shooting foul by A. Morrow (drawn by G. Antetokounmpo),,33,32
129,2,10:55.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by O. Mayo),,35,32
130,2,10:55.0,G. Antetokounmpo makes free throw 1 of 1,,36,32
131,2,10:39.0,,E. Freedom misses 2-pt layup from 2 ft,36,32
132,2,10:38.0,Defensive rebound by J. Henson,,36,32
133,2,10:24.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft,,36,32
134,2,10:24.0,Offensive rebound by J. O'Bryant,,36,32
135,2,10:09.0,J. Henson misses 2-pt hook shot from 4 ft,,36,32
136,2,10:09.0,,Defensive rebound by E. Freedom,36,32
137,2,10:00.0,,C. Payne makes 2-pt jump shot from 10 ft,36,34
138,2,9:44.0,J. Bayless misses 2-pt jump shot from 19 ft,,36,34
139,2,9:43.0,,Defensive rebound by C. Payne,36,34
140,2,9:37.0,,Personal foul by J. Bayless (drawn by D. Waiters),36,34
141,2,9:28.0,,D. Waiters misses 2-pt layup from 2 ft (block by J. Henson),36,34
142,2,9:27.0,Defensive rebound by O. Mayo,,36,34
143,2,9:27.0,Personal foul by D. Waiters (drawn by O. Mayo),,36,34
144,2,9:12.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Henson),,38,34
145,2,9:04.0,,Shooting foul by J. O'Bryant (drawn by C. Payne),38,34
146,2,9:04.0,,C. Payne makes free throw 1 of 2,38,35
147,2,9:04.0,,S. Ibaka enters the game for N. Collison,38,35
148,2,9:04.0,,C. Payne makes free throw 2 of 2,38,36
149,2,8:50.0,O. Mayo makes 2-pt jump shot from 16 ft (assist by J. Bayless),,40,36
150,2,8:31.0,,Def 3 sec tech foul by J. Henson,40,36
151,2,8:31.0,Official timeout,,40,36
152,2,8:31.0,,R. Westbrook enters the game for C. Payne,40,36
153,2,8:31.0,,A. Morrow makes technical free throw,40,37
154,2,8:27.0,,Turnover by S. Ibaka (offensive foul),40,37
155,2,8:27.0,,Offensive foul by S. Ibaka (drawn by J. Bayless),40,37
156,2,8:12.0,O. Mayo misses 3-pt jump shot from 24 ft,,40,37
157,2,8:11.0,Offensive rebound by G. Antetokounmpo,,40,37
158,2,8:04.0,O. Mayo misses 3-pt jump shot from 25 ft,,40,37
159,2,8:03.0,,Defensive rebound by R. Westbrook,40,37
160,2,7:53.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by E. Freedom),40,40
161,2,7:41.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft,,40,40
162,2,7:40.0,Offensive rebound by G. Antetokounmpo,,40,40
163,2,7:33.0,J. Bayless makes 3-pt jump shot from 24 ft (assist by J. O'Bryant),,43,40
164,2,7:23.0,,Oklahoma City full timeout,43,40
165,2,7:23.0,,K. Durant enters the game for D. Waiters,43,40
166,2,7:16.0,,E. Freedom makes 2-pt hook shot from 4 ft,43,42
167,2,6:54.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,43,42
168,2,6:53.0,,Defensive rebound by R. Westbrook,43,42
169,2,6:47.0,,R. Westbrook misses 2-pt layup from 2 ft,43,42
170,2,6:46.0,,Offensive rebound by E. Freedom,43,42
171,2,6:46.0,,E. Freedom makes 2-pt layup from 1 ft,43,44
172,2,6:25.0,Turnover by J. Henson (lost ball; steal by R. Westbrook),,43,44
173,2,6:15.0,,E. Freedom misses 2-pt layup from 1 ft,43,44
174,2,6:15.0,,Offensive rebound by K. Durant,43,44
175,2,6:15.0,,K. Durant misses 2-pt layup from 1 ft,43,44
176,2,6:15.0,,Offensive rebound by Team,43,44
177,2,6:15.0,Loose ball foul by G. Antetokounmpo (drawn by K. Durant),,43,44
178,2,6:15.0,G. Monroe enters the game for J. Henson,,43,44
179,2,6:10.0,,E. Freedom makes 2-pt dunk at rim (assist by S. Ibaka),43,46
180,2,5:42.0,J. Bayless makes 2-pt jump shot from 21 ft,,45,46
181,2,5:24.0,,S. Ibaka makes 3-pt jump shot from 22 ft (assist by K. Durant),45,49
182,2,5:12.0,G. Monroe misses 2-pt jump shot from 17 ft,,45,49
183,2,5:12.0,Offensive rebound by G. Antetokounmpo,,45,49
184,2,5:07.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft,,45,49
185,2,5:07.0,,Defensive rebound by E. Freedom,45,49
186,2,5:02.0,,Shooting foul by O. Mayo (drawn by R. Westbrook),45,49
187,2,5:02.0,,R. Westbrook makes free throw 1 of 2,45,50
188,2,5:02.0,,S. Adams enters the game for E. Freedom,45,50
189,2,5:02.0,,R. Westbrook makes free throw 2 of 2,45,51
190,2,4:35.0,J. Bayless misses 3-pt jump shot from 25 ft,,45,51
191,2,4:35.0,,Defensive rebound by A. Morrow,45,51
192,2,4:19.0,,A. Morrow misses 3-pt jump shot from 22 ft,45,51
193,2,4:18.0,,Offensive rebound by S. Adams,45,51
194,2,4:14.0,,Shooting foul by O. Mayo (drawn by K. Durant),45,51
195,2,4:14.0,,K. Durant makes free throw 1 of 2,45,52
196,2,4:14.0,K. Middleton enters the game for J. Bayless,,45,52
197,2,4:14.0,J. Parker enters the game for J. O'Bryant,,45,52
198,2,4:14.0,M. Carter-Williams enters the game for O. Mayo,,45,52
199,2,4:14.0,,K. Durant makes free throw 2 of 2,45,53
200,2,4:04.0,M. Carter-Williams makes 2-pt jump shot from 16 ft,,47,53
201,2,3:47.0,,Turnover by S. Ibaka (lost ball),47,53
202,2,3:47.0,,Violation by Team (delay of game),47,53
203,2,3:38.0,Personal foul by A. Morrow (drawn by K. Middleton),,47,53
204,2,3:38.0,,A. Roberson enters the game for A. Morrow,47,53
205,2,3:25.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,47,53
206,2,3:25.0,,Defensive rebound by K. Durant,47,53
207,2,3:15.0,,Shooting foul by G. Monroe (drawn by K. Durant),47,53
208,2,3:15.0,,K. Durant makes free throw 1 of 2,47,54
209,2,3:15.0,,K. Durant makes free throw 2 of 2,47,55
210,2,3:11.0,Milwaukee full timeout,,47,55
211,2,3:02.0,G. Monroe misses 2-pt jump shot from 6 ft,,47,55
212,2,3:01.0,,Defensive rebound by K. Durant,47,55
213,2,2:45.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by K. Durant),47,57
214,2,2:33.0,G. Monroe misses 2-pt jump shot from 4 ft,,47,57
215,2,2:33.0,Offensive rebound by Team,,47,57
216,2,2:22.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,47,57
217,2,2:21.0,,Defensive rebound by A. Roberson,47,57
218,2,2:12.0,,Shooting foul by M. Carter-Williams (drawn by R. Westbrook),47,57
219,2,2:12.0,,R. Westbrook makes free throw 1 of 2,47,58
220,2,2:12.0,,R. Westbrook makes free throw 2 of 2,47,59
221,2,2:02.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,50,59
222,2,1:44.0,,K. Durant makes 2-pt jump shot from 12 ft,50,61
223,2,1:27.0,K. Middleton makes 2-pt jump shot from 14 ft,,52,61
224,2,1:09.0,,R. Westbrook makes 2-pt layup at rim,52,63
225,2,0:54.0,J. Parker misses 2-pt layup from 3 ft (block by S. Ibaka),,52,63
226,2,0:54.0,Offensive rebound by Team,,52,63
227,2,0:44.0,K. Middleton misses 2-pt jump shot from 10 ft,,52,63
228,2,0:44.0,Offensive rebound by M. Carter-Williams,,52,63
229,2,0:44.0,Shooting foul by S. Ibaka (drawn by M. Carter-Williams),,52,63
230,2,0:44.0,M. Carter-Williams misses free throw 1 of 2,,52,63
231,2,0:44.0,Offensive rebound by Team,,52,63
232,2,0:44.0,M. Carter-Williams misses free throw 2 of 2,,52,63
233,2,0:43.0,Offensive rebound by Team,,52,63
234,2,0:40.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,54,63
235,2,0:32.0,,Turnover by R. Westbrook (bad pass; steal by M. Carter-Williams),54,63
236,2,0:30.0,Turnover by G. Monroe (bad pass; steal by R. Westbrook),,54,63
237,2,0:23.0,,Shooting foul by G. Monroe (drawn by R. Westbrook),54,63
238,2,0:23.0,,R. Westbrook makes free throw 1 of 2,54,64
239,2,0:23.0,,N. Collison enters the game for S. Ibaka,54,64
240,2,0:23.0,,R. Westbrook makes free throw 2 of 2,54,65
241,2,0:04.0,Turnover by K. Middleton (bad pass; steal by K. Durant),,54,65
242,2,0:00.0,,K. Durant misses 3-pt jump shot from 26 ft,54,65
243,2,0:00.0,,Offensive rebound by Team,54,65
244,3,11:43.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by G. Monroe),,56,65
245,3,11:27.0,,R. Westbrook misses 2-pt jump shot from 3 ft,56,65
246,3,11:26.0,Defensive rebound by G. Monroe,,56,65
247,3,11:24.0,Turnover by G. Monroe (lost ball; steal by R. Westbrook),,56,65
248,3,11:17.0,,R. Westbrook misses 2-pt layup from 2 ft,56,65
249,3,11:16.0,,Offensive rebound by S. Adams,56,65
250,3,11:16.0,,S. Adams makes 2-pt layup from 1 ft,56,67
251,3,10:59.0,J. Parker misses 2-pt jump shot from 21 ft,,56,67
252,3,10:58.0,Offensive rebound by G. Monroe,,56,67
253,3,10:48.0,M. Carter-Williams misses 2-pt jump shot from 4 ft,,56,67
254,3,10:48.0,Offensive rebound by J. Parker,,56,67
255,3,10:43.0,J. Parker makes 2-pt layup at rim,,58,67
