,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
0,1,11:46.0,,A. Gordon misses 2-pt jump shot from 22 ft,0,0
1,1,11:44.0,Defensive rebound by M. Barnes,,0,0
2,1,11:29.0,Turnover by M. Barnes (bad pass; steal by V. Oladipo),,0,0
3,1,11:26.0,Violation by J. Farmar (kicked ball),,0,0
4,1,11:19.0,,Turnover by E. Fournier (lost ball; steal by J. Farmar),0,0
5,1,11:14.0,M. Barnes misses 2-pt layup at rim,,0,0
6,1,11:11.0,Offensive rebound by T. Allen,,0,0
7,1,11:07.0,C. Andersen makes 2-pt layup from 1 ft (assist by T. Allen),,2,0
8,1,11:00.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),2,2
9,1,10:49.0,Turnover by T. Allen (lost ball; steal by V. Oladipo),,2,2
10,1,10:45.0,,V. Oladipo makes 2-pt layup at rim (assist by A. Gordon),2,4
11,1,10:43.0,Memphis full timeout,,2,4
12,1,10:30.0,M. Barnes misses 2-pt jump shot from 5 ft,,2,4
13,1,10:29.0,Offensive rebound by C. Andersen,,2,4
14,1,10:29.0,C. Andersen misses 2-pt layup from 1 ft,,2,4
15,1,10:27.0,Offensive rebound by T. Allen,,2,4
16,1,10:27.0,T. Allen makes 2-pt layup from 2 ft,,4,4
17,1,10:08.0,,A. Gordon makes 2-pt layup from 1 ft (assist by E. Fournier),4,6
18,1,9:50.0,Turnover by J. Farmar (bad pass),,4,6
19,1,9:40.0,,E. Fournier misses 2-pt layup from 2 ft,4,6
20,1,9:39.0,,Offensive rebound by Team,4,6
21,1,9:33.0,,V. Oladipo makes 2-pt layup from 2 ft,4,8
22,1,9:12.0,Z. Randolph misses 2-pt jump shot from 11 ft,,4,8
23,1,9:09.0,Offensive rebound by T. Allen,,4,8
24,1,9:00.0,Z. Randolph misses 2-pt hook shot from 5 ft,,4,8
25,1,8:59.0,,Defensive rebound by D. Dedmon,4,8
26,1,8:52.0,,E. Payton misses 2-pt jump shot from 20 ft,4,8
27,1,8:48.0,Defensive rebound by M. Barnes,,4,8
28,1,8:41.0,J. Farmar misses 3-pt jump shot from 25 ft,,4,8
29,1,8:41.0,Offensive rebound by Team,,4,8
30,1,8:41.0,,Loose ball foul by A. Gordon,4,8
31,1,8:30.0,Z. Randolph misses 2-pt hook shot from 6 ft,,4,8
32,1,8:29.0,,Defensive rebound by V. Oladipo,4,8
33,1,8:23.0,,A. Gordon makes 2-pt layup from 1 ft (assist by V. Oladipo),4,10
34,1,8:06.0,T. Allen misses 3-pt jump shot from 22 ft,,4,10
