,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MIAMI_ACTION,LA CLIPPERS_SCORE,MIAMI_SCORE
0,1,11:42.0,J. Redick makes 2-pt layup from 2 ft (assist by D. Jordan),,2,0
1,1,11:23.0,,D. Wade misses 2-pt jump shot from 10 ft,2,0
2,1,11:22.0,Defensive rebound by D. Jordan,,2,0
3,1,11:17.0,Shooting foul by C. Bosh (drawn by J. Redick),,2,0
4,1,11:17.0,J. Redick makes free throw 1 of 2,,3,0
5,1,11:17.0,J. Redick makes free throw 2 of 2,,4,0
6,1,10:58.0,,C. Bosh misses 2-pt jump shot from 14 ft,4,0
7,1,10:56.0,,Offensive rebound by A. Stoudemire,4,0
8,1,10:54.0,,A. Stoudemire misses 2-pt layup from 2 ft (block by D. Jordan),4,0
9,1,10:54.0,,Offensive rebound by Team,4,0
10,1,10:33.0,,G. Dragić makes 2-pt layup at rim (assist by C. Bosh),4,2
11,1,10:18.0,J. Redick misses 2-pt jump shot from 17 ft,,4,2
12,1,10:17.0,,Defensive rebound by G. Dragić,4,2
13,1,10:07.0,,G. Dragić misses 2-pt jump shot from 16 ft,4,2
14,1,10:06.0,Defensive rebound by D. Jordan,,4,2
15,1,9:58.0,C. Paul misses 3-pt jump shot from 23 ft,,4,2
16,1,9:56.0,,Defensive rebound by C. Bosh,4,2
17,1,9:46.0,,D. Wade misses 2-pt hook shot from 7 ft,4,2
18,1,9:44.0,,Offensive rebound by L. Deng,4,2
19,1,9:43.0,,L. Deng misses 2-pt jump shot from 9 ft,4,2
20,1,9:43.0,,Offensive rebound by Team,4,2
21,1,9:43.0,Loose ball foul by D. Jordan (drawn by A. Stoudemire),,4,2
22,1,9:19.0,,D. Wade misses 2-pt jump shot from 13 ft,4,2
23,1,9:16.0,Defensive rebound by P. Pierce,,4,2
24,1,9:13.0,J. Redick misses 3-pt jump shot from 23 ft,,4,2
25,1,9:12.0,,Defensive rebound by A. Stoudemire,4,2
26,1,8:54.0,,L. Deng makes 2-pt layup from 1 ft,4,4
27,1,8:27.0,C. Paul misses 2-pt jump shot from 15 ft,,4,4
28,1,8:26.0,,Defensive rebound by C. Bosh,4,4
29,1,8:10.0,,Shooting block foul by J. Redick (drawn by C. Bosh),4,4
30,1,8:10.0,,C. Bosh makes free throw 1 of 2,4,5
31,1,8:10.0,,C. Bosh misses free throw 2 of 2,4,5
32,1,8:09.0,Defensive rebound by J. Redick,,4,5
33,1,7:51.0,C. Paul misses 2-pt jump shot from 8 ft,,4,5
34,1,7:50.0,,Defensive rebound by C. Bosh,4,5
35,1,7:33.0,,C. Bosh misses 2-pt jump shot from 14 ft,4,5
36,1,7:32.0,,Offensive rebound by G. Dragić,4,5
37,1,7:19.0,,L. Deng misses 2-pt jump shot from 9 ft,4,5
38,1,7:18.0,Defensive rebound by D. Jordan,,4,5
39,1,7:06.0,Shooting foul by C. Bosh (drawn by C. Paul),,4,5
40,1,7:06.0,C. Paul makes free throw 1 of 2,,5,5
41,1,7:06.0,,J. Winslow enters the game for C. Bosh,5,5
42,1,7:06.0,C. Paul makes free throw 2 of 2,,6,5
43,1,6:51.0,,D. Wade misses 2-pt jump shot from 8 ft,6,5
44,1,6:51.0,,Offensive rebound by D. Wade,6,5
45,1,6:51.0,,Turnover by D. Wade (traveling),6,5
46,1,6:44.0,L. Mbah a Moute misses 2-pt dunk at rim,,6,5
47,1,6:43.0,,Defensive rebound by J. Winslow,6,5
48,1,6:36.0,,G. Dragić makes 3-pt jump shot from 23 ft (assist by A. Stoudemire),6,8
49,1,6:20.0,C. Paul misses 2-pt layup at rim,,6,8
50,1,6:19.0,,Defensive rebound by A. Stoudemire,6,8
51,1,6:03.0,,J. Winslow misses 3-pt jump shot from 23 ft,6,8
52,1,6:02.0,Defensive rebound by D. Jordan,,6,8
53,1,5:53.0,C. Paul misses 2-pt jump shot from 8 ft,,6,8
54,1,5:52.0,,Defensive rebound by A. Stoudemire,6,8
55,1,5:40.0,,Miami full timeout,6,8
56,1,5:40.0,W. Johnson enters the game for P. Pierce,,6,8
57,1,5:40.0,J. Crawford enters the game for L. Mbah a Moute,,6,8
58,1,5:33.0,,D. Wade misses 2-pt jump shot from 4 ft,6,8
59,1,5:32.0,Defensive rebound by W. Johnson,,6,8
60,1,5:14.0,J. Redick misses 2-pt jump shot from 18 ft,,6,8
61,1,5:13.0,,Defensive rebound by D. Wade,6,8
62,1,5:00.0,,L. Deng makes 2-pt dunk at rim (assist by G. Dragić),6,10
63,1,4:43.0,J. Crawford misses 2-pt jump shot from 16 ft,,6,10
64,1,4:42.0,,Defensive rebound by D. Wade,6,10
65,1,4:22.0,,A. Stoudemire makes 2-pt jump shot from 17 ft (assist by G. Dragić),6,12
66,1,4:04.0,W. Johnson misses 3-pt jump shot from 22 ft,,6,12
67,1,4:04.0,Offensive rebound by Team,,6,12
68,1,4:04.0,,Loose ball foul by A. Stoudemire (drawn by W. Johnson),6,12
69,1,3:58.0,J. Crawford misses 3-pt jump shot from 23 ft,,6,12
70,1,3:57.0,,Defensive rebound by J. Winslow,6,12
71,1,3:46.0,,G. Dragić misses 2-pt jump shot from 16 ft,6,12
72,1,3:45.0,Defensive rebound by W. Johnson,,6,12
73,1,3:38.0,Turnover by C. Paul (bad pass; steal by D. Wade),,6,12
74,1,3:30.0,,Turnover by D. Wade (bad pass; steal by C. Paul),6,12
75,1,3:16.0,C. Paul misses 3-pt jump shot from 23 ft,,6,12
76,1,3:15.0,Offensive rebound by W. Johnson,,6,12
77,1,3:07.0,C. Paul misses 2-pt layup from 3 ft,,6,12
78,1,3:06.0,,Defensive rebound by A. Stoudemire,6,12
79,1,3:00.0,,D. Wade makes 2-pt layup at rim,6,14
80,1,3:00.0,LA Clippers full timeout,,6,14
81,1,3:00.0,L. Stephenson enters the game for J. Redick,,6,14
82,1,3:00.0,P. Prigioni enters the game for C. Paul,,6,14
83,1,3:00.0,,G. Green enters the game for A. Stoudemire,6,14
84,1,3:00.0,,H. Whiteside enters the game for D. Wade,6,14
85,1,2:47.0,W. Johnson makes 2-pt jump shot from 14 ft (assist by P. Prigioni),,8,14
86,1,2:29.0,,Turnover by G. Dragić (bad pass; steal by W. Johnson),8,14
87,1,2:24.0,J. Crawford misses 2-pt jump shot from 17 ft,,8,14
88,1,2:23.0,,Defensive rebound by H. Whiteside,8,14
89,1,2:11.0,,Turnover by G. Dragić (3 sec),8,14
90,1,2:11.0,,B. Udrih enters the game for G. Dragić,8,14
91,1,1:53.0,P. Prigioni makes 2-pt jump shot from 20 ft (assist by J. Crawford),,10,14
92,1,1:40.0,,B. Udrih makes 2-pt jump shot from 10 ft,10,16
93,1,1:24.0,J. Crawford makes 2-pt jump shot from 15 ft,,12,16
94,1,1:24.0,Shooting foul by G. Green (drawn by J. Crawford),,12,16
95,1,1:24.0,J. Crawford makes free throw 1 of 1,,13,16
96,1,1:04.0,,B. Udrih misses 2-pt jump shot from 15 ft,13,16
97,1,1:04.0,Defensive rebound by Team,,13,16
98,1,1:04.0,,Loose ball foul by H. Whiteside (drawn by D. Jordan),13,16
99,1,1:04.0,D. Jordan misses free throw 1 of 2,,13,16
100,1,1:04.0,Offensive rebound by Team,,13,16
101,1,1:04.0,D. Jordan misses free throw 2 of 2,,13,16
102,1,1:03.0,,Defensive rebound by H. Whiteside,13,16
103,1,0:46.0,,L. Deng makes 2-pt hook shot from 6 ft,13,18
104,1,0:29.0,L. Stephenson makes 2-pt layup from 2 ft,,15,18
105,1,0:17.0,,Turnover by G. Green (lost ball),15,18
106,1,0:13.0,Personal take foul by B. Udrih (drawn by D. Jordan),,15,18
107,1,0:13.0,D. Jordan misses free throw 1 of 2,,15,18
108,1,0:13.0,Offensive rebound by Team,,15,18
109,1,0:13.0,D. Jordan misses free throw 2 of 2,,15,18
110,1,0:13.0,,Defensive rebound by H. Whiteside,15,18
111,1,0:06.0,,Personal foul by P. Prigioni (drawn by B. Udrih),15,18
112,1,0:06.0,C. Aldrich enters the game for D. Jordan,,15,18
113,1,0:05.0,,Personal take foul by C. Aldrich (drawn by H. Whiteside),15,18
114,1,0:05.0,,H. Whiteside makes free throw 1 of 2,15,19
115,1,0:05.0,C. Paul enters the game for C. Aldrich,,15,19
116,1,0:05.0,,H. Whiteside misses free throw 2 of 2,15,19
117,1,0:05.0,Defensive rebound by W. Johnson,,15,19
118,1,0:01.0,P. Prigioni misses 3-pt jump shot from 24 ft,,15,19
119,1,0:00.0,Offensive rebound by Team,,15,19
120,2,11:46.0,,H. Whiteside misses 2-pt jump shot from 3 ft,15,19
121,2,11:45.0,,Offensive rebound by H. Whiteside,15,19
122,2,11:42.0,,H. Whiteside makes 2-pt jump shot from 5 ft,15,21
123,2,11:23.0,J. Crawford misses 3-pt jump shot from 27 ft,,15,21
124,2,11:22.0,Offensive rebound by P. Prigioni,,15,21
125,2,11:14.0,L. Stephenson makes 2-pt layup from 2 ft,,17,21
126,2,11:01.0,,H. Whiteside makes 2-pt dunk at rim (assist by B. Udrih),17,23
127,2,10:45.0,Shooting foul by J. Winslow (drawn by C. Aldrich),,17,23
128,2,10:45.0,C. Aldrich makes free throw 1 of 2,,18,23
129,2,10:45.0,C. Aldrich misses free throw 2 of 2,,18,23
130,2,10:44.0,,Defensive rebound by J. Winslow,18,23
131,2,10:28.0,,Personal foul by W. Johnson (drawn by C. Bosh),18,23
132,2,10:23.0,,Personal foul by J. Crawford (drawn by G. Green),18,23
133,2,10:19.0,,Personal foul by L. Stephenson (drawn by J. Winslow),18,23
134,2,10:11.0,,G. Green misses 3-pt jump shot from 24 ft,18,23
135,2,10:10.0,Defensive rebound by L. Stephenson,,18,23
136,2,9:49.0,J. Crawford makes 2-pt layup from 2 ft,,20,23
137,2,9:33.0,,Shooting foul by W. Johnson (drawn by C. Bosh),20,23
138,2,9:33.0,,C. Bosh makes free throw 1 of 2,20,24
139,2,9:33.0,,C. Bosh makes free throw 2 of 2,20,25
140,2,9:13.0,Turnover by J. Crawford (bad pass; steal by G. Green),,20,25
141,2,9:03.0,,G. Green makes 2-pt jump shot from 9 ft,20,27
142,2,8:43.0,W. Johnson makes 3-pt jump shot from 24 ft (assist by P. Prigioni),,23,27
143,2,8:28.0,,C. Bosh misses 2-pt layup from 2 ft,23,27
144,2,8:27.0,,Offensive rebound by H. Whiteside,23,27
145,2,8:25.0,,H. Whiteside makes 2-pt dunk at rim,23,29
146,2,8:11.0,L. Stephenson misses 2-pt jump shot from 4 ft,,23,29
147,2,8:10.0,,Defensive rebound by J. Winslow,23,29
148,2,7:57.0,,C. Bosh misses 2-pt jump shot from 17 ft,23,29
149,2,7:56.0,Defensive rebound by C. Aldrich,,23,29
150,2,7:48.0,W. Johnson makes 3-pt jump shot from 22 ft (assist by L. Stephenson),,26,29
151,2,7:34.0,,Turnover by B. Udrih (bad pass; steal by W. Johnson),26,29
152,2,7:26.0,L. Stephenson makes 2-pt layup from 1 ft,,28,29
153,2,7:25.0,,Miami full timeout,28,29
154,2,7:25.0,C. Paul enters the game for P. Prigioni,,28,29
155,2,7:25.0,,G. Dragić enters the game for B. Udrih,28,29
156,2,7:05.0,,Turnover by C. Bosh (bad pass; steal by L. Stephenson),28,29
157,2,6:51.0,J. Crawford misses 3-pt jump shot from 24 ft,,28,29
158,2,6:50.0,,Defensive rebound by H. Whiteside,28,29
159,2,6:39.0,,G. Green makes 2-pt jump shot from 11 ft (assist by G. Dragić),28,31
160,2,6:22.0,L. Stephenson makes 3-pt jump shot from 24 ft,,31,31
161,2,6:06.0,,C. Bosh misses 2-pt layup from 2 ft (block by C. Aldrich),31,31
162,2,6:05.0,,Offensive rebound by C. Bosh,31,31
163,2,6:04.0,,C. Bosh misses 2-pt jump shot from 5 ft (block by C. Aldrich),31,31
164,2,6:03.0,Defensive rebound by C. Aldrich,,31,31
165,2,5:46.0,C. Paul misses 2-pt jump shot from 16 ft,,31,31
166,2,5:45.0,,Defensive rebound by H. Whiteside,31,31
167,2,5:41.0,,Shooting foul by W. Johnson (drawn by G. Green),31,31
168,2,5:41.0,Official timeout,,31,31
169,2,5:41.0,D. Jordan enters the game for J. Crawford,,31,31
170,2,5:41.0,J. Redick enters the game for W. Johnson,,31,31
171,2,5:41.0,L. Mbah a Moute enters the game for C. Aldrich,,31,31
172,2,5:41.0,,D. Wade enters the game for C. Bosh,31,31
173,2,5:41.0,,L. Deng enters the game for J. Winslow,31,31
174,2,5:41.0,,G. Green misses free throw 1 of 2,31,31
175,2,5:41.0,,Offensive rebound by Team,31,31
176,2,5:41.0,,G. Green makes free throw 2 of 2,31,32
177,2,5:32.0,C. Paul misses 3-pt jump shot from 24 ft,,31,32
178,2,5:31.0,,Defensive rebound by G. Green,31,32
179,2,5:14.0,,L. Deng misses 2-pt jump shot from 6 ft,31,32
180,2,5:13.0,,Offensive rebound by Team,31,32
181,2,5:02.0,,G. Dragić misses 3-pt jump shot from 25 ft,31,32
182,2,5:01.0,Defensive rebound by L. Mbah a Moute,,31,32
183,2,4:54.0,Turnover by L. Stephenson (offensive foul),,31,32
184,2,4:54.0,,Offensive charge foul by L. Stephenson (drawn by H. Whiteside),31,32
185,2,4:42.0,,L. Deng makes 2-pt jump shot from 21 ft (assist by D. Wade),31,34
186,2,4:13.0,D. Jordan misses 2-pt jump shot from 4 ft,,31,34
187,2,4:12.0,,Defensive rebound by H. Whiteside,31,34
188,2,4:04.0,,G. Green makes 2-pt jump shot from 15 ft,31,36
189,2,3:56.0,LA Clippers full timeout,,31,36
190,2,3:56.0,J. Crawford enters the game for L. Mbah a Moute,,31,36
191,2,3:56.0,P. Pierce enters the game for L. Stephenson,,31,36
192,2,3:48.0,J. Crawford makes 2-pt layup from 2 ft (assist by C. Paul),,33,36
193,2,3:34.0,,D. Wade makes 2-pt jump shot from 17 ft (assist by G. Dragić),33,38
194,2,3:18.0,Def 3 sec tech foul by H. Whiteside,,33,38
195,2,3:18.0,C. Paul makes technical free throw,,34,38
196,2,3:11.0,C. Paul makes 2-pt jump shot from 16 ft,,36,38
197,2,2:58.0,,D. Wade makes 2-pt jump shot from 16 ft (assist by G. Dragić),36,40
198,2,2:40.0,C. Paul makes 2-pt jump shot from 15 ft,,38,40
199,2,2:16.0,,D. Wade makes 2-pt jump shot from 17 ft,38,42
200,2,1:57.0,C. Paul misses 2-pt jump shot from 11 ft,,38,42
201,2,1:56.0,,Defensive rebound by H. Whiteside,38,42
202,2,1:44.0,,Turnover by G. Dragić (bad pass; steal by J. Redick),38,42
203,2,1:40.0,Shooting block foul by G. Dragić (drawn by J. Crawford),,38,42
204,2,1:40.0,J. Crawford makes free throw 1 of 2,,39,42
205,2,1:40.0,,C. Bosh enters the game for H. Whiteside,39,42
206,2,1:40.0,J. Crawford makes free throw 2 of 2,,40,42
207,2,1:24.0,,D. Wade misses 2-pt jump shot from 20 ft,40,42
208,2,1:23.0,Defensive rebound by D. Jordan,,40,42
209,2,1:17.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by C. Paul),,43,42
210,2,0:55.0,,C. Bosh misses 3-pt jump shot from 24 ft,43,42
211,2,0:54.0,,Offensive rebound by L. Deng,43,42
212,2,0:50.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by L. Deng),43,45
213,2,0:39.0,C. Paul misses 2-pt jump shot from 5 ft,,43,45
214,2,0:37.0,,Defensive rebound by G. Dragić,43,45
215,2,0:29.0,,C. Bosh misses 2-pt hook shot from 12 ft,43,45
216,2,0:27.0,Defensive rebound by P. Pierce,,43,45
217,2,0:11.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,46,45
218,2,0:03.0,,L. Deng misses 3-pt jump shot from 23 ft,46,45
219,2,0:02.0,,Offensive rebound by G. Green,46,45
