,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
0,1,11:43.0,,J. Valančiūnas makes 2-pt jump shot from 13 ft (assist by D. DeRozan),0,2
1,1,11:28.0,P. George misses 2-pt jump shot from 11 ft,,0,2
2,1,11:27.0,,Defensive rebound by L. Scola,0,2
3,1,11:22.0,,K. Lowry misses 2-pt layup from 2 ft (block by G. Hill),0,2
4,1,11:22.0,Defensive rebound by Team,,0,2
5,1,11:10.0,M. Ellis makes 2-pt jump shot from 17 ft (assist by I. Mahinmi),,2,2
6,1,10:45.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by D. Carroll),2,4
7,1,10:33.0,C. Miles misses 2-pt jump shot from 18 ft,,2,4
8,1,10:32.0,,Defensive rebound by J. Valančiūnas,2,4
9,1,10:22.0,,D. Carroll makes 2-pt jump shot from 8 ft (assist by D. DeRozan),2,6
10,1,10:11.0,P. George misses 2-pt jump shot from 17 ft,,2,6
11,1,10:10.0,,Defensive rebound by J. Valančiūnas,2,6
12,1,10:05.0,,Turnover by K. Lowry (bad pass; steal by P. George),2,6
13,1,9:58.0,P. George misses 3-pt jump shot from 24 ft,,2,6
14,1,9:57.0,,Defensive rebound by L. Scola,2,6
15,1,9:36.0,,D. DeRozan misses 2-pt jump shot from 10 ft,2,6
16,1,9:34.0,Defensive rebound by G. Hill,,2,6
17,1,9:29.0,Turnover by G. Hill (bad pass; steal by L. Scola),,2,6
18,1,9:25.0,,Shooting foul by C. Miles (drawn by D. DeRozan),2,6
19,1,9:25.0,,D. DeRozan misses free throw 1 of 2,2,6
20,1,9:25.0,,Offensive rebound by Team,2,6
21,1,9:25.0,,D. DeRozan misses free throw 2 of 2,2,6
22,1,9:24.0,Defensive rebound by Team,,2,6
23,1,9:24.0,,Loose ball foul by J. Valančiūnas (drawn by I. Mahinmi),2,6
24,1,9:05.0,C. Miles misses 3-pt jump shot from 24 ft,,2,6
25,1,9:04.0,,Defensive rebound by L. Scola,2,6
26,1,8:55.0,,Turnover by D. DeRozan (lost ball; steal by M. Ellis),2,6
27,1,8:50.0,P. George misses 2-pt layup from 1 ft,,2,6
28,1,8:48.0,Offensive rebound by C. Miles,,2,6
29,1,8:45.0,C. Miles makes 2-pt layup from 1 ft,,4,6
30,1,8:37.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),4,8
31,1,8:37.0,Indiana full timeout,,4,8
32,1,8:28.0,C. Miles makes 3-pt jump shot from 24 ft (assist by G. Hill),,7,8
33,1,8:12.0,,Shooting foul by M. Ellis (drawn by D. DeRozan),7,8
34,1,8:12.0,,D. DeRozan misses free throw 1 of 2,7,8
35,1,8:12.0,,Offensive rebound by Team,7,8
36,1,8:12.0,,D. DeRozan makes free throw 2 of 2,7,9
37,1,8:04.0,Offensive foul by I. Mahinmi (drawn by L. Scola),,7,9
38,1,8:04.0,Turnover by I. Mahinmi (offensive foul),,7,9
39,1,7:43.0,,Turnover by L. Scola (lost ball; steal by C. Miles),7,9
40,1,7:39.0,Turnover by C. Miles (bad pass; steal by D. DeRozan),,7,9
41,1,7:34.0,,Turnover by L. Scola (lost ball),7,9
42,1,7:24.0,G. Hill misses 3-pt jump shot from 24 ft,,7,9
43,1,7:23.0,,Defensive rebound by J. Valančiūnas,7,9
44,1,7:16.0,,Shooting foul by M. Ellis (drawn by D. DeRozan),7,9
45,1,7:16.0,,D. DeRozan makes free throw 1 of 2,7,10
46,1,7:16.0,R. Stuckey enters the game for M. Ellis,,7,10
47,1,7:16.0,,D. DeRozan misses free throw 2 of 2,7,10
48,1,7:15.0,,Offensive rebound by L. Scola,7,10
49,1,7:09.0,,D. Carroll misses 3-pt jump shot from 24 ft,7,10
50,1,7:08.0,Defensive rebound by G. Hill,,7,10
51,1,6:59.0,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),,9,10
52,1,6:37.0,,D. Carroll misses 2-pt jump shot from 9 ft,9,10
53,1,6:35.0,,Offensive rebound by Team,9,10
54,1,6:22.0,,Turnover by J. Valančiūnas (lost ball; steal by I. Mahinmi),9,10
55,1,6:17.0,G. Hill makes 2-pt layup at rim (assist by R. Stuckey),,11,10
56,1,6:02.0,,D. DeRozan misses 2-pt layup from 2 ft,11,10
57,1,6:01.0,Defensive rebound by I. Mahinmi,,11,10
58,1,5:51.0,I. Mahinmi misses 2-pt layup from 2 ft,,11,10
59,1,5:49.0,Offensive rebound by I. Mahinmi,,11,10
60,1,5:47.0,I. Mahinmi makes 2-pt layup from 1 ft,,13,10
61,1,5:43.0,,Toronto full timeout,13,10
62,1,5:43.0,,B. Biyombo enters the game for L. Scola,13,10
63,1,5:43.0,,P. Patterson enters the game for J. Valančiūnas,13,10
64,1,5:31.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),13,13
65,1,5:16.0,P. George misses 2-pt jump shot from 17 ft,,13,13
66,1,5:15.0,,Defensive rebound by P. Patterson,13,13
67,1,5:08.0,,D. DeRozan misses 2-pt jump shot from 18 ft,13,13
68,1,5:06.0,Defensive rebound by P. George,,13,13
69,1,5:00.0,C. Miles makes 2-pt dunk at rim (assist by P. George),,15,13
70,1,4:52.0,,Personal block foul by G. Hill (drawn by K. Lowry),15,13
71,1,4:43.0,,P. Patterson misses 2-pt jump shot from 8 ft,15,13
72,1,4:41.0,Defensive rebound by I. Mahinmi,,15,13
73,1,4:31.0,Turnover by R. Stuckey (bad pass; steal by K. Lowry),,15,13
74,1,4:26.0,,K. Lowry misses 2-pt layup from 2 ft,15,13
75,1,4:25.0,,Offensive rebound by D. Carroll,15,13
76,1,4:23.0,,D. Carroll makes 2-pt hook shot from 2 ft,15,15
77,1,4:00.0,C. Miles makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),,18,15
78,1,3:42.0,,K. Lowry misses 3-pt jump shot from 24 ft,18,15
79,1,3:38.0,Defensive rebound by R. Stuckey,,18,15
80,1,3:35.0,R. Stuckey makes 2-pt layup from 1 ft,,20,15
81,1,3:16.0,,Turnover by P. Patterson (traveling),20,15
82,1,3:16.0,J. Hill enters the game for I. Mahinmi,,20,15
83,1,3:16.0,,T. Ross enters the game for D. DeRozan,20,15
84,1,2:53.0,C. Miles misses 3-pt jump shot from 24 ft,,20,15
85,1,2:51.0,,Defensive rebound by Team,20,15
86,1,2:42.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by K. Lowry),20,18
87,1,2:37.0,Turnover by C. Miles (lost ball; steal by P. Patterson),,20,18
88,1,2:31.0,,P. Patterson misses 3-pt jump shot from 25 ft,20,18
89,1,2:29.0,,Offensive rebound by K. Lowry,20,18
90,1,2:24.0,,B. Biyombo misses 2-pt layup from 2 ft,20,18
91,1,2:24.0,Defensive rebound by Team,,20,18
92,1,2:24.0,,Loose ball foul by B. Biyombo (drawn by P. George),20,18
93,1,2:24.0,L. Allen enters the game for C. Miles,,20,18
94,1,2:24.0,,C. Joseph enters the game for K. Lowry,20,18
95,1,2:08.0,L. Allen makes 2-pt hook shot from 6 ft (assist by P. George),,22,18
96,1,1:54.0,,D. Carroll misses 2-pt layup from 1 ft,22,18
97,1,1:52.0,Defensive rebound by J. Hill,,22,18
98,1,1:46.0,J. Hill misses 2-pt layup from 4 ft (block by B. Biyombo),,22,18
99,1,1:45.0,Offensive rebound by P. George,,22,18
100,1,1:45.0,Shooting foul by B. Biyombo (drawn by P. George),,22,18
101,1,1:45.0,,Toronto full timeout,22,18
102,1,1:45.0,,D. DeRozan enters the game for D. Carroll,22,18
103,1,1:45.0,P. George makes free throw 1 of 2,,23,18
104,1,1:45.0,P. George makes free throw 2 of 2,,24,18
105,1,1:32.0,,B. Biyombo misses 2-pt hook shot from 5 ft,24,18
106,1,1:30.0,Defensive rebound by R. Stuckey,,24,18
107,1,1:27.0,Shooting block foul by T. Ross (drawn by R. Stuckey),,24,18
108,1,1:27.0,R. Stuckey makes free throw 1 of 2,,25,18
109,1,1:27.0,R. Stuckey makes free throw 2 of 2,,26,18
110,1,1:13.0,,T. Ross misses 3-pt jump shot from 23 ft,26,18
111,1,1:11.0,,Offensive rebound by B. Biyombo,26,18
112,1,1:03.0,,C. Joseph misses 2-pt jump shot from 5 ft,26,18
113,1,1:02.0,Defensive rebound by L. Allen,,26,18
114,1,0:52.0,Shooting foul by T. Ross (drawn by P. George),,26,18
115,1,0:52.0,P. George makes free throw 1 of 2,,27,18
116,1,0:52.0,P. George makes free throw 2 of 2,,28,18
117,1,0:38.0,,D. DeRozan misses 2-pt jump shot from 5 ft,28,18
118,1,0:36.0,Defensive rebound by R. Stuckey,,28,18
