,QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
0,1,11:46.0,L. Deng makes 2-pt jump shot from 16 ft (assist by C. Bosh),,2,0
1,1,11:25.0,,N. Vučević misses 2-pt hook shot from 13 ft,2,0
2,1,11:24.0,Defensive rebound by L. Deng,,2,0
3,1,11:03.0,C. Bosh misses 2-pt jump shot from 19 ft,,2,0
4,1,11:02.0,Offensive rebound by G. Dragić,,2,0
5,1,10:55.0,G. Dragić misses 3-pt jump shot from 24 ft,,2,0
6,1,10:54.0,,Defensive rebound by Team,2,0
7,1,10:54.0,Loose ball foul by H. Whiteside (drawn by N. Vučević),,2,0
8,1,10:38.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),2,3
9,1,10:11.0,C. Bosh misses 2-pt jump shot from 16 ft,,2,3
10,1,10:09.0,,Defensive rebound by T. Harris,2,3
11,1,9:54.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by E. Fournier),2,5
12,1,9:37.0,L. Deng misses 3-pt jump shot from 25 ft,,2,5
13,1,9:35.0,,Defensive rebound by C. Frye,2,5
14,1,9:24.0,,N. Vučević misses 2-pt jump shot from 14 ft,2,5
15,1,9:23.0,Defensive rebound by C. Bosh,,2,5
16,1,9:09.0,Personal foul by E. Payton (drawn by L. Deng),,2,5
17,1,8:59.0,Shooting foul by C. Frye (drawn by D. Wade),,2,5
18,1,8:59.0,D. Wade makes free throw 1 of 2,,3,5
19,1,8:59.0,D. Wade makes free throw 2 of 2,,4,5
20,1,8:50.0,,E. Fournier misses 3-pt jump shot from 27 ft,4,5
21,1,8:49.0,Defensive rebound by C. Bosh,,4,5
22,1,8:25.0,L. Deng misses 2-pt jump shot from 20 ft,,4,5
23,1,8:23.0,,Defensive rebound by N. Vučević,4,5
24,1,8:14.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),4,7
25,1,7:53.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by G. Dragić),,6,7
26,1,7:41.0,,C. Frye makes 2-pt dunk at rim (assist by E. Fournier),6,9
27,1,7:21.0,H. Whiteside misses 2-pt jump shot from 16 ft,,6,9
28,1,7:20.0,,Defensive rebound by E. Fournier,6,9
29,1,7:11.0,,N. Vučević misses 2-pt jump shot from 19 ft,6,9
30,1,7:09.0,Defensive rebound by C. Bosh,,6,9
31,1,7:02.0,G. Dragić misses 2-pt layup from 3 ft,,6,9
32,1,7:01.0,,Defensive rebound by N. Vučević,6,9
33,1,6:55.0,,Shooting foul by H. Whiteside (drawn by T. Harris),6,9
34,1,6:55.0,,T. Harris makes free throw 1 of 2,6,10
35,1,6:55.0,A. Stoudemire enters the game for H. Whiteside,,6,10
36,1,6:55.0,,T. Harris makes free throw 2 of 2,6,11
37,1,6:40.0,C. Bosh makes 3-pt jump shot from 25 ft (assist by D. Wade),,9,11
38,1,6:18.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),9,13
39,1,6:04.0,L. Deng misses 3-pt jump shot from 23 ft,,9,13
40,1,6:03.0,,Defensive rebound by C. Frye,9,13
41,1,5:57.0,,Turnover by E. Payton (bad pass; steal by C. Bosh),9,13
42,1,5:50.0,G. Dragić makes 2-pt jump shot from 13 ft,,11,13
43,1,5:29.0,,E. Payton makes 2-pt jump shot from 10 ft,11,15
44,1,5:20.0,Turnover by G. Dragić (bad pass; steal by E. Payton),,11,15
45,1,5:16.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),11,17
46,1,5:16.0,Miami full timeout,,11,17
47,1,5:16.0,J. Winslow enters the game for C. Bosh,,11,17
48,1,5:16.0,Violation by Team (delay of game),,11,17
49,1,5:01.0,D. Wade makes 2-pt layup from 2 ft (assist by A. Stoudemire),,13,17
50,1,4:50.0,,T. Harris misses 3-pt jump shot from 23 ft,13,17
51,1,4:49.0,,Offensive rebound by N. Vučević,13,17
52,1,4:33.0,,T. Harris misses 2-pt jump shot from 12 ft,13,17
53,1,4:31.0,Defensive rebound by J. Winslow,,13,17
54,1,4:19.0,G. Dragić makes 2-pt jump shot from 11 ft (assist by D. Wade),,15,17
55,1,4:02.0,,V. Oladipo enters the game for E. Payton,15,17
56,1,4:02.0,G. Green enters the game for D. Wade,,15,17
57,1,3:51.0,,N. Vučević misses 2-pt jump shot from 12 ft,15,17
58,1,3:48.0,Defensive rebound by L. Deng,,15,17
59,1,3:38.0,A. Stoudemire misses 2-pt hook shot from 6 ft,,15,17
60,1,3:37.0,,Defensive rebound by T. Harris,15,17
61,1,3:20.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Fournier),15,20
62,1,3:00.0,G. Dragić misses 2-pt layup from 2 ft,,15,20
63,1,2:58.0,,Defensive rebound by N. Vučević,15,20
64,1,2:50.0,,T. Harris makes 2-pt layup from 2 ft (assist by N. Vučević),15,22
65,1,2:33.0,G. Green misses 2-pt jump shot from 15 ft,,15,22
66,1,2:32.0,,Defensive rebound by C. Frye,15,22
67,1,2:27.0,,Orlando full timeout,15,22
68,1,2:27.0,,A. Nicholson enters the game for C. Frye,15,22
69,1,2:27.0,C. Bosh enters the game for L. Deng,,15,22
70,1,2:27.0,B. Udrih enters the game for G. Dragić,,15,22
71,1,2:13.0,,E. Fournier misses 2-pt jump shot from 12 ft,15,22
72,1,2:09.0,Defensive rebound by A. Stoudemire,,15,22
73,1,2:02.0,B. Udrih misses 2-pt jump shot from 18 ft,,15,22
74,1,2:01.0,,Defensive rebound by T. Harris,15,22
75,1,1:48.0,,E. Fournier misses 3-pt jump shot from 24 ft,15,22
76,1,1:47.0,Defensive rebound by A. Stoudemire,,15,22
77,1,1:31.0,G. Green makes 3-pt jump shot from 25 ft (assist by J. Winslow),,18,22
78,1,1:10.0,,N. Vučević misses 2-pt jump shot from 10 ft,18,22
79,1,1:08.0,Defensive rebound by C. Bosh,,18,22
80,1,0:53.0,A. Stoudemire misses 2-pt jump shot from 19 ft,,18,22
81,1,0:52.0,,Defensive rebound by A. Nicholson,18,22
82,1,0:38.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Fournier),18,24
83,1,0:23.0,Shooting foul by A. Nicholson (drawn by C. Bosh),,18,24
84,1,0:23.0,C. Bosh makes free throw 1 of 2,,19,24
85,1,0:23.0,,J. Smith enters the game for N. Vučević,19,24
86,1,0:23.0,,M. Hezonja enters the game for E. Fournier,19,24
87,1,0:23.0,C. Bosh makes free throw 2 of 2,,20,24
88,1,0:02.0,,Turnover by V. Oladipo (bad pass),20,24
89,1,0:00.0,G. Green misses 3-pt jump shot from 25 ft,,20,24
90,1,0:00.0,Offensive rebound by Team,,20,24
91,2,11:40.0,,J. Smith makes 2-pt jump shot from 20 ft (assist by V. Oladipo),20,26
92,2,11:22.0,C. Bosh misses 2-pt jump shot from 14 ft,,20,26
93,2,11:20.0,,Defensive rebound by A. Gordon,20,26
94,2,10:59.0,,V. Oladipo misses 3-pt jump shot from 26 ft,20,26
95,2,10:58.0,Defensive rebound by C. Bosh,,20,26
96,2,10:51.0,G. Green misses 2-pt jump shot from 13 ft,,20,26
97,2,10:51.0,Offensive rebound by Team,,20,26
98,2,10:51.0,,Loose ball foul by J. Smith (drawn by A. Stoudemire),20,26
99,2,10:37.0,B. Udrih misses 2-pt layup at rim,,20,26
100,2,10:37.0,Offensive rebound by A. Stoudemire,,20,26
101,2,10:37.0,A. Stoudemire makes 2-pt layup at rim,,22,26
102,2,10:24.0,,V. Oladipo makes 2-pt jump shot from 16 ft,22,28
103,2,10:05.0,J. Winslow misses 3-pt jump shot from 26 ft,,22,28
104,2,10:03.0,,Defensive rebound by M. Hezonja,22,28
105,2,9:52.0,,V. Oladipo misses 3-pt jump shot from 25 ft,22,28
106,2,9:51.0,Defensive rebound by C. Bosh,,22,28
107,2,9:41.0,Personal foul by V. Oladipo (drawn by B. Udrih),,22,28
108,2,9:41.0,H. Whiteside enters the game for A. Stoudemire,,22,28
109,2,9:30.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by J. Winslow),,24,28
110,2,9:03.0,,M. Hezonja makes 3-pt jump shot from 25 ft,24,31
111,2,8:46.0,G. Green makes 2-pt jump shot from 7 ft,,26,31
112,2,8:29.0,,V. Oladipo misses 2-pt dunk at rim (block by H. Whiteside),26,31
113,2,8:27.0,,Offensive rebound by J. Smith,26,31
114,2,8:26.0,,J. Smith makes 2-pt layup from 2 ft,26,33
115,2,8:20.0,Shooting foul by J. Smith (drawn by J. Winslow),,26,33
116,2,8:20.0,Official timeout,,26,33
117,2,8:20.0,J. Winslow makes free throw 1 of 2,,27,33
118,2,8:20.0,J. Winslow makes free throw 2 of 2,,28,33
119,2,8:07.0,,J. Smith makes 2-pt jump shot from 16 ft (assist by M. Hezonja),28,35
120,2,7:49.0,G. Green makes 2-pt jump shot from 14 ft (assist by C. Bosh),,30,35
121,2,7:36.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by V. Oladipo),30,38
122,2,7:30.0,Miami full timeout,,30,38
123,2,7:30.0,D. Wade enters the game for C. Bosh,,30,38
124,2,7:30.0,G. Dragić enters the game for B. Udrih,,30,38
125,2,7:13.0,G. Green misses 3-pt jump shot from 25 ft,,30,38
126,2,7:12.0,Offensive rebound by G. Dragić,,30,38
127,2,7:03.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by D. Wade),,33,38
128,2,6:47.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by M. Hezonja),33,40
129,2,6:32.0,Shooting foul by M. Hezonja (drawn by D. Wade),,33,40
130,2,6:32.0,D. Wade makes free throw 1 of 2,,34,40
131,2,6:32.0,,N. Vučević enters the game for J. Smith,34,40
132,2,6:32.0,,T. Harris enters the game for A. Nicholson,34,40
133,2,6:32.0,L. Deng enters the game for J. Winslow,,34,40
134,2,6:32.0,D. Wade makes free throw 2 of 2,,35,40
135,2,6:20.0,,A. Gordon makes 2-pt jump shot from 18 ft (assist by V. Oladipo),35,42
136,2,6:03.0,D. Wade misses 2-pt layup from 2 ft,,35,42
137,2,6:02.0,,Defensive rebound by N. Vučević,35,42
138,2,5:52.0,,V. Oladipo misses 2-pt layup from 2 ft,35,42
139,2,5:51.0,,Offensive rebound by N. Vučević,35,42
140,2,5:51.0,,N. Vučević misses 2-pt layup from 1 ft,35,42
141,2,5:49.0,Defensive rebound by L. Deng,,35,42
142,2,5:43.0,L. Deng makes 2-pt layup from 1 ft (assist by G. Dragić),,37,42
143,2,5:22.0,,E. Payton enters the game for V. Oladipo,37,42
144,2,5:19.0,,N. Vučević misses 2-pt jump shot from 9 ft,37,42
145,2,5:18.0,,Offensive rebound by A. Gordon,37,42
146,2,5:17.0,,Turnover by Team (shot clock),37,42
147,2,5:04.0,D. Wade misses 2-pt jump shot from 5 ft (block by A. Gordon),,37,42
148,2,5:02.0,Offensive rebound by D. Wade,,37,42
149,2,4:59.0,G. Dragić misses 3-pt jump shot from 25 ft,,37,42
150,2,4:57.0,,Defensive rebound by T. Harris,37,42
