,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHARLOTTE_ACTION,SAN ANTONIO_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,N. Batum makes 2-pt layup from 1 ft,0,2
1,1,11:46.0,,Shooting foul by K. Leonard (drawn by N. Batum),0,2
2,1,11:46.0,,N. Batum misses free throw 1 of 1,0,2
3,1,11:45.0,Defensive rebound by L. Aldridge,,0,2
4,1,11:26.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by T. Parker),,2,2
5,1,11:16.0,,Personal foul by L. Aldridge,2,2
6,1,11:08.0,,M. Williams misses 2-pt jump shot from 14 ft,2,2
7,1,11:05.0,,Offensive rebound by C. Zeller,2,2
8,1,11:02.0,,C. Lee misses 2-pt jump shot from 22 ft,2,2
9,1,11:01.0,Defensive rebound by L. Aldridge,,2,2
10,1,10:53.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),,5,2
11,1,10:37.0,,N. Batum misses 3-pt jump shot from 24 ft,5,2
12,1,10:36.0,Defensive rebound by L. Aldridge,,5,2
13,1,10:22.0,T. Parker makes 2-pt jump shot from 18 ft,,7,2
14,1,10:09.0,,N. Batum makes 2-pt jump shot from 19 ft,7,4
15,1,9:47.0,L. Aldridge misses 2-pt jump shot from 13 ft,,7,4
16,1,9:46.0,,Defensive rebound by C. Zeller,7,4
17,1,9:42.0,,Turnover by N. Batum (bad pass; steal by K. Leonard),7,4
18,1,9:34.0,T. Parker makes 2-pt jump shot from 17 ft,,9,4
19,1,9:21.0,,Turnover by C. Lee (bad pass; steal by D. Green),9,4
20,1,9:12.0,D. Green misses 3-pt jump shot from 23 ft,,9,4
21,1,9:11.0,,Defensive rebound by C. Zeller,9,4
22,1,8:52.0,,C. Zeller misses 2-pt jump shot from 14 ft,9,4
23,1,8:49.0,Defensive rebound by T. Duncan,,9,4
24,1,8:35.0,T. Duncan misses 2-pt jump shot from 19 ft,,9,4
25,1,8:33.0,Offensive rebound by T. Parker,,9,4
26,1,8:30.0,T. Parker makes 2-pt jump shot from 7 ft,,11,4
27,1,8:30.0,,Charlotte full timeout,11,4
28,1,8:12.0,,C. Zeller makes 2-pt dunk at rim (assist by M. Williams),11,6
29,1,7:58.0,T. Duncan makes 2-pt hook shot from 8 ft (assist by L. Aldridge),,13,6
30,1,7:47.0,,Turnover by N. Batum (bad pass; steal by T. Duncan),13,6
31,1,7:35.0,L. Aldridge misses 2-pt jump shot from 18 ft,,13,6
32,1,7:34.0,,Defensive rebound by C. Zeller,13,6
33,1,7:26.0,,Turnover by N. Batum (bad pass; steal by T. Duncan),13,6
34,1,7:22.0,Shooting foul by K. Walker (drawn by T. Parker),,13,6
35,1,7:22.0,T. Parker makes free throw 1 of 2,,14,6
36,1,7:22.0,T. Parker makes free throw 2 of 2,,15,6
37,1,7:11.0,,K. Walker misses 3-pt jump shot from 25 ft (block by T. Parker),15,6
38,1,7:09.0,Defensive rebound by T. Parker,,15,6
39,1,6:59.0,T. Duncan misses 2-pt layup from 2 ft,,15,6
40,1,6:56.0,,Defensive rebound by C. Zeller,15,6
41,1,6:46.0,,K. Walker misses 2-pt jump shot from 14 ft,15,6
42,1,6:45.0,Defensive rebound by L. Aldridge,,15,6
43,1,6:32.0,T. Parker makes 2-pt jump shot from 19 ft,,17,6
44,1,6:12.0,,M. Williams misses 2-pt layup at rim,17,6
45,1,6:11.0,Defensive rebound by T. Parker,,17,6
46,1,6:02.0,T. Parker misses 2-pt layup from 2 ft,,17,6
47,1,6:02.0,Offensive rebound by Team,,17,6
48,1,6:02.0,,A. Jefferson enters the game for C. Zeller,17,6
49,1,5:54.0,K. Leonard misses 2-pt jump shot from 20 ft,,17,6
50,1,5:53.0,,Defensive rebound by C. Lee,17,6
51,1,5:38.0,,K. Walker misses 3-pt jump shot from 26 ft,17,6
52,1,5:35.0,Defensive rebound by T. Duncan,,17,6
53,1,5:21.0,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),,19,6
54,1,5:21.0,Shooting foul by A. Jefferson (drawn by T. Duncan),,19,6
55,1,5:21.0,M. Ginóbili enters the game for D. Green,,19,6
56,1,5:21.0,T. Duncan makes free throw 1 of 1,,20,6
57,1,5:09.0,,M. Williams misses 3-pt jump shot from 26 ft,20,6
58,1,5:07.0,,Offensive rebound by A. Jefferson,20,6
59,1,5:02.0,,A. Jefferson misses 2-pt hook shot from 10 ft,20,6
60,1,5:00.0,Defensive rebound by K. Leonard,,20,6
61,1,4:40.0,K. Leonard misses 3-pt jump shot from 25 ft,,20,6
62,1,4:38.0,Offensive rebound by T. Duncan,,20,6
63,1,4:22.0,L. Aldridge makes 2-pt jump shot from 6 ft (assist by T. Duncan),,22,6
64,1,4:10.0,,Shooting foul by M. Ginóbili (drawn by A. Jefferson),22,6
65,1,4:10.0,,A. Jefferson misses free throw 1 of 2,22,6
66,1,4:10.0,,Offensive rebound by Team,22,6
67,1,4:10.0,San Antonio full timeout,,22,6
68,1,4:10.0,B. Diaw enters the game for T. Duncan,,22,6
69,1,4:10.0,,F. Kaminsky enters the game for M. Williams,22,6
70,1,4:10.0,,J. Lin enters the game for C. Lee,22,6
71,1,4:10.0,,A. Jefferson makes free throw 2 of 2,22,7
72,1,3:57.0,T. Parker makes 2-pt layup from 1 ft (assist by B. Diaw),,24,7
73,1,3:47.0,,N. Batum misses 2-pt jump shot from 21 ft,24,7
74,1,3:45.0,Defensive rebound by K. Leonard,,24,7
75,1,3:31.0,L. Aldridge misses 2-pt jump shot from 17 ft,,24,7
76,1,3:29.0,,Defensive rebound by N. Batum,24,7
77,1,3:10.0,,A. Jefferson misses 2-pt hook shot from 8 ft,24,7
