,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:44.0,,M. Turner makes 2-pt layup at rim (assist by P. George),0,2
1,1,11:27.0,M. Williams misses 3-pt jump shot from 25 ft,,0,2
2,1,11:26.0,,Defensive rebound by I. Mahinmi,0,2
3,1,11:18.0,,M. Turner makes 2-pt jump shot from 12 ft (assist by P. George),0,4
4,1,10:58.0,Shooting foul by G. Hill (drawn by K. Walker),,0,4
5,1,10:58.0,K. Walker makes free throw 1 of 2,,1,4
6,1,10:58.0,K. Walker makes free throw 2 of 2,,2,4
7,1,10:42.0,,I. Mahinmi misses 2-pt jump shot from 19 ft,2,4
8,1,10:41.0,,Offensive rebound by M. Turner,2,4
9,1,10:39.0,,Turnover by M. Turner (lost ball; steal by M. Kidd-Gilchrist),2,4
10,1,10:29.0,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,5,4
11,1,10:22.0,,Personal foul by M. Williams (drawn by M. Turner),5,4
12,1,10:18.0,,P. George misses 2-pt jump shot from 22 ft,5,4
13,1,10:17.0,Defensive rebound by C. Zeller,,5,4
14,1,10:03.0,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,8,4
15,1,9:53.0,,G. Hill misses 2-pt layup from 1 ft,8,4
16,1,9:52.0,,Offensive rebound by M. Turner,8,4
17,1,9:49.0,,M. Turner makes 2-pt layup from 3 ft,8,6
18,1,9:35.0,Shooting foul by M. Ellis (drawn by C. Zeller),,8,6
19,1,9:35.0,C. Zeller makes free throw 1 of 2,,9,6
20,1,9:35.0,C. Zeller makes free throw 2 of 2,,10,6
21,1,9:22.0,,M. Ellis makes 2-pt jump shot from 19 ft,10,8
22,1,9:01.0,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft,,10,8
23,1,9:00.0,,Defensive rebound by I. Mahinmi,10,8
24,1,8:38.0,,P. George misses 3-pt jump shot from 24 ft,10,8
25,1,8:37.0,Defensive rebound by N. Batum,,10,8
26,1,8:29.0,Offensive foul by C. Zeller (drawn by M. Turner),,10,8
27,1,8:29.0,Turnover by C. Zeller (offensive foul),,10,8
28,1,8:18.0,,Shooting foul by M. Williams (drawn by M. Turner),10,8
29,1,8:18.0,,M. Turner makes free throw 1 of 2,10,9
30,1,8:18.0,,M. Turner makes free throw 2 of 2,10,10
31,1,7:56.0,C. Zeller makes 2-pt dunk at rim (assist by M. Williams),,12,10
32,1,7:41.0,,Turnover by P. George (bad pass; steal by K. Walker),12,10
33,1,7:35.0,K. Walker makes 2-pt layup from 1 ft,,14,10
34,1,7:12.0,,M. Ellis misses 3-pt jump shot from 23 ft,14,10
35,1,7:11.0,,Offensive rebound by I. Mahinmi,14,10
36,1,7:08.0,,P. George makes 3-pt jump shot from 26 ft (assist by I. Mahinmi),14,13
37,1,6:44.0,M. Williams misses 3-pt jump shot from 26 ft,,14,13
38,1,6:43.0,,Defensive rebound by I. Mahinmi,14,13
39,1,6:36.0,,M. Turner misses 2-pt hook shot from 11 ft,14,13
40,1,6:35.0,Defensive rebound by C. Zeller,,14,13
41,1,6:20.0,C. Zeller misses 2-pt jump shot from 19 ft,,14,13
42,1,6:19.0,,Defensive rebound by P. George,14,13
43,1,6:12.0,,I. Mahinmi misses 2-pt hook shot from 8 ft,14,13
44,1,6:11.0,Defensive rebound by K. Walker,,14,13
45,1,6:02.0,K. Walker makes 2-pt layup from 2 ft,,16,13
46,1,6:02.0,,Indiana full timeout,16,13
47,1,6:02.0,F. Kaminsky enters the game for M. Williams,,16,13
48,1,5:41.0,,M. Turner misses 2-pt jump shot from 13 ft (block by K. Walker),16,13
49,1,5:40.0,Defensive rebound by M. Kidd-Gilchrist,,16,13
50,1,5:39.0,Turnover by M. Kidd-Gilchrist (lost ball),,16,13
51,1,5:22.0,,G. Hill makes 2-pt jump shot from 18 ft,16,15
52,1,5:04.0,N. Batum misses 2-pt jump shot from 19 ft,,16,15
53,1,5:03.0,,Defensive rebound by G. Hill,16,15
