,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
0,1,11:48.0,,D. Rose makes 2-pt layup at rim (assist by T. Gibson),0,2
1,1,11:27.0,D. Green misses 3-pt jump shot from 23 ft,,0,2
2,1,11:26.0,,Defensive rebound by P. Gasol,0,2
3,1,11:09.0,,T. Snell misses 3-pt jump shot from 25 ft,0,2
4,1,11:08.0,Defensive rebound by A. Bogut,,0,2
5,1,10:54.0,S. Curry misses 3-pt jump shot from 25 ft,,0,2
6,1,10:53.0,,Defensive rebound by T. Snell,0,2
7,1,10:39.0,,D. Rose makes 2-pt jump shot from 17 ft,0,4
8,1,10:29.0,K. Thompson misses 3-pt jump shot from 23 ft,,0,4
9,1,10:28.0,Offensive rebound by A. Bogut,,0,4
10,1,10:12.0,H. Barnes misses 2-pt jump shot from 15 ft,,0,4
11,1,10:11.0,Offensive rebound by A. Bogut,,0,4
12,1,10:05.0,H. Barnes misses 3-pt jump shot from 22 ft,,0,4
13,1,10:04.0,,Defensive rebound by T. Snell,0,4
14,1,9:50.0,,Turnover by P. Gasol (lost ball; steal by A. Bogut),0,4
15,1,9:44.0,H. Barnes makes 2-pt hook shot from 7 ft,,2,4
16,1,9:16.0,,T. Snell misses 3-pt jump shot from 23 ft,2,4
17,1,9:15.0,Defensive rebound by A. Bogut,,2,4
18,1,9:09.0,K. Thompson misses 3-pt jump shot from 25 ft,,2,4
19,1,9:08.0,,Defensive rebound by P. Gasol,2,4
20,1,8:57.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by T. Snell),2,6
21,1,8:42.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Bogut),,5,6
22,1,8:30.0,,D. Rose makes 2-pt jump shot from 12 ft,5,8
23,1,8:22.0,H. Barnes makes 2-pt jump shot from 22 ft (assist by S. Curry),,7,8
24,1,8:07.0,,P. Gasol misses 2-pt jump shot from 9 ft,7,8
25,1,8:06.0,Defensive rebound by A. Bogut,,7,8
26,1,7:57.0,S. Curry misses 3-pt jump shot from 24 ft,,7,8
27,1,7:56.0,,Defensive rebound by P. Gasol,7,8
28,1,7:49.0,,D. Rose makes 2-pt jump shot from 19 ft,7,10
29,1,7:38.0,H. Barnes makes 2-pt jump shot from 18 ft (assist by S. Curry),,9,10
30,1,7:24.0,,T. Gibson misses 2-pt jump shot from 16 ft,9,10
31,1,7:23.0,Defensive rebound by D. Green,,9,10
32,1,7:19.0,A. Bogut makes 2-pt layup from 1 ft (assist by D. Green),,11,10
