,QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,M. Barnes misses 2-pt jump shot from 20 ft,0,0
1,1,11:40.0,Defensive rebound by D. DeRozan,,0,0
2,1,11:17.0,N. Powell makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,3,0
3,1,11:05.0,,C. Andersen makes 3-pt jump shot from 24 ft (assist by T. Allen),3,3
4,1,10:38.0,K. Lowry misses 2-pt jump shot from 22 ft,,3,3
5,1,10:35.0,,Defensive rebound by Z. Randolph,3,3
6,1,10:24.0,,C. Andersen misses 2-pt jump shot from 2 ft,3,3
7,1,10:22.0,Defensive rebound by J. Thompson,,3,3
8,1,10:01.0,J. Thompson makes 2-pt jump shot from 4 ft (assist by N. Powell),,5,3
9,1,9:50.0,,Z. Randolph misses 2-pt jump shot from 16 ft,5,3
10,1,9:49.0,Defensive rebound by J. Thompson,,5,3
11,1,9:43.0,Turnover by J. Thompson (step out of bounds),,5,3
12,1,9:30.0,,J. Farmar makes 2-pt jump shot from 16 ft (assist by Z. Randolph),5,5
13,1,9:17.0,D. DeRozan misses 2-pt jump shot from 22 ft,,5,5
14,1,9:17.0,,Defensive rebound by M. Barnes,5,5
15,1,9:10.0,,Turnover by J. Farmar (bad pass),5,5
16,1,8:55.0,K. Lowry misses 3-pt jump shot from 24 ft,,5,5
17,1,8:54.0,,Defensive rebound by C. Andersen,5,5
18,1,8:42.0,,T. Allen makes 2-pt layup from 1 ft (assist by Z. Randolph),5,7
19,1,8:28.0,Personal foul by C. Andersen,,5,7
20,1,8:15.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,8,7
21,1,7:57.0,,T. Allen misses 2-pt jump shot from 4 ft,8,7
22,1,7:56.0,,Offensive rebound by C. Andersen,8,7
23,1,7:52.0,,C. Andersen misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),8,7
24,1,7:50.0,,Offensive rebound by T. Allen,8,7
25,1,7:50.0,,T. Allen makes 2-pt jump shot from 3 ft,8,9
26,1,7:39.0,Turnover by D. DeRozan (lost ball; steal by T. Allen),,8,9
27,1,7:26.0,,T. Allen makes 2-pt jump shot from 20 ft,8,11
28,1,7:11.0,Personal foul by T. Allen,,8,11
29,1,7:00.0,J. Thompson misses 3-pt jump shot from 24 ft,,8,11
30,1,7:00.0,Offensive rebound by J. Valančiūnas,,8,11
31,1,6:57.0,J. Valančiūnas makes 2-pt dunk at rim,,10,11
32,1,6:38.0,,J. Farmar misses 3-pt jump shot from 24 ft,10,11
33,1,6:37.0,Defensive rebound by D. DeRozan,,10,11
34,1,6:25.0,J. Thompson misses 2-pt jump shot from 11 ft,,10,11
35,1,6:25.0,,Defensive rebound by Team,10,11
36,1,6:25.0,Loose ball foul by J. Thompson,,10,11
37,1,6:13.0,,M. Barnes misses 2-pt jump shot from 21 ft,10,11
38,1,6:12.0,Defensive rebound by K. Lowry,,10,11
39,1,6:02.0,J. Valančiūnas misses 2-pt jump shot from 14 ft,,10,11
40,1,6:01.0,,Defensive rebound by J. Farmar,10,11
41,1,5:52.0,,M. Barnes misses 2-pt layup from 3 ft,10,11
42,1,5:49.0,,Offensive rebound by C. Andersen,10,11
43,1,5:49.0,,C. Andersen misses 2-pt layup from 2 ft,10,11
44,1,5:48.0,Defensive rebound by J. Thompson,,10,11
45,1,5:45.0,,Memphis full timeout,10,11
46,1,5:37.0,N. Powell makes 3-pt jump shot from 24 ft (assist by K. Lowry),,13,11
47,1,5:24.0,,Shooting foul by D. DeRozan (drawn by Z. Randolph),13,11
48,1,5:24.0,,Z. Randolph makes free throw 1 of 2,13,12
49,1,5:24.0,,Z. Randolph makes free throw 2 of 2,13,13
50,1,5:09.0,Shooting foul by T. Allen (drawn by D. DeRozan),,13,13
51,1,5:09.0,D. DeRozan makes free throw 1 of 2,,14,13
52,1,5:09.0,,L. Stephenson enters the game for T. Allen,14,13
53,1,5:09.0,D. DeRozan makes free throw 2 of 2,,15,13
54,1,4:52.0,,Z. Randolph makes 2-pt jump shot from 6 ft,15,15
55,1,4:45.0,Turnover by D. DeRozan (bad pass; steal by J. Farmar),,15,15
56,1,4:41.0,,J. Farmar makes 2-pt layup from 1 ft,15,17
57,1,4:18.0,D. DeRozan misses 3-pt jump shot from 24 ft,,15,17
58,1,4:18.0,Offensive rebound by J. Valančiūnas,,15,17
59,1,4:06.0,K. Lowry misses 2-pt jump shot from 16 ft,,15,17
60,1,4:04.0,Offensive rebound by J. Thompson,,15,17
61,1,3:57.0,J. Valančiūnas misses 2-pt jump shot from 13 ft,,15,17
62,1,3:54.0,,Defensive rebound by Z. Randolph,15,17
63,1,3:34.0,,Z. Randolph makes 2-pt jump shot from 5 ft,15,19
64,1,3:16.0,J. Thompson makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,17,19
65,1,3:04.0,,Z. Randolph misses 2-pt jump shot from 14 ft,17,19
