,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:42.0,,H. Whiteside makes 2-pt hook shot from 5 ft,0,2
1,1,11:25.0,J. Grant misses 3-pt jump shot from 23 ft,,0,2
2,1,11:24.0,,Defensive rebound by H. Whiteside,0,2
3,1,11:05.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by C. Bosh),0,5
4,1,10:47.0,J. Okafor misses 2-pt jump shot from 8 ft (block by H. Whiteside),,0,5
5,1,10:46.0,,Defensive rebound by C. Bosh,0,5
6,1,10:40.0,,Turnover by C. Bosh (bad pass; steal by N. Noel),0,5
7,1,10:38.0,N. Noel makes 2-pt dunk at rim,,2,5
8,1,10:14.0,,H. Whiteside misses 2-pt layup from 2 ft (block by J. Grant),2,5
9,1,10:13.0,,Offensive rebound by G. Dragić,2,5
10,1,10:11.0,,G. Dragić misses 2-pt jump shot from 4 ft (block by J. Okafor),2,5
11,1,10:10.0,Defensive rebound by N. Noel,,2,5
12,1,9:59.0,N. Stauskas misses 3-pt jump shot from 24 ft,,2,5
13,1,9:58.0,Offensive rebound by J. Grant,,2,5
14,1,9:57.0,J. Grant misses 2-pt layup at rim (block by C. Bosh),,2,5
15,1,9:56.0,,Defensive rebound by L. Deng,2,5
16,1,9:50.0,,L. Deng misses 3-pt jump shot from 24 ft,2,5
17,1,9:49.0,Defensive rebound by Team,,2,5
18,1,9:49.0,,Loose ball foul by D. Wade (drawn by J. Grant),2,5
19,1,9:36.0,Turnover by J. Grant (bad pass),,2,5
20,1,9:25.0,,D. Wade misses 2-pt jump shot from 16 ft,2,5
21,1,9:24.0,Defensive rebound by J. Grant,,2,5
22,1,9:12.0,J. Okafor makes 2-pt layup from 2 ft (assist by T. McConnell),,4,5
23,1,9:02.0,,G. Dragić misses 2-pt jump shot from 13 ft,4,5
24,1,9:01.0,Defensive rebound by T. McConnell,,4,5
25,1,8:57.0,Personal foul by G. Dragić (drawn by T. McConnell),,4,5
26,1,8:48.0,N. Noel misses 2-pt dunk at rim (block by H. Whiteside),,4,5
27,1,8:47.0,Offensive rebound by J. Grant,,4,5
28,1,8:42.0,N. Stauskas makes 3-pt jump shot from 23 ft (assist by J. Grant),,7,5
29,1,8:23.0,,C. Bosh misses 2-pt jump shot from 19 ft,7,5
30,1,8:22.0,,Offensive rebound by G. Dragić,7,5
31,1,8:21.0,,G. Dragić misses 2-pt layup from 1 ft (block by N. Stauskas),7,5
32,1,8:20.0,Defensive rebound by N. Noel,,7,5
33,1,7:57.0,J. Okafor misses 2-pt jump shot from 18 ft,,7,5
34,1,7:56.0,,Defensive rebound by C. Bosh,7,5
35,1,7:48.0,Violation by J. Okafor (def goaltending),,7,5
36,1,7:48.0,,D. Wade makes 2-pt layup from 2 ft,7,7
37,1,7:48.0,,Shooting foul by N. Stauskas (drawn by D. Wade),7,7
38,1,7:48.0,,D. Wade misses free throw 1 of 1,7,7
39,1,7:47.0,Defensive rebound by T. McConnell,,7,7
40,1,7:38.0,J. Okafor misses 2-pt jump shot from 9 ft,,7,7
41,1,7:37.0,,Defensive rebound by C. Bosh,7,7
42,1,7:26.0,,Turnover by H. Whiteside (bad pass; steal by T. McConnell),7,7
43,1,7:22.0,J. Okafor misses 2-pt layup from 2 ft (block by C. Bosh),,7,7
44,1,7:19.0,,Defensive rebound by D. Wade,7,7
45,1,7:08.0,,Shooting foul by T. McConnell (drawn by D. Wade),7,7
46,1,7:08.0,,D. Wade makes free throw 1 of 2,7,8
47,1,7:08.0,,J. Winslow enters the game for C. Bosh,7,8
48,1,7:08.0,R. Covington enters the game for J. Okafor,,7,8
49,1,7:08.0,,D. Wade makes free throw 2 of 2,7,9
50,1,6:55.0,R. Covington makes 2-pt layup from 1 ft (assist by N. Noel),,9,9
51,1,6:39.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by G. Dragić),9,12
52,1,6:19.0,N. Stauskas misses 3-pt jump shot from 23 ft,,9,12
53,1,6:18.0,,Defensive rebound by D. Wade,9,12
54,1,6:15.0,,Turnover by D. Wade (bad pass),9,12
55,1,6:15.0,Philadelphia full timeout,,9,12
56,1,5:55.0,Turnover by N. Noel (lost ball; steal by G. Dragić),,9,12
57,1,5:47.0,,Turnover by J. Winslow (bad pass; steal by N. Noel),9,12
58,1,5:44.0,Shooting block foul by G. Dragić (drawn by R. Covington),,9,12
59,1,5:44.0,R. Covington makes free throw 1 of 2,,10,12
60,1,5:44.0,,T. Johnson enters the game for G. Dragić,10,12
61,1,5:44.0,R. Covington makes free throw 2 of 2,,11,12
62,1,5:29.0,,D. Wade makes 2-pt hook shot from 5 ft (assist by T. Johnson),11,14
63,1,5:10.0,R. Covington makes 3-pt jump shot from 24 ft (assist by J. Grant),,14,14
64,1,4:55.0,,Turnover by H. Whiteside (offensive goaltending),14,14
65,1,4:55.0,J. Okafor enters the game for N. Noel,,14,14
66,1,4:55.0,I. Canaan enters the game for T. McConnell,,14,14
67,1,4:43.0,J. Okafor makes 2-pt dunk at rim (assist by N. Stauskas),,16,14
68,1,4:25.0,,D. Wade misses 2-pt jump shot from 12 ft,16,14
69,1,4:24.0,Defensive rebound by J. Okafor,,16,14
70,1,4:20.0,Shooting foul by T. Johnson (drawn by R. Covington),,16,14
71,1,4:20.0,R. Covington makes free throw 1 of 2,,17,14
72,1,4:20.0,H. Thompson enters the game for J. Grant,,17,14
73,1,4:20.0,R. Covington misses free throw 2 of 2,,17,14
74,1,4:19.0,,Defensive rebound by H. Whiteside,17,14
75,1,4:06.0,,T. Johnson misses 2-pt layup from 1 ft (block by J. Okafor),17,14
76,1,4:05.0,Defensive rebound by J. Okafor,,17,14
77,1,3:53.0,H. Thompson misses 3-pt jump shot from 23 ft,,17,14
