,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
0,1,11:46.0,,Turnover by K. Faried (bad pass; steal by K. Bazemore),0,0
1,1,11:41.0,K. Bazemore makes 2-pt layup from 2 ft,,2,0
2,1,11:22.0,,Personal foul by P. Millsap (drawn by N. Jokić),2,0
3,1,11:22.0,,N. Jokić makes free throw 1 of 2,2,1
4,1,11:22.0,,N. Jokić makes free throw 2 of 2,2,2
5,1,11:01.0,P. Millsap makes 2-pt jump shot from 7 ft,,4,2
6,1,10:47.0,,Turnover by D. Gallinari (bad pass; steal by K. Korver),4,2
7,1,10:43.0,Turnover by K. Korver (bad pass; steal by G. Harris),,4,2
8,1,10:39.0,,G. Harris makes 2-pt layup from 2 ft,4,4
9,1,10:17.0,K. Bazemore misses 3-pt jump shot from 23 ft,,4,4
10,1,10:17.0,,Defensive rebound by K. Faried,4,4
11,1,10:07.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by N. Jokić),4,6
12,1,9:49.0,A. Horford misses 3-pt jump shot from 22 ft,,4,6
13,1,9:48.0,Offensive rebound by P. Millsap,,4,6
14,1,9:43.0,J. Teague makes 2-pt layup from 1 ft (assist by A. Horford),,6,6
15,1,9:31.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),6,9
16,1,9:20.0,Shooting foul by N. Jokić (drawn by P. Millsap),,6,9
17,1,9:20.0,P. Millsap misses free throw 1 of 2,,6,9
18,1,9:20.0,Offensive rebound by Team,,6,9
19,1,9:20.0,P. Millsap makes free throw 2 of 2,,7,9
20,1,9:01.0,,D. Gallinari makes 2-pt dunk at rim (assist by G. Harris),7,11
21,1,8:51.0,K. Korver makes 3-pt jump shot from 26 ft (assist by K. Bazemore),,10,11
22,1,8:29.0,,K. Faried makes 2-pt jump shot from 16 ft (assist by D. Gallinari),10,13
23,1,8:15.0,Turnover by J. Teague (bad pass),,10,13
24,1,7:58.0,,D. Gallinari misses 2-pt jump shot from 16 ft (block by K. Bazemore),10,13
25,1,7:56.0,,Offensive rebound by D. Gallinari,10,13
26,1,7:53.0,,Turnover by D. Gallinari (lost ball; steal by J. Teague),10,13
27,1,7:46.0,P. Millsap makes 2-pt jump shot from 11 ft (assist by K. Korver),,12,13
28,1,7:34.0,,Shooting foul by K. Bazemore (drawn by D. Gallinari),12,13
29,1,7:34.0,,D. Gallinari makes free throw 1 of 2,12,14
30,1,7:34.0,T. Splitter enters the game for P. Millsap,,12,14
31,1,7:34.0,T. Sefolosha enters the game for K. Bazemore,,12,14
32,1,7:34.0,,D. Gallinari makes free throw 2 of 2,12,15
33,1,7:27.0,Turnover by J. Teague (lost ball; steal by G. Harris),,12,15
34,1,7:21.0,,G. Harris makes 2-pt dunk at rim,12,17
35,1,7:09.0,Shooting foul by N. Jokić (drawn by J. Teague),,12,17
36,1,7:09.0,J. Teague makes free throw 1 of 2,,13,17
37,1,7:09.0,,J. Lauvergne enters the game for N. Jokić,13,17
38,1,7:09.0,J. Teague makes free throw 2 of 2,,14,17
39,1,6:55.0,,Turnover by G. Harris (lost ball; steal by K. Korver),14,17
40,1,6:50.0,T. Sefolosha makes 2-pt dunk at rim (assist by K. Korver),,16,17
41,1,6:41.0,,J. Lauvergne makes 2-pt jump shot from 19 ft (assist by E. Mudiay),16,19
42,1,6:30.0,Personal foul by E. Mudiay (drawn by J. Teague),,16,19
43,1,6:22.0,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Teague),,18,19
44,1,6:07.0,,E. Mudiay misses 2-pt layup at rim,18,19
45,1,6:06.0,Defensive rebound by T. Splitter,,18,19
46,1,6:04.0,Turnover by T. Splitter (bad pass; steal by E. Mudiay),,18,19
47,1,6:00.0,,E. Mudiay makes 2-pt jump shot from 16 ft,18,21
48,1,6:00.0,Atlanta full timeout,,18,21
49,1,5:46.0,A. Horford makes 2-pt dunk at rim (assist by K. Korver),,20,21
50,1,5:21.0,,Turnover by D. Gallinari (bad pass; steal by A. Horford),20,21
51,1,5:07.0,T. Splitter makes 2-pt jump shot from 5 ft (assist by J. Teague),,22,21
52,1,4:55.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by K. Faried),22,24
53,1,4:39.0,J. Teague misses 2-pt layup from 2 ft,,22,24
54,1,4:38.0,,Defensive rebound by D. Gallinari,22,24
55,1,4:21.0,,K. Faried misses 2-pt jump shot from 6 ft,22,24
56,1,4:20.0,Defensive rebound by T. Splitter,,22,24
57,1,4:14.0,J. Teague misses 2-pt layup from 1 ft,,22,24
58,1,4:13.0,,Defensive rebound by J. Lauvergne,22,24
59,1,4:06.0,,E. Mudiay misses 2-pt jump shot from 21 ft,22,24
60,1,4:03.0,,Offensive rebound by K. Faried,22,24
61,1,4:03.0,,K. Faried misses 2-pt layup from 2 ft,22,24
62,1,4:03.0,Defensive rebound by T. Sefolosha,,22,24
63,1,4:01.0,Turnover by A. Horford (3 sec),,22,24
64,1,4:01.0,K. Bazemore enters the game for A. Horford,,22,24
65,1,4:01.0,D. Schröder enters the game for K. Korver,,22,24
66,1,4:01.0,P. Millsap enters the game for J. Teague,,22,24
67,1,3:44.0,,J. Lauvergne misses 3-pt jump shot from 25 ft,22,24
68,1,3:44.0,Defensive rebound by K. Bazemore,,22,24
69,1,3:32.0,Shooting foul by K. Faried (drawn by P. Millsap),,22,24
70,1,3:32.0,P. Millsap makes free throw 1 of 2,,23,24
71,1,3:32.0,,D. Arthur enters the game for K. Faried,23,24
72,1,3:32.0,,R. Foye enters the game for E. Mudiay,23,24
73,1,3:32.0,P. Millsap makes free throw 2 of 2,,24,24
74,1,3:18.0,,D. Arthur misses 2-pt jump shot from 20 ft,24,24
75,1,3:15.0,Defensive rebound by D. Schröder,,24,24
76,1,2:59.0,Turnover by K. Bazemore (bad pass; steal by J. Lauvergne),,24,24
77,1,2:58.0,,Denver full timeout,24,24
78,1,2:58.0,,Turnover by G. Harris (lost ball; steal by K. Bazemore),24,24
79,1,2:46.0,,Violation by J. Lauvergne (kicked ball),24,24
80,1,2:46.0,,W. Barton enters the game for G. Harris,24,24
81,1,2:39.0,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),,26,24
82,1,2:15.0,,D. Arthur misses 3-pt jump shot from 24 ft,26,24
83,1,2:15.0,,Offensive rebound by R. Foye,26,24
84,1,2:07.0,,R. Foye misses 2-pt jump shot from 20 ft,26,24
85,1,2:07.0,Defensive rebound by T. Sefolosha,,26,24
86,1,1:45.0,P. Millsap misses 2-pt jump shot from 15 ft,,26,24
87,1,1:44.0,,Defensive rebound by J. Lauvergne,26,24
88,1,1:32.0,,Turnover by J. Lauvergne (bad pass; steal by P. Millsap),26,24
89,1,1:22.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),,29,24
90,1,1:22.0,,Denver full timeout,29,24
91,1,1:22.0,,S. Kilpatrick enters the game for D. Gallinari,29,24
92,1,0:59.0,,S. Kilpatrick makes 2-pt jump shot from 3 ft,29,26
93,1,0:57.0,Shooting foul by D. Arthur (drawn by K. Bazemore),,29,26
94,1,0:57.0,K. Bazemore makes free throw 1 of 2,,30,26
95,1,0:57.0,K. Bazemore makes free throw 2 of 2,,31,26
96,1,0:40.0,,D. Arthur misses 2-pt jump shot from 18 ft,31,26
97,1,0:39.0,,Offensive rebound by W. Barton,31,26
98,1,0:37.0,,W. Barton makes 2-pt hook shot from 4 ft,31,28
99,1,0:30.0,K. Bazemore misses 3-pt jump shot from 26 ft,,31,28
100,1,0:29.0,,Defensive rebound by J. Lauvergne,31,28
101,1,0:12.0,,D. Arthur makes 2-pt dunk at rim (assist by W. Barton),31,30
102,1,0:01.0,D. Schröder misses 2-pt layup from 2 ft,,31,30
103,1,0:00.0,Offensive rebound by Team,,31,30
104,2,11:37.0,A. Horford makes 2-pt layup from 1 ft,,33,30
105,2,11:27.0,,Personal foul by M. Scott (drawn by R. Foye),33,30
106,2,11:21.0,,R. Foye misses 2-pt jump shot from 20 ft,33,30
107,2,11:21.0,Defensive rebound by T. Sefolosha,,33,30
108,2,11:01.0,Shooting foul by J. Nurkić (drawn by D. Schröder),,33,30
109,2,11:01.0,D. Schröder makes free throw 1 of 2,,34,30
110,2,11:01.0,D. Schröder misses free throw 2 of 2,,34,30
111,2,11:01.0,Offensive rebound by D. Schröder,,34,30
112,2,10:48.0,A. Horford misses 2-pt layup from 1 ft,,34,30
113,2,10:47.0,,Defensive rebound by W. Barton,34,30
114,2,10:39.0,,W. Barton misses 2-pt layup from 1 ft,34,30
115,2,10:38.0,Defensive rebound by A. Horford,,34,30
116,2,10:14.0,A. Horford makes 2-pt jump shot from 19 ft (assist by D. Schröder),,36,30
117,2,9:54.0,,D. Arthur misses 2-pt jump shot from 20 ft,36,30
118,2,9:54.0,,Offensive rebound by Team,36,30
119,2,9:54.0,Loose ball foul by A. Horford (drawn by J. Nurkić),,36,30
120,2,9:46.0,,J. Nurkić misses 2-pt hook shot from 4 ft,36,30
121,2,9:46.0,Defensive rebound by M. Scott,,36,30
122,2,9:40.0,D. Schröder makes 2-pt layup from 2 ft,,38,30
123,2,9:40.0,,Denver full timeout,38,30
124,2,9:33.0,,Turnover by R. Foye (step out of bounds),38,30
125,2,9:22.0,A. Horford misses 2-pt layup at rim,,38,30
126,2,9:22.0,,Defensive rebound by W. Barton,38,30
127,2,9:17.0,,W. Barton makes 3-pt jump shot from 24 ft,38,33
128,2,8:48.0,T. Hardaway misses 3-pt jump shot from 25 ft,,38,33
129,2,8:47.0,,Defensive rebound by R. Foye,38,33
130,2,8:33.0,,Shooting foul by T. Sefolosha (drawn by W. Barton),38,33
131,2,8:33.0,Official timeout,,38,33
132,2,8:33.0,,W. Barton makes free throw 1 of 2,38,34
133,2,8:33.0,,W. Barton makes free throw 2 of 2,38,35
134,2,8:23.0,Shooting foul by S. Kilpatrick (drawn by D. Schröder),,38,35
135,2,8:23.0,D. Schröder makes free throw 1 of 2,,39,35
136,2,8:23.0,D. Schröder makes free throw 2 of 2,,40,35
137,2,7:57.0,,J. Nurkić misses 2-pt hook shot from 3 ft,40,35
138,2,7:55.0,Defensive rebound by M. Scott,,40,35
139,2,7:50.0,M. Scott makes 3-pt jump shot from 25 ft (assist by D. Schröder),,43,35
140,2,7:36.0,,S. Kilpatrick misses 3-pt jump shot from 24 ft,43,35
141,2,7:35.0,Defensive rebound by D. Schröder,,43,35
142,2,7:24.0,A. Horford misses 2-pt layup from 2 ft,,43,35
143,2,7:16.0,,Defensive rebound by W. Barton,43,35
144,2,7:11.0,,D. Arthur misses 2-pt jump shot from 14 ft,43,35
145,2,7:11.0,,Offensive rebound by Team,43,35
146,2,7:11.0,Loose ball foul by A. Horford (drawn by J. Nurkić),,43,35
147,2,7:11.0,,D. Gallinari enters the game for D. Arthur,43,35
148,2,7:11.0,,G. Harris enters the game for S. Kilpatrick,43,35
149,2,7:11.0,,E. Mudiay enters the game for R. Foye,43,35
150,2,7:11.0,K. Korver enters the game for T. Sefolosha,,43,35
151,2,7:11.0,T. Splitter enters the game for A. Horford,,43,35
152,2,7:06.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by E. Mudiay),43,37
153,2,6:56.0,Shooting foul by J. Nurkić (drawn by T. Splitter),,43,37
154,2,6:56.0,T. Splitter makes free throw 1 of 2,,44,37
155,2,6:56.0,J. Teague enters the game for D. Schröder,,44,37
156,2,6:56.0,P. Millsap enters the game for M. Scott,,44,37
157,2,6:56.0,T. Splitter makes free throw 2 of 2,,45,37
158,2,6:42.0,,Turnover by J. Nurkić (lost ball; steal by J. Teague),45,37
159,2,6:36.0,T. Hardaway makes 2-pt layup from 1 ft (assist by J. Teague),,47,37
160,2,6:26.0,,W. Barton misses 2-pt layup from 2 ft,47,37
161,2,6:25.0,,Offensive rebound by J. Nurkić,47,37
162,2,6:25.0,,J. Nurkić misses 2-pt layup from 1 ft,47,37
163,2,6:23.0,Defensive rebound by K. Korver,,47,37
164,2,6:16.0,K. Korver misses 3-pt jump shot from 24 ft,,47,37
